Bird, MEX, 03a41f9c-281c-4dc1-b678-9ad294384f0a, 97, 13588, No update data, 9g3qx208jwmb
Bird, MEX, 6ac19057-d456-42f2-8b15-a6f5b2115c23, 96, 14195, No update data, 9g3qx208kycq
Bird, MEX, 96e69ef8-3fa3-4a9d-802d-66a2466af0d2, 67, 8848, No update data, 9g3qx3r63jz0
Bird, MEX, 76a32421-ce80-4d20-bc2a-1c6ca270594a, 98, 13746, No update data, 9g3qx208s5rc
Bird, MEX, 4f72794a-0bbf-4d61-85c8-50052f42ea5d, 98, 13746, No update data, 9g3qx208kds7
Bird, MEX, 5fd2529e-56f5-46f6-bd2c-82b2469a641f, 98, 13746, No update data, 9g3qx208fwjj
Bird, MEX, a949a73f-499f-4743-94f6-5f7ebdb80f1b, 93, 13694, No update data, 9g3qx208fg54
Bird, MEX, 24154d5a-7847-46f7-b671-73de80104aff, 99, 13904, No update data, 9g3qrrbxuts3
Bird, MEX, e7c48c3f-4dc1-422f-9486-9c4f83025dbf, 99, 13904, No update data, 9g3qx203xvf3
Bird, MEX, 673ea75d-7b40-4a32-91d5-e5fb458a7fdc, 92, 13527, No update data, 9g3qx208c7tn
Bird, MEX, 867ca35b-befa-4310-ae76-54c25d56f7a1, 99, 13904, No update data, 9g3qx2090mgw
Bird, MEX, 68c1c7fb-9e43-44bf-8ae8-8901c2c758da, 91, 13360, No update data, 9g3qx2085jbn
Bird, MEX, 159caea9-9890-4349-967b-e9a9acedd927, 48, 6179, No update data, 9g3qrrbxgmue
Bird, MEX, 256bc330-0080-4f09-a607-3a84f44f99bf, 83, 11376, No update data, 9g3qx32cns4e
Bird, MEX, 793a68be-7e00-430b-89c4-11730388f68f, 62, 8058, No update data, 9g3qrrd7ebuc
Bird, MEX, 2e335fe6-bee6-4ac2-a573-4c766a07087c, 89, 13026, No update data, 9g3qx3tghknk
Bird, MEX, 241c5fc8-7b59-4140-9c2c-69461b597c8c, 100, 14062, No update data, 9g3qx903qdxs
Bird, MEX, 26187cd1-9b1d-4048-a8f2-e202479c8752, 82, 11218, No update data, 9g3qx903vswh
Bird, MEX, 519aac77-f8ab-41f2-b174-cc1b45b511a6, 97, 13588, No update data, 9g3qx903w8px
Bird, MEX, 67df6a49-f472-4a36-ac60-0288732f76d4, 96, 13430, No update data, 9g3qx906uh75
Bird, MEX, 8b644847-990a-400c-95bc-76e173197602, 92, 12798, No update data, 9g3qrrc0pyf7
Bird, MEX, e6f453ae-e896-4960-94b4-8d704cb7e810, 48, 6179, No update data, 9g3qx33zcnf4
Bird, MEX, 85c77e5d-7ca2-4acc-851f-01e834bf76a7, 40, 4582, No update data, 9g3qx3ehscrx
Bird, MEX, d535200e-e99c-4e75-b172-39780e734cfc, 97, 14362, No update data, 9g3qx906qj9r
Bird, MEX, b1c71a58-cbee-4c5d-abba-5540c32ada14, 98, 13746, No update data, 9g3qx906qtpe
Bird, MEX, 1ff482f5-497d-4140-8c5f-613ff34dab55, 98, 13746, No update data, 9g3qx9098kef
Bird, MEX, 21fb9d79-bce4-4b19-8b49-5d9d7f29886b, 98, 13746, No update data, 9g3qx906qgvu
Bird, MEX, 85b5ec15-83dd-4362-905a-9b4396583619, 98, 13746, No update data, 9g3qx909dkd4
Bird, MEX, 16b33ec8-f236-4b3b-a9b4-9ca35d565c9f, 98, 13746, No update data, 9g3qx90d5tcz
Bird, MEX, 8a073e6f-7697-4321-a14d-884b2d21e9e9, 47, 5688, No update data, 9g3qrxbrtrpb
Bird, MEX, f51e7ec1-b4a8-4166-b665-84331e145047, 88, 12166, No update data, 9g3qx32u5wxg
Bird, MEX, f23e63b4-f266-44f2-b28a-9f449b125334, 98, 14529, No update data, 9g3qx3sr3p40
Bird, MEX, 53e7d760-42d4-4022-8fd9-ed5039793a55, 96, 13430, No update data, 9g3qx90f3bnu
Bird, MEX, cddceb0e-2b40-4841-a4a3-ee5a479febe1, 99, 13904, No update data, 9g3qrr7v49vh
Bird, MEX, e1a08218-63a2-40ab-af37-a1b6bc996651, 94, 13114, No update data, 9g3qx90f6ver
Bird, MEX, e044dca5-0d70-4eef-a0c5-5ee4314d5678, 67, 8848, No update data, 9g3qx8chkmqm
Bird, MEX, 44791c9f-319f-42d6-bb66-ca5be0894bbb, 100, 14863, No update data, 9g3qrr7uf0ge
Bird, MEX, 6d4e2f6f-557c-41c1-b0ec-dfe9eda61b65, 97, 13588, No update data, 9g3qx90cpmcp
Bird, MEX, 8503c02f-45fd-4e79-8484-13c2a81e0f8c, 98, 13746, No update data, 9g3qx90cr7ch
Bird, MEX, 146617df-7593-4d59-90e1-ef93f831f844, 97, 13588, No update data, 9g3qx90g5yvj
Bird, MEX, 06f17b17-5d6b-4ce0-8383-07b49ec2971e, 98, 13746, No update data, 9g3qx9110jvx
Bird, MEX, d0267e20-8e89-4a1a-8969-2beb7d22d9c0, 58, 7426, No update data, 9g3qrrmhs305
Bird, MEX, 769dcc13-d4ef-49ed-a5e3-5a6bec6eb371, 83, 11376, No update data, 9g3qx8chx79h
Bird, MEX, 6b8c01a5-1265-43d0-93a0-619ea2a9959d, 63, 8216, No update data, 9g3qrr96t66g
Bird, MEX, af29b99b-da68-4c35-b38e-dd1caa7da380, 92, 12798, No update data, 9g3qx92hh976
Bird, MEX, 52d9804f-be7b-4408-95c6-f5472fa27f4b, 64, 8374, No update data, 9g3qx8376dm3
