Bird, MEX, 4655d752-04a9-4028-962c-0beb1f5455f6, 90, 12482, No update data, 9g3qx2336nkf
Bird, MEX, dca09cef-cf34-4fb2-b996-d842b8e83b8e, 96, 14195, No update data, 9g3qx21rtkfg
Bird, MEX, eb0a9af9-09bb-4a85-9b1f-37d0512f7ceb, 87, 12008, No update data, 9g3qx23360sz
Bird, MEX, b059d456-c51b-423e-8d52-e20184ede2a6, 88, 12166, No update data, 9g3qx23pg10p
Bird, MEX, 82dcd49c-65e1-4665-9b35-302cd6e6627b, 74, 10521, No update data, 9g3qx21rgxxz
Bird, MEX, 73746486-98eb-4052-ba41-d52b9ede2521, 63, 8216, No update data, 9g3qx21rgx9x
Bird, MEX, 4a21459e-4651-4cb8-abac-ca0444649bb6, 78, 10586, No update data, 9g3qx23255y2
Bird, MEX, 256bc330-0080-4f09-a607-3a84f44f99bf, 90, 12482, No update data, 9g3qx2909w57
Bird, MEX, 27ba807e-71ba-4ede-b0a7-13f6e14e7c06, 73, 9796, No update data, 9g3qx232ccb6
Bird, MEX, f216f991-9be2-4743-987b-7c1ac14f9352, 84, 11534, No update data, 9g3qx23250wm
Bird, MEX, 031016b4-d140-43d1-b68d-dcdb3a7b11a0, 70, 9322, No update data, 9g3qx3p005mx
Bird, MEX, fab2725e-6ed9-4a78-9747-f58fc250f902, 80, 11523, No update data, 9g3qx23nf4ky
Bird, MEX, 02006705-1f0f-45ac-a77b-0e0d538e4b93, 97, 13588, No update data, 9g3qx290370r
Bird, MEX, 8df797e7-7b0e-48f8-a943-fea682f142f5, 96, 14195, No update data, 9g3qx2z6gcb5
Bird, MEX, 83220a33-fefd-4340-b5ab-2b7478bcb44d, 96, 14195, No update data, 9g3qx232997q
Bird, MEX, d35a9576-a35c-4a51-8b1b-caa587f5263e, 97, 14362, No update data, 9g3qx231ru6r
Bird, MEX, ca264705-8a9b-461c-be40-6b979e038e06, 62, 8058, No update data, 9g3qx3nbrzx7
Bird, MEX, 8c3bbb45-954b-4824-be25-c5bec69281c7, 89, 12324, No update data, 9g3qx290b58w
Bird, MEX, 4c739442-f5c6-42d2-b146-ffef2a38a91f, 84, 11534, No update data, 9g3qx21sc544
Bird, MEX, 66fb0ca9-d980-4b02-8fa0-66d9ae0031fb, 88, 12166, No update data, 9g3qx21sbg5f
Bird, MEX, 2deda658-907a-4f15-ac75-31743fe2f233, 96, 14195, No update data, 9g3qx21sbr7t
Bird, MEX, 66dbe6e8-6ed7-46d9-a4b8-1a8f853c57ad, 98, 14529, No update data, 9g3qx23229qg
Bird, MEX, 5e7dd5f9-a8ac-4ce4-b82c-6c643967fc1e, 67, 9352, No update data, 9g3qx231p28v
Bird, MEX, afd83cfb-b402-4464-ac5a-a442532379b7, 88, 12166, No update data, 9g3qx21sb5jd
Bird, MEX, aecb2517-a087-407e-a8f5-4d17b824c384, 97, 14362, No update data, 9g3qx23n84j6
Bird, MEX, 982395b4-395e-4375-a321-4c510a3a2944, 84, 11534, No update data, 9g3qx28cnbvx
Bird, MEX, 7c163c5f-0b43-46be-a25d-8256872a99ca, 96, 14195, No update data, 9g3qx2zpsnep
Bird, MEX, ae1acd5e-47c5-44ab-b0f3-c5fbae204d43, 84, 12191, No update data, 9g3qx23n2n2e
Bird, MEX, 1cfeb5da-f808-48fd-a090-adf05270c377, 99, 14696, No update data, 9g3qx23205v2
Bird, MEX, 39a959c4-225f-4f51-9388-3851f92703fd, 98, 14529, No update data, 9g3qx21efq3z
Bird, MEX, 11676849-fa45-46d7-b9c6-00b7af2a96f8, 94, 13861, No update data, 9g3qx2zm3g28
Bird, MEX, 1d03b435-5234-4603-8eed-5e3f5c7a18d1, 98, 14529, No update data, 9g3qx2zke37w
Bird, MEX, 8aa45d2f-96a2-4917-8df2-b425bdb113dd, 99, 14696, No update data, 9g3qx231n51h
Bird, MEX, e650c12c-3f3b-4556-a841-e81522b2111e, 90, 13193, No update data, 9g3qx3k7u2ym
Bird, MEX, f9986136-ce6b-4970-bc6c-b25979a8dcf5, 89, 12324, No update data, 9g3qx28fjgu1
Bird, MEX, 691c9de0-ebc1-4c01-83f0-de18eda72a5f, 89, 13026, No update data, 9g3qx3k7vsn1
Bird, MEX, b653854b-733e-4c4c-8e76-3b570ba90c22, 81, 11690, No update data, 9g3qx3p0hq21
Bird, MEX, dab09651-3f72-457f-a8eb-c6c7d2914af3, 62, 8517, No update data, 9g3qx28cm6r9
Bird, MEX, 5b07c2c0-a805-445d-b168-01ac8898e484, 96, 14195, No update data, 9g3qx231e9ry
Bird, MEX, 304641d8-118f-4753-a91a-7187243d9247, 97, 14362, No update data, 9g3qx2zkjzg4
Bird, MEX, 8e795b2b-05cb-41d7-8077-176ae8687cbd, 97, 14362, No update data, 9g3qx22ymbkn
