Bird, MEX, aad7b5fb-642d-4670-91be-c2cd80aa5eff, 90, 13193, No update data, 9g3qx21h5epu
Bird, MEX, a52bd323-d960-4420-806b-6fc992dcf913, 90, 13193, No update data, 9g3qx215sshr
Bird, MEX, 54f0a39e-be90-477a-b9eb-687f73bf3039, 98, 13746, No update data, 9g3qx215sshr
Bird, MEX, 75ce0f6b-0607-4413-b8f9-4814481bec33, 94, 13861, No update data, 9g3qx21h55nk
Bird, MEX, 42adbca0-ad2f-4c00-aa33-4c9f7db1dc39, 90, 13193, No update data, 9g3qx215gcuf
Bird, MEX, 667da35d-8345-4402-9ed3-23f1f5f80543, 93, 13694, No update data, 9g3qx21h67cg
Bird, MEX, 601d82b6-d04f-4d82-ac61-b36d93584c9d, 47, 6012, No update data, 9g3qx3nxz8k3
Bird, MEX, 29b827a4-694c-42a2-9685-1461cbbfa3c1, 74, 9954, No update data, 9g3qx3msxs3y
Bird, MEX, c0f05e2c-0c1e-42bc-8fae-6abf1fb6e8d7, 99, 13904, No update data, 9g3qx215hf92
Bird, MEX, 0e92d871-7d97-421b-b335-bebc3ed80d86, 98, 13746, No update data, 9g3qx215e1nk
Bird, MEX, 3b06a00e-1530-498f-9621-456dd5ac1bc8, 98, 13746, No update data, 9g3qx214t3z8
Bird, MEX, bf956252-d541-4d7d-a779-dcb1d9327ce8, 99, 13904, No update data, 9g3qx3pd36m6
Bird, MEX, cf99c71b-0836-4611-8b58-097a6931d8d1, 64, 8374, No update data, 9g3qx214b52s
Bird, MEX, 39298bbd-04c3-47e1-9e44-aba7ba98b4bd, 97, 13588, No update data, 9g3qx3pb2w8v
Bird, MEX, e8aeed4d-683e-4f07-aac9-8aa11327775a, 98, 13746, No update data, 9g3qx3peebhz
Bird, MEX, c557b329-fa29-4b97-a371-40a2e8071355, 56, 7110, No update data, 9g3qx8bj589y
Bird, MEX, cd01213d-9873-4a73-9113-022b45577801, 99, 14696, No update data, 9g3qx3pbtz51
Bird, MEX, b5d4fccd-e73f-48e1-9d91-b96a0c896402, 97, 13588, No update data, 9g3qrrzk25t8
Bird, MEX, 1500ff0d-077d-4e28-8885-57d1a83d4531, 91, 13360, No update data, 9g3qx8bnvmdf
Bird, MEX, b290e7c8-433f-4068-ade0-8702f77b3dac, 78, 10586, No update data, 9g3qx20du0fu
Bird, MEX, 14970e6e-e013-4590-8f71-9214ea2f37c0, 96, 13430, No update data, 9g3qx8bnq8z8
Bird, MEX, 30b86e43-c8a7-4bfa-bf10-588a81a365d1, 97, 13588, No update data, 9g3qx8bnvfg1
Bird, MEX, dd5d01a4-617b-4c5c-9dcc-719955edd02d, 44, 5214, No update data, 9g3qx3sfp7pn
Bird, MEX, 7dfac7ef-6e1b-4173-b7b6-c9dee25a343a, 79, 11356, No update data, 9g3qx8bnyqud
Bird, MEX, 05657a08-52fb-4b54-9e31-d3cf41b3234c, 93, 12956, No update data, 9g3qx8bnyfjv
Bird, MEX, 1761c249-cf5e-451f-96cb-2409fdebb239, 80, 11523, No update data, 9g3qx20ksvc3
Bird, MEX, a63f99a6-4205-470a-b95e-81f90e3f294e, 92, 13527, No update data, 9g3qx20kgvsc
Bird, MEX, d7ccf8c6-0a0e-4aba-bbf0-717c1cf8f6b7, 88, 12859, No update data, 9g3qx303jvh1
Bird, MEX, 1f3ec013-e7a1-46b8-82ac-bfa096635032, 79, 11356, No update data, 9g3qx20m4w20
Bird, MEX, 0c20639e-5712-4a37-8dbe-1dba147cae43, 90, 13193, No update data, 9g3qx20m3w76
Bird, MEX, 5fd2529e-56f5-46f6-bd2c-82b2469a641f, 98, 13746, No update data, 9g3qx2096d85
Bird, MEX, 66cd7b58-b6cc-4d4f-bf73-e0661cda79e5, 96, 14195, No update data, 9g3qx2098ewg
Bird, MEX, c645c1cc-881f-4034-9678-b3fdb6020131, 92, 13527, No update data, 9g3qx20m2k7x
Bird, MEX, 96e69ef8-3fa3-4a9d-802d-66a2466af0d2, 67, 8848, No update data, 9g3qx3r6d3f1
Bird, MEX, 8cb4650d-7205-4523-ad35-1f77c86d39f7, 94, 13861, No update data, 9g3qx2092u5v
Bird, MEX, 4f72794a-0bbf-4d61-85c8-50052f42ea5d, 98, 13746, No update data, 9g3qx2091r0m
Bird, MEX, ec4a6eab-3e21-4544-b696-53b33dacfdb9, 92, 13527, No update data, 9g3qx2092s0t
Bird, MEX, 4d02ca4a-c96a-4f1b-aedf-8f138272da3b, 93, 13694, No update data, 9g3qx209212e
Bird, MEX, 867ca35b-befa-4310-ae76-54c25d56f7a1, 98, 13746, No update data, 9g3qx2089qj5
Bird, MEX, 03a41f9c-281c-4dc1-b678-9ad294384f0a, 97, 13588, No update data, 9g3qx2083y26
Bird, MEX, 24154d5a-7847-46f7-b671-73de80104aff, 99, 13904, No update data, 9g3qx203r2rj
Bird, MEX, 26ed862c-b040-42aa-8d3b-d942b8998ab5, 96, 14195, No update data, 9g3qx203p3r1
Bird, MEX, e7c48c3f-4dc1-422f-9486-9c4f83025dbf, 99, 13904, No update data, 9g3qx203p3r1
Bird, MEX, 5c1ec0e4-2762-42ae-8674-6dd8c68ea9c6, 91, 13360, No update data, 9g3qx203nz0t
Bird, MEX, 68c1c7fb-9e43-44bf-8ae8-8901c2c758da, 90, 13193, No update data, 9g3qx202zq2z
Bird, MEX, 76a32421-ce80-4d20-bc2a-1c6ca270594a, 98, 13746, No update data, 9g3qx202zkp0
Bird, MEX, 19b4c6ce-51f7-45eb-8e06-9886c5151567, 91, 13360, No update data, 9g3qx203tmfc
Bird, MEX, a48d6851-4bd5-4add-b1d0-9d933960a53c, 94, 13861, No update data, 9g3qx203nn30
Bird, MEX, 6ac19057-d456-42f2-8b15-a6f5b2115c23, 94, 13861, No update data, 9g3qx203n5z2
Bird, MEX, 63b64cf6-0d2b-4d45-9894-f233ab5bd67e, 92, 13527, No update data, 9g3qx203mjks
Bird, MEX, 256bc330-0080-4f09-a607-3a84f44f99bf, 82, 11218, No update data, 9g3qx3318nv2
Bird, MEX, 673ea75d-7b40-4a32-91d5-e5fb458a7fdc, 91, 13360, No update data, 9g3qx202yn1j
Bird, MEX, 793a68be-7e00-430b-89c4-11730388f68f, 61, 7900, No update data, 9g3qrrd7evub
Bird, MEX, 2e335fe6-bee6-4ac2-a573-4c766a07087c, 89, 13026, No update data, 9g3qx3tf9uqc
Bird, MEX, 67df6a49-f472-4a36-ac60-0288732f76d4, 96, 13430, No update data, 9g3qx90hu4g1
Bird, MEX, 85c77e5d-7ca2-4acc-851f-01e834bf76a7, 40, 4582, No update data, 9g3qx3e5ygjg
Bird, MEX, a949a73f-499f-4743-94f6-5f7ebdb80f1b, 92, 13527, No update data, 9g3qx2037nbn
Bird, MEX, e6f453ae-e896-4960-94b4-8d704cb7e810, 47, 6012, No update data, 9g3qx33zsng0
Bird, MEX, 8b644847-990a-400c-95bc-76e173197602, 92, 12798, No update data, 9g3qrrc0whz7
Bird, MEX, bbddcd29-395e-49d0-8458-8a342b3a77dd, 73, 10354, No update data, 9g3qx3tg9gqg
Bird, MEX, 159caea9-9890-4349-967b-e9a9acedd927, 48, 6179, No update data, 9g3qrrbquqqp
Bird, MEX, 16b33ec8-f236-4b3b-a9b4-9ca35d565c9f, 98, 13746, No update data, 9g3qx907t1kz
Bird, MEX, 519aac77-f8ab-41f2-b174-cc1b45b511a6, 97, 13588, No update data, 9g3qx90m185d
Bird, MEX, 26187cd1-9b1d-4048-a8f2-e202479c8752, 82, 11218, No update data, 9g3qx90k5fv5
Bird, MEX, 241c5fc8-7b59-4140-9c2c-69461b597c8c, 100, 14062, No update data, 9g3qx90kfneb
Bird, MEX, 85b5ec15-83dd-4362-905a-9b4396583619, 97, 13588, No update data, 9g3qx90k7ut0
Bird, MEX, d535200e-e99c-4e75-b172-39780e734cfc, 96, 14195, No update data, 9g3qx907wgtu
Bird, MEX, f51e7ec1-b4a8-4166-b665-84331e145047, 88, 12166, No update data, 9g3qx32gsz3k
Bird, MEX, 1ff482f5-497d-4140-8c5f-613ff34dab55, 98, 13746, No update data, 9g3qx907ru4w
Bird, MEX, 21fb9d79-bce4-4b19-8b49-5d9d7f29886b, 97, 13588, No update data, 9g3qx90mkwgr
Bird, MEX, 8a073e6f-7697-4321-a14d-884b2d21e9e9, 47, 5688, No update data, 9g3qrxbrwutc
Bird, MEX, b1c71a58-cbee-4c5d-abba-5540c32ada14, 98, 13746, No update data, 9g3qx90s6qfp
Bird, MEX, f23e63b4-f266-44f2-b28a-9f449b125334, 97, 14362, No update data, 9g3qx3spxkzj
Bird, MEX, 44791c9f-319f-42d6-bb66-ca5be0894bbb, 99, 14696, No update data, 9g3qrr7v429u
Bird, MEX, 8503c02f-45fd-4e79-8484-13c2a81e0f8c, 98, 13746, No update data, 9g3qx90ck7yk
Bird, MEX, 53e7d760-42d4-4022-8fd9-ed5039793a55, 96, 13430, No update data, 9g3qx90ff8m3
Bird, MEX, d0267e20-8e89-4a1a-8969-2beb7d22d9c0, 58, 7426, No update data, 9g3qrrmjjusm
Bird, MEX, 5c2c60fb-0604-4866-90ef-f977d73a7cca, 78, 10586, No update data, 9g3qx90cq5ck
Bird, MEX, e1a08218-63a2-40ab-af37-a1b6bc996651, 93, 12956, No update data, 9g3qx90g4gg3
Bird, MEX, 146617df-7593-4d59-90e1-ef93f831f844, 97, 13588, No update data, 9g3qx90g5358
Bird, MEX, 6b8c01a5-1265-43d0-93a0-619ea2a9959d, 63, 8216, No update data, 9g3qrr96y2k2
Bird, MEX, 6d4e2f6f-557c-41c1-b0ec-dfe9eda61b65, 97, 13588, No update data, 9g3qx90crkrr
Bird, MEX, 52d9804f-be7b-4408-95c6-f5472fa27f4b, 64, 8374, No update data, 9g3qx8379d5d
Bird, MEX, 06f17b17-5d6b-4ce0-8383-07b49ec2971e, 98, 13746, No update data, 9g3qx90cx2z7
Bird, MEX, eb089722-b0a7-414a-8185-4144ea7263e0, 91, 12640, No update data, 9g3qx92h3zwg
Bird, MEX, cddceb0e-2b40-4841-a4a3-ee5a479febe1, 99, 13904, No update data, 9g3qrr7spm2c
Bird, MEX, af29b99b-da68-4c35-b38e-dd1caa7da380, 92, 12798, No update data, 9g3qx926b9x1
