Bird, MEX, c0fe1b03-bcf5-436f-a8b3-0df4ebad4766, 97, 14362, No update data, 9g3qx21qkwk6
Bird, MEX, afd83cfb-b402-4464-ac5a-a442532379b7, 98, 13746, No update data, 9g3qx21mqcbz
Bird, MEX, 66fb0ca9-d980-4b02-8fa0-66d9ae0031fb, 97, 13588, No update data, 9g3qx21mng0u
Bird, MEX, 8c3bbb45-954b-4824-be25-c5bec69281c7, 100, 14062, No update data, 9g3qx28fn0p3
Bird, MEX, 7eb9f5b2-d82b-4eac-8620-fb60dc01546d, 99, 14696, No update data, 9g3qx28cyhzq
Bird, MEX, f9986136-ce6b-4970-bc6c-b25979a8dcf5, 100, 14062, No update data, 9g3qx28cjxtb
Bird, MEX, 5e8caee7-0184-406a-8439-a6ac0b774723, 100, 14062, No update data, 9g3qx28cv74f
Bird, MEX, 30a9bd45-450f-4339-934e-e907cd7e21ef, 100, 14062, No update data, 9g3qx28cuu12
Bird, MEX, 26187cd1-9b1d-4048-a8f2-e202479c8752, 96, 13430, No update data, 9g3qx2zksypu
Bird, MEX, 9dbb8d37-8eec-41d8-8d42-da22c0d7a8a3, 96, 14195, No update data, 9g3qx231h5g0
Bird, MEX, 4f378213-6294-4f7f-afc2-9fb519e73eb4, 87, 12008, No update data, 9g3qx2zmhr0n
Bird, MEX, 4048c69a-9e8b-4883-8910-f3a23b6da33e, 96, 13430, No update data, 9g3qx3kkntfx
Bird, MEX, f63c3a17-2c22-4183-a7a7-ca571f3cb2c8, 80, 10902, No update data, 9g3qx2zkv8q1
Bird, MEX, 8503c02f-45fd-4e79-8484-13c2a81e0f8c, 97, 13588, No update data, 9g3qx2zkz4u1
Bird, MEX, 2e1ac500-e4b8-470c-9065-1f152038be2c, 96, 13430, No update data, 9g3qx2zs3nr5
Bird, MEX, b059d456-c51b-423e-8d52-e20184ede2a6, 100, 14062, No update data, 9g3qx28fbbeg
Bird, MEX, 74d28002-a5be-4ce7-be3d-55c61d91898d, 37, 4108, No update data, 9g3qx21p70n7
Bird, MEX, 0a798980-a0ca-4c04-8533-da3a1dcbc92e, 93, 13694, No update data, 9g3qx2zt306q
Bird, MEX, ee2d53b5-f1e6-4b04-b739-0bb8e1969b13, 40, 4582, No update data, 9g3qx2zrs68n
Bird, MEX, bdf73438-8d47-40fc-bf01-1bff6bb08fe7, 92, 13527, No update data, 9g3qx21jhbxt
Bird, MEX, 90b4f26d-97a2-497b-8244-1fb9f1ea8687, 55, 7348, No update data, 9g3qx2bfd63u
Bird, MEX, 5ae649f8-abe1-45c3-93d7-3922bfd013c4, 96, 14195, No update data, 9g3qx2zstrrg
Bird, MEX, a027955f-3471-418c-9c66-26191f050f19, 98, 13746, No update data, 9g3qx2zsvk4b
Bird, MEX, 4bdd6ec9-f06c-4393-b7fb-1a12edd7eae6, 82, 11857, No update data, 9g3qx28ek9sq
Bird, MEX, f716940f-a075-48f9-9b12-5ff4307c97fa, 44, 5511, No update data, 9g3qx2ptb8x4
Bird, MEX, b64b1c4d-47ce-4942-812e-0f239e346cbe, 57, 7268, No update data, 9g3qrrezngvb
Bird, MEX, 58442098-3fe4-4c93-8287-d6fc8b3ba4c7, 96, 14195, No update data, 9g3qx21jcmjr
Bird, MEX, 3a75aa6a-4145-4766-81a2-61779dd4784a, 96, 14195, No update data, 9g3qx2zswp13
Bird, MEX, e02162db-4e96-43c8-a9f2-46624143c2b4, 93, 13694, No update data, 9g3qx2zsp2xq
Bird, MEX, a7e8f439-f12f-4497-81be-216480d0fa4e, 97, 14362, No update data, 9g3qx21hj64y
Bird, MEX, 270c39fb-f9e7-4950-bdce-db9a6067f1c9, 93, 13694, No update data, 9g3qx2zswtfd
Bird, MEX, e3375cd3-963a-48af-af18-237859a9535b, 98, 14529, No update data, 9g3qx215vsjb
Bird, MEX, 19e2a7fa-ea4c-4521-afcb-290f3edb2688, 99, 13904, No update data, 9g3qx2ztnkkt
Bird, MEX, 8d8428e9-90d6-42cd-b265-826edfd1a094, 93, 13694, No update data, 9g3qx2zsz5sn
Bird, MEX, 4b3bbe0b-bb51-44d1-9ad7-557e2634e218, 93, 13694, No update data, 9g3qx2zu2hv9
Bird, MEX, d758962f-e3fd-46f0-9300-f1dcbcb5fcbd, 81, 11060, No update data, 9g3qx2zwj8qh
Bird, MEX, f1641e00-b56b-4f3b-9170-003fd99e4ea5, 100, 14062, No update data, 9g3qx28xkh4v
Bird, MEX, a45a4bf8-8872-456c-8909-0b1c6506a01d, 57, 7268, No update data, 9g3qx20ymghp
Bird, MEX, 85b5ec15-83dd-4362-905a-9b4396583619, 96, 13430, No update data, 9g3qx2ztxz6e
Bird, MEX, d6bce810-1c38-4ac9-8186-d9bf55267da7, 74, 9954, No update data, 9g3qx2zwqxde
Bird, MEX, c6aff5da-4189-4c94-9822-1d7187a5ded8, 67, 9352, No update data, 9g3qx2zwvu74
Bird, MEX, bf956252-d541-4d7d-a779-dcb1d9327ce8, 98, 13746, No update data, 9g3qx2zwwtpw
Bird, MEX, a0e05e53-6cea-432c-904f-bbba3b8dd971, 47, 5688, No update data, 9g3qx2zv4ejj
Bird, MEX, 6d3395d6-2232-43c5-8b20-5acdee080a74, 48, 5846, No update data, 9g3qx2zv5v01
Bird, MEX, 46abce90-bd75-4b92-b165-d46e06a59f39, 69, 9164, No update data, 9g3qx2zy525d
Bird, MEX, e985c43e-54ba-4b55-865a-775022f12231, 100, 14863, No update data, 9g3qx2b2m1ks
Bird, MEX, bd41d1ee-053e-48b2-9d7c-f0619f68b7d4, 65, 8532, No update data, 9g3qx2b3hg3r
Bird, MEX, 1b6a109a-089d-4174-a9de-54132e5d2728, 65, 8532, No update data, 9g3qx2zzgfjj
Bird, MEX, b7576de8-8d6e-4d24-89d4-43ccc20e86b6, 93, 9676, No update data, 9g3qx3pbh4e1
Bird, MEX, e16d5b52-9ca1-47a8-af79-8cf248993a3e, 75, 10112, No update data, 9g3qx3pek720
Bird, MEX, 39298bbd-04c3-47e1-9e44-aba7ba98b4bd, 87, 12008, No update data, 9g3qx3pbkmn7
Bird, MEX, 5178e968-65a5-4deb-bb0e-021de508cfff, 71, 9480, No update data, 9g3qx8bn2vkj
Bird, MEX, 1f48fb27-d30a-48c6-95ce-f2a7ca904108, 99, 13904, No update data, 9g3qx20st1u8
Bird, MEX, 52508a64-621c-4214-a836-fafa4cdfc11b, 66, 8690, No update data, 9g3qx8bn6yem
Bird, MEX, 813eee54-a6fe-4498-9ea5-c26820e6a2b6, 80, 10902, No update data, 9g3qx8bnt64f
Bird, MEX, 9d3c5c60-4dc8-468e-a17c-5c6b66851b34, 93, 13694, No update data, 9g3qx9003z8e
Bird, MEX, 3616d549-9b9b-47b7-8cc9-d15c879e19b3, 56, 7515, No update data, 9g3qx20ecyqx
Bird, MEX, 9e990e86-a088-47bc-bb5f-db838112d58f, 97, 13588, No update data, 9g3qx900748k
Bird, MEX, 4648b65d-a399-4a54-b06d-fedd051d440d, 94, 13861, No update data, 9g3qx20s2j8w
Bird, MEX, 75531145-f835-408e-aafe-68b298e7b1fd, 94, 13861, No update data, 9g3qx20mn2h3
Bird, MEX, a6dbbfa9-aac9-4ca6-a1c4-ae131ca613ff, 99, 13904, No update data, 9g3qx8bpmb5h
Bird, MEX, dbd9bfe2-324c-4c64-a50a-ac74fd5f7ae8, 93, 13694, No update data, 9g3qx9007v05
Bird, MEX, 792c0de4-9c67-4c5b-8c0c-2ae704fdaba9, 84, 12191, No update data, 9g3qx8bnrxk3
Bird, MEX, b2d0a4fd-90b4-45d4-954b-2f5214ec72f2, 51, 6680, No update data, 9g3qx302q6sk
Bird, MEX, cd95f935-c48d-4388-a01c-e47fdd6bfdf9, 67, 8848, No update data, 9g3qx82x2ck5
Bird, MEX, a6cc2f27-cf05-4abf-b878-9b1fb6b1b336, 78, 11189, No update data, 9g3qx209mysh
Bird, MEX, 501742f4-0d86-43f6-8f13-57a355e65549, 98, 13746, No update data, 9g3qx20kwjrr
Bird, MEX, 043d8399-a8ce-48d1-9fef-18aa9093c138, 93, 13694, No update data, 9g3qrrdnfsm1
Bird, MEX, 98ec3dc2-7605-4264-bf26-e36dcc3285c7, 97, 14362, No update data, 9g3qx20kuzrt
Bird, MEX, e7a42ae0-34c9-45cd-90eb-7a2959fd031b, 98, 13746, No update data, 9g3qx20d9unx
Bird, MEX, 2303ab26-f440-49dc-a54b-902756fb142e, 98, 13746, No update data, 9g3qx20d9w7m
Bird, MEX, 73746486-98eb-4052-ba41-d52b9ede2521, 74, 9954, No update data, 9g3qx20me3kw
Bird, MEX, ac4066cd-8448-40f3-8b8e-689d5274c5fe, 98, 13746, No update data, 9g3qx20kuc1q
Bird, MEX, 27ba807e-71ba-4ede-b0a7-13f6e14e7c06, 83, 11376, No update data, 9g3qx20m7jwq
Bird, MEX, 22c0a4fc-5038-407e-b358-c264315749ed, 99, 13904, No update data, 9g3qx900trrg
Bird, MEX, 57e32f39-36b0-44be-ad84-a7829ed6bd7a, 100, 14062, No update data, 9g3qx20m5mkd
Bird, MEX, f216f991-9be2-4743-987b-7c1ac14f9352, 97, 13588, No update data, 9g3qx20kkgc7
Bird, MEX, 0bdc43b7-37db-4e7c-bcc3-fabad5644047, 49, 6346, No update data, 9g3qx207wjrr
