Bird, MEX, 27ba807e-71ba-4ede-b0a7-13f6e14e7c06, 72, 9638, No update data, 9g3qx230muhj
Bird, MEX, 72a414a0-8b65-4ea5-bdee-163e7010ce34, 91, 12640, No update data, 9g3qrryjqwrd
Bird, MEX, 9e2076dd-7e4a-4c88-b519-5b4d6b32bd96, 94, 13114, No update data, 9g3qx22yn1r3
Bird, MEX, f216f991-9be2-4743-987b-7c1ac14f9352, 82, 11218, No update data, 9g3qx23179cx
Bird, MEX, fab2725e-6ed9-4a78-9747-f58fc250f902, 78, 11189, No update data, 9g3qx22yjbsj
Bird, MEX, aecb2517-a087-407e-a8f5-4d17b824c384, 94, 13861, No update data, 9g3qx22yjrpw
Bird, MEX, 4a21459e-4651-4cb8-abac-ca0444649bb6, 76, 10270, No update data, 9g3qx230hvp8
Bird, MEX, 73746486-98eb-4052-ba41-d52b9ede2521, 62, 8058, No update data, 9g3qx230gj81
Bird, MEX, 7c163c5f-0b43-46be-a25d-8256872a99ca, 93, 13694, No update data, 9g3qx3p0pb6s
Bird, MEX, 031016b4-d140-43d1-b68d-dcdb3a7b11a0, 69, 9164, No update data, 9g3qx2zpzyx2
Bird, MEX, 304641d8-118f-4753-a91a-7187243d9247, 94, 13861, No update data, 9g3qx2zmq4cq
Bird, MEX, 593ffe56-8d8b-4e06-89da-7ed7015103f6, 99, 13904, No update data, 9g3qx3m7k3n6
Bird, MEX, 1d03b435-5234-4603-8eed-5e3f5c7a18d1, 94, 13861, No update data, 9g3qx2zs2m7v
Bird, MEX, ae1acd5e-47c5-44ab-b0f3-c5fbae204d43, 81, 11690, No update data, 9g3qx22vgd3w
Bird, MEX, ca264705-8a9b-461c-be40-6b979e038e06, 61, 7900, No update data, 9g3qx2zrdue6
Bird, MEX, 7beff964-6325-4b2b-8a5b-83dccdddfc36, 93, 13694, No update data, 9g3qx21kbugv
Bird, MEX, 11676849-fa45-46d7-b9c6-00b7af2a96f8, 92, 13527, No update data, 9g3qx2zt0ukj
Bird, MEX, 1ccedbad-8286-4690-8a8a-d7f0c651583e, 94, 13861, No update data, 9g3qx21kbnjm
Bird, MEX, f508e66d-1d30-4da5-8a2a-e5977729c4f3, 93, 13694, No update data, 9g3qx217fe04
Bird, MEX, dab09651-3f72-457f-a8eb-c6c7d2914af3, 60, 8183, No update data, 9g3qx22z8ht3
Bird, MEX, b653854b-733e-4c4c-8e76-3b570ba90c22, 74, 10521, No update data, 9g3qx3p2gjbk
Bird, MEX, c94ef371-15a1-4e5c-8aca-ff77c3951907, 93, 13694, No update data, 9g3qx216fwmp
Bird, MEX, 2cff7cc7-02e4-4d80-b93b-6a67bececbd6, 63, 8684, No update data, 9g3qx31tkhzf
Bird, MEX, f3462101-625e-4c6e-a9f0-cc7c01652f8e, 96, 14195, No update data, 9g3qx2zsqgmb
Bird, MEX, 50af0392-0199-42ed-8d07-16e9a66d4d8f, 55, 6952, No update data, 9g3qrrfh6wm4
Bird, MEX, f815c609-1181-499f-9c86-c1ebf4a7906e, 97, 10148, No update data, 9g3qx2zsy6u9
Bird, MEX, 5178e968-65a5-4deb-bb0e-021de508cfff, 100, 14062, No update data, 9g3qx2zx3f08
Bird, MEX, 6018a9ad-c989-4a26-b2ad-86e248705377, 98, 14529, No update data, 9g3qx2ztp0up
Bird, MEX, b7576de8-8d6e-4d24-89d4-43ccc20e86b6, 96, 10030, No update data, 9g3qx2zu8er4
Bird, MEX, f79fe92a-822e-48ad-bf8c-4c4953a8f041, 97, 14362, No update data, 9g3qx2zu8gk4
Bird, MEX, c38cacfe-4a39-42ea-9e93-936337144d0e, 85, 11692, No update data, 9g3qx3nzz454
Bird, MEX, f6cdd7bc-0a64-4ca4-a6b5-04a1120f65a8, 94, 13114, No update data, 9g3qrrsv4svp
Bird, MEX, 43522403-e4db-4674-ac78-34baba739275, 87, 12692, No update data, 9g3qrrf1qc0c
Bird, MEX, 2038178e-884b-4374-a472-add4acadc045, 78, 10586, No update data, 9g3qx3p9z2cj
Bird, MEX, a41d02d8-d8f4-4c4b-a68c-1e48c281b5f2, 75, 10112, No update data, 9g3qrrssrmrh
Bird, MEX, 4b3a5b9b-ef93-4100-b9e2-b8109457fb52, 60, 8183, No update data, 9g3qx2p9uu3d
Bird, MEX, f00a944f-dc26-4234-9937-174fa6b9d8d5, 90, 13193, No update data, 9g3qrrssrdk0
Bird, MEX, 8cba6cde-a83a-4e8a-a76e-ac875b990d63, 93, 13694, No update data, 9g3qx20wdw05
Bird, MEX, f045452a-a846-49ff-944d-c58a8394eac6, 92, 13527, No update data, 9g3qx20wdhsc
Bird, MEX, e4e1ce05-dc5f-4347-81a4-e5a546cae780, 93, 13694, No update data, 9g3qx20w3zbk
Bird, MEX, 3d5bb277-0baa-4567-8d7e-2f1e978d3b4c, 97, 14362, No update data, 9g3qx20wc1x0
Bird, MEX, f7ee63b0-66db-4e34-a9d9-00f1b38b1ef8, 97, 14362, No update data, 9g3qx20w9ndp
Bird, MEX, c692401e-ff10-44ff-a15b-7d1f2d4c041b, 49, 6004, No update data, 9g3qx8bn4c73
Bird, MEX, 7a555408-d8d3-42aa-a998-2d93c814bfd4, 58, 7426, No update data, 9g3qx8bjg6g9
Bird, MEX, cd467842-2ef6-4ce7-bc8e-d333b4562dad, 64, 8851, No update data, 9g3qx8bjgkes
Bird, MEX, 95e0440a-64aa-496d-9f01-f7f57d8daf4e, 93, 13694, No update data, 9g3qx20t6r9f
Bird, MEX, 4f99a791-3cc5-4368-93b7-41e9e95baea9, 93, 13694, No update data, 9g3qx8bn7p87
Bird, MEX, 97b402af-c478-4d6e-984f-c919d0d43eda, 94, 13861, No update data, 9g3qx8bpdbg7
Bird, MEX, a98926c5-2353-4efc-b82a-850014727dbb, 97, 14362, No update data, 9g3qx8bp7p23
Bird, MEX, 2303ab26-f440-49dc-a54b-902756fb142e, 85, 11692, No update data, 9g3qx20edxj1
Bird, MEX, 7c2d144c-de61-4c6e-92d4-8067f90eb914, 84, 12191, No update data, 9g3qx8bphyzu
Bird, MEX, 9e09f84e-8e8b-44fc-8f66-70f2af59dedd, 67, 8848, No update data, 9g3qx28p7d9e
Bird, MEX, 0bdc43b7-37db-4e7c-bcc3-fabad5644047, 29, 3006, No update data, 9g3qx20e1vn8
Bird, MEX, 4648b65d-a399-4a54-b06d-fedd051d440d, 96, 14195, No update data, 9g3qx20kr22v
Bird, MEX, 4fb452cf-95e7-40c1-a3eb-d0d2076ef381, 97, 14362, No update data, 9g3qx20kwhpr
