Bird, MEX, 270b23d5-cdf9-425e-adfc-9a4cb975fd06, 62, 8058, No update data, 9g3qx2fksur8
Bird, MEX, 1ba2076a-c5ee-4b15-8423-b3a3a18e9287, 55, 6952, No update data, 9g3qx2y3n0zx
Bird, MEX, c94ef371-15a1-4e5c-8aca-ff77c3951907, 100, 14863, No update data, 9g3qx26he0b4
Bird, MEX, 0e388a23-4e07-4292-a728-6a7fc8b4cb1e, 85, 12358, No update data, 9g3qx26hcyqx
Bird, MEX, a6b5d096-e9bc-4484-aaf7-f18638ee9d0d, 93, 12956, No update data, 9g3qx3hgx5k4
Bird, MEX, 39a959c4-225f-4f51-9388-3851f92703fd, 100, 14863, No update data, 9g3qx26hcs58
Bird, MEX, 571b2623-0401-497f-abf6-9a48840092f0, 100, 14062, No update data, 9g3qx26hcn6p
Bird, MEX, c8b73a33-06a6-4e4f-a205-917bcc5eb2e6, 15, 668, No update data, 9g3qx2y8bbs5
Bird, MEX, 4a5de99c-8d11-47f4-bec2-d3b9fecab8a0, 92, 13527, No update data, 9g3qx2y3x9kq
Bird, MEX, 54f0a39e-be90-477a-b9eb-687f73bf3039, 85, 11692, No update data, 9g3qx2624x80
Bird, MEX, 6d5c116a-e9b7-4be1-a585-6b6b63ee69a5, 82, 11218, No update data, 9g3qx2623y8k
Bird, MEX, 22d645d8-0daf-41c1-bf14-caf0adb0dab1, 80, 10902, No update data, 9g3qx2y89t5w
Bird, MEX, eb586e99-e2b2-43a8-b9e4-95a9fb994cf0, 93, 12956, No update data, 9g3qx34c6xm1
Bird, MEX, 97a848fb-7658-4f31-8b43-ad0ade2b5059, 93, 12956, No update data, 9g3qx34c0pt8
Bird, MEX, fa78f2a4-a61e-4f48-8c80-c145aa5655af, 93, 12956, No update data, 9g3qx349p5gc
Bird, MEX, af202aa8-1c52-4110-9424-604deaaa8996, 90, 12482, No update data, 9g3qx34c2s0w
Bird, MEX, f461804c-ca00-4c64-b597-4cfd5d478487, 92, 12798, No update data, 9g3qx34c2hmx
Bird, MEX, bee7ac4a-7767-432b-a51f-54d06243a19d, 100, 14062, No update data, 9g3qx2fry0cj
Bird, MEX, 7fefdb66-6840-4a63-82c8-d0e2ac5d7ac2, 99, 14696, No update data, 9g3qx2fre8ce
Bird, MEX, e4121c64-ea6c-48b7-ad9a-dcb53a7a798f, 100, 14062, No update data, 9g3qx2fre7ss
Bird, MEX, 7a7a5026-b63b-47f7-b579-9a9eb71d3eec, 92, 13527, No update data, 9g3qx2609r27
Bird, MEX, a9c5870c-d9b1-46e8-b250-f543a109c48d, 100, 14062, No update data, 9g3qx2frdfeq
Bird, MEX, 5c2c60fb-0604-4866-90ef-f977d73a7cca, 45, 5372, No update data, 9g3qx2frfdjj
Bird, MEX, ec93a8ad-2344-40f4-8e47-7a55efbe2166, 79, 10744, No update data, 9g3qx2q8tnhe
Bird, MEX, 8005ba09-2c01-4116-8492-59df98519338, 30, 3173, No update data, 9g3qx2yczjk0
Bird, MEX, 58d33584-a58d-4cc4-ac23-1e5d515df7d6, 33, 3674, No update data, 9g3qx2yuebuf
Bird, MEX, d8a14599-6bfe-4b25-b186-a541cf79debb, 73, 10354, No update data, 9g3qx2z42rgv
Bird, MEX, 4655d752-04a9-4028-962c-0beb1f5455f6, 100, 14062, No update data, 9g3qx23e0cgv
Bird, MEX, 43044bfc-ceb6-4ce0-8b0f-bfa82a1e9f23, 94, 13114, No update data, 9g3qx21z04jx
Bird, MEX, c893effe-00ee-4387-8b1e-6a70390f84db, 100, 14062, No update data, 9g3qx239cvq8
Bird, MEX, b3c0b887-3039-41af-90d0-4625064ae431, 99, 13904, No update data, 9g3qx23d0tyy
Bird, MEX, eb0a9af9-09bb-4a85-9b1f-37d0512f7ceb, 97, 13588, No update data, 9g3qx23d237e
Bird, MEX, 277c32ea-cf96-4c35-a814-7cbd4dbc0c25, 94, 13114, No update data, 9g3qx21ww531
Bird, MEX, 92c1b484-7e6b-458a-838c-070795ec1426, 53, 6636, No update data, 9g3qx2yz5h2m
Bird, MEX, 5e8caee7-0184-406a-8439-a6ac0b774723, 100, 14062, No update data, 9g3qx291z7xn
Bird, MEX, 8c3bbb45-954b-4824-be25-c5bec69281c7, 100, 14062, No update data, 9g3qx294p72z
Bird, MEX, a4e52bd5-f951-4d0d-8593-149ba6bd4d2c, 72, 10187, No update data, 9g3qx3n9kvpg
Bird, MEX, b059d456-c51b-423e-8d52-e20184ede2a6, 99, 13904, No update data, 9g3qx294jgu1
Bird, MEX, efce24d4-e54f-4cec-8aea-6a9d41cb020c, 96, 13430, No update data, 9g3qx2yzskyk
Bird, MEX, de4f9bf6-4611-4fa5-9948-ec6a9e042f32, 97, 13588, No update data, 9g3qx2z5vg55
Bird, MEX, 8531c2a7-ace9-4174-a5fe-d0177c1e0304, 98, 13746, No update data, 9g3qx2yzpmzr
Bird, MEX, 94235d68-ce38-4f45-b8d8-544f4a1285f3, 92, 13527, No update data, 9g3qx3nbsr8j
Bird, MEX, 4568dccb-1d47-46a5-b355-738704fd1ab0, 87, 12008, No update data, 9g3qx21rendw
Bird, MEX, 9576e053-4a88-4170-9005-5cc00cd21a4d, 66, 9185, No update data, 9g3qx2r37kg9
Bird, MEX, 7eb9f5b2-d82b-4eac-8620-fb60dc01546d, 98, 14529, No update data, 9g3qx28fr6zj
Bird, MEX, 4c739442-f5c6-42d2-b146-ffef2a38a91f, 96, 13430, No update data, 9g3qx21mt34u
Bird, MEX, f9986136-ce6b-4970-bc6c-b25979a8dcf5, 100, 14062, No update data, 9g3qx28fyp3j
Bird, MEX, d48617dd-3f87-422b-bf8f-d278a96888aa, 91, 12640, No update data, 9g3qx234h1rc
Bird, MEX, afd83cfb-b402-4464-ac5a-a442532379b7, 97, 13588, No update data, 9g3qx21mmm6u
Bird, MEX, 66fb0ca9-d980-4b02-8fa0-66d9ae0031fb, 97, 13588, No update data, 9g3qx21mmk4v
Bird, MEX, 5726f868-b3c8-409a-b211-64bc3610326e, 100, 14062, No update data, 9g3qx231gt9d
Bird, MEX, 30a9bd45-450f-4339-934e-e907cd7e21ef, 100, 14062, No update data, 9g3qx28gkbps
Bird, MEX, bdf73438-8d47-40fc-bf01-1bff6bb08fe7, 91, 13360, No update data, 9g3qx21m7t3s
Bird, MEX, 4048c69a-9e8b-4883-8910-f3a23b6da33e, 96, 13430, No update data, 9g3qx3kk79pf
Bird, MEX, d6bce810-1c38-4ac9-8186-d9bf55267da7, 74, 9954, No update data, 9g3qx2zr9j4q
Bird, MEX, bf956252-d541-4d7d-a779-dcb1d9327ce8, 97, 13588, No update data, 9g3qx2zrbrgb
Bird, MEX, 85b5ec15-83dd-4362-905a-9b4396583619, 96, 13430, No update data, 9g3qx3p1jmdv
Bird, MEX, ee2d53b5-f1e6-4b04-b739-0bb8e1969b13, 46, 5530, No update data, 9g3qx3p220v8
Bird, MEX, 6d3395d6-2232-43c5-8b20-5acdee080a74, 48, 5846, No update data, 9g3qx3p0z0uj
Bird, MEX, d758962f-e3fd-46f0-9300-f1dcbcb5fcbd, 81, 11060, No update data, 9g3qx3p0xss6
Bird, MEX, 8d8428e9-90d6-42cd-b265-826edfd1a094, 92, 13527, No update data, 9g3qx2zmwcmy
Bird, MEX, a0e05e53-6cea-432c-904f-bbba3b8dd971, 48, 5846, No update data, 9g3qx3p1ne4t
Bird, MEX, f63c3a17-2c22-4183-a7a7-ca571f3cb2c8, 79, 10744, No update data, 9g3qx2zmyd4t
