Bird, MEX, 3a78c7ca-866c-48a3-887b-4c3387f8ade5, 100, 14863, No update data, 9g3qx3mecj61
Bird, MEX, 36050e49-f3ee-4d7b-be00-b3a166f10c05, 98, 13746, No update data, 9g3qx3ms407u
Bird, MEX, 161d182e-4a5d-4ae5-9ccb-995ade31df52, 60, 8183, No update data, 9g3qx214yjz7
Bird, MEX, ba2923c3-70aa-4283-8276-3f959b3cd5fb, 43, 5056, No update data, 9g3qx8802dx5
Bird, MEX, 1902bc0a-56b1-4f9a-b39b-722aae18ea6f, 74, 9954, No update data, 9g3qx2rvxtu3
Bird, MEX, e3eec4f4-06fd-42cc-b66f-b42df111b37a, 85, 12358, No update data, 9g3qx3qb7fkf
Bird, MEX, 2de8f3ce-a790-4bfe-a982-2bc26aebbe75, 47, 6012, No update data, 9g3qx2zvs5gn
Bird, MEX, db5480b9-46aa-4643-82a6-6e447d94f034, 74, 10521, No update data, 9g3qx2zuyqhw
Bird, MEX, 2860b2ce-d3f1-441a-a6d7-458f8b011f37, 55, 7348, No update data, 9g3qx22r9egq
Bird, MEX, 3b326966-7c91-4e8c-a3c4-178afb60f57f, 85, 12358, No update data, 9g3qrrssprrp
Bird, MEX, 246a530d-afad-40d1-8123-b2c7d51cd8d3, 20, 1503, No update data, 9g3qx3pmvtq0
Bird, MEX, 9a5df020-06ef-4432-b4af-ee6eae97dc65, 61, 8350, No update data, 9g3qrrsupu6k
Bird, MEX, 060a1109-f628-480e-a892-7364510575d8, 89, 13026, No update data, 9g3qx20qxq8z
Bird, MEX, 9da4017b-2db7-4c51-9f9e-4f8d16c3b10a, 22, 1837, No update data, 9g3qrrzk91xp
Bird, MEX, 92768922-a6d6-4b1b-9cee-97eabf658834, 81, 11060, No update data, 9g3qrrt5sfre
Bird, MEX, 048bd9dc-ee05-4385-9371-5148ac746a4f, 63, 8684, No update data, 9g3qx20qjtjb
Bird, MEX, 15888cee-feb1-4d23-877c-ba2ad07f9453, 89, 13026, No update data, 9g3qx20qkz96
Bird, MEX, 4b226b8c-e3d4-41d1-aa03-55e681d91cd3, 69, 9686, No update data, 9g3qx280d63u
Bird, MEX, b312c637-36e3-4eb8-b9aa-31ce85e701e5, 54, 7181, No update data, 9g3qrrdsyddx
Bird, MEX, ae2ce957-6794-45a2-bbc6-748cebef0186, 63, 8684, No update data, 9g3qx20b3165
Bird, MEX, 24899234-9dc6-4d23-99d5-99b624eddeb3, 75, 10688, No update data, 9g3qx822sk81
Bird, MEX, 6bc7ded6-a8dd-4804-922f-2e42816a91a9, 40, 4843, No update data, 9g3qrrz77hqw
Bird, MEX, b750c547-c82f-4fae-a013-50b253171aa6, 84, 12191, No update data, 9g3qx822hf1x
Bird, MEX, f5796f0a-3309-4226-b3c1-c21235720d90, 88, 12859, No update data, 9g3qx20mby7z
Bird, MEX, 0fdab81d-fa7b-47b4-bb49-702ac793dfcb, 57, 7268, No update data, 9g3qx0xbw2hq
Bird, MEX, 32fccdc0-1a92-44b0-b9ea-8ad6f4a0f2cc, 87, 12692, No update data, 9g3qx20jrwsh
Bird, MEX, 11fc6572-9393-42a0-92c7-4f99f9c7e1df, 88, 12859, No update data, 9g3qx208cu23
Bird, MEX, f002cc82-c048-4779-94f7-58ace08434c8, 99, 14696, No update data, 9g3qx20jrr2b
Bird, MEX, 6d77df3c-6b74-4594-9a28-fcb65c3b72da, 96, 13430, No update data, 9g3qx20jy8fs
Bird, MEX, d83dd7fe-3e00-4fa8-aaf1-7935affe6190, 87, 12692, No update data, 9g3qx20jw94s
Bird, MEX, 6462565e-916e-4f0e-9b4a-4dc4fe3835ac, 39, 4676, No update data, 9g3qx3d2dem5
Bird, MEX, 13673970-2381-46dd-8a2d-5172f7a26d8b, 75, 10688, No update data, 9g3qrre93qtk
Bird, MEX, 35c53774-0515-4367-a3d9-f70b406ad050, 91, 13360, No update data, 9g3qrrwwr9ur
Bird, MEX, e7708e59-dcf0-4fca-a82d-e329404ff3d8, 89, 13026, No update data, 9g3qx203nb2e
Bird, MEX, d21e148b-e7af-4c79-aa85-4f04a8224570, 89, 12324, No update data, 9g3qx902g77t
Bird, MEX, 52bc7059-d61c-4869-891c-fc1d1dcc0871, 81, 11690, No update data, 9g3qx20hy4c0
Bird, MEX, f617d67b-42ce-489c-96cd-e6b9e89abd4d, 74, 10521, No update data, 9g3qx88u2ez5
Bird, MEX, 8f75bc15-3c7b-41e8-bef9-41016caef15e, 70, 9322, No update data, 9g3qx3rhggsz
Bird, MEX, 6b6e5802-5c48-4fc5-bd29-4a54741206a9, 88, 12859, No update data, 9g3qx20hvbk0
Bird, MEX, f277bae7-9251-4364-a33b-af8487898e26, 96, 13430, No update data, 9g3qrrwy077y
Bird, MEX, c99f496a-254e-4940-8951-e0b58fd65a98, 91, 13360, No update data, 9g3qrrwy027f
Bird, MEX, ad80598c-a5ac-46c2-8e3b-5e6684fb7b37, 85, 11692, No update data, 9g3qrr9vbz7v
Bird, MEX, fe6a4a75-799d-405f-b205-19e2cc7d2458, 97, 14362, No update data, 9g3qx3e5yvtg
Bird, MEX, 473d4d6d-36fe-4d58-8beb-6e17adfd86cd, 98, 14529, No update data, 9g3qx3e5yt69
Bird, MEX, 9a9a12b3-0b29-4799-a9ba-d2da30068b6b, 99, 14696, No update data, 9g3qx3e5yxz8
Bird, MEX, a41aa352-87ac-4511-bae9-43a4b438e7a9, 88, 12859, No update data, 9g3qx20j9byd
Bird, MEX, fe2d2b3d-2645-48f7-b0c8-1b757475b26e, 97, 13588, No update data, 9g3qx3ehpvfr
Bird, MEX, 942fb917-5ad1-4c52-a4e1-694c7bcac195, 84, 11534, No update data, 9g3qrre1h9s6
Bird, MEX, eba31f36-07a3-4ec8-a5dd-be1cd6ac7cc1, 44, 5214, No update data, 9g3qrre0wzvy
Bird, MEX, 084cb774-e6b5-4cd4-8869-1053d4ceeaf8, 74, 10521, No update data, 9g3qx3tsk6n3
Bird, MEX, 540fb42a-eaca-4543-84c0-05463230cbd8, 73, 9796, No update data, 9g3qrrw4q03m
Bird, MEX, 5a9928c8-c851-44dc-8758-99fa114a49a1, 61, 7900, No update data, 9g3qrrbr9441
Bird, MEX, 70c09a11-6d2e-41b9-997e-508e24375b41, 49, 6004, No update data, 9g3qx0zd5t3e
