Bird, MEX, 037700af-0d83-46b9-9d7d-0f5e47ddbc83, 38, 4509, No update data, 9g3qx13eeexs
Bird, MEX, 5fe4aec1-e410-41ee-bae2-221d9c240332, 53, 7014, No update data, 9g3qwbzsvttd
Bird, MEX, 93c3ece3-907c-44b1-8d1c-55fc05e173cd, 46, 5530, No update data, 9g3qx1f60d22
Bird, MEX, bb493903-6fd8-4bce-bb70-f490b3a0668f, 36, 4175, No update data, 9g3qwbpvv3d2
Bird, MEX, 8b903ad6-3b48-4bc7-8040-6f76675bb509, 52, 6478, No update data, 9g3qwcqg3bc2
Bird, MEX, 6f9e9bca-4f4e-4617-8239-8a73891e29cd, 54, 7181, No update data, 9g3qx1b2f6py
Bird, MEX, 6bcc2cff-20d8-45be-a815-6492e5d03869, 47, 6012, No update data, 9g3qwczfe2s6
Bird, MEX, 54ae78f1-5107-4b62-8427-4b2c5209a4ce, 79, 10744, No update data, 9g3qwbvhu3jz
Bird, MEX, f58dc14b-6394-4c3c-ac5d-f925d204214c, 80, 10902, No update data, 9g3qwcvevmfv
Bird, MEX, a02796be-d1a5-4b6e-9c5e-7b05425ad246, 73, 10354, No update data, 9g3qwcve2j0h
Bird, MEX, a388fece-a688-4d07-8910-a7c83062f0df, 100, 14062, No update data, 9g3qwfnsmntq
Bird, MEX, 86d1e401-ee3e-4cad-b4a1-0739ff8c0fe0, 94, 13114, No update data, 9g3qwfnsscpq
Bird, MEX, c6863e28-73da-4f9f-9b76-50bdc3b2802a, 48, 5846, No update data, 9g3qwfppwhzj
Bird, MEX, 802f984b-4233-4bd6-b4fc-81274e545914, 91, 13360, No update data, 9g3qwfnp3pxu
Bird, MEX, 22890fb8-8b3d-461b-8450-d5935a501d79, 49, 6346, No update data, 9g3qwcsntpmk
Bird, MEX, 9d051e68-8e48-4474-aab9-f9f83a3fcb75, 69, 9686, No update data, 9g3qwbgm901x
Bird, MEX, 1ccfebfb-20ac-47f7-ac0c-20ebc6902784, 43, 5056, No update data, 9g3qwcu0qvjk
Bird, MEX, bd1062cf-27a8-487f-947a-d21778e9001e, 39, 4676, No update data, 9g3qwce8n6t4
Bird, MEX, 3aeca54a-b97f-46c9-82d7-14b455ee6919, 100, 14863, No update data, 9g3qwcu0hzz5
Bird, MEX, e4eb7e50-5708-4cdc-82ce-e7bdd833a8ba, 63, 8684, No update data, 9g3qwc7t2fss
Bird, MEX, bd387d2b-1cac-4dfb-95ac-1f93b989d1f8, 72, 9638, No update data, 9g3qwcu1qvmq
Bird, MEX, 2e425cc5-f904-4182-8886-5ae4638a8d25, 44, 5214, No update data, 9g3qwfx2jbez
Bird, MEX, 607c257d-bc30-45e3-bd09-93aec8103842, 99, 14696, No update data, 9g3qwcu0kp6d
Bird, MEX, a9a88d14-c827-4ce8-b5f4-29c798ea8e69, 22, 1837, No update data, 9g3qwcu031pg
Bird, MEX, 28ce9c90-27e2-4882-b34f-6b23133d4bba, 40, 4582, No update data, 9g3qwcezkp6d
Bird, MEX, 811445ce-958d-4282-bf8b-a1b0108e959f, 93, 13694, No update data, 9g3qwcezeyv8
Bird, MEX, 742e4072-cedc-40a4-918b-53639a3ab57b, 78, 11189, No update data, 9g3qwfjrwrj5
