Lime, ATL, WQP, high, 13277, 2019-08-12T22:45:12.000Z, dn5br47zzgmc
Bird, MEX, 2060f23d-dd30-4fad-9df9-51ae4afef0d6, 84, 12191, No update data, 9g3qx2yv0bh4
Bird, MEX, 2a5325db-3946-4d15-ac61-26abefd8c45e, 49, 6346, No update data, 9g3qx2yu5hwx
Bird, MEX, c8042a6b-5832-412d-a797-ea6375a3937f, 64, 8851, No update data, 9g3qx23e51bj
Bird, MEX, cfd29ecf-3251-4c2d-9fd9-e5d47d75f075, 70, 9322, No update data, 9g3qx23d7mhe
Bird, MEX, 52eae0a5-4b44-46ce-abc0-a630dbb9ecce, 49, 6346, No update data, 9g3qx2qcmtwn
Bird, MEX, 1be1df4a-da00-4da9-b129-a01fadab33e0, 88, 12859, No update data, 9g3qx2yv4s2j
Bird, MEX, 141481f8-d192-4ac9-adb3-e218dc7855d8, 79, 10744, No update data, 9g3qx2ygp2rk
Bird, MEX, 7c0181d9-d157-4ceb-aea4-1e7064cc426e, 82, 11857, No update data, 9g3qx2yy0gkp
Bird, MEX, f63c3a17-2c22-4183-a7a7-ca571f3cb2c8, 66, 8690, No update data, 9g3qx2z50e2z
Bird, MEX, 96c1323b-ce0d-44c7-9a44-6666db871a98, 78, 10586, No update data, 9g3qrrvmdd25
Bird, MEX, 24ad8133-a7fa-4cf0-8e41-66fac3d9959f, 93, 12956, No update data, 9g3qx21xqv0g
Bird, MEX, 4caf17b2-5dfe-4e34-8ecc-03927add5088, 90, 13193, No update data, 9g3qx2yupm11
Bird, MEX, fab2725e-6ed9-4a78-9747-f58fc250f902, 73, 10354, No update data, 9g3qx23r4cgj
Bird, MEX, d0823345-b8c6-476b-b399-8d00c4f8d406, 81, 11060, No update data, 9g3qx2z5387w
Bird, MEX, 1ba2076a-c5ee-4b15-8423-b3a3a18e9287, 98, 13746, No update data, 9g3qx2393de7
Bird, MEX, 6f8130ff-0110-410a-a838-ad21ad88e88a, 94, 13114, No update data, 9g3qx21wxj7z
Bird, MEX, 7a244aa2-c9d2-4e3d-9807-2434242c2bb6, 46, 5530, No update data, 9g3qx2xm385s
Bird, MEX, 8503c02f-45fd-4e79-8484-13c2a81e0f8c, 82, 11218, No update data, 9g3qx2z570b2
Bird, MEX, 2e1ac500-e4b8-470c-9065-1f152038be2c, 81, 11060, No update data, 9g3qx2z56u7r
Bird, MEX, bc03ac2e-02f6-4459-ae14-cd8f0f24e3de, 40, 4582, No update data, 9g3qx2ct4ejj
Bird, MEX, 5470d1c2-9e87-4469-800a-d2b3dc5abddf, 69, 9686, No update data, 9g3qx2z57e3b
Bird, MEX, b059d456-c51b-423e-8d52-e20184ede2a6, 84, 11534, No update data, 9g3qx23q2hv3
Bird, MEX, b3c0b887-3039-41af-90d0-4625064ae431, 84, 11534, No update data, 9g3qx233ntds
Bird, MEX, 3920bda7-b0f7-4ee7-ad10-1b8c92d03dea, 74, 10521, No update data, 9g3qx233mzs4
Bird, MEX, c893effe-00ee-4387-8b1e-6a70390f84db, 87, 12008, No update data, 9g3qx232yuby
Bird, MEX, 7181da95-aada-4f09-abc7-b0a9b22f0195, 91, 13360, No update data, 9g3qx233t1kw
Bird, MEX, ceb26f54-09ec-44b4-b928-476cf5a82926, 93, 12956, No update data, 9g3qx21x1p4n
Bird, MEX, eb0a9af9-09bb-4a85-9b1f-37d0512f7ceb, 83, 11376, No update data, 9g3qx2366wvn
Bird, MEX, 4655d752-04a9-4028-962c-0beb1f5455f6, 87, 12008, No update data, 9g3qx233k3q5
Bird, MEX, 9e2076dd-7e4a-4c88-b519-5b4d6b32bd96, 92, 12798, No update data, 9g3qx23njvun
Bird, MEX, b2e3c829-5ace-41a0-a656-23f18e4fb866, 79, 11356, No update data, 9g3qx2z65jyw
Bird, MEX, 343b86cf-a61f-47db-b949-f5b789405418, 84, 12191, No update data, 9g3qx23n7s1t
Bird, MEX, 847e0733-5631-469d-a432-1495ff3996af, 91, 12640, No update data, 9g3qx21rm26v
Bird, MEX, aecb2517-a087-407e-a8f5-4d17b824c384, 90, 13193, No update data, 9g3qx23n4s8n
Bird, MEX, d80dd3a9-e8bc-4c1e-ab47-0b0ab0006477, 40, 4582, No update data, 9g3qx3nq187s
Bird, MEX, 304641d8-118f-4753-a91a-7187243d9247, 91, 13360, No update data, 9g3qx2znuk00
Bird, MEX, 982395b4-395e-4375-a321-4c510a3a2944, 80, 10902, No update data, 9g3qx2918q5e
Bird, MEX, 256bc330-0080-4f09-a607-3a84f44f99bf, 87, 12008, No update data, 9g3qx28fr22y
Bird, MEX, 83220a33-fefd-4340-b5ab-2b7478bcb44d, 89, 13026, No update data, 9g3qx231nn30
Bird, MEX, afd83cfb-b402-4464-ac5a-a442532379b7, 84, 11534, No update data, 9g3qx21mt6zz
Bird, MEX, 39a959c4-225f-4f51-9388-3851f92703fd, 92, 13527, No update data, 9g3qx21mmfs5
Bird, MEX, f216f991-9be2-4743-987b-7c1ac14f9352, 80, 10902, No update data, 9g3qx21r8jmr
Bird, MEX, 2deda658-907a-4f15-ac75-31743fe2f233, 91, 13360, No update data, 9g3qx21mu1xb
Bird, MEX, 62d22fd8-7a6b-4028-b99c-f79ab4379a91, 56, 7515, No update data, 9g3qx235cq2r
Bird, MEX, 5b07c2c0-a805-445d-b168-01ac8898e484, 90, 13193, No update data, 9g3qx231hbre
Bird, MEX, 02006705-1f0f-45ac-a77b-0e0d538e4b93, 92, 12798, No update data, 9g3qx28fuv96
Bird, MEX, 11676849-fa45-46d7-b9c6-00b7af2a96f8, 89, 13026, No update data, 9g3qx2zm7g20
Bird, MEX, 8c3bbb45-954b-4824-be25-c5bec69281c7, 85, 11692, No update data, 9g3qx28csf3k
Bird, MEX, 9faddf4c-a5cd-47d4-9766-7ed40affa7c3, 93, 13694, No update data, 9g3qx230uprv
Bird, MEX, 66fb0ca9-d980-4b02-8fa0-66d9ae0031fb, 84, 11534, No update data, 9g3qx21m7t1d
Bird, MEX, 82dcd49c-65e1-4665-9b35-302cd6e6627b, 71, 10020, No update data, 9g3qx230gfub
Bird, MEX, d35a9576-a35c-4a51-8b1b-caa587f5263e, 91, 13360, No update data, 9g3qx230sn55
Bird, MEX, 44bc8cfd-6369-4677-89a0-584144e5541c, 85, 11692, No update data, 9g3qx3nr5e30
Bird, MEX, 4a21459e-4651-4cb8-abac-ca0444649bb6, 74, 9954, No update data, 9g3qx230shg5
Bird, MEX, 5e7dd5f9-a8ac-4ce4-b82c-6c643967fc1e, 61, 8350, No update data, 9g3qx2341rv6
Bird, MEX, a688f574-3cc8-4a1c-b2d2-a0dd24f18974, 84, 11534, No update data, 9g3qx3nu85vw
Bird, MEX, 72a414a0-8b65-4ea5-bdee-163e7010ce34, 89, 12324, No update data, 9g3qrryhwh1r
Bird, MEX, 73746486-98eb-4052-ba41-d52b9ede2521, 60, 7742, No update data, 9g3qx230dk1z
Bird, MEX, 1cfeb5da-f808-48fd-a090-adf05270c377, 93, 13694, No update data, 9g3qx2305j8h
Bird, MEX, 8aa45d2f-96a2-4917-8df2-b425bdb113dd, 92, 13527, No update data, 9g3qx2318e8e
Bird, MEX, 27ba807e-71ba-4ede-b0a7-13f6e14e7c06, 70, 9322, No update data, 9g3qx230c8gk
Bird, MEX, dab09651-3f72-457f-a8eb-c6c7d2914af3, 55, 7348, No update data, 9g3qx28bc2m1
Bird, MEX, e65bd957-cef3-42fb-a6f8-d30953fd8793, 99, 13904, No update data, 9g3qx3m7rvz2
Bird, MEX, f9986136-ce6b-4970-bc6c-b25979a8dcf5, 85, 11692, No update data, 9g3qx28f2d29
Bird, MEX, 208fcbe3-a0f6-409e-9353-79f129875513, 97, 14362, No update data, 9g3qx3m7xc4m
Bird, MEX, 1d03b435-5234-4603-8eed-5e3f5c7a18d1, 91, 13360, No update data, 9g3qx2xu3vwz
Bird, MEX, da7dfdac-193a-4418-9773-a104a7da7491, 80, 11523, No update data, 9g3qrrywv2fu
Bird, MEX, 66dbe6e8-6ed7-46d9-a4b8-1a8f853c57ad, 92, 13527, No update data, 9g3qx22cp6z5
Bird, MEX, 8e795b2b-05cb-41d7-8077-176ae8687cbd, 90, 13193, No update data, 9g3qx22ufw0n
Bird, MEX, 0736a316-961b-48ca-a983-aab12362a9d5, 88, 12166, No update data, 9g3qx2xz2uhj
Bird, MEX, dca09cef-cf34-4fb2-b996-d842b8e83b8e, 89, 13026, No update data, 9g3qx2300f5z
Bird, MEX, 199e04b5-12c2-4a2d-a4f3-a12c3befeb25, 98, 13746, No update data, 9g3qx3mkj3rf
Bird, MEX, 42865ed9-bfba-4880-88a7-4bf1e0c3ba9f, 96, 14195, No update data, 9g3qx3mebdbc
Bird, MEX, b653854b-733e-4c4c-8e76-3b570ba90c22, 65, 9018, No update data, 9g3qx3p2sqnk
Bird, MEX, f815c609-1181-499f-9c86-c1ebf4a7906e, 93, 9676, No update data, 9g3qx2zeyx4s
Bird, MEX, 6018a9ad-c989-4a26-b2ad-86e248705377, 93, 13694, No update data, 9g3qx2zsw3hs
Bird, MEX, 21ceb6f6-bca8-4845-9546-4205cbb922d9, 94, 13861, No update data, 9g3qx2zu01m9
Bird, MEX, f3462101-625e-4c6e-a9f0-cc7c01652f8e, 92, 13527, No update data, 9g3qx2zsxkch
Bird, MEX, b7576de8-8d6e-4d24-89d4-43ccc20e86b6, 92, 9558, No update data, 9g3qx2zsxqpk
Bird, MEX, 1ccedbad-8286-4690-8a8a-d7f0c651583e, 91, 13360, No update data, 9g3qx215mqzw
Bird, MEX, ca264705-8a9b-461c-be40-6b979e038e06, 60, 7742, No update data, 9g3qx3p3q1xw
