Bird, MEX, 6ac284f6-46a4-436c-ac42-68ee645278bd, 45, 5372, No update data, 9g3qx2z77nbr
Bird, MEX, 799b81c5-1bcf-474c-8856-a4c08b28d6a4, 34, 3841, No update data, 9g3qx2ck0z5y
Bird, MEX, 35f9cf14-cdb8-4a9f-a3dd-4d064cc4a4f9, 91, 12640, No update data, 9g3qx21mx3z0
Bird, MEX, 8687f5b9-f008-49ea-96d9-2c85cfc3b123, 65, 9018, No update data, 9g3qx2xd7mex
Bird, MEX, 4d7d8717-6adf-46d2-b21a-dc2221b77ec2, 64, 8851, No update data, 9g3qx2z7u3nr
Bird, MEX, 62c8bbf3-a8c8-4cf1-89d8-c9ac9bceefd7, 60, 8183, No update data, 9g3qx3nqh6y7
Bird, MEX, a9308dfa-1e4d-4b19-a6b9-e708f49e0654, 85, 11692, No update data, 9g3qx21mnnr2
Bird, MEX, f30ce33f-34d7-45d4-8b40-7192d6ae569d, 51, 6680, No update data, 9g3qrrfq2d29
Bird, MEX, ca1f835a-93b4-4075-a803-5b1c3d935b15, 92, 12798, No update data, 9g3qx21mjvun
Bird, MEX, 72a414a0-8b65-4ea5-bdee-163e7010ce34, 75, 10112, No update data, 9g3qrryjwxp8
Bird, MEX, 61018724-9135-4d5a-950d-983225954bf5, 69, 9686, No update data, 9g3qx2z7tggn
Bird, MEX, 020ae21a-5192-412c-a151-8ed7d2c74b66, 70, 9853, No update data, 9g3qx3k7ymk3
Bird, MEX, de559a16-112f-4af7-bb22-659ba6c581ba, 69, 9686, No update data, 9g3qx2r2km2j
Bird, MEX, 4a6b8c91-3f88-4711-b0b8-9090f4415701, 91, 12640, No update data, 9g3qx21mj6xb
Bird, MEX, 90124454-41c3-4255-ac81-57eaf83e9575, 73, 10354, No update data, 9g3qx21pqyvw
Bird, MEX, cad27dc1-f7c6-4ecd-9509-e741272581fd, 90, 12482, No update data, 9g3qx21kusum
Bird, MEX, dc8dba17-4285-46c5-8c88-cd9cbe3bbe33, 88, 12859, No update data, 9g3qx230j24c
Bird, MEX, 12097490-68fa-430f-b85a-149b9ee69074, 90, 12482, No update data, 9g3qx2z7zqpq
Bird, MEX, 82dcd49c-65e1-4665-9b35-302cd6e6627b, 57, 7682, No update data, 9g3qx2314bgp
Bird, MEX, 57e32f39-36b0-44be-ad84-a7829ed6bd7a, 90, 12482, No update data, 9g3qx2zkrm15
Bird, MEX, ad296b06-3371-48ac-a6ce-f772c7fbf666, 53, 7014, No update data, 9g3qx230fce0
Bird, MEX, 03e18611-207f-4ffe-813a-dbe461066000, 46, 5845, No update data, 9g3qx218zmpp
Bird, MEX, 57793154-e04c-4102-8567-bcef79f67448, 21, 1670, No update data, 9g3qx31yp7bc
Bird, MEX, 19febfba-3469-48dd-a75f-f1fb64ec34b9, 89, 13026, No update data, 9g3qx3m7msy4
Bird, MEX, 89a69735-9fae-4862-9f79-41521a94a0ae, 92, 13527, No update data, 9g3qx3m7mvkq
