Bird, MEX, 256bc330-0080-4f09-a607-3a84f44f99bf, 87, 12008, No update data, 9g3qx291075t
Bird, MEX, 8c3bbb45-954b-4824-be25-c5bec69281c7, 85, 11692, No update data, 9g3qx2918nmm
Bird, MEX, b059d456-c51b-423e-8d52-e20184ede2a6, 85, 11692, No update data, 9g3qx291bj28
Bird, MEX, 83220a33-fefd-4340-b5ab-2b7478bcb44d, 90, 13193, No update data, 9g3qx232b58w
Bird, MEX, 72a414a0-8b65-4ea5-bdee-163e7010ce34, 89, 12324, No update data, 9g3qrryjyvjz
Bird, MEX, f216f991-9be2-4743-987b-7c1ac14f9352, 81, 11060, No update data, 9g3qx230nyvs
Bird, MEX, 02006705-1f0f-45ac-a77b-0e0d538e4b93, 93, 12956, No update data, 9g3qx28fmk4v
Bird, MEX, 1cfeb5da-f808-48fd-a090-adf05270c377, 94, 13861, No update data, 9g3qx230tcu0
Bird, MEX, 5470d1c2-9e87-4469-800a-d2b3dc5abddf, 70, 9853, No update data, 9g3qx2zq1vnc
Bird, MEX, 62d22fd8-7a6b-4028-b99c-f79ab4379a91, 57, 7682, No update data, 9g3qx22vp70v
Bird, MEX, 66dbe6e8-6ed7-46d9-a4b8-1a8f853c57ad, 93, 13694, No update data, 9g3qx230mevg
Bird, MEX, 031016b4-d140-43d1-b68d-dcdb3a7b11a0, 67, 8848, No update data, 9g3qx2zq3fyy
Bird, MEX, 66fb0ca9-d980-4b02-8fa0-66d9ae0031fb, 85, 11692, No update data, 9g3qx21m7csv
Bird, MEX, 4a21459e-4651-4cb8-abac-ca0444649bb6, 74, 9954, No update data, 9g3qx230snrv
Bird, MEX, 27ba807e-71ba-4ede-b0a7-13f6e14e7c06, 71, 9480, No update data, 9g3qx2315d1x
Bird, MEX, 982395b4-395e-4375-a321-4c510a3a2944, 81, 11060, No update data, 9g3qx28fgchz
Bird, MEX, dca09cef-cf34-4fb2-b996-d842b8e83b8e, 90, 13193, No update data, 9g3qx230sp75
Bird, MEX, 39a959c4-225f-4f51-9388-3851f92703fd, 92, 13527, No update data, 9g3qx21md9v0
Bird, MEX, 44bc8cfd-6369-4677-89a0-584144e5541c, 85, 11692, No update data, 9g3qx3nr5e30
Bird, MEX, 11676849-fa45-46d7-b9c6-00b7af2a96f8, 90, 13193, No update data, 9g3qx2zqcted
Bird, MEX, 0736a316-961b-48ca-a983-aab12362a9d5, 88, 12166, No update data, 9g3qx2zmu57j
Bird, MEX, b653854b-733e-4c4c-8e76-3b570ba90c22, 66, 9185, No update data, 9g3qx2zmjben
Bird, MEX, ca264705-8a9b-461c-be40-6b979e038e06, 60, 7742, No update data, 9g3qx2zr3466
Bird, MEX, 2deda658-907a-4f15-ac75-31743fe2f233, 92, 13527, No update data, 9g3qx21m51q3
Bird, MEX, f9986136-ce6b-4970-bc6c-b25979a8dcf5, 85, 11692, No update data, 9g3qx28g7hqr
Bird, MEX, 82dcd49c-65e1-4665-9b35-302cd6e6627b, 71, 10020, No update data, 9g3qx2307wrf
Bird, MEX, 73746486-98eb-4052-ba41-d52b9ede2521, 61, 7900, No update data, 9g3qx230fvg5
Bird, MEX, 8e795b2b-05cb-41d7-8077-176ae8687cbd, 90, 13193, No update data, 9g3qx22vuv32
Bird, MEX, 7c163c5f-0b43-46be-a25d-8256872a99ca, 91, 13360, No update data, 9g3qx2zr1gnv
Bird, MEX, 5178e968-65a5-4deb-bb0e-021de508cfff, 100, 14062, No update data, 9g3qx2zqh72p
Bird, MEX, dab09651-3f72-457f-a8eb-c6c7d2914af3, 56, 7515, No update data, 9g3qx28bghbn
Bird, MEX, afd83cfb-b402-4464-ac5a-a442532379b7, 85, 11692, No update data, 9g3qx21kfr3v
Bird, MEX, 1d03b435-5234-4603-8eed-5e3f5c7a18d1, 92, 13527, No update data, 9g3qx2zmydpt
Bird, MEX, 208fcbe3-a0f6-409e-9353-79f129875513, 98, 14529, No update data, 9g3qx3m7swg2
Bird, MEX, da7dfdac-193a-4418-9773-a104a7da7491, 81, 11690, No update data, 9g3qrrywvmdc
Bird, MEX, e65bd957-cef3-42fb-a6f8-d30953fd8793, 100, 14062, No update data, 9g3qx3m7twn3
Bird, MEX, 42865ed9-bfba-4880-88a7-4bf1e0c3ba9f, 97, 14362, No update data, 9g3qx3m7twn3
Bird, MEX, 199e04b5-12c2-4a2d-a4f3-a12c3befeb25, 98, 13746, No update data, 9g3qx3m7twn3
Bird, MEX, ec970269-2f47-4dfd-80ad-a1ba33a97a1a, 78, 11189, No update data, 9g3qx2zdjuep
Bird, MEX, 21ceb6f6-bca8-4845-9546-4205cbb922d9, 94, 13861, No update data, 9g3qx2zt3mj7
