Bird, MEX, 408ec4ef-e333-458c-a83d-51e90914bebf, 100, 14062, No update data, 9g3qrr994z5m
Bird, MEX, 455ac0a8-2bc9-4c5d-aa17-f29889085d08, 94, 13861, No update data, 9g3qx92htp95
Bird, MEX, b394db72-5ad6-439d-b1b7-b5c83fba87d6, 100, 14863, No update data, 9g3qrr994984
Bird, MEX, bf91f197-4e6b-47ad-bf1a-8111754725f6, 57, 7682, No update data, 9g3qx3x6hyxg
Bird, MEX, 20e7295e-8b68-4b15-8fc9-5302d90f52d1, 88, 12859, No update data, 9g3qrrm7zrxq
Bird, MEX, ca42c25e-84c7-42cd-9893-7ce09644b14b, 90, 13193, No update data, 9g3qrrm7zqpk
Bird, MEX, 8ec2068c-bc98-482c-b5fb-105085b934f1, 92, 13527, No update data, 9g3qrxb0r0h5
Bird, MEX, e26c615d-d329-47e8-b1f0-73de7cb92643, 34, 3841, No update data, 9g3qrr94s7q1
Bird, MEX, 31e56a5d-4175-454e-af22-7bbc0f8340f7, 94, 13861, No update data, 9g3qrxb205mw
Bird, MEX, d69d75b7-7b90-450e-9ea8-c3bb95afba87, 74, 10521, No update data, 9g3qrrqm9fbx
Bird, MEX, ba5ca64c-f8df-422b-a597-cb5051144a70, 89, 13026, No update data, 9g3qrx8pwzjb
Bird, MEX, 3c3d77b7-6300-4109-a8dc-a0535b985c6b, 94, 13861, No update data, 9g3qrxb244gf
Bird, MEX, c96ac753-9e09-4de9-9488-2d79102bdc97, 57, 7682, No update data, 9g3qrrx3sy3s
Bird, MEX, f2c30b70-6099-41bf-bc2e-211595aa42c1, 49, 6004, No update data, 9g3qx0r07nwk
Bird, MEX, a4684039-ead9-40f1-9f44-131a676c0f46, 79, 11356, No update data, 9g3qrr3yd9j5
Bird, MEX, 3defaae1-756f-41c0-9db4-82f7df6628cf, 76, 10270, No update data, 9g3qx89etxq5
Bird, MEX, 90ed6b11-b38d-46cc-937b-36c6af8233bc, 42, 5177, No update data, 9g3qrr3y1h41
Bird, MEX, 9c23dcac-0023-4755-9d0e-33e22b95b3bc, 49, 6346, No update data, 9g3qx0qv5e3x
Bird, MEX, f74d898f-f41b-4339-88c9-44ad498d2e51, 44, 5511, No update data, 9g3qrrk8yrkk
Bird, MEX, 06cb841d-678e-464f-9a45-b0e1ce4c4b96, 72, 10187, No update data, 9g3qx91jx63h
Bird, MEX, e644af59-bf44-458d-9810-7daa1e6a73d2, 75, 10112, No update data, 9g3qrr8nmnuw
Bird, MEX, 97fa1ec9-702b-4cc8-a254-b250dd61e735, 63, 8684, No update data, 9g3qrpzc2q58
Bird, MEX, d6b92cb3-a056-4c0b-8772-84668e459283, 54, 6794, No update data, 9g3qrrhzzzdq
Bird, MEX, 13268e1b-461a-4845-ab6e-5da054068f14, 47, 5688, No update data, 9g3qrrq66ug2
Bird, MEX, 3b993380-e438-485d-bedf-fe2863fb803e, 98, 13746, No update data, 9g3qrr5zm3fy
Bird, MEX, ca1f835a-93b4-4075-a803-5b1c3d935b15, 94, 13114, No update data, 9g3qrr5zm26u
Bird, MEX, 1acfaf02-8a82-4144-964c-c6c7bb75c29c, 70, 9322, No update data, 9g3qrr5zh705
Bird, MEX, 53fa1d4d-1f37-404f-8cb0-dab509a69fa7, 57, 7268, No update data, 9g3qx8cgqgq0
Bird, MEX, b09b3a14-f36c-4ab3-9bc0-ca8bfc8b3a13, 54, 6794, No update data, 9g3qx3gjwkk3
Bird, MEX, 81ab80c6-c26b-486d-81d3-1f20861393e0, 58, 7849, No update data, 9g3qx3gjy130
Bird, MEX, aeaa6d1f-a6b8-4f27-906c-3f7f67552425, 78, 11189, No update data, 9g3qrrjnewru
Bird, MEX, d0685ddf-8c7e-4272-a04a-5b117359a0a1, 22, 1837, No update data, 9g3qx3cgnzvg
Bird, MEX, 039bc34c-f534-439f-b30f-0433a6789344, 66, 8690, No update data, 9g3qrr5qmdq0
Bird, MEX, 22a153ac-614a-4d57-b1b9-646e91a290f8, 57, 7268, No update data, 9g3qrrrzqwp8
Bird, MEX, 11076784-bad0-43d9-8cee-bc627650d4e4, 96, 13430, No update data, 9g3qrr5n2108
Bird, MEX, 46ee2cc5-62d5-4acc-86c7-d66d6c47d81e, 85, 12358, No update data, 9g3qrr5n02gy
Bird, MEX, e192c61f-2ccb-40ad-ab1f-6488ba1673f9, 52, 6847, No update data, 9g3qx65b1mtq
Bird, MEX, 05cb93ee-a049-4bc3-9fe5-a49e2a9ac031, 97, 13588, No update data, 9g3qrr4vz17z
Bird, MEX, 0b585d7c-d1cc-4d8c-9784-ad5cc1940e60, 67, 8848, No update data, 9g3qrpyxzeup
Bird, MEX, c7842ed3-bf40-4663-8c94-4eb5453b3710, 51, 6680, No update data, 9g3qrpyz2r78
Bird, MEX, a78d033e-c1d4-4d19-a19b-fb48438cd779, 79, 11356, No update data, 9g3qrr4vwyty
Bird, MEX, da866f5e-5cc4-4322-b74e-eb921de60dc8, 30, 3002, No update data, 9g3qrr2qwpr6
Bird, MEX, ab55a202-d92b-4ba4-b6e1-57c4dbeaa3e7, 25, 2212, No update data, 9g3qrr4venqk
Bird, MEX, 75830915-c9de-4e4c-8599-5f0c7b7969a9, 65, 8532, No update data, 9g3qrr4vd8b1
Bird, MEX, 98fdef63-c833-4ef7-b872-5cff4be4f34b, 51, 6320, No update data, 9g3qrr4v6qcv
Bird, MEX, 0185de75-6f72-4a1e-a7e9-697ed31ecb2a, 78, 10586, No update data, 9g3qrpyxjjsk
Bird, MEX, 35222656-80f0-40ce-9a4a-2219e68b75a0, 75, 10112, No update data, 9g3qrpxs50q6
Bird, MEX, ae303c05-feb3-4a63-8980-cc97f36640e3, 57, 7682, No update data, 9g3qrr4uff7m
Bird, MEX, c724bb63-1df9-414e-99cb-e16545366c4d, 79, 10744, No update data, 9g3qrpytyjc5
Bird, MEX, 3fec8bcd-acb8-4a76-8d90-75346f1108e5, 52, 6847, No update data, 9g3qrxcdvv5p
Bird, MEX, 00da2f2e-3a4a-4654-ba80-681f3ae0a1e9, 51, 6680, No update data, 9g3qrxcdte21
