Bird, MEX, d4d4f3fe-952e-4017-833e-f6a44941da4c, 80, 10902, No update data, 9g3qrrk2f80p
Bird, MEX, 31558ca0-2e43-47d0-8160-1c14fb6dc66a, 85, 11692, No update data, 9g3qrpzqg9zf
Bird, MEX, c3d11bc0-0e20-4972-82ae-748b227de5e9, 31, 3340, No update data, 9g3qx3gk405e
Bird, MEX, e40ef042-30c0-495d-89b3-91aaf3ecfa9e, 44, 5214, No update data, 9g3qrrkbmrdc
Bird, MEX, 5505f22b-36c8-4970-b43f-24db0af53137, 96, 13430, No update data, 9g3qx0p0pb65
Bird, MEX, e55a08a6-20e7-4f40-9eba-54aa58af367f, 63, 8684, No update data, 9g3qrrkbrxu5
Bird, MEX, aa023eb9-ca95-4a71-8040-a6e426028bec, 67, 9352, No update data, 9g3qrrk84sm5
Bird, MEX, adf6fe80-3821-46ff-a65a-886991c1695c, 72, 9638, No update data, 9g3qrr66dx00
Bird, MEX, dc99eada-5884-458f-ae1f-51ded159fd29, 71, 10020, No update data, 9g3qrrkbq9zw
Bird, MEX, e7c48c3f-4dc1-422f-9486-9c4f83025dbf, 42, 4898, No update data, 9g3qrrk8ne6t
Bird, MEX, 867ca35b-befa-4310-ae76-54c25d56f7a1, 94, 13114, No update data, 9g3qrrkbjrzc
Bird, MEX, 84b24662-1331-4ee8-831a-a87e4c7f8aec, 64, 8374, No update data, 9g3qx0p0mysh
Bird, MEX, 3b06a00e-1530-498f-9621-456dd5ac1bc8, 96, 13430, No update data, 9g3qrrkbnrhm
Bird, MEX, 87000355-0673-4d6e-b9ea-f82fc71d6b7b, 51, 6320, No update data, 9g3qx3f6zmr1
Bird, MEX, aaff40ed-398a-426e-9f80-9120ff8ab765, 48, 5846, No update data, 9g3qx3fe1uns
Bird, MEX, cf88cd23-8151-4311-a96b-121cac0c6c08, 66, 8690, No update data, 9g3qrr3sr15b
Bird, MEX, 8849aa91-a903-43ab-9a44-fcd9b380e17c, 92, 12798, No update data, 9g3qrrhzu575
Bird, MEX, b1dd0b14-3c0f-4a61-ad73-f8d69412c114, 91, 12640, No update data, 9g3qrrq19h4n
Bird, MEX, b7d1f6af-f51b-45bc-99bb-0fba874a5908, 51, 6320, No update data, 9g3qrr5xwszd
Bird, MEX, d7b2d89f-ad12-48e4-a089-0e9bf1d9031d, 85, 11692, No update data, 9g3qrrhpqhc0
Bird, MEX, 2699444f-acb5-4df9-a540-85c9781e06f5, 94, 13114, No update data, 9g3qrr5zkvcr
Bird, MEX, 3583450c-8a32-4bd9-864b-fe415aea1999, 89, 12324, No update data, 9g3qrr3eq948
Bird, MEX, 32abc7f8-b895-4a02-9e42-be22720f51a2, 57, 7268, No update data, 9g3qrrqfy0x9
Bird, MEX, 01414c5a-cb2f-43d0-8a91-a5ede3d956f9, 53, 6636, No update data, 9g3qrrrvcyb8
Bird, MEX, e0adc752-d66d-485c-9425-ad051ab394ae, 33, 3476, No update data, 9g3qrr2rx3p5
Bird, MEX, 3362494e-66f7-49eb-9ea7-fb53aceb8f68, 79, 10744, No update data, 9g3qrx83tkxb
Bird, MEX, def03c08-e7bb-4a99-bb92-7abf37422973, 37, 4342, No update data, 9g3qrrhhb5bx
Bird, MEX, 4e0d4e25-44b1-4a18-8901-1bef882decf2, 80, 10902, No update data, 9g3qx86reh89
Bird, MEX, 85b5ec15-83dd-4362-905a-9b4396583619, 99, 13904, No update data, 9g3qrr4vyjpq
Bird, MEX, 241c5fc8-7b59-4140-9c2c-69461b597c8c, 94, 13114, No update data, 9g3qrr4vy43j
Bird, MEX, 9fceae10-e9a1-4eab-9e57-028e86b8dbba, 55, 7348, No update data, 9g3qx91vf9v7
Bird, MEX, 061c9ba7-0227-470d-9848-2d701ea7bb94, 91, 12640, No update data, 9g3qx91vfmr0
Bird, MEX, b0c24147-9c95-4156-981a-e20985cd2f42, 42, 4898, No update data, 9g3qx91vfxv2
Bird, MEX, ae02b51b-123a-4953-b879-ccdd4f8d7c0c, 60, 8183, No update data, 9g3qx91vgnw8
Bird, MEX, b1c71a58-cbee-4c5d-abba-5540c32ada14, 97, 13588, No update data, 9g3qrr4v9kt2
Bird, MEX, 46f58cb6-2ddd-48a0-8590-f6e0fdb5efbe, 51, 6680, No update data, 9g3qrr38g10j
