Bird, MEX, a428309e-32dd-4b83-8d2e-1898ddc18a04, 90, 13193, No update data, 9g3qx3m1m5us
Bird, MEX, 1bd33212-824d-4683-97ca-9f9efbc02fdf, 48, 5846, No update data, 9g3qx2r1xfzr
Bird, MEX, ee015284-7f04-441f-9cab-83f6f1b20782, 61, 7900, No update data, 9g3qx2r1ry6d
Bird, MEX, 0cf2fd66-b439-4624-9d9c-aa8d0078e893, 29, 3006, No update data, 9g3qrrufk471
Bird, MEX, 9af2155c-55f9-44a2-8155-4f195560a4d6, 83, 11376, No update data, 9g3qx3nqeckz
Bird, MEX, 03e18611-207f-4ffe-813a-dbe461066000, 29, 3006, No update data, 9g3qx21dnb0c
Bird, MEX, fc08fe99-92e0-4523-bdc6-e8293afa3850, 22, 1837, No update data, 9g3qx21m5tzy
Bird, MEX, e65bd957-cef3-42fb-a6f8-d30953fd8793, 100, 14062, No update data, 9g3qx3m6ydpt
Bird, MEX, d87f509f-00e0-4db7-9fb7-05d5135af9db, 39, 4676, No update data, 9g3qx28bg5qk
Bird, MEX, 0f1178ca-63e7-4f0f-92e6-c99a4faec8e2, 80, 10902, No update data, 9g3qx3mdfsj1
Bird, MEX, 42865ed9-bfba-4880-88a7-4bf1e0c3ba9f, 93, 13694, No update data, 9g3qx3m7qdds
Bird, MEX, 603ced0c-f75b-4487-a293-0e439014454a, 25, 2338, No update data, 9g3qx3kkghqe
Bird, MEX, b65804ec-46ae-47f3-bfd1-a890295b5f9e, 100, 14062, No update data, 9g3qx3m7bs2g
Bird, MEX, b96e0327-1eda-40dc-8df5-616d5a0869b4, 100, 14062, No update data, 9g3qx3m7chdj
Bird, MEX, caa94d6e-1ad4-49a6-a0db-9e31d9b03549, 73, 10354, No update data, 9g3qx3km51ws
Bird, MEX, 8f131170-e4a6-4a11-804c-9c5ceefad428, 58, 7426, No update data, 9g3qrrvdn1ck
Bird, MEX, 39809edf-8d8c-4cf9-abdb-5c9f19b5c48a, 52, 6478, No update data, 9g3qx3mes30j
Bird, MEX, 234939d4-0e76-49a8-9988-f35b2126ef93, 88, 12859, No update data, 9g3qx3nx781u
Bird, MEX, 3ab06fab-c706-496c-811e-fbbe81f3c624, 81, 11690, No update data, 9g3qx2pmzk34
Bird, MEX, ed1da7d3-1246-40b7-9208-f1e510ba5b2c, 61, 8350, No update data, 9g3qx2pmz3x2
Bird, MEX, 9dd2950e-bd9c-442e-b074-2eb8848634e0, 73, 10354, No update data, 9g3qx3ms4fe6
Bird, MEX, f99795d1-239b-4120-a95f-dd28431ff2c2, 76, 10855, No update data, 9g3qx2pw1xg9
Bird, MEX, 50b8ba47-732f-4d7a-bf7c-369e636aa2e0, 49, 6004, No update data, 9g3qx22sp7rn
Bird, MEX, fe09ac05-2109-4323-b449-721e5388cef0, 83, 11376, No update data, 9g3qx21he1nk
Bird, MEX, c75ea55e-31b7-42e1-8d7e-37ca7b941116, 91, 13360, No update data, 9g3qx21h6psf
Bird, MEX, 41d9ff86-04ea-4ea3-841e-3d97ef7a06c2, 36, 4175, No update data, 9g3qx2ps0zu1
Bird, MEX, a02efcf0-fc53-4f4d-8aa5-5c1ee4ec80cc, 90, 13193, No update data, 9g3qx215e1qq
Bird, MEX, a59c3067-6ab2-4ceb-a341-0b4308a87c61, 87, 12692, No update data, 9g3qx82jurwr
Bird, MEX, 17b00273-1775-4c1c-a0e1-3e160d6d5686, 97, 13588, No update data, 9g3qx20wpk2u
Bird, MEX, 6decf21c-bc58-4f07-82b6-2673eaecbcc8, 54, 7181, No update data, 9g3qx2zvwmhw
Bird, MEX, b0d54c9f-a0e5-4398-a900-7abbd4021438, 48, 6179, No update data, 9g3qx2zyqdfy
Bird, MEX, 29c8c95c-0b4e-4798-9860-ec0efff74898, 61, 7900, No update data, 9g3qx2zyqqke
Bird, MEX, 88e977d2-d2c5-4e77-a02a-483bbde956ce, 72, 9638, No update data, 9g3qx8bhd57f
Bird, MEX, eac57411-99d7-484b-bb8c-841ecc8b9078, 72, 9638, No update data, 9g3qrrzry53k
Bird, MEX, c18697e4-4798-4c2e-9bd4-a884ebeb7e16, 44, 5511, No update data, 9g3qx2b37nyr
Bird, MEX, dbca5134-e66f-4f59-b6f3-213f913abdb9, 49, 6004, No update data, 9g3qx2b34z5n
Bird, MEX, b3999077-e981-44fd-a294-ccff4e8dd47d, 62, 8517, No update data, 9g3qx8bnf2r1
Bird, MEX, ed962f08-bce0-4e03-9c47-70a44760abce, 75, 10688, No update data, 9g3qrrdr5000
Bird, MEX, 3f30d8c9-69b7-478c-a540-a10464cfbe1e, 82, 11218, No update data, 9g3qx3pcnw6c
Bird, MEX, 359cc237-d2cc-4172-8088-5cafbb3c2fe1, 73, 9796, No update data, 9g3qx3dbprbg
Bird, MEX, aaec53ee-b873-4d11-b4da-f541f3718831, 38, 4509, No update data, 9g3qrrs71mbm
Bird, MEX, 4b226b8c-e3d4-41d1-aa03-55e681d91cd3, 85, 12358, No update data, 9g3qx280781s
Bird, MEX, 9b1d4da5-4c91-474e-93fc-3f2b0a569e63, 84, 11534, No update data, 9g3qx3e3w01p
Bird, MEX, ff233ac6-b243-4478-81a4-8686f1be7783, 47, 6012, No update data, 9g3qx31p77k8
Bird, MEX, b312c637-36e3-4eb8-b9aa-31ce85e701e5, 71, 10020, No update data, 9g3qrrdsz47v
Bird, MEX, 50709b8a-8d1c-4f94-be44-47190d5b10c0, 78, 11189, No update data, 9g3qx8bkf3z5
Bird, MEX, c4fcdaf3-d59f-467f-abb0-b191b2356f8f, 39, 4424, No update data, 9g3qrrz45r7x
Bird, MEX, 521093e4-dc2d-40c1-b7ff-18f12d909e25, 73, 10354, No update data, 9g3qx20mfwv1
Bird, MEX, 129ed5f7-a076-4cbd-b907-980c2ddfca2d, 48, 5846, No update data, 9g3qx3tbsv1w
Bird, MEX, 6a306aa7-5d9f-43b5-8b9f-3919d88d8838, 90, 13193, No update data, 9g3qx20q33m5
Bird, MEX, 146d8f27-cbaa-4994-b6a1-ed8b3cf6f0fe, 79, 11356, No update data, 9g3qrrzzdn5g
Bird, MEX, d99eb566-7e3a-4f27-afe2-b8843c4b6835, 29, 3006, No update data, 9g3qrrbyk5ff
Bird, MEX, 86873c1a-6f02-49a3-a037-703874bd466b, 49, 6004, No update data, 9g3qrrdn3yqd
Bird, MEX, 582d3976-c8ff-4b46-a270-f5d77371a850, 24, 2171, No update data, 9g3qrrbz050s
Bird, MEX, 1f40a2ca-af10-433f-8b3e-f41958fc290d, 73, 9796, No update data, 9g3qx20m2p22
Bird, MEX, 84fa1fe7-5bed-4b58-85e8-897024785305, 80, 10902, No update data, 9g3qx20jxp7g
Bird, MEX, 85ffc6e3-5a72-4643-9e2a-c1852749f066, 100, 14062, No update data, 9g3qrre3ye49
Bird, MEX, 568e6c03-cbc9-4fa5-9310-ff0afcbe0adf, 83, 11376, No update data, 9g3qx3029k86
Bird, MEX, a3d0e264-8279-4f80-aa56-0a04927f385b, 100, 14062, No update data, 9g3qrre3xwkh
Bird, MEX, aaede11e-3a41-45d8-aed3-f2f3ab4932fa, 87, 12008, No update data, 9g3qx302c6b3
Bird, MEX, b80aaae5-94e7-4592-b87c-8780eb718089, 79, 11356, No update data, 9g3qrrwz1bwu
Bird, MEX, a96f6f78-c63e-4574-beed-4e618ea75ed8, 90, 13193, No update data, 9g3qx203wbt8
Bird, MEX, 13673970-2381-46dd-8a2d-5172f7a26d8b, 91, 13360, No update data, 9g3qrre982gc
Bird, MEX, 41841e98-dd02-4244-9a70-f5c0a2dc348b, 88, 12166, No update data, 9g3qx20jv74d
Bird, MEX, e10b01c6-35f1-4a26-ae78-004f3c3c7e5f, 48, 5846, No update data, 9g3qrrc4t36v
Bird, MEX, 257d0a26-c5c8-48a9-b6b2-2bb0e66d56a8, 58, 7849, No update data, 9g3qrrzzn8fz
Bird, MEX, 786abcfe-46b9-4225-a741-6d73bc9fc925, 94, 13861, No update data, 9g3qx3e5yxf8
Bird, MEX, 4730edd5-6799-4b48-be93-48203ec26745, 65, 8532, No update data, 9g3qrr9vb8qb
Bird, MEX, a83e31e1-4970-4fa9-b4d2-0720a5ed4d7f, 94, 13861, No update data, 9g3qx3ehnhpk
Bird, MEX, eba31f36-07a3-4ec8-a5dd-be1cd6ac7cc1, 47, 5688, No update data, 9g3qrre0yj1p
Bird, MEX, 555150d1-96e8-49a7-b12f-9771a82641da, 79, 11356, No update data, 9g3qx8bx6ug3
Bird, MEX, ba3c36a0-2733-4cac-bf52-72101d2fd26f, 83, 12024, No update data, 9g3qrr9trq2f
Bird, MEX, 10d1ce59-d4b5-4257-8c3b-a1030d1e62ff, 49, 6346, No update data, 9g3qx2057qkd
Bird, MEX, e9041c55-aa4a-423f-a642-3a56b81f061c, 49, 6346, No update data, 9g3qrr9tqfvs
Bird, MEX, 436f7305-3e18-4261-b57f-fd77d6901b7d, 45, 5372, No update data, 9g3qx32gkdh2
Bird, MEX, b5e67f67-da21-4183-9ebc-b68e05bb4798, 61, 8350, No update data, 9g3qx33q92jr
Bird, MEX, 3a253315-22c0-4190-b7ae-4446f7fae3e3, 69, 9164, No update data, 9g3qrr9gd5gt
Bird, MEX, 98d0806b-e079-4a0a-a9c1-4c9f69b8f6be, 66, 9185, No update data, 9g3qx90b20js
Bird, MEX, 20546d3f-f42d-4194-970a-3ffdb5b21e06, 78, 11189, No update data, 9g3qrr9g4k9v
Bird, MEX, ef4f7d1d-dee0-4495-aebe-55222feb35c5, 87, 12008, No update data, 9g3qrrkqn1x6
Bird, MEX, 3d5bb277-0baa-4567-8d7e-2f1e978d3b4c, 92, 13527, No update data, 9g3qx909yvtf
Bird, MEX, c97a2b50-b5be-40ab-bb18-0052a349595c, 82, 11857, No update data, 9g3qrrw3mbh7
Bird, MEX, 5927a50c-aabf-44a1-8433-8eb80c6d0b65, 69, 9164, No update data, 9g3qx8c4fmx4
Bird, MEX, cb40c718-e0c4-4168-afc9-7f333dc7e1ed, 49, 6346, No update data, 9g3qrr9e98g3
Bird, MEX, 5eaa581d-62f0-4ccc-b73a-b68dfaf9f226, 87, 12692, No update data, 9g3qx89jzmzk
Bird, MEX, 0897457f-20df-4e3f-a974-55ebe46a1a1a, 43, 5344, No update data, 9g3qx8c57x9g
Bird, MEX, b498efa9-e1b3-4e5d-b25d-6f9fae0ff3f2, 90, 12482, No update data, 9g3qx89q3hz3
Bird, MEX, 44d07070-b3ad-4878-afb9-e82209367756, 19, 1336, No update data, 9g3qrr7uswkk
