Bird, MEX, 166d77bd-72e8-4521-a592-e6c58a988912, 98, 13746, No update data, 9g3qrmft95d1
Bird, MEX, e19ad9cd-d8a9-4613-9620-f3816d6edf34, 84, 12191, No update data, 9g3qrm9f7vuy
Bird, MEX, 0b5ed465-0d67-4ddc-9a2f-254998b5e699, 97, 13588, No update data, 9g3qrmft9qm6
Bird, MEX, ce713cae-fb0e-4a68-8e30-43f5860d3efe, 67, 9352, No update data, 9g3qrnsucrj4
Bird, MEX, ed0f1586-7408-48c4-b4a9-a8e152df19a0, 65, 8532, No update data, 9g3qrn5twgt9
Bird, MEX, 9b99e586-078b-41d9-9505-0df93a54c01a, 79, 10744, No update data, 9g3qrjshuy9p
Bird, MEX, 501742f4-0d86-43f6-8f13-57a355e65549, 71, 9480, No update data, 9g3qrm3mn7ur
Bird, MEX, bd27c487-031a-4170-8777-a9ce1e56b90a, 66, 8690, No update data, 9g3qrjnyb779
Bird, MEX, 2fe64eb9-8a16-4a7b-9081-851367052609, 79, 10744, No update data, 9g3qrm3tt9tv
Bird, MEX, 5a9d8756-d9e5-4b47-aac0-56aa871b2d04, 42, 4898, No update data, 9g3qrm3s9953
Bird, MEX, 8130010e-4246-4a6e-adde-47773b5bc1cd, 83, 11376, No update data, 9g3qrjnp2jm3
Bird, MEX, e622fd1a-d9cb-4d37-86ca-9c406454428c, 98, 13746, No update data, 9g3qrq4z5szy
Bird, MEX, 22616b61-7937-4d4b-ac63-0456ebd220e2, 84, 11534, No update data, 9g3qrjnp2cm0
Bird, MEX, a4ffe11d-1d85-4722-bb60-3c451994c602, 92, 12798, No update data, 9g3qrjjxwz28
Bird, MEX, f7394197-2087-4ce4-b531-b84d52440467, 88, 12166, No update data, 9g3qrnsqjr4s
Bird, MEX, b03b1fb4-9041-4336-93b5-647decf12e6a, 49, 6004, No update data, 9g3qrnsqjns2
Bird, MEX, c31bee0a-f615-4d39-98e3-052b5398444a, 60, 8183, No update data, 9g3qrjpj1r05
Bird, MEX, a9c5870c-d9b1-46e8-b250-f543a109c48d, 98, 13746, No update data, 9g3qrm36z5eg
