Bird, MEX, 7dc39c91-c82a-44fd-b235-ee0218fa2317, 99, 14696, No update data, 9g3qx3m7uzps
Bird, MEX, 17b00273-1775-4c1c-a0e1-3e160d6d5686, 97, 13588, No update data, 9g3qx22fu2s4
Bird, MEX, 3a5802a4-6a79-4a75-95e0-28b9e652f750, 65, 8532, No update data, 9g3qx2zb09zj
Bird, MEX, 7386ef5e-28ac-4f32-9460-aa69d63f855c, 97, 14362, No update data, 9g3qx3mkn8pd
Bird, MEX, 36050e49-f3ee-4d7b-be00-b3a166f10c05, 98, 13746, No update data, 9g3qx3ms00jd
Bird, MEX, b65804ec-46ae-47f3-bfd1-a890295b5f9e, 97, 13588, No update data, 9g3qx2zsmc7h
Bird, MEX, 4c61e3d6-d46f-4b40-a978-1971a10bcd3a, 91, 12640, No update data, 9g3qx3p681mx
Bird, MEX, 9f7d0162-3d81-4608-b68b-ec7d2fbfeb20, 63, 8216, No update data, 9g3qx3p3srn3
Bird, MEX, ba2923c3-70aa-4283-8276-3f959b3cd5fb, 42, 4898, No update data, 9g3qx2xcprz6
Bird, MEX, 161d182e-4a5d-4ae5-9ccb-995ade31df52, 57, 7682, No update data, 9g3qx215s5e5
Bird, MEX, 1902bc0a-56b1-4f9a-b39b-722aae18ea6f, 74, 9954, No update data, 9g3qx82n6k4j
Bird, MEX, 9db6cc2e-313a-4405-b5a8-620a308b2798, 67, 8848, No update data, 9g3qx2zvdue6
Bird, MEX, e3eec4f4-06fd-42cc-b66f-b42df111b37a, 83, 12024, No update data, 9g3qx3qbmhs8
Bird, MEX, 9a5df020-06ef-4432-b4af-ee6eae97dc65, 60, 8183, No update data, 9g3qrrsutnks
Bird, MEX, 246a530d-afad-40d1-8123-b2c7d51cd8d3, 18, 1169, No update data, 9g3qx3pqn4c7
Bird, MEX, f5796f0a-3309-4226-b3c1-c21235720d90, 87, 12692, No update data, 9g3qx20w8p2e
Bird, MEX, 15888cee-feb1-4d23-877c-ba2ad07f9453, 87, 12692, No update data, 9g3qx20w8h0x
