Bird, MEX, d00c8363-1378-4f6d-a999-7e929c94c014, 17, 948, No update data, 9g3qx8bpgyb4
Bird, MEX, 1ed11453-2cc0-42fc-bf83-b1634471d7a3, 49, 6004, No update data, 9g3qrrzxm1sv
Bird, MEX, c893effe-00ee-4387-8b1e-6a70390f84db, 91, 12640, No update data, 9g3qx20mnt48
Bird, MEX, 4d02ca4a-c96a-4f1b-aedf-8f138272da3b, 90, 13193, No update data, 9g3qx20dftt1
Bird, MEX, 30a9bd45-450f-4339-934e-e907cd7e21ef, 49, 6004, No update data, 9g3qx3pfwzjf
Bird, MEX, d7ccf8c6-0a0e-4aba-bbf0-717c1cf8f6b7, 84, 12191, No update data, 9g3qx303njcp
Bird, MEX, 96e69ef8-3fa3-4a9d-802d-66a2466af0d2, 66, 8690, No update data, 9g3qx3r62d8u
Bird, MEX, f77a1a96-0f11-456b-a1e9-3133c60c3472, 75, 10688, No update data, 9g3qx3r61mvr
Bird, MEX, 63b64cf6-0d2b-4d45-9894-f233ab5bd67e, 89, 13026, No update data, 9g3qx209c6mn
Bird, MEX, a949a73f-499f-4743-94f6-5f7ebdb80f1b, 89, 13026, No update data, 9g3qx2099dgr
Bird, MEX, d98c91fb-00aa-404b-82d7-c7ec1c1d5864, 56, 7110, No update data, 9g3qrrz7kyrf
Bird, MEX, a48d6851-4bd5-4add-b1d0-9d933960a53c, 92, 13527, No update data, 9g3qx209b90w
Bird, MEX, 6ac19057-d456-42f2-8b15-a6f5b2115c23, 91, 13360, No update data, 9g3qx209bjbe
Bird, MEX, a0d7e56b-e3fb-4e4b-8e9e-1d6077a08da3, 100, 14062, No update data, 9g3qrre9cn6p
Bird, MEX, 68c1c7fb-9e43-44bf-8ae8-8901c2c758da, 87, 12692, No update data, 9g3qx203zbfk
Bird, MEX, 1761c249-cf5e-451f-96cb-2409fdebb239, 74, 10521, No update data, 9g3qx20m0kew
Bird, MEX, a63f99a6-4205-470a-b95e-81f90e3f294e, 89, 13026, No update data, 9g3qx20kbsbt
Bird, MEX, c645c1cc-881f-4034-9678-b3fdb6020131, 89, 13026, No update data, 9g3qx20kbs2d
Bird, MEX, 673ea75d-7b40-4a32-91d5-e5fb458a7fdc, 88, 12859, No update data, 9g3qx20923gx
Bird, MEX, 5c1ec0e4-2762-42ae-8674-6dd8c68ea9c6, 88, 12859, No update data, 9g3qx203x8u4
Bird, MEX, b9e2ff33-aa00-4fc0-8744-f33a9e54896b, 80, 10902, No update data, 9g3qx3r6f90r
Bird, MEX, 66cd7b58-b6cc-4d4f-bf73-e0661cda79e5, 91, 13360, No update data, 9g3qx203rfd7
Bird, MEX, 8ffa5a2d-e96a-4487-9532-78c71bf15584, 72, 9638, No update data, 9g3qrre9892v
Bird, MEX, 19b4c6ce-51f7-45eb-8e06-9886c5151567, 88, 12859, No update data, 9g3qx203pc63
Bird, MEX, 85b5ec15-83dd-4362-905a-9b4396583619, 94, 13114, No update data, 9g3qx8bru221
Bird, MEX, 256bc330-0080-4f09-a607-3a84f44f99bf, 81, 11060, No update data, 9g3qx32cn84d
Bird, MEX, 16b33ec8-f236-4b3b-a9b4-9ca35d565c9f, 96, 13430, No update data, 9g3qx9037n27
Bird, MEX, 793a68be-7e00-430b-89c4-11730388f68f, 60, 7742, No update data, 9g3qrrd7g8cs
Bird, MEX, 26187cd1-9b1d-4048-a8f2-e202479c8752, 80, 10902, No update data, 9g3qx903h324
Bird, MEX, 519aac77-f8ab-41f2-b174-cc1b45b511a6, 94, 13114, No update data, 9g3qx8bw3nxm
Bird, MEX, 21fb9d79-bce4-4b19-8b49-5d9d7f29886b, 94, 13114, No update data, 9g3qx902nt6g
Bird, MEX, 0c20639e-5712-4a37-8dbe-1dba147cae43, 87, 12692, No update data, 9g3qx205y514
Bird, MEX, 7bd29338-131e-4a47-9758-f99065e6d4fb, 85, 11692, No update data, 9g3qrrc1uhrc
Bird, MEX, 1ff482f5-497d-4140-8c5f-613ff34dab55, 96, 13430, No update data, 9g3qx902nfvg
Bird, MEX, 85c77e5d-7ca2-4acc-851f-01e834bf76a7, 39, 4424, No update data, 9g3qx3ehnftf
Bird, MEX, 674cb033-e034-4a31-ad45-c42915b47412, 24, 2171, No update data, 9g3qx33z9bb7
Bird, MEX, 241c5fc8-7b59-4140-9c2c-69461b597c8c, 99, 13904, No update data, 9g3qx9067ujn
Bird, MEX, 67df6a49-f472-4a36-ac60-0288732f76d4, 92, 12798, No update data, 9g3qx902xfpd
Bird, MEX, b1c71a58-cbee-4c5d-abba-5540c32ada14, 94, 13114, No update data, 9g3qx90hxgds
Bird, MEX, bbddcd29-395e-49d0-8458-8a342b3a77dd, 65, 9018, No update data, 9g3qx3tgs20p
Bird, MEX, 1acfaf02-8a82-4144-964c-c6c7bb75c29c, 90, 12482, No update data, 9g3qrxbj89xp
Bird, MEX, d535200e-e99c-4e75-b172-39780e734cfc, 91, 13360, No update data, 9g3qx90912j6
Bird, MEX, be022154-ebb0-4f39-a9f4-cb461355fda6, 66, 9185, No update data, 9g3qrrc0jbh0
Bird, MEX, f51e7ec1-b4a8-4166-b665-84331e145047, 85, 11692, No update data, 9g3qx32gqh1n
Bird, MEX, 1fcbe12b-38db-4b6f-8b08-9403ac6ebf63, 29, 2844, No update data, 9g3qrxbjescg
Bird, MEX, e1a08218-63a2-40ab-af37-a1b6bc996651, 79, 10744, No update data, 9g3qrr9t3fwd
Bird, MEX, cf16fd66-9688-4fe8-b72d-2d7c86ace9b9, 46, 5530, No update data, 9g3qrrmr338k
Bird, MEX, 5ab272c7-5d26-4e57-8c45-176bfd3249a7, 34, 3841, No update data, 9g3qrrmr39es
Bird, MEX, 8a073e6f-7697-4321-a14d-884b2d21e9e9, 46, 5530, No update data, 9g3qrxbrt2e0
Bird, MEX, f23e63b4-f266-44f2-b28a-9f449b125334, 93, 13694, No update data, 9g3qx3sr3zwu
Bird, MEX, f5a17031-2407-47e3-8678-f34a3d14c51a, 90, 12482, No update data, 9g3qx90c6b7q
Bird, MEX, aad313a3-b80a-4bbe-b52c-fb26679816e2, 56, 7515, No update data, 9g3qx83hj75j
Bird, MEX, 1309ebb8-9686-4977-8758-fb215cac2fdf, 84, 12191, No update data, 9g3qx83hj9q1
Bird, MEX, 6b8c01a5-1265-43d0-93a0-619ea2a9959d, 62, 8058, No update data, 9g3qrr97t5k9
Bird, MEX, edabc2ba-a8e8-4a5c-9afa-2d0d88225ba6, 88, 12166, No update data, 9g3qrrkuyn1k
Bird, MEX, 571b2623-0401-497f-abf6-9a48840092f0, 83, 11376, No update data, 9g3qx0psh4db
Bird, MEX, 44791c9f-319f-42d6-bb66-ca5be0894bbb, 97, 14362, No update data, 9g3qrr7u9v2w
Bird, MEX, cddceb0e-2b40-4841-a4a3-ee5a479febe1, 97, 13588, No update data, 9g3qrr7u8swb
Bird, MEX, 06f17b17-5d6b-4ce0-8383-07b49ec2971e, 96, 13430, No update data, 9g3qx90cp214
Bird, MEX, 146617df-7593-4d59-90e1-ef93f831f844, 94, 13114, No update data, 9g3qx90g5kex
Bird, MEX, cb0a99dd-92a8-48a9-b2f5-fea4c8fbeff6, 92, 12798, No update data, 9g3qx90cw7ss
