Bird, MEX, 2c743466-1107-42c5-ba96-4748e6fa3269, 100, 14062, No update data, 9g3qx209h1fu
Bird, MEX, bc096ecd-5783-4ffe-b694-25020987449a, 100, 14062, No update data, 9g3qx209781e
Bird, MEX, df75c92d-d578-4bed-b538-e4872918c86f, 100, 14863, No update data, 9g3qx208sv3r
Bird, MEX, d7cc1f30-d796-4b3b-b9d6-f74d31d7f1dd, 100, 14062, No update data, 9g3qx8br3jp7
Bird, MEX, 96e69ef8-3fa3-4a9d-802d-66a2466af0d2, 71, 9480, No update data, 9g3qx3r634xh
Bird, MEX, 1761c249-cf5e-451f-96cb-2409fdebb239, 94, 13861, No update data, 9g3qx20m3pfh
Bird, MEX, 1a7341a8-54b5-422e-882c-6a9a60a32fdc, 63, 8216, No update data, 9g3qx20mb5j6
Bird, MEX, f391254d-cf93-4afd-bc89-62b88987a365, 96, 14195, No update data, 9g3qx20m1r82
Bird, MEX, e5715162-b889-4ebe-81bf-9c6cc31732eb, 45, 5372, No update data, 9g3qrrdn2hv8
Bird, MEX, f5b148fc-11ff-48a7-99fc-c6c63a8b44d3, 100, 14062, No update data, 9g3qx2091cbk
Bird, MEX, 0c20639e-5712-4a37-8dbe-1dba147cae43, 98, 14529, No update data, 9g3qx20m2hjm
Bird, MEX, 5c1ec0e4-2762-42ae-8674-6dd8c68ea9c6, 100, 14863, No update data, 9g3qx208dem1
Bird, MEX, 256bc330-0080-4f09-a607-3a84f44f99bf, 87, 12008, No update data, 9g3qx330bpjk
Bird, MEX, 1500ff0d-077d-4e28-8885-57d1a83d4531, 100, 14863, No update data, 9g3qx8brkpgj
Bird, MEX, 14970e6e-e013-4590-8f71-9214ea2f37c0, 100, 14062, No update data, 9g3qx9029znc
Bird, MEX, c645c1cc-881f-4034-9678-b3fdb6020131, 100, 14863, No update data, 9g3qx20hzqz1
Bird, MEX, 68c1c7fb-9e43-44bf-8ae8-8901c2c758da, 99, 14696, No update data, 9g3qx208be8w
Bird, MEX, 63b64cf6-0d2b-4d45-9894-f233ab5bd67e, 100, 14863, No update data, 9g3qrrbxfm1z
Bird, MEX, 30b86e43-c8a7-4bfa-bf10-588a81a365d1, 100, 14062, No update data, 9g3qx8brmdyn
Bird, MEX, 320381ba-5bfd-4feb-8df4-0df6e84ff3c8, 69, 9164, No update data, 9g3qrr9y6dt4
Bird, MEX, a63f99a6-4205-470a-b95e-81f90e3f294e, 100, 14863, No update data, 9g3qx20hv3d8
Bird, MEX, 159caea9-9890-4349-967b-e9a9acedd927, 57, 7682, No update data, 9g3qrrbxbn2x
Bird, MEX, cf338c3c-13c3-4a4d-9af6-207aba51ef75, 93, 12956, No update data, 9g3qrrwys451
Bird, MEX, b1d00107-9c0b-44bc-b84d-a3b388b688d6, 100, 14062, No update data, 9g3qx20hthue
Bird, MEX, 793a68be-7e00-430b-89c4-11730388f68f, 64, 8374, No update data, 9g3qrrd7s6n1
Bird, MEX, 77e96044-a35d-4ba6-8e4f-8d6d15cdbbf2, 96, 13430, No update data, 9g3qx3e5zrbb
Bird, MEX, 26187cd1-9b1d-4048-a8f2-e202479c8752, 94, 13114, No update data, 9g3qx3ehp68f
Bird, MEX, 6c549b73-9cf7-4f92-9b70-33dcb082f195, 74, 9954, No update data, 9g3qx3ehp68f
Bird, MEX, 0d7bd0bc-b745-49c8-84e9-7c6bb4e5499a, 94, 13114, No update data, 9g3qx3ehnvmg
Bird, MEX, e6f453ae-e896-4960-94b4-8d704cb7e810, 55, 7348, No update data, 9g3qx39bhvcr
Bird, MEX, 05657a08-52fb-4b54-9e31-d3cf41b3234c, 100, 14062, No update data, 9g3qx90828bb
Bird, MEX, 1a1153b3-ccda-4f21-8f5d-78b11190e3ff, 44, 5511, No update data, 9g3qrr9t5x3x
Bird, MEX, 67df6a49-f472-4a36-ac60-0288732f76d4, 100, 14062, No update data, 9g3qx90ksc3x
Bird, MEX, 0e91db11-56b6-466a-a8ec-782b0322b120, 100, 14062, No update data, 9g3qx90ksrn6
Bird, MEX, 85c77e5d-7ca2-4acc-851f-01e834bf76a7, 46, 5530, No update data, 9g3qx0rs6xkb
Bird, MEX, 935adc23-099c-4d83-963c-8d256be636c2, 100, 14062, No update data, 9g3qx90kxss6
Bird, MEX, d59b50aa-3d7b-460e-b0e0-095540a7e0de, 90, 12482, No update data, 9g3qx3eyczy9
Bird, MEX, 7a33a638-3bfb-4c91-86d5-3fde981c6c15, 43, 5056, No update data, 9g3qx89jue56
Bird, MEX, 8a073e6f-7697-4321-a14d-884b2d21e9e9, 48, 5846, No update data, 9g3qrxbrpqz7
Bird, MEX, a814b4ad-478a-4e68-8ecd-0305224552f4, 74, 10521, No update data, 9g3qrr9dbqg9
Bird, MEX, 6d4e2f6f-557c-41c1-b0ec-dfe9eda61b65, 100, 14062, No update data, 9g3qx90ffm60
Bird, MEX, e1a08218-63a2-40ab-af37-a1b6bc996651, 99, 13904, No update data, 9g3qx90ffc5r
Bird, MEX, 53e7d760-42d4-4022-8fd9-ed5039793a55, 100, 14062, No update data, 9g3qx90fgj22
Bird, MEX, e5da55e7-c68c-4983-82b6-f87460212221, 56, 7110, No update data, 9g3qrrw9n6s8
Bird, MEX, 146617df-7593-4d59-90e1-ef93f831f844, 100, 14062, No update data, 9g3qx90g51n8
Bird, MEX, 52d9804f-be7b-4408-95c6-f5472fa27f4b, 67, 8848, No update data, 9g3qx8370nvs
Bird, MEX, 06f17b17-5d6b-4ce0-8383-07b49ec2971e, 100, 14062, No update data, 9g3qx90g55nt
Bird, MEX, 8503c02f-45fd-4e79-8484-13c2a81e0f8c, 100, 14062, No update data, 9g3qx90g6rr1
Bird, MEX, 6a4caf95-892c-4778-9a9d-37ac40018f87, 100, 14062, No update data, 9g3qx90fgbvj
Bird, MEX, 6b8c01a5-1265-43d0-93a0-619ea2a9959d, 66, 8690, No update data, 9g3qrr9d2wbw
Bird, MEX, cc247f4d-4cf9-40e3-8069-ca1c1e7af023, 100, 14062, No update data, 9g3qx90fu8gm
Bird, MEX, eb089722-b0a7-414a-8185-4144ea7263e0, 96, 13430, No update data, 9g3qx925uu3e
