Bird, MEX, c11ade85-8e1b-467c-80cc-c559b01f7118, 20, 1503, No update data, 9g3qx2xjk2nk
Bird, MEX, d2c0650a-83c1-4f71-9d2c-923176153731, 37, 4342, No update data, 9g3qx34yj66b
Bird, MEX, 6a032e68-b1df-4b41-82cd-feb43aa81e9d, 64, 8374, No update data, 9g3qx2nz7nws
Bird, MEX, 7fa226d7-bd68-493d-b1f7-c7058b5b7b97, 63, 8684, No update data, 9g3qx23d1gb2
Bird, MEX, b8a406d0-21a3-47d2-8c38-904871c4fe0b, 85, 11692, No update data, 9g3qrrvmv0sd
Bird, MEX, 911e1f28-0317-4209-a629-28de638e2000, 53, 6636, No update data, 9g3qx23d0u7u
Bird, MEX, 37d836aa-f449-4252-a701-725849789c72, 51, 6680, No update data, 9g3qx2yvm8y0
Bird, MEX, 6f961793-dfa1-41bb-9acf-4c85c6874784, 94, 13114, No update data, 9g3qx239920q
Bird, MEX, f24df0e6-f155-4c23-a342-7d136a7ffede, 65, 8532, No update data, 9g3qx2yycvbs
Bird, MEX, a3d23b7e-90ea-4377-8b6f-e946a9d30d42, 71, 10020, No update data, 9g3qx2yvuyzf
Bird, MEX, ffbe2be1-7255-4f38-8ca2-65a956a245e9, 52, 6478, No update data, 9g3qx233yybc
Bird, MEX, 0b5e2905-ce2c-46d1-8010-5b5f23f7e487, 87, 12692, No update data, 9g3qx23m9cns
Bird, MEX, cbe17d51-31ab-4aa5-bba7-35074971a457, 81, 11690, No update data, 9g3qx233rb6m
Bird, MEX, a630707b-eb33-4689-a62e-159595cb299d, 52, 6847, No update data, 9g3qx233xh5z
Bird, MEX, ee015284-7f04-441f-9cab-83f6f1b20782, 61, 7900, No update data, 9g3qx2r4wede
Bird, MEX, 891fc6a9-d894-4669-a06a-d0e2a7c8db33, 87, 12008, No update data, 9g3qx2r4nh9q
Bird, MEX, acb72495-837a-4590-93c2-3be5d54a5dda, 88, 12859, No update data, 9g3qx236h0rg
Bird, MEX, 1bd33212-824d-4683-97ca-9f9efbc02fdf, 48, 5846, No update data, 9g3qx2r1tdyp
Bird, MEX, 69ba4f0f-2047-4769-ba41-bdb24a8ddce8, 92, 13527, No update data, 9g3qx3m1kgr8
Bird, MEX, 1437ffdf-27d5-4bbc-9b19-d9db89d21270, 96, 13430, No update data, 9g3qx2z3dr41
Bird, MEX, 1b150f3c-a6f3-4f89-998e-4636d7814d3e, 85, 12358, No update data, 9g3qx23ph2q5
Bird, MEX, a428309e-32dd-4b83-8d2e-1898ddc18a04, 91, 13360, No update data, 9g3qx3m1tuk2
Bird, MEX, 9af2155c-55f9-44a2-8155-4f195560a4d6, 84, 11534, No update data, 9g3qx3ne9uwf
Bird, MEX, 9c49f51f-daaf-49ba-89db-bc6e4a0f8077, 48, 5846, No update data, 9g3qx29j6ygp
Bird, MEX, 2ecd13ae-57a3-4c6a-9f9c-926263a4652d, 75, 10112, No update data, 9g3qx3ng16v7
Bird, MEX, 17d293df-cbf9-4c05-9f66-5ac1c7065734, 43, 5344, No update data, 9g3qx21qcv0r
Bird, MEX, c42b12d0-d825-46fb-b7b8-5e7e3e40b045, 93, 12956, No update data, 9g3qx21pru6r
Bird, MEX, e65bd957-cef3-42fb-a6f8-d30953fd8793, 100, 14062, No update data, 9g3qx3m7h2n6
Bird, MEX, 39809edf-8d8c-4cf9-abdb-5c9f19b5c48a, 53, 6636, No update data, 9g3qx3md9vyf
Bird, MEX, b65804ec-46ae-47f3-bfd1-a890295b5f9e, 100, 14062, No update data, 9g3qx3m770qx
Bird, MEX, b96e0327-1eda-40dc-8df5-616d5a0869b4, 100, 14062, No update data, 9g3qx3m76q9v
