Bird, MEX, 4bdd6ec9-f06c-4393-b7fb-1a12edd7eae6, 81, 11690, No update data, 9g3qx28emm6v
Bird, MEX, 4f378213-6294-4f7f-afc2-9fb519e73eb4, 87, 12008, No update data, 9g3qx2zex4h4
Bird, MEX, 3a75aa6a-4145-4766-81a2-61779dd4784a, 96, 14195, No update data, 9g3qx2ztheg3
Bird, MEX, a027955f-3471-418c-9c66-26191f050f19, 98, 13746, No update data, 9g3qx2ztk85k
Bird, MEX, a7e8f439-f12f-4497-81be-216480d0fa4e, 96, 14195, No update data, 9g3qx21hhzpw
Bird, MEX, e02162db-4e96-43c8-a9f2-46624143c2b4, 92, 13527, No update data, 9g3qx2zsy3s9
Bird, MEX, 4b3bbe0b-bb51-44d1-9ad7-557e2634e218, 92, 13527, No update data, 9g3qx2zspds3
Bird, MEX, 90b4f26d-97a2-497b-8244-1fb9f1ea8687, 54, 7181, No update data, 9g3qx2bf8g7f
Bird, MEX, 270c39fb-f9e7-4950-bdce-db9a6067f1c9, 93, 13694, No update data, 9g3qx2zg8q5g
Bird, MEX, 5ae649f8-abe1-45c3-93d7-3922bfd013c4, 94, 13861, No update data, 9g3qx2zgbnt8
Bird, MEX, 19e2a7fa-ea4c-4521-afcb-290f3edb2688, 99, 13904, No update data, 9g3qx2zg36j2
Bird, MEX, 0a798980-a0ca-4c04-8533-da3a1dcbc92e, 92, 13527, No update data, 9g3qx2zgcted
Bird, MEX, f716940f-a075-48f9-9b12-5ff4307c97fa, 43, 5344, No update data, 9g3qx2pt702m
Bird, MEX, 39298bbd-04c3-47e1-9e44-aba7ba98b4bd, 87, 12008, No update data, 9g3qx2zy575t
Bird, MEX, b7576de8-8d6e-4d24-89d4-43ccc20e86b6, 92, 9558, No update data, 9g3qx2zvw5xs
Bird, MEX, 1b6a109a-089d-4174-a9de-54132e5d2728, 65, 8532, No update data, 9g3qx2zz5b8n
Bird, MEX, 0af1b4dd-fba8-43d0-aff6-fec808d0972e, 79, 11356, No update data, 9g3qx2zyj8n4
Bird, MEX, e16d5b52-9ca1-47a8-af79-8cf248993a3e, 75, 10112, No update data, 9g3qx2zyjtyp
Bird, MEX, 90b74f5d-e040-4887-9f50-eb0af1987f82, 76, 10855, No update data, 9g3qx2zvymsd
Bird, MEX, 46abce90-bd75-4b92-b165-d46e06a59f39, 69, 9164, No update data, 9g3qx2zvxkch
Bird, MEX, e985c43e-54ba-4b55-865a-775022f12231, 100, 14863, No update data, 9g3qx2b2s1pu
Bird, MEX, bd41d1ee-053e-48b2-9d7c-f0619f68b7d4, 70, 9322, No update data, 9g3qx2b2u4pv
Bird, MEX, f1641e00-b56b-4f3b-9170-003fd99e4ea5, 100, 14062, No update data, 9g3qx2b2gjq2
Bird, MEX, f45cb386-1372-43b1-b8a7-cfa21dd6204b, 90, 12482, No update data, 9g3qx2b2ddtn
Bird, MEX, 11fac914-7ab6-4d5c-ac39-b6037963dc12, 83, 12024, No update data, 9g3qx8bj6mdp
Bird, MEX, 60dbef3f-c295-4006-ad45-21285bc70999, 75, 10112, No update data, 9g3qx2b23fws
Bird, MEX, 5178e968-65a5-4deb-bb0e-021de508cfff, 70, 9322, No update data, 9g3qx8bj7t3v
Bird, MEX, 52508a64-621c-4214-a836-fafa4cdfc11b, 66, 8690, No update data, 9g3qx8bndn5u
Bird, MEX, 21a6e6c3-ed44-44c5-8863-ffdb811c875c, 81, 11690, No update data, 9g3qx8bnugpg
Bird, MEX, 2303ab26-f440-49dc-a54b-902756fb142e, 98, 13746, No update data, 9g3qx20s8ke9
Bird, MEX, dbd9bfe2-324c-4c64-a50a-ac74fd5f7ae8, 92, 13527, No update data, 9g3qx90067zh
Bird, MEX, e7a42ae0-34c9-45cd-90eb-7a2959fd031b, 98, 13746, No update data, 9g3qx20edd25
Bird, MEX, cd95f935-c48d-4388-a01c-e47fdd6bfdf9, 67, 8848, No update data, 9g3qx82x2pm8
Bird, MEX, b2d0a4fd-90b4-45d4-954b-2f5214ec72f2, 49, 6346, No update data, 9g3qx302q6uq
Bird, MEX, 0bdc43b7-37db-4e7c-bcc3-fabad5644047, 48, 6179, No update data, 9g3qx20eb278
Bird, MEX, 9e990e86-a088-47bc-bb5f-db838112d58f, 97, 13588, No update data, 9g3qx900meq0
Bird, MEX, 043d8399-a8ce-48d1-9fef-18aa9093c138, 93, 13694, No update data, 9g3qrrdndr1b
Bird, MEX, 9d3c5c60-4dc8-468e-a17c-5c6b66851b34, 92, 13527, No update data, 9g3qx900tdqh
Bird, MEX, 22c0a4fc-5038-407e-b358-c264315749ed, 99, 13904, No update data, 9g3qx900trrg
Bird, MEX, 0cdfd437-d38b-4028-8876-59013b326a95, 89, 13026, No update data, 9g3qx20d17jh
Bird, MEX, 501742f4-0d86-43f6-8f13-57a355e65549, 97, 13588, No update data, 9g3qx20q2dbt
Bird, MEX, dcfec459-0f95-4f7e-b414-29d9d984eed3, 96, 14195, No update data, 9g3qx209cq2r
Bird, MEX, 9a922753-3882-4fa2-845d-1078fe4028a0, 99, 13904, No update data, 9g3qx2094k3u
Bird, MEX, a27c268c-c081-48c0-a44a-11f2b35a6e34, 90, 13193, No update data, 9g3qx2098tqz
Bird, MEX, d0248c55-e085-4e35-85f6-22eb853fdd64, 99, 14696, No update data, 9g3qx2093m06
Bird, MEX, 4bc913cf-67e2-4dae-962f-cea4a4a32c20, 98, 14529, No update data, 9g3qx203zu66
Bird, MEX, b645c68a-ed5f-489d-ab0a-5771c00aa894, 19, 1336, No update data, 9g3qx3r6d3f1
Bird, MEX, 3616d549-9b9b-47b7-8cc9-d15c879e19b3, 55, 7348, No update data, 9g3qx20jz1eb
Bird, MEX, 73746486-98eb-4052-ba41-d52b9ede2521, 74, 9954, No update data, 9g3qx20jrgf7
Bird, MEX, d1ec53df-5ece-4bdf-8e72-204214ce01b8, 48, 5846, No update data, 9g3qx3r67t1u
Bird, MEX, 8ffa5a2d-e96a-4487-9532-78c71bf15584, 99, 13904, No update data, 9g3qrre9em7q
Bird, MEX, 4648b65d-a399-4a54-b06d-fedd051d440d, 94, 13861, No update data, 9g3qx20jyf2w
Bird, MEX, 98ec3dc2-7605-4264-bf26-e36dcc3285c7, 96, 14195, No update data, 9g3qx20jytfe
Bird, MEX, 1f48fb27-d30a-48c6-95ce-f2a7ca904108, 99, 13904, No update data, 9g3qx20nn5z2
Bird, MEX, ac4066cd-8448-40f3-8b8e-689d5274c5fe, 98, 13746, No update data, 9g3qx20jpmp0
Bird, MEX, 27ba807e-71ba-4ede-b0a7-13f6e14e7c06, 83, 11376, No update data, 9g3qx20jp28v
Bird, MEX, c1434cb1-8551-499e-ab1e-99204f6805ac, 92, 13527, No update data, 9g3qx905kq8j
Bird, MEX, 57e32f39-36b0-44be-ad84-a7829ed6bd7a, 99, 13904, No update data, 9g3qx20jq2sr
Bird, MEX, a0d7e56b-e3fb-4e4b-8e9e-1d6077a08da3, 99, 13904, No update data, 9g3qrre95xpv
Bird, MEX, e719f9a5-3fda-4964-b6e8-c6b69f09f324, 91, 13360, No update data, 9g3qx904zbde
Bird, MEX, 12f22942-6388-4385-8307-5f63b4eccc74, 96, 13430, No update data, 9g3qx905qnre
Bird, MEX, 793a68be-7e00-430b-89c4-11730388f68f, 97, 13588, No update data, 9g3qx20js0zf
Bird, MEX, f216f991-9be2-4743-987b-7c1ac14f9352, 96, 13430, No update data, 9g3qx20jk9k7
Bird, MEX, c2a114eb-d94d-4e2c-99ef-c1d97bca1b41, 93, 13694, No update data, 9g3qx905wzmu
Bird, MEX, 30fb4242-e30e-4529-a38b-c76d62f2c81d, 60, 7742, No update data, 9g3qx33kuhrg
Bird, MEX, c0329968-f78d-477a-a85d-9af7ffcb1c69, 49, 6004, No update data, 9g3qrrc1fw2p
Bird, MEX, 4a21459e-4651-4cb8-abac-ca0444649bb6, 93, 12956, No update data, 9g3qx20j461y
Bird, MEX, 9e68ac62-5e5a-44d2-9ba8-e33101e08f8a, 61, 7900, No update data, 9g3qx0zuh4pz
Bird, MEX, bbddcd29-395e-49d0-8458-8a342b3a77dd, 30, 3173, No update data, 9g3qx3tgs05p
Bird, MEX, 6fc7a6b6-6098-4944-8da3-f2efe8bca651, 99, 13904, No update data, 9g3qx90jpc48
Bird, MEX, 32fa0b3e-426d-4830-885f-60f809705337, 48, 5846, No update data, 9g3qx0puyh34
Bird, MEX, 511f5f15-ec98-4c5b-894f-b296d674bd27, 85, 11692, No update data, 9g3qx90ny9x9
Bird, MEX, c479096a-dfb9-4374-b9c8-e1d4007bf053, 79, 11356, No update data, 9g3qx0zdthk8
Bird, MEX, 067d0ab7-d4e2-44bb-a0ca-1af5b330e21a, 98, 13746, No update data, 9g3qx90kup5h
Bird, MEX, 0fec7716-d1b5-4c21-8095-7126ca5ddb20, 94, 13861, No update data, 9g3qx90mh7qr
Bird, MEX, 828f6ed2-e84c-4aa7-bdaa-1792ff881415, 85, 11692, No update data, 9g3qrrmrkh5h
Bird, MEX, be65d0c8-1f69-4b56-8773-9dea4108bb02, 66, 8690, No update data, 9g3qx8bz397s
Bird, MEX, fadc597b-95a7-4041-bd95-e5256b81ec95, 91, 13360, No update data, 9g3qx8bz3w7e
