Bird, MEX, 1ed11453-2cc0-42fc-bf83-b1634471d7a3, 49, 6004, No update data, 9g3qx2pckkqq
Bird, MEX, cbdabc78-7433-470a-928d-95cb88d86f4e, 78, 11189, No update data, 9g3qx8bq2jmt
Bird, MEX, 30b86e43-c8a7-4bfa-bf10-588a81a365d1, 93, 12956, No update data, 9g3qx8bq0wbu
Bird, MEX, 1466965f-4a45-4279-95f2-63db81f8c6a9, 88, 12166, No update data, 9g3qx8bnzdhm
Bird, MEX, 4d02ca4a-c96a-4f1b-aedf-8f138272da3b, 89, 13026, No update data, 9g3qx20e12m5
Bird, MEX, 26ed862c-b040-42aa-8d3b-d942b8998ab5, 91, 13360, No update data, 9g3qx20e12br
Bird, MEX, ec4a6eab-3e21-4544-b696-53b33dacfdb9, 87, 12692, No update data, 9g3qx20e24bt
Bird, MEX, d98c91fb-00aa-404b-82d7-c7ec1c1d5864, 56, 7110, No update data, 9g3qrrz7gzkv
Bird, MEX, d7ccf8c6-0a0e-4aba-bbf0-717c1cf8f6b7, 83, 12024, No update data, 9g3qx302vwtb
Bird, MEX, f269b87e-e85b-449f-95c0-681aca0493c6, 81, 11060, No update data, 9g3qx3r614zh
Bird, MEX, 1761c249-cf5e-451f-96cb-2409fdebb239, 73, 10354, No update data, 9g3qx20kgny3
Bird, MEX, a63f99a6-4205-470a-b95e-81f90e3f294e, 88, 12859, No update data, 9g3qx20m3wek
Bird, MEX, 16b33ec8-f236-4b3b-a9b4-9ca35d565c9f, 94, 13114, No update data, 9g3qx900rek2
Bird, MEX, 0c20639e-5712-4a37-8dbe-1dba147cae43, 84, 12191, No update data, 9g3qx20m8w0e
Bird, MEX, 26187cd1-9b1d-4048-a8f2-e202479c8752, 79, 10744, No update data, 9g3qx904km8p
Bird, MEX, c645c1cc-881f-4034-9678-b3fdb6020131, 88, 12859, No update data, 9g3qx20jxdk5
Bird, MEX, a0d7e56b-e3fb-4e4b-8e9e-1d6077a08da3, 100, 14062, No update data, 9g3qrre3zfdr
Bird, MEX, 19b4c6ce-51f7-45eb-8e06-9886c5151567, 87, 12692, No update data, 9g3qx203xud3
Bird, MEX, d535200e-e99c-4e75-b172-39780e734cfc, 90, 13193, No update data, 9g3qx903065z
Bird, MEX, a949a73f-499f-4743-94f6-5f7ebdb80f1b, 88, 12859, No update data, 9g3qx203xek1
Bird, MEX, 96e69ef8-3fa3-4a9d-802d-66a2466af0d2, 65, 8532, No update data, 9g3qx3r7290f
Bird, MEX, b1c71a58-cbee-4c5d-abba-5540c32ada14, 93, 12956, No update data, 9g3qx904nept
Bird, MEX, 67df6a49-f472-4a36-ac60-0288732f76d4, 92, 12798, No update data, 9g3qx904qhz9
Bird, MEX, 21fb9d79-bce4-4b19-8b49-5d9d7f29886b, 93, 12956, No update data, 9g3qx903877f
Bird, MEX, 8ffa5a2d-e96a-4487-9532-78c71bf15584, 100, 14062, No update data, 9g3qrre9827z
Bird, MEX, 68c1c7fb-9e43-44bf-8ae8-8901c2c758da, 85, 12358, No update data, 9g3qx203r28z
Bird, MEX, 85b5ec15-83dd-4362-905a-9b4396583619, 93, 12956, No update data, 9g3qx90330pk
Bird, MEX, a48d6851-4bd5-4add-b1d0-9d933960a53c, 91, 13360, No update data, 9g3qx203qumw
Bird, MEX, 63b64cf6-0d2b-4d45-9894-f233ab5bd67e, 87, 12692, No update data, 9g3qx203r1ev
Bird, MEX, b6e0b502-f16a-4d1d-ada5-2025d875c867, 53, 6636, No update data, 9g3qrrzsyw4t
Bird, MEX, fcb2fdf4-9264-4626-be34-b7196409c2b2, 56, 7515, No update data, 9g3qx203qf8e
Bird, MEX, 5c1ec0e4-2762-42ae-8674-6dd8c68ea9c6, 85, 12358, No update data, 9g3qx2088q5e
Bird, MEX, 673ea75d-7b40-4a32-91d5-e5fb458a7fdc, 87, 12692, No update data, 9g3qx202zg46
Bird, MEX, 256bc330-0080-4f09-a607-3a84f44f99bf, 80, 10902, No update data, 9g3qx32cpkxp
Bird, MEX, 6ac19057-d456-42f2-8b15-a6f5b2115c23, 90, 13193, No update data, 9g3qx203nbme
Bird, MEX, 1ff482f5-497d-4140-8c5f-613ff34dab55, 94, 13114, No update data, 9g3qx904xcpt
Bird, MEX, f77a1a96-0f11-456b-a1e9-3133c60c3472, 74, 10521, No update data, 9g3qx3r9dx2k
Bird, MEX, 793a68be-7e00-430b-89c4-11730388f68f, 60, 7742, No update data, 9g3qrrd7evub
Bird, MEX, 1fcbe12b-38db-4b6f-8b08-9403ac6ebf63, 28, 2686, No update data, 9g3qrrzywd4c
Bird, MEX, 674cb033-e034-4a31-ad45-c42915b47412, 22, 1837, No update data, 9g3qx33z682p
Bird, MEX, b9e2ff33-aa00-4fc0-8744-f33a9e54896b, 80, 10902, No update data, 9g3qx3r9qefs
Bird, MEX, 9e68ac62-5e5a-44d2-9ba8-e33101e08f8a, 66, 8690, No update data, 9g3qx0zuhehm
Bird, MEX, 85c77e5d-7ca2-4acc-851f-01e834bf76a7, 39, 4424, No update data, 9g3qx3ehn4zk
Bird, MEX, a283ba1b-d074-409e-8b73-25619fe5918c, 55, 6952, No update data, 9g3qrrc0wytw
Bird, MEX, 7bd29338-131e-4a47-9758-f99065e6d4fb, 85, 11692, No update data, 9g3qrrc16v7h
Bird, MEX, 241c5fc8-7b59-4140-9c2c-69461b597c8c, 99, 13904, No update data, 9g3qx903pwk3
Bird, MEX, 32a41fc6-df80-438c-a835-641ac4218c08, 94, 13114, No update data, 9g3qrrzusee7
Bird, MEX, bbddcd29-395e-49d0-8458-8a342b3a77dd, 63, 8684, No update data, 9g3qx3tgdn7y
Bird, MEX, e1a08218-63a2-40ab-af37-a1b6bc996651, 79, 10744, No update data, 9g3qrr9tepbn
Bird, MEX, 1acfaf02-8a82-4144-964c-c6c7bb75c29c, 90, 12482, No update data, 9g3qrxbj1v2d
Bird, MEX, f51e7ec1-b4a8-4166-b665-84331e145047, 85, 11692, No update data, 9g3qx32gk14f
Bird, MEX, cf16fd66-9688-4fe8-b72d-2d7c86ace9b9, 49, 6004, No update data, 9g3qrrmppns1
Bird, MEX, 5ab272c7-5d26-4e57-8c45-176bfd3249a7, 33, 3674, No update data, 9g3qrrmpndpw
Bird, MEX, 8a073e6f-7697-4321-a14d-884b2d21e9e9, 46, 5530, No update data, 9g3qrxbrt7rc
Bird, MEX, f23e63b4-f266-44f2-b28a-9f449b125334, 92, 13527, No update data, 9g3qx3spxc4m
Bird, MEX, cb0a99dd-92a8-48a9-b2f5-fea4c8fbeff6, 91, 12640, No update data, 9g3qx90b7m5e
Bird, MEX, aad313a3-b80a-4bbe-b52c-fb26679816e2, 55, 7348, No update data, 9g3qx83hky9s
Bird, MEX, 3ec7df91-9d64-45d0-b95d-37bd0a69d95b, 74, 9954, No update data, 9g3qx9223byb
Bird, MEX, 146617df-7593-4d59-90e1-ef93f831f844, 93, 12956, No update data, 9g3qx90f3e78
Bird, MEX, 53e7d760-42d4-4022-8fd9-ed5039793a55, 93, 12956, No update data, 9g3qx90g04ve
Bird, MEX, a80a0e3d-32fb-41be-b5ce-99707bc72d82, 48, 5846, No update data, 9g3qx80ff66n
Bird, MEX, 6b8c01a5-1265-43d0-93a0-619ea2a9959d, 61, 7900, No update data, 9g3qrr97whx3
