Bird, MEX, f00a944f-dc26-4234-9937-174fa6b9d8d5, 84, 12191, No update data, 9g3qrrswxgfm
Bird, MEX, 32b20728-373e-46e0-bf5d-dedc403e8641, 67, 8848, No update data, 9g3qx3nzgnw8
Bird, MEX, abffb9c7-996d-400b-ab28-77cc60b5ec12, 89, 12324, No update data, 9g3qrryvn0p9
Bird, MEX, 284e7940-17a9-40c0-a3e6-c019e7f649f5, 81, 11060, No update data, 9g3qx2zyr5k0
Bird, MEX, 2038178e-884b-4374-a472-add4acadc045, 74, 9954, No update data, 9g3qx3pdqmhe
Bird, MEX, f8a898b7-d42d-4080-ab2a-4476cfb2bfcd, 90, 13193, No update data, 9g3qx2b2dpkg
Bird, MEX, f045452a-a846-49ff-944d-c58a8394eac6, 87, 12692, No update data, 9g3qx20w9c0k
Bird, MEX, 018e6980-c8c1-44d0-bcc7-60ed1c53c034, 17, 1002, No update data, 9g3qx3pc71qs
Bird, MEX, 8cba6cde-a83a-4e8a-a76e-ac875b990d63, 88, 12859, No update data, 9g3qx20rp9k1
Bird, MEX, 8d195512-d172-45e7-b573-c85ea29c51e7, 99, 14696, No update data, 9g3qx3pck85k
Bird, MEX, f7ee63b0-66db-4e34-a9d9-00f1b38b1ef8, 91, 13360, No update data, 9g3qx20rpq2b
Bird, MEX, 154ee58c-8457-4ba1-a702-a0d75ea6c71d, 98, 14529, No update data, 9g3qx3pckyzz
Bird, MEX, 95e0440a-64aa-496d-9f01-f7f57d8daf4e, 88, 12859, No update data, 9g3qx20qwz2e
Bird, MEX, c692401e-ff10-44ff-a15b-7d1f2d4c041b, 48, 5846, No update data, 9g3qx8bn7fm4
Bird, MEX, 53239a68-389d-42f8-ad28-fa6af312c06d, 94, 13114, No update data, 9g3qx20scmjp
Bird, MEX, 5146dac5-6249-4068-8883-edb44b96c9a5, 76, 10855, No update data, 9g3qrrs7j2fy
Bird, MEX, cd467842-2ef6-4ce7-bc8e-d333b4562dad, 53, 7014, No update data, 9g3qx8bnuyzf
