Bird, MEX, e600f9d9-8c63-4dd5-a816-9110712ea1f5, 64, 8851, No update data, 9g3qrrfnjukh
Bird, MEX, 66dbe6e8-6ed7-46d9-a4b8-1a8f853c57ad, 94, 13861, No update data, 9g3qx231cz8r
Bird, MEX, 0736a316-961b-48ca-a983-aab12362a9d5, 89, 12324, No update data, 9g3qx2zkrmxr
Bird, MEX, 21ceb6f6-bca8-4845-9546-4205cbb922d9, 97, 14362, No update data, 9g3qx2zqg023
Bird, MEX, 1d03b435-5234-4603-8eed-5e3f5c7a18d1, 93, 13694, No update data, 9g3qx2zkz4hj
Bird, MEX, f815c609-1181-499f-9c86-c1ebf4a7906e, 96, 10030, No update data, 9g3qx2zqu1e1
Bird, MEX, f79fe92a-822e-48ad-bf8c-4c4953a8f041, 96, 14195, No update data, 9g3qx2zqm9wn
Bird, MEX, b7576de8-8d6e-4d24-89d4-43ccc20e86b6, 94, 9794, No update data, 9g3qx2zqnppw
Bird, MEX, 304641d8-118f-4753-a91a-7187243d9247, 93, 13694, No update data, 9g3qx2zsc7tq
Bird, MEX, f3462101-625e-4c6e-a9f0-cc7c01652f8e, 94, 13861, No update data, 9g3qx2zqw59k
Bird, MEX, 11676849-fa45-46d7-b9c6-00b7af2a96f8, 91, 13360, No update data, 9g3qx2zsdsm0
Bird, MEX, 1ccedbad-8286-4690-8a8a-d7f0c651583e, 93, 13694, No update data, 9g3qx21hwvv9
Bird, MEX, 6018a9ad-c989-4a26-b2ad-86e248705377, 96, 14195, No update data, 9g3qx2ztdem4
Bird, MEX, 7beff964-6325-4b2b-8a5b-83dccdddfc36, 91, 13360, No update data, 9g3qx215weft
Bird, MEX, 50af0392-0199-42ed-8d07-16e9a66d4d8f, 54, 6794, No update data, 9g3qrrf5sux9
Bird, MEX, f508e66d-1d30-4da5-8a2a-e5977729c4f3, 92, 13527, No update data, 9g3qx215j64y
Bird, MEX, 2cff7cc7-02e4-4d80-b93b-6a67bececbd6, 62, 8517, No update data, 9g3qx31w0e0t
Bird, MEX, 5f1cdb97-4d21-4b60-bf52-7c3796a2daf0, 82, 11218, No update data, 9g3qx22rhssq
Bird, MEX, f6cdd7bc-0a64-4ca4-a6b5-04a1120f65a8, 93, 12956, No update data, 9g3qrrsv17mq
Bird, MEX, fbdde7da-b0e7-46f1-b432-c1c214bb3231, 82, 11857, No update data, 9g3qx2b2g0w7
Bird, MEX, 2038178e-884b-4374-a472-add4acadc045, 76, 10270, No update data, 9g3qx3pc9mjq
Bird, MEX, c26f0539-6bba-417a-99a6-e2ebdbecbf99, 96, 14195, No update data, 9g3qx20snvvw
Bird, MEX, f045452a-a846-49ff-944d-c58a8394eac6, 90, 13193, No update data, 9g3qx20w6d21
Bird, MEX, 3d5bb277-0baa-4567-8d7e-2f1e978d3b4c, 96, 14195, No update data, 9g3qx20wc1x0
Bird, MEX, 4b3a5b9b-ef93-4100-b9e2-b8109457fb52, 58, 7849, No update data, 9g3qx2p9hyrb
Bird, MEX, f00a944f-dc26-4234-9937-174fa6b9d8d5, 89, 13026, No update data, 9g3qrrsezhk1
Bird, MEX, 8cba6cde-a83a-4e8a-a76e-ac875b990d63, 92, 13527, No update data, 9g3qx20tf29f
Bird, MEX, 95e0440a-64aa-496d-9f01-f7f57d8daf4e, 91, 13360, No update data, 9g3qx20w1b03
Bird, MEX, f7ee63b0-66db-4e34-a9d9-00f1b38b1ef8, 96, 14195, No update data, 9g3qx20tcn6p
Bird, MEX, 5146dac5-6249-4068-8883-edb44b96c9a5, 80, 11523, No update data, 9g3qrrs6y0r2
Bird, MEX, 7c2d144c-de61-4c6e-92d4-8067f90eb914, 83, 12024, No update data, 9g3qx8bnvqzf
Bird, MEX, c692401e-ff10-44ff-a15b-7d1f2d4c041b, 49, 6004, No update data, 9g3qx8bnw1rw
Bird, MEX, 7a555408-d8d3-42aa-a998-2d93c814bfd4, 58, 7426, No update data, 9g3qx8bnp2xq
Bird, MEX, 9e09f84e-8e8b-44fc-8f66-70f2af59dedd, 67, 8848, No update data, 9g3qx28p7kht
Bird, MEX, 53239a68-389d-42f8-ad28-fa6af312c06d, 98, 13746, No update data, 9g3qx20krsu0
Bird, MEX, 793a68be-7e00-430b-89c4-11730388f68f, 97, 13588, No update data, 9g3qx20kqumx
Bird, MEX, cd467842-2ef6-4ce7-bc8e-d333b4562dad, 61, 8350, No update data, 9g3qx8bppbxw
Bird, MEX, 0bdc43b7-37db-4e7c-bcc3-fabad5644047, 28, 2839, No update data, 9g3qx207x3rn
Bird, MEX, 2303ab26-f440-49dc-a54b-902756fb142e, 85, 11692, No update data, 9g3qx207wcb8
Bird, MEX, c2a114eb-d94d-4e2c-99ef-c1d97bca1b41, 93, 13694, No update data, 9g3qx20db4b8
Bird, MEX, 9d592ade-a37b-401c-9171-cb48d4cb6c9c, 75, 10688, No update data, 9g3qx3pxfvgk
Bird, MEX, 0c081581-ab26-47d7-a51a-df92f6a3be13, 70, 9853, No update data, 9g3qx3t4g4b3
Bird, MEX, 4648b65d-a399-4a54-b06d-fedd051d440d, 94, 13861, No update data, 9g3qx20jzz6m
Bird, MEX, 28783902-2f4a-4e22-acb1-a03e54c907e5, 92, 13527, No update data, 9g3qx206qv0d
Bird, MEX, c7c9c180-b70a-46d8-92bc-9457e20c2a07, 96, 14195, No update data, 9g3qx20jzmx1
Bird, MEX, 4fb452cf-95e7-40c1-a3eb-d0d2076ef381, 94, 13861, No update data, 9g3qx20jzkr4
Bird, MEX, e55c5dda-1fc7-438f-8418-3b156d39c78a, 82, 11857, No update data, 9g3qx209b188
Bird, MEX, 25cb9ef9-1e87-4993-8401-a80c7614b7d5, 97, 14362, No update data, 9g3qx20np17c
Bird, MEX, fdf46c44-51b8-449d-8d15-3fdbb6eecbd3, 99, 13904, No update data, 9g3qx206p3bu
Bird, MEX, 0de30390-2a08-4d45-8de7-7031e23a88eb, 96, 14195, No update data, 9g3qx206ms0v
Bird, MEX, 3616d549-9b9b-47b7-8cc9-d15c879e19b3, 99, 14696, No update data, 9g3qx20jwwdx
Bird, MEX, e42a1443-5975-4735-940a-c73491edc3ad, 90, 13193, No update data, 9g3qx206j88v
Bird, MEX, 511f5f15-ec98-4c5b-894f-b296d674bd27, 73, 9796, No update data, 9g3qx3pz5b2h
Bird, MEX, 11fac914-7ab6-4d5c-ac39-b6037963dc12, 94, 13861, No update data, 9g3qrrwzj0h8
Bird, MEX, efd48a79-c49f-4e7c-9cba-d2ce7b2eae94, 54, 7181, No update data, 9g3qrrc380mr
Bird, MEX, 6f3742bc-3afd-472c-a60a-4141cb88f2f8, 100, 14863, No update data, 9g3qx3e7b0md
Bird, MEX, 97f75477-eeb6-4119-b8c6-cc56fdeb60a3, 85, 11692, No update data, 9g3qrrc1uj5p
Bird, MEX, e62c73b1-9092-42ab-b35f-9d09fcbe7333, 100, 14062, No update data, 9g3qx3e5zzf2
Bird, MEX, 02462fc6-5969-470d-b3b0-22f2becf8938, 96, 13430, No update data, 9g3qx3ek0twv
