Bird, MEX, 5c65aad0-828c-44f0-975f-8b9e475125dd, 97, 14362, No update data, 9g3qx3pfjdw1
Bird, MEX, 7017fcb3-6e54-4ccb-ac76-8c7c750f2216, 75, 10688, No update data, 9g3qx22nshpz
Bird, MEX, 0869efa2-2ef4-44ab-912b-8cb1ce496ff4, 19, 1336, No update data, 9g3qx8bpk4eh
Bird, MEX, 39a959c4-225f-4f51-9388-3851f92703fd, 94, 13861, No update data, 9g3qx20qu8uk
Bird, MEX, b312c637-36e3-4eb8-b9aa-31ce85e701e5, 74, 10521, No update data, 9g3qrrdtneps
Bird, MEX, 40f3fe74-6fb4-4d3f-92ab-c086b6ca5a33, 96, 14195, No update data, 9g3qx20qj26g
Bird, MEX, 1f40a2ca-af10-433f-8b3e-f41958fc290d, 75, 10112, No update data, 9g3qx20qg91w
Bird, MEX, 7c0181d9-d157-4ceb-aea4-1e7064cc426e, 92, 13527, No update data, 9g3qx20mjjss
Bird, MEX, aac7ea9c-f3a6-41f3-8bdc-55a514a56ba6, 94, 13861, No update data, 9g3qx20ms2w0
Bird, MEX, 582d3976-c8ff-4b46-a270-f5d77371a850, 27, 2672, No update data, 9g3qrrbz6wm4
Bird, MEX, c5956a6a-cf33-4a50-9805-a815fd46f063, 99, 14696, No update data, 9g3qx3pukcxy
Bird, MEX, 86873c1a-6f02-49a3-a037-703874bd466b, 51, 6320, No update data, 9g3qrrdnd79g
Bird, MEX, d99eb566-7e3a-4f27-afe2-b8843c4b6835, 34, 3841, No update data, 9g3qrrbys4pc
Bird, MEX, 07531c9c-ab52-428c-8513-1eb1df633584, 84, 12191, No update data, 9g3qx88wkk0j
Bird, MEX, 41841e98-dd02-4244-9a70-f5c0a2dc348b, 90, 12482, No update data, 9g3qx20npehh
Bird, MEX, c4fcdaf3-d59f-467f-abb0-b191b2356f8f, 42, 4898, No update data, 9g3qrrz1kqwk
Bird, MEX, 568e6c03-cbc9-4fa5-9310-ff0afcbe0adf, 84, 11534, No update data, 9g3qx3029bnx
