Bird, MEX, d444da05-24ab-400d-9fd9-3c7e35e92ec6, 78, 11189, No update data, 9g3qx92hhmn3
Bird, MEX, fe1875d4-96f9-40c9-bf94-f709bc436c9c, 48, 6179, No update data, 9g3qx0pdfy5j
Bird, MEX, 23eab94a-aec0-422c-873d-6874163cf9b7, 48, 6179, No update data, 9g3qx0pe8fvp
Bird, MEX, 022770ae-632c-4fb6-9405-12d3167b5b0b, 87, 12692, No update data, 9g3qx0pdczqt
Bird, MEX, 7716661d-02ec-4ae1-8f3b-669821df9093, 54, 7181, No update data, 9g3qx0pe2xyu
Bird, MEX, ba08b0ac-b5e2-4ca1-b1fc-dbd068adaa8b, 100, 14062, No update data, 9g3qrr98upen
Bird, MEX, 45eecc90-326d-4000-b14a-f995400c5d2b, 29, 3006, No update data, 9g3qrxb0t36v
Bird, MEX, 630b6532-d033-4351-8f31-489d98a096cd, 58, 7849, No update data, 9g3qx0pe288x
Bird, MEX, 0ba1cf18-359b-434a-a0a6-90e6d4848d93, 90, 12482, No update data, 9g3qrxb0mpkb
Bird, MEX, 7efa313b-b2d4-428e-9c13-9a6b08b5e3d7, 100, 14863, No update data, 9g3qrr9951yk
Bird, MEX, 8a9264b0-56cc-4ab4-84c8-3c17203abf7d, 51, 6320, No update data, 9g3qx92hmygp
Bird, MEX, 3ae2b625-cd6c-48f4-a479-30ccd5404085, 97, 13588, No update data, 9g3qrxb0y8fu
Bird, MEX, e8285d41-3f5b-4910-a11e-d62040b8b218, 72, 9638, No update data, 9g3qx0rngdzb
Bird, MEX, 997e7973-5a29-4db6-ac84-68aa930a99f9, 78, 11189, No update data, 9g3qx911fmzh
Bird, MEX, beb97eb3-8b97-4d75-8a71-27c7a351191c, 100, 14863, No update data, 9g3qrr98fsm1
Bird, MEX, 8f7a80cf-58df-44d7-8e43-126c46767b06, 85, 12358, No update data, 9g3qx0pd2ym4
Bird, MEX, 2d9a30b6-c4f0-432b-8176-36d6bb701c48, 65, 9018, No update data, 9g3qx0p9cw7r
Bird, MEX, 32e222b0-acd1-4cef-b59c-af0238d4195d, 73, 9796, No update data, 9g3qrrm52nm9
Bird, MEX, aa67c75b-f0e8-4ca2-92e6-d1e128c96c58, 90, 13193, No update data, 9g3qx0p7p1gu
Bird, MEX, 005c9142-b44c-4c54-acb3-0e8d9f1678c1, 81, 11690, No update data, 9g3qx0p6xv6r
Bird, MEX, 19febfba-3469-48dd-a75f-f1fb64ec34b9, 72, 10187, No update data, 9g3qx92hyqhx
Bird, MEX, ff21006b-8547-4524-ac33-65db37873889, 93, 13694, No update data, 9g3qrxb0n0xs
Bird, MEX, bba7f93d-d5c4-4fff-9928-8f098452b102, 71, 9480, No update data, 9g3qx89x8htf
Bird, MEX, 33c2d799-fa8c-4108-a031-5aba530e3786, 91, 13360, No update data, 9g3qx92hyxz8
Bird, MEX, 4839d852-1d85-4016-81c3-aa58f7b13957, 82, 11857, No update data, 9g3qx911uqw2
Bird, MEX, c6223c71-f925-4904-920a-d205cdff2a6d, 81, 11690, No update data, 9g3qrx8pqpck
Bird, MEX, 3d34caa5-82dc-441b-bae7-6364bbeee990, 47, 6012, No update data, 9g3qx810c3jw
Bird, MEX, a59c3067-6ab2-4ceb-a341-0b4308a87c61, 87, 12692, No update data, 9g3qx832xss3
Bird, MEX, cef73ebf-efda-489e-a618-c23e514f4111, 75, 10688, No update data, 9g3qrrm6vzkk
Bird, MEX, e3373e0b-31f8-433f-b042-36365542557a, 47, 5688, No update data, 9g3qx0qvngjt
Bird, MEX, effa76c8-97d9-4963-9056-192f9b95531f, 66, 9185, No update data, 9g3qrr3y05js
Bird, MEX, 589d8217-bddf-4bcf-a446-9457b4549a7a, 54, 7181, No update data, 9g3qx0qvgnnq
Bird, MEX, 74f538cc-176f-45bb-baf4-4562a9ee9a66, 93, 13694, No update data, 9g3qx3g4utum
Bird, MEX, 49ad0f42-2a54-4f51-98db-ad00b59f9cb1, 37, 4342, No update data, 9g3qx8cdjx0n
Bird, MEX, 654feb83-cee1-4fa2-ae07-d27c4cab37ba, 80, 10902, No update data, 9g3qrr6e6805
Bird, MEX, a99fe4cf-b8c7-46e5-b1d1-31717d2bfc27, 84, 12191, No update data, 9g3qx81wcg8w
Bird, MEX, 5fb68bf2-a30b-4bda-bdf0-05be7382e973, 73, 9796, No update data, 9g3qrpzt96bp
Bird, MEX, 8bfde806-8774-4437-ab68-0b24b1f5c11f, 56, 7515, No update data, 9g3qrrk2sxh8
Bird, MEX, ead8075d-4d61-4033-97fd-63f66016eea3, 80, 11523, No update data, 9g3qrrrny8xd
