Bird, MEX, 0898457d-6c07-49ce-bbc3-0a101e078f0f, 35, 4008, No update data, 9g3qx31gppqp
Bird, MEX, 3dbf9117-05e4-4c29-b121-3d730d5c8e56, 80, 11523, No update data, 9g3qx2919vy9
Bird, MEX, 0b5e2905-ce2c-46d1-8010-5b5f23f7e487, 91, 13360, No update data, 9g3qx291c9g6
Bird, MEX, 463fbfec-c83a-4593-a030-20c125df1f5f, 98, 13746, No update data, 9g3qx291cqv6
Bird, MEX, c0ffc683-70aa-4e6e-88fa-bbd6c919d43e, 61, 8350, No update data, 9g3qx29192b6
Bird, MEX, d06a95c6-2924-464b-825d-e9d1c0ee4a7c, 72, 9638, No update data, 9g3qx2918f5f
Bird, MEX, ad296b06-3371-48ac-a6ce-f772c7fbf666, 45, 5678, No update data, 9g3qx232c0fh
Bird, MEX, 1b150f3c-a6f3-4f89-998e-4636d7814d3e, 90, 13193, No update data, 9g3qx291b829
Bird, MEX, 1437ffdf-27d5-4bbc-9b19-d9db89d21270, 98, 13746, No update data, 9g3qx2z6m0ky
Bird, MEX, f329af01-98b4-4be2-80cc-02410e17ce51, 39, 4424, No update data, 9g3qx21t25be
Bird, MEX, d563e036-909c-43dc-9f63-a2d57f8b4ab2, 94, 13861, No update data, 9g3qx21t0pt8
Bird, MEX, 11676849-fa45-46d7-b9c6-00b7af2a96f8, 96, 14195, No update data, 9g3qx21mrr2b
Bird, MEX, f0508f32-3439-45d8-9ad6-c136bca1de5e, 94, 13114, No update data, 9g3qx23229wv
Bird, MEX, 426af09a-5a06-4a69-8f6c-41e3d6c27601, 98, 13746, No update data, 9g3qx230zmz5
Bird, MEX, c42b12d0-d825-46fb-b7b8-5e7e3e40b045, 97, 13588, No update data, 9g3qx2322e0x
Bird, MEX, aeff1c5d-3f89-49d9-a258-0f6a8edd86fa, 74, 9954, No update data, 9g3qx28cxr2g
Bird, MEX, ddd327f8-abc8-44c8-b1e1-fa8a772368f1, 94, 13861, No update data, 9g3qx28fnft9
Bird, MEX, c89e2458-487a-45c4-af35-80e7f1325411, 33, 3674, No update data, 9g3qx230peu0
Bird, MEX, 75b3e13f-1c08-472b-96b5-07763bc3b599, 84, 11534, No update data, 9g3qx28cq13h
Bird, MEX, 8687f5b9-f008-49ea-96d9-2c85cfc3b123, 52, 6847, No update data, 9g3qx2xdsypg
Bird, MEX, c1ed9555-d7ce-4c0a-8d50-dcaccdcc6a96, 92, 12798, No update data, 9g3qx2zm5bsy
Bird, MEX, 03e18611-207f-4ffe-813a-dbe461066000, 33, 3674, No update data, 9g3qx21c027e
Bird, MEX, 729d35bf-6723-4162-b83b-f33d3de30b12, 64, 8851, No update data, 9g3qx2xxt6pf
Bird, MEX, 42865ed9-bfba-4880-88a7-4bf1e0c3ba9f, 93, 13694, No update data, 9g3qx3m7qdds
Bird, MEX, 7aed04a9-4909-4bd2-a5dc-dc9397b66361, 40, 4582, No update data, 9g3qx2zef261
Bird, MEX, b96e0327-1eda-40dc-8df5-616d5a0869b4, 91, 12640, No update data, 9g3qx3m7trru
Bird, MEX, b65804ec-46ae-47f3-bfd1-a890295b5f9e, 92, 12798, No update data, 9g3qx3m7u7wr
Bird, MEX, f4cc32c2-fa44-4d7b-b3ce-cc7a907caf84, 92, 13527, No update data, 9g3qx2zeeykv
Bird, MEX, b165a585-34ef-49ee-9a32-6246522edc71, 97, 13588, No update data, 9g3qx2zeu2q3
Bird, MEX, 24feb8fa-dcc9-4c1e-9739-989a29c5130d, 93, 13694, No update data, 9g3qx2zskk0j
Bird, MEX, a02efcf0-fc53-4f4d-8aa5-5c1ee4ec80cc, 96, 14195, No update data, 9g3qx21hprbc
Bird, MEX, 85218d49-6f05-4e7b-a307-cf9d7ceed076, 48, 5846, No update data, 9g3qx31znjp3
Bird, MEX, 93ccd576-eaae-4e55-9daa-d3652f5db242, 31, 3340, No update data, 9g3qrrf7jzhj
Bird, MEX, ae075050-3b8d-45dc-bf37-3d81b653c211, 93, 13694, No update data, 9g3qx2zeqxxe
Bird, MEX, 18042911-af7d-4943-a5b0-8a5d938ca095, 46, 5530, No update data, 9g3qx2zsmkpv
Bird, MEX, 9dd2950e-bd9c-442e-b074-2eb8848634e0, 78, 11189, No update data, 9g3qx3ms550q
Bird, MEX, de2944d3-94f9-4107-af70-1ee60190e231, 97, 13588, No update data, 9g3qx215ybbu
Bird, MEX, 511f5f15-ec98-4c5b-894f-b296d674bd27, 98, 13746, No update data, 9g3qx2zwdmf4
Bird, MEX, fb52da94-f44b-458a-8632-187ccdb61cfa, 91, 13360, No update data, 9g3qx2zsvgen
Bird, MEX, 61878a4d-6e9f-4315-a33f-d85be43f0544, 45, 5372, No update data, 9g3qx2xgpnk0
Bird, MEX, 50b8ba47-732f-4d7a-bf7c-369e636aa2e0, 52, 6478, No update data, 9g3qx22eyjx6
Bird, MEX, e65bd957-cef3-42fb-a6f8-d30953fd8793, 100, 14062, No update data, 9g3qx3mm8c7z
Bird, MEX, 5f7c89ea-5d6b-4c48-b6ca-d687f930ea53, 58, 7849, No update data, 9g3qrrf9nez8
Bird, MEX, 3f085527-7040-43a2-881b-f4bbaa1c28e4, 98, 13746, No update data, 9g3qx214yhzm
Bird, MEX, baab2632-4df5-42b7-be7a-feff70750bf0, 87, 12008, No update data, 9g3qx215k6q1
Bird, MEX, 39809edf-8d8c-4cf9-abdb-5c9f19b5c48a, 55, 6952, No update data, 9g3qx3q59uyu
Bird, MEX, 29c8c95c-0b4e-4798-9860-ec0efff74898, 63, 8216, No update data, 9g3qx2zyuheh
Bird, MEX, b0d54c9f-a0e5-4398-a900-7abbd4021438, 55, 7348, No update data, 9g3qx2zyt5kf
Bird, MEX, 84fa1fe7-5bed-4b58-85e8-897024785305, 84, 11534, No update data, 9g3qx20u88wb
Bird, MEX, 6decf21c-bc58-4f07-82b6-2673eaecbcc8, 61, 8350, No update data, 9g3qx8bj3kv3
Bird, MEX, f9b420fa-60ed-4d20-8944-1c5c3b8abcd7, 100, 14863, No update data, 9g3qx3pdz61j
Bird, MEX, 5c65aad0-828c-44f0-975f-8b9e475125dd, 99, 14696, No update data, 9g3qx3pdz7rm
Bird, MEX, a53e7913-0289-45df-964a-83a2c3a6d0fd, 73, 10354, No update data, 9g3qx8bnd3rn
Bird, MEX, 7017fcb3-6e54-4ccb-ac76-8c7c750f2216, 76, 10855, No update data, 9g3qx22nqumx
Bird, MEX, 3f30d8c9-69b7-478c-a540-a10464cfbe1e, 85, 11692, No update data, 9g3qx3pg0ssq
Bird, MEX, 7c0181d9-d157-4ceb-aea4-1e7064cc426e, 94, 13861, No update data, 9g3qx20sk54z
Bird, MEX, 0869efa2-2ef4-44ab-912b-8cb1ce496ff4, 21, 1670, No update data, 9g3qx8bnhx5q
Bird, MEX, 2ff0d374-6250-4182-ba8f-9c7c05fd4124, 30, 3173, No update data, 9g3qx8bnge9z
Bird, MEX, b312c637-36e3-4eb8-b9aa-31ce85e701e5, 75, 10688, No update data, 9g3qrrdv0nbe
Bird, MEX, b152e8e8-c66e-4442-813a-7fed6410011b, 87, 12692, No update data, 9g3qx20myj91
Bird, MEX, d99eb566-7e3a-4f27-afe2-b8843c4b6835, 35, 4008, No update data, 9g3qrrbzm9tv
Bird, MEX, 84cd6152-e2f1-472d-9bf5-52b8dd2b2f52, 91, 13360, No update data, 9g3qx20mmt0f
Bird, MEX, b809051c-00e9-4c68-b0fd-bc3ded6d78fd, 91, 13360, No update data, 9g3qx20b8d09
Bird, MEX, 1f40a2ca-af10-433f-8b3e-f41958fc290d, 78, 10586, No update data, 9g3qx20q58xv
Bird, MEX, 04adfd4c-cb44-4a30-8441-1344c7477a6e, 94, 13861, No update data, 9g3qx20ddggj
