Bird, MEX, 35c99ecd-6a8c-4aad-bd24-63c438269baf, 47, 5688, No update data, 9g3qrx77rvrs
Bird, MEX, 1ef274d4-8a36-4fac-ba02-17bb35defcbd, 48, 5846, No update data, 9g3qx9gn81jy
Bird, MEX, 890d4dac-c1da-489d-b3a9-6961756c31f2, 62, 8517, No update data, 9g3qrnxzz15v
Bird, MEX, 37a54d09-d18e-4531-849f-0be029544172, 61, 7900, No update data, 9g3qx8m0gd3y
Bird, MEX, ff253764-0512-44ba-84eb-299d2b6d5486, 83, 11376, No update data, 9g3qrq8u75uh
Bird, MEX, 8e6d1109-1285-4c63-a0b6-a52fc150bfb9, 48, 5846, No update data, 9g3qrq8sufpd
Bird, MEX, 4cb9a1e3-b7ef-43ff-99da-2d49006788ee, 54, 7181, No update data, 9g3qrqw07gkz
Bird, MEX, 762701c2-5767-4ae1-8e46-60cb02fef5ff, 61, 8350, No update data, 9g3qrq6z9v2m
Bird, MEX, 68d70897-e54f-4af7-860a-c62401f912d7, 88, 12166, No update data, 9g3qrqx6debk
Bird, MEX, dcd0007a-a699-4801-bc6f-c9ed221dea7f, 94, 13114, No update data, 9g3qrwfpnrkw
Bird, MEX, e19ad9cd-d8a9-4613-9620-f3816d6edf34, 89, 13026, No update data, 9g3qrwc1wbmy
Bird, MEX, e7cf59b0-768c-49b6-8032-098c1a643c82, 88, 12859, No update data, 9g3qrwc1qdfg
Bird, MEX, af29da6c-8239-4831-b6da-7bacf0bd466c, 74, 10521, No update data, 9g3qrwc1npps
Bird, MEX, be5260d2-e509-402a-a7bd-416f4f14822c, 73, 10354, No update data, 9g3qrwc1q86u
Bird, MEX, f98451f5-f199-443f-bc51-697564666377, 92, 9558, No update data, 9g3qrwc1nszz
Bird, MEX, a9da17f1-955f-46ec-96a0-3ffe2ef3ff6d, 63, 8216, No update data, 9g3qrnxygezy
Bird, MEX, 2297d707-8041-4c05-9411-a8e7c77160ab, 72, 9638, No update data, 9g3qrx42hbrf
Bird, MEX, 6e08ff6e-9bd6-42f1-945f-edc0047d59a1, 82, 11857, No update data, 9g3qrqmw61eg
Bird, MEX, aac9b321-e6da-4953-9f2d-80a40594d73f, 82, 11218, No update data, 9g3qrwc21e7t
Bird, MEX, 0ec9dc95-9ff4-4312-808d-ac276d63ad49, 30, 3173, No update data, 9g3qx0g1ffg1
