Bird, MEX, 0de30390-2a08-4d45-8de7-7031e23a88eb, 97, 14362, No update data, 9g3qx20e9vb3
Bird, MEX, cd467842-2ef6-4ce7-bc8e-d333b4562dad, 62, 8517, No update data, 9g3qx8bpjmrg
Bird, MEX, 9e09f84e-8e8b-44fc-8f66-70f2af59dedd, 67, 8848, No update data, 9g3qx28p7qst
Bird, MEX, c692401e-ff10-44ff-a15b-7d1f2d4c041b, 49, 6004, No update data, 9g3qx8bq86ey
Bird, MEX, 8cba6cde-a83a-4e8a-a76e-ac875b990d63, 92, 13527, No update data, 9g3qx20me7se
Bird, MEX, e55c5dda-1fc7-438f-8418-3b156d39c78a, 83, 12024, No update data, 9g3qx20d8z5c
Bird, MEX, 7a555408-d8d3-42aa-a998-2d93c814bfd4, 58, 7426, No update data, 9g3qx8bqc1f7
Bird, MEX, e42a1443-5975-4735-940a-c73491edc3ad, 91, 13360, No update data, 9g3qx20d34d5
Bird, MEX, c2a114eb-d94d-4e2c-99ef-c1d97bca1b41, 94, 13861, No update data, 9g3qx206zqz1
Bird, MEX, 0c081581-ab26-47d7-a51a-df92f6a3be13, 70, 9853, No update data, 9g3qx3t4fg7m
Bird, MEX, 28783902-2f4a-4e22-acb1-a03e54c907e5, 93, 13694, No update data, 9g3qx206qz8d
Bird, MEX, 470f3b8c-a155-4677-9e5f-00fb0ae898a8, 99, 13904, No update data, 9g3qx209b828
Bird, MEX, 3616d549-9b9b-47b7-8cc9-d15c879e19b3, 99, 14696, No update data, 9g3qx20jzf6q
Bird, MEX, 4fb452cf-95e7-40c1-a3eb-d0d2076ef381, 96, 14195, No update data, 9g3qx20jzjec
Bird, MEX, 25cb9ef9-1e87-4993-8401-a80c7614b7d5, 97, 14362, No update data, 9g3qx20jzj5z
Bird, MEX, 4648b65d-a399-4a54-b06d-fedd051d440d, 94, 13861, No update data, 9g3qx20nnf0x
Bird, MEX, fdf46c44-51b8-449d-8d15-3fdbb6eecbd3, 99, 13904, No update data, 9g3qx20984vr
Bird, MEX, c26f0539-6bba-417a-99a6-e2ebdbecbf99, 96, 14195, No update data, 9g3qx203xv6r
Bird, MEX, c7c9c180-b70a-46d8-92bc-9457e20c2a07, 96, 14195, No update data, 9g3qx20jvq4t
Bird, MEX, efd48a79-c49f-4e7c-9cba-d2ce7b2eae94, 55, 7348, No update data, 9g3qrrc1qgt8
Bird, MEX, 11fac914-7ab6-4d5c-ac39-b6037963dc12, 96, 14195, No update data, 9g3qrrwywp12
Bird, MEX, 97f75477-eeb6-4119-b8c6-cc56fdeb60a3, 85, 11692, No update data, 9g3qrrc41tgm
Bird, MEX, 511f5f15-ec98-4c5b-894f-b296d674bd27, 74, 9954, No update data, 9g3qx90nmcen
Bird, MEX, 60c11868-0dc1-493c-8e0c-538081eb4184, 89, 12324, No update data, 9g3qx200xkbg
Bird, MEX, c479096a-dfb9-4374-b9c8-e1d4007bf053, 62, 8517, No update data, 9g3qx0zdtw8z
Bird, MEX, 146d9dc6-5200-497e-95d0-258bf2ab5396, 92, 13527, No update data, 9g3qx90e8wz0
Bird, MEX, 7007dba4-57be-43c2-997d-6545181a14db, 56, 7515, No update data, 9g3qx83j5q78
Bird, MEX, 1238f8ef-6128-4980-87d0-24367a84886e, 52, 6478, No update data, 9g3qrrw9vwqp
Bird, MEX, 7519aead-16eb-4f46-acab-68616666ed7b, 84, 11534, No update data, 9g3qrr7v5dcd
Bird, MEX, b2e70314-d0ec-41b4-9ef0-cc7569719a32, 52, 6847, No update data, 9g3qx80grwuq
Bird, MEX, 6f2b92ce-9a2a-4ee7-9c45-7e7fc4b057cb, 57, 7682, No update data, 9g3qrr6wj26f
