Bird, MEX, 7bd2f498-2d2e-49be-88d4-7129528eb6f9, 44, 5511, No update data, 9g3qx2fnkpe5
Bird, MEX, 1be1df4a-da00-4da9-b129-a01fadab33e0, 88, 12859, No update data, 9g3qx2yss724
Bird, MEX, 2a5325db-3946-4d15-ac61-26abefd8c45e, 49, 6346, No update data, 9g3qx2yey9ze
Bird, MEX, 7c0181d9-d157-4ceb-aea4-1e7064cc426e, 82, 11857, No update data, 9g3qx2ysuvcs
Bird, MEX, ec93a8ad-2344-40f4-8e47-7a55efbe2166, 67, 8848, No update data, 9g3qx2nxv0k8
Bird, MEX, 72f06b9f-866d-4f91-ab4f-fbcf30e96930, 43, 5056, No update data, 9g3qx23etkdc
Bird, MEX, 5c0c2710-6988-4724-83d3-75c0f4b4b4cf, 57, 7268, No update data, 9g3qx21zjjuw
Bird, MEX, c8042a6b-5832-412d-a797-ea6375a3937f, 64, 8851, No update data, 9g3qx23ek05h
Bird, MEX, f2a77fec-f13f-4714-91c3-8b83edf00e55, 57, 7268, No update data, 9g3qx23duprv
Bird, MEX, cfd29ecf-3251-4c2d-9fd9-e5d47d75f075, 70, 9322, No update data, 9g3qx23djrxb
Bird, MEX, e697081f-a2a0-4f84-be17-971cd9c4372b, 92, 13527, No update data, 9g3qx2yv23ey
Bird, MEX, b3c0b887-3039-41af-90d0-4625064ae431, 84, 11534, No update data, 9g3qx23dhmyn
Bird, MEX, 24ad8133-a7fa-4cf0-8e41-66fac3d9959f, 93, 12956, No update data, 9g3qx21z4bgr
Bird, MEX, 52eae0a5-4b44-46ce-abc0-a630dbb9ecce, 49, 6346, No update data, 9g3qx2qcqmhe
Bird, MEX, 2e1ac500-e4b8-470c-9065-1f152038be2c, 80, 10902, No update data, 9g3qx2z4f9b5
Bird, MEX, c893effe-00ee-4387-8b1e-6a70390f84db, 87, 12008, No update data, 9g3qx2391h6h
Bird, MEX, bc03ac2e-02f6-4459-ae14-cd8f0f24e3de, 40, 4582, No update data, 9g3qx2ct5pnq
Bird, MEX, 6f8130ff-0110-410a-a838-ad21ad88e88a, 94, 13114, No update data, 9g3qx21ww595
Bird, MEX, ceb26f54-09ec-44b4-b928-476cf5a82926, 93, 12956, No update data, 9g3qx21xh2n1
Bird, MEX, f63c3a17-2c22-4183-a7a7-ca571f3cb2c8, 66, 8690, No update data, 9g3qx2z5n5z9
Bird, MEX, eb0a9af9-09bb-4a85-9b1f-37d0512f7ceb, 83, 11376, No update data, 9g3qx233j7pu
Bird, MEX, 847e0733-5631-469d-a432-1495ff3996af, 91, 12640, No update data, 9g3qx21x19gm
Bird, MEX, 1ba2076a-c5ee-4b15-8423-b3a3a18e9287, 98, 13746, No update data, 9g3qx232vsjb
Bird, MEX, c4cff106-3e30-4e43-81a7-4acba397309f, 78, 11189, No update data, 9g3qx3njpgf3
Bird, MEX, fab2725e-6ed9-4a78-9747-f58fc250f902, 73, 10354, No update data, 9g3qx23nm6fv
