Bird, MEX, 9e68ac62-5e5a-44d2-9ba8-e33101e08f8a, 63, 8216, No update data, 9g3qx0zggxzb
Bird, MEX, 1acfaf02-8a82-4144-964c-c6c7bb75c29c, 84, 11534, No update data, 9g3qrxbj81je
Bird, MEX, bbddcd29-395e-49d0-8458-8a342b3a77dd, 44, 5511, No update data, 9g3qx3tgsp54
Bird, MEX, e1a08218-63a2-40ab-af37-a1b6bc996651, 74, 9954, No update data, 9g3qrr9te8zc
Bird, MEX, f51e7ec1-b4a8-4166-b665-84331e145047, 81, 11060, No update data, 9g3qx32gt1u9
Bird, MEX, b6e0b502-f16a-4d1d-ada5-2025d875c867, 49, 6004, No update data, 9g3qrrz8dp5b
Bird, MEX, c1434cb1-8551-499e-ab1e-99204f6805ac, 100, 14863, No update data, 9g3qx90mh38h
Bird, MEX, 1ff482f5-497d-4140-8c5f-613ff34dab55, 100, 14062, No update data, 9g3qx90q32v2
Bird, MEX, c2a114eb-d94d-4e2c-99ef-c1d97bca1b41, 100, 14863, No update data, 9g3qx90m7gm0
Bird, MEX, cf16fd66-9688-4fe8-b72d-2d7c86ace9b9, 47, 5688, No update data, 9g3qrrmr4xv1
Bird, MEX, 16b33ec8-f236-4b3b-a9b4-9ca35d565c9f, 100, 14062, No update data, 9g3qx90kyjzs
Bird, MEX, adf98b91-2483-4c81-ae3a-5bb626ab5bdf, 99, 14696, No update data, 9g3qx90kypz8
Bird, MEX, e719f9a5-3fda-4964-b6e8-c6b69f09f324, 100, 14863, No update data, 9g3qx90q5r5x
Bird, MEX, cbc4863e-3d13-4094-b792-544f22e6103d, 83, 11376, No update data, 9g3qx39c85tt
Bird, MEX, 29dcbbf0-b2bb-493b-ad81-713ea3182fcc, 75, 10688, No update data, 9g3qrr9eryfq
Bird, MEX, 6ee61a39-8aa7-498a-91d5-0956bcbce03d, 37, 3068, No update data, 9g3qrrkyn86d
Bird, MEX, 8a073e6f-7697-4321-a14d-884b2d21e9e9, 43, 5056, No update data, 9g3qx8097fm1
Bird, MEX, f23e63b4-f266-44f2-b28a-9f449b125334, 83, 12024, No update data, 9g3qx3spwtpx
Bird, MEX, 12f22942-6388-4385-8307-5f63b4eccc74, 100, 14062, No update data, 9g3qx90t9447
Bird, MEX, 64882091-c3da-4922-ab1c-005946c410c0, 49, 6346, No update data, 9g3qx3u0jr4z
Bird, MEX, a80a0e3d-32fb-41be-b5ce-99707bc72d82, 46, 5530, No update data, 9g3qx80fepqd
Bird, MEX, 3ec7df91-9d64-45d0-b95d-37bd0a69d95b, 70, 9322, No update data, 9g3qx922sk20
Bird, MEX, 6b8c01a5-1265-43d0-93a0-619ea2a9959d, 56, 7110, No update data, 9g3qrr97ejb0
Bird, MEX, 1aadf93f-3d89-4440-8157-1b0f962a2a1b, 72, 9638, No update data, 9g3qx3ep9hd5
Bird, MEX, b356a606-0392-41bc-9c21-22b5c31d2268, 49, 6346, No update data, 9g3qx3epc2tk
Bird, MEX, 46edcc60-cfe6-4333-a2e5-00320bff34b0, 48, 6179, No update data, 9g3qx3epc60q
Bird, MEX, 0a222351-323c-457c-a14e-2db4ac98e2ef, 54, 7181, No update data, 9g3qrr6tvnkw
Bird, MEX, d0a37f46-5dfb-47e6-a34f-595fffcaa269, 84, 12191, No update data, 9g3qx92h7cj4
Bird, MEX, d63a5384-6800-41a2-a928-ad2a392ba621, 100, 14863, No update data, 9g3qx90gkzrc
Bird, MEX, e4a228a7-0632-4db2-a862-66f4707228bb, 30, 3173, No update data, 9g3qrrkun51k
Bird, MEX, f17d49c5-1830-4e58-a34d-1dd840990418, 62, 8517, No update data, 9g3qx92hkupy
Bird, MEX, 6ac743a3-c57d-4c1d-af18-edb4505a323a, 100, 14062, No update data, 9g3qx90gw6sw
Bird, MEX, 0c52423a-a46f-4da3-9bf2-f222aa066682, 84, 12191, No update data, 9g3qrrmkpsup
Bird, MEX, 07f32d5a-8b03-4218-9b60-e5ebb5fee414, 90, 9322, No update data, 9g3qrrmkn2k6
Bird, MEX, 6b7d74e4-9c60-429a-a13f-fe187ca8c8ff, 84, 12191, No update data, 9g3qrrmknbvy
Bird, MEX, 603a5bbc-b7ec-4195-8997-81f71a5bc1d2, 84, 12191, No update data, 9g3qrrm7yzty
Bird, MEX, e26c615d-d329-47e8-b1f0-73de7cb92643, 65, 9018, No update data, 9g3qrr94s5gj
Bird, MEX, c0562087-eaf1-4672-9c9f-f95647255dc5, 66, 9185, No update data, 9g3qrr92xcdr
Bird, MEX, 81ff88c2-3c3a-4710-9b86-0798ac82fb5c, 85, 11692, No update data, 9g3qx0p3p68b
Bird, MEX, 1cce273a-ba00-4297-9805-7073ea67ada6, 67, 9352, No update data, 9g3qrrm6gh23
Bird, MEX, 0b98cad9-d526-43aa-8163-cf5119176ae0, 75, 10112, No update data, 9g3qrrkfhpg1
Bird, MEX, 06c263a9-ec74-4d06-b21f-9a884a753846, 73, 10354, No update data, 9g3qx91huje6
Bird, MEX, 1cb482fe-b69b-4dec-864b-bc5ad605045b, 44, 5214, No update data, 9g3qrx8r76ed
Bird, MEX, dccc66b4-d876-438f-bc75-1eec3e5788e5, 100, 14863, No update data, 9g3qx0p37nwk
Bird, MEX, c1e29dd6-5ad3-4029-8506-b56d423a077d, 98, 14529, No update data, 9g3qx0p2khzb
