Bird, MEX, a630707b-eb33-4689-a62e-159595cb299d, 53, 7014, No update data, 9g3qx239uts6
Bird, MEX, dce30b71-4edc-4de7-a9e6-549625b198d4, 33, 3674, No update data, 9g3qx29kj4s9
Bird, MEX, f24df0e6-f155-4c23-a342-7d136a7ffede, 65, 8532, No update data, 9g3qx2yuew3v
Bird, MEX, b8a406d0-21a3-47d2-8c38-904871c4fe0b, 85, 11692, No update data, 9g3qrrvqrrr2
Bird, MEX, d2c0650a-83c1-4f71-9d2c-923176153731, 37, 4342, No update data, 9g3qx34ynymc
Bird, MEX, bf5ec4c8-da3a-4910-9bbb-1331c00cab73, 85, 12358, No update data, 9g3qx23d91f0
Bird, MEX, 6f961793-dfa1-41bb-9acf-4c85c6874784, 94, 13114, No update data, 9g3qx239c0fh
Bird, MEX, cbe17d51-31ab-4aa5-bba7-35074971a457, 81, 11690, No update data, 9g3qx239837w
Bird, MEX, 7fa226d7-bd68-493d-b1f7-c7058b5b7b97, 63, 8684, No update data, 9g3qx233wut9
Bird, MEX, 8ee4d6a4-c78a-456c-a92a-23478e3b05e3, 53, 7014, No update data, 9g3qx233n8fx
Bird, MEX, 891fc6a9-d894-4669-a06a-d0e2a7c8db33, 87, 12008, No update data, 9g3qx2r4nrud
Bird, MEX, 1437ffdf-27d5-4bbc-9b19-d9db89d21270, 96, 13430, No update data, 9g3qx2z4x6rk
Bird, MEX, 69ba4f0f-2047-4769-ba41-bdb24a8ddce8, 92, 13527, No update data, 9g3qx3m1hzx9
Bird, MEX, 9c49f51f-daaf-49ba-89db-bc6e4a0f8077, 48, 5846, No update data, 9g3qx29jj26g
Bird, MEX, acb72495-837a-4590-93c2-3be5d54a5dda, 88, 12859, No update data, 9g3qx232w11h
Bird, MEX, 1bd33212-824d-4683-97ca-9f9efbc02fdf, 48, 5846, No update data, 9g3qx2r1zkp2
Bird, MEX, a428309e-32dd-4b83-8d2e-1898ddc18a04, 92, 13527, No update data, 9g3qx3m1scrx
Bird, MEX, ffbe2be1-7255-4f38-8ca2-65a956a245e9, 52, 6478, No update data, 9g3qx232g9cd
Bird, MEX, 1b150f3c-a6f3-4f89-998e-4636d7814d3e, 85, 12358, No update data, 9g3qx2919p41
Bird, MEX, 2ecd13ae-57a3-4c6a-9f9c-926263a4652d, 75, 10112, No update data, 9g3qx3netfsq
Bird, MEX, f0508f32-3439-45d8-9ad6-c136bca1de5e, 92, 12798, No update data, 9g3qx230pbfr
Bird, MEX, f01b6072-8cec-4a8f-a633-844c23e827c2, 81, 11690, No update data, 9g3qx2z6rr95
Bird, MEX, b1ce5df1-99c2-4c10-88e2-ba5175042ffe, 36, 4175, No update data, 9g3qx2zptpkg
Bird, MEX, 03e18611-207f-4ffe-813a-dbe461066000, 30, 3173, No update data, 9g3qx21c8snz
Bird, MEX, c42b12d0-d825-46fb-b7b8-5e7e3e40b045, 94, 13114, No update data, 9g3qx21q4nkb
Bird, MEX, 0b5e2905-ce2c-46d1-8010-5b5f23f7e487, 88, 12859, No update data, 9g3qx28gkjpg
Bird, MEX, b65804ec-46ae-47f3-bfd1-a890295b5f9e, 100, 14062, No update data, 9g3qx3m7j74y
Bird, MEX, b96e0327-1eda-40dc-8df5-616d5a0869b4, 100, 14062, No update data, 9g3qx3m7hzce
Bird, MEX, e65bd957-cef3-42fb-a6f8-d30953fd8793, 100, 14062, No update data, 9g3qx3m7njcr
Bird, MEX, 0f1178ca-63e7-4f0f-92e6-c99a4faec8e2, 80, 10902, No update data, 9g3qx3mdfb76
Bird, MEX, 4e1e5499-0d88-4599-b5c0-0bfd898545a6, 97, 13588, No update data, 9g3qx21ps4pf
Bird, MEX, 42865ed9-bfba-4880-88a7-4bf1e0c3ba9f, 93, 13694, No update data, 9g3qx3m7qdds
Bird, MEX, c978653b-9807-40e9-a1c0-a8ec612e570f, 75, 10688, No update data, 9g3qx2306k1v
Bird, MEX, 0cf2fd66-b439-4624-9d9c-aa8d0078e893, 31, 3340, No update data, 9g3qrrv0c3b6
Bird, MEX, ad296b06-3371-48ac-a6ce-f772c7fbf666, 44, 5511, No update data, 9g3qx21nj26g
Bird, MEX, 85218d49-6f05-4e7b-a307-cf9d7ceed076, 47, 5688, No update data, 9g3qx31ywrh6
Bird, MEX, 93ccd576-eaae-4e55-9daa-d3652f5db242, 29, 3006, No update data, 9g3qrrf7r9up
Bird, MEX, 234939d4-0e76-49a8-9988-f35b2126ef93, 89, 13026, No update data, 9g3qx3nx7cku
Bird, MEX, 9dd2950e-bd9c-442e-b074-2eb8848634e0, 75, 10688, No update data, 9g3qx3megrg8
Bird, MEX, 8f131170-e4a6-4a11-804c-9c5ceefad428, 60, 7742, No update data, 9g3qrrv9r335
Bird, MEX, fe09ac05-2109-4323-b449-721e5388cef0, 84, 11534, No update data, 9g3qx21hm2pe
Bird, MEX, fb52da94-f44b-458a-8632-187ccdb61cfa, 88, 12859, No update data, 9g3qx2zswp37
Bird, MEX, 39809edf-8d8c-4cf9-abdb-5c9f19b5c48a, 53, 6636, No update data, 9g3qx3mgbtx5
Bird, MEX, e8dc60fe-4f60-4ecf-a47d-aa6a5e96bf58, 42, 5177, No update data, 9g3qrrv8zhuj
Bird, MEX, c75ea55e-31b7-42e1-8d7e-37ca7b941116, 93, 13694, No update data, 9g3qx21h5ery
Bird, MEX, 729d35bf-6723-4162-b83b-f33d3de30b12, 61, 8350, No update data, 9g3qx2xzy516
Bird, MEX, a02efcf0-fc53-4f4d-8aa5-5c1ee4ec80cc, 92, 13527, No update data, 9g3qx215dk9c
Bird, MEX, 50b8ba47-732f-4d7a-bf7c-369e636aa2e0, 49, 6004, No update data, 9g3qx22dexpc
Bird, MEX, 3f30d8c9-69b7-478c-a540-a10464cfbe1e, 83, 11376, No update data, 9g3qx2zy1pd2
Bird, MEX, 5f7c89ea-5d6b-4c48-b6ca-d687f930ea53, 55, 7348, No update data, 9g3qrrf8km04
Bird, MEX, b0d54c9f-a0e5-4398-a900-7abbd4021438, 51, 6680, No update data, 9g3qx2zvfdjj
Bird, MEX, 5e7d130a-4151-46d4-8783-0fb31f901903, 80, 10902, No update data, 9g3qx364e4n7
Bird, MEX, 88e977d2-d2c5-4e77-a02a-483bbde956ce, 73, 9796, No update data, 9g3qx2zyeked
