Bird, MEX, 1a6f3f3b-d6dc-4299-ac97-9dba4b65aac9, 100, 14062, No update data, 9g3qx22cjtmf
Bird, MEX, 277c32ea-cf96-4c35-a814-7cbd4dbc0c25, 96, 13430, No update data, 9g3qx21hqvtw
Bird, MEX, e3375cd3-963a-48af-af18-237859a9535b, 98, 14529, No update data, 9g3qx21hqz8f
Bird, MEX, 4bdd6ec9-f06c-4393-b7fb-1a12edd7eae6, 82, 11857, No update data, 9g3qx28dtbhn
Bird, MEX, 4b3bbe0b-bb51-44d1-9ad7-557e2634e218, 94, 13861, No update data, 9g3qx2zsjdw1
Bird, MEX, 3a75aa6a-4145-4766-81a2-61779dd4784a, 97, 14362, No update data, 9g3qx2zsut72
Bird, MEX, a7e8f439-f12f-4497-81be-216480d0fa4e, 97, 14362, No update data, 9g3qx21j5zuc
Bird, MEX, 116417a6-7e94-485a-896a-29d8fbc85142, 100, 14062, No update data, 9g3qx21hjgu0
Bird, MEX, 5ae649f8-abe1-45c3-93d7-3922bfd013c4, 97, 14362, No update data, 9g3qx2zsngvc
Bird, MEX, 8d8428e9-90d6-42cd-b265-826edfd1a094, 94, 13861, No update data, 9g3qx2zswmhw
Bird, MEX, 58442098-3fe4-4c93-8287-d6fc8b3ba4c7, 96, 14195, No update data, 9g3qx215vuk4
Bird, MEX, 19e2a7fa-ea4c-4521-afcb-290f3edb2688, 100, 14062, No update data, 9g3qx2zsr39n
Bird, MEX, 270c39fb-f9e7-4950-bdce-db9a6067f1c9, 94, 13861, No update data, 9g3qx2zsr2pk
Bird, MEX, e02162db-4e96-43c8-a9f2-46624143c2b4, 93, 13694, No update data, 9g3qx2ztt6pf
Bird, MEX, 90b4f26d-97a2-497b-8244-1fb9f1ea8687, 55, 7348, No update data, 9g3qx2bf8hvk
Bird, MEX, 0a798980-a0ca-4c04-8533-da3a1dcbc92e, 93, 13694, No update data, 9g3qx2zu0d8c
Bird, MEX, 2e1ac500-e4b8-470c-9065-1f152038be2c, 97, 13588, No update data, 9g3qx2ztnftc
Bird, MEX, 1de46640-3af7-4775-b2eb-17a5b3710166, 97, 14362, No update data, 9g3qx214yyjt
Bird, MEX, a027955f-3471-418c-9c66-26191f050f19, 98, 13746, No update data, 9g3qx2zu8hm8
Bird, MEX, bdf73438-8d47-40fc-bf01-1bff6bb08fe7, 93, 13694, No update data, 9g3qx215s2y4
Bird, MEX, f716940f-a075-48f9-9b12-5ff4307c97fa, 45, 5678, No update data, 9g3qx2psfwb3
Bird, MEX, 26187cd1-9b1d-4048-a8f2-e202479c8752, 97, 13588, No update data, 9g3qx2zwnztb
Bird, MEX, f1641e00-b56b-4f3b-9170-003fd99e4ea5, 100, 14062, No update data, 9g3qx28qdsm0
Bird, MEX, b7576de8-8d6e-4d24-89d4-43ccc20e86b6, 94, 9794, No update data, 9g3qx2zzm8y0
Bird, MEX, a45e2376-bae6-464e-93fc-54f587107b5e, 72, 9638, No update data, 9g3qx8bj3nr7
Bird, MEX, 39298bbd-04c3-47e1-9e44-aba7ba98b4bd, 88, 12166, No update data, 9g3qx2zyx3rq
Bird, MEX, 594557b2-0a49-4271-b3ef-77ec6e7b8935, 61, 7900, No update data, 9g3qx2zyygjg
Bird, MEX, e985c43e-54ba-4b55-865a-775022f12231, 100, 14863, No update data, 9g3qx28r9ubk
Bird, MEX, 3c09c7b9-79ed-4cf0-a853-c55068ad3ada, 78, 10586, No update data, 9g3qx8bjcb8e
Bird, MEX, 813eee54-a6fe-4498-9ea5-c26820e6a2b6, 81, 11060, No update data, 9g3qx8bn30f2
Bird, MEX, a6dbbfa9-aac9-4ca6-a1c4-ae131ca613ff, 100, 14062, No update data, 9g3qx8bn9rm7
Bird, MEX, e70e221c-4f6c-4f2d-a475-0daf97791a14, 92, 12798, No update data, 9g3qx8bjghqd
Bird, MEX, 52508a64-621c-4214-a836-fafa4cdfc11b, 66, 8690, No update data, 9g3qx8bp1j67
Bird, MEX, b1c71a58-cbee-4c5d-abba-5540c32ada14, 97, 13588, No update data, 9g3qx3pbpdhr
Bird, MEX, 6ea3f822-f297-4b9f-88f6-b29e1ebd742f, 85, 12358, No update data, 9g3qx8bnf2fj
Bird, MEX, 94235d68-ce38-4f45-b8d8-544f4a1285f3, 94, 13861, No update data, 9g3qx3pf5nyt
Bird, MEX, e16d5b52-9ca1-47a8-af79-8cf248993a3e, 76, 10270, No update data, 9g3qx8bne48q
Bird, MEX, 7698dc2a-c1c9-46a3-958e-1329429632c5, 84, 11534, No update data, 9g3qx3pfccyg
Bird, MEX, 79d291b2-69b0-43ec-9896-0d8abf12e3d6, 93, 13694, No update data, 9g3qx3pfk32h
Bird, MEX, def394a3-a092-443a-b6ba-c5621fa758de, 94, 13861, No update data, 9g3qx3pcyqs8
Bird, MEX, 46abce90-bd75-4b92-b165-d46e06a59f39, 69, 9164, No update data, 9g3qx8bnufpv
Bird, MEX, 2303ab26-f440-49dc-a54b-902756fb142e, 99, 13904, No update data, 9g3qx20efm1z
Bird, MEX, e7a42ae0-34c9-45cd-90eb-7a2959fd031b, 98, 13746, No update data, 9g3qx20s17mn
Bird, MEX, 9e990e86-a088-47bc-bb5f-db838112d58f, 98, 13746, No update data, 9g3qx8bpgxcb
Bird, MEX, 4568dccb-1d47-46a5-b355-738704fd1ab0, 88, 12166, No update data, 9g3qx20qs0w3
Bird, MEX, a6cc2f27-cf05-4abf-b878-9b1fb6b1b336, 79, 11356, No update data, 9g3qx20dj1k9
Bird, MEX, 0bdc43b7-37db-4e7c-bcc3-fabad5644047, 49, 6346, No update data, 9g3qx20e8zgy
Bird, MEX, 0cdfd437-d38b-4028-8876-59013b326a95, 90, 13193, No update data, 9g3qx20ddq9z
Bird, MEX, b2d0a4fd-90b4-45d4-954b-2f5214ec72f2, 51, 6680, No update data, 9g3qx302w7k6
Bird, MEX, 22c0a4fc-5038-407e-b358-c264315749ed, 99, 13904, No update data, 9g3qx900trrg
Bird, MEX, cd95f935-c48d-4388-a01c-e47fdd6bfdf9, 67, 8848, No update data, 9g3qx82x6b7q
Bird, MEX, 12f22942-6388-4385-8307-5f63b4eccc74, 96, 13430, No update data, 9g3qx8br1979
Bird, MEX, ac4066cd-8448-40f3-8b8e-689d5274c5fe, 99, 13904, No update data, 9g3qx20m3f23
Bird, MEX, a27c268c-c081-48c0-a44a-11f2b35a6e34, 91, 13360, No update data, 9g3qx20d0b5c
Bird, MEX, 4bc913cf-67e2-4dae-962f-cea4a4a32c20, 99, 14696, No update data, 9g3qx2099se3
Bird, MEX, 973bef3c-6f26-47c9-9204-cd9e2eb97cda, 84, 11534, No update data, 9g3qx20m1gb2
Bird, MEX, 793a68be-7e00-430b-89c4-11730388f68f, 97, 13588, No update data, 9g3qx20m33br
Bird, MEX, d283b21d-208c-4a41-99a9-85fcc286ae5f, 100, 14863, No update data, 9g3qx20m2v5f
Bird, MEX, 9a922753-3882-4fa2-845d-1078fe4028a0, 99, 13904, No update data, 9g3qx2094k3u
Bird, MEX, dcfec459-0f95-4f7e-b414-29d9d984eed3, 98, 14529, No update data, 9g3qx2098ggv
Bird, MEX, c2a114eb-d94d-4e2c-99ef-c1d97bca1b41, 96, 14195, No update data, 9g3qx900xzre
Bird, MEX, 8ffa5a2d-e96a-4487-9532-78c71bf15584, 99, 13904, No update data, 9g3qrre9g5wt
Bird, MEX, 4648b65d-a399-4a54-b06d-fedd051d440d, 96, 14195, No update data, 9g3qx20jx6zp
Bird, MEX, 75531145-f835-408e-aafe-68b298e7b1fd, 96, 14195, No update data, 9g3qx20k93v0
Bird, MEX, 4a21459e-4651-4cb8-abac-ca0444649bb6, 94, 13114, No update data, 9g3qx20m075s
Bird, MEX, c1434cb1-8551-499e-ab1e-99204f6805ac, 93, 13694, No update data, 9g3qx8brftvk
Bird, MEX, dbd9bfe2-324c-4c64-a50a-ac74fd5f7ae8, 93, 13694, No update data, 9g3qx901rcxw
Bird, MEX, a0d7e56b-e3fb-4e4b-8e9e-1d6077a08da3, 100, 14062, No update data, 9g3qrre9edcx
Bird, MEX, 9d3c5c60-4dc8-468e-a17c-5c6b66851b34, 93, 13694, No update data, 9g3qx90315pm
Bird, MEX, 610160ed-523e-4892-be54-f8b68e908f8d, 72, 9638, No update data, 9g3qx3r6gs9v
Bird, MEX, 98ec3dc2-7605-4264-bf26-e36dcc3285c7, 98, 14529, No update data, 9g3qx20jmxbu
Bird, MEX, e719f9a5-3fda-4964-b6e8-c6b69f09f324, 92, 13527, No update data, 9g3qx9033v0e
Bird, MEX, d0248c55-e085-4e35-85f6-22eb853fdd64, 100, 14863, No update data, 9g3qx203n5c0
Bird, MEX, 57e32f39-36b0-44be-ad84-a7829ed6bd7a, 100, 14062, No update data, 9g3qx20htsvg
Bird, MEX, 511f5f15-ec98-4c5b-894f-b296d674bd27, 85, 11692, No update data, 9g3qx3pyqvtz
