Bird, MEX, 05657a08-52fb-4b54-9e31-d3cf41b3234c, 99, 13904, No update data, 9g3qx9030t2g
Bird, MEX, 1761c249-cf5e-451f-96cb-2409fdebb239, 93, 13694, No update data, 9g3qx20jrhgc
Bird, MEX, 3ecbfd4e-07b7-49c4-95b1-18de4a205226, 100, 14062, No update data, 9g3qx20hzqpj
Bird, MEX, 4afaf2b3-ad2b-4a6f-8095-a8375c5664a1, 99, 13904, No update data, 9g3qx2088w8x
Bird, MEX, 320381ba-5bfd-4feb-8df4-0df6e84ff3c8, 69, 9164, No update data, 9g3qrr9y7h2n
Bird, MEX, 5c1ec0e4-2762-42ae-8674-6dd8c68ea9c6, 99, 14696, No update data, 9g3qx203q3k7
Bird, MEX, 256bc330-0080-4f09-a607-3a84f44f99bf, 87, 12008, No update data, 9g3qx32cn7hm
Bird, MEX, f5b148fc-11ff-48a7-99fc-c6c63a8b44d3, 100, 14062, No update data, 9g3qx203jdjy
Bird, MEX, 41f54773-ba15-4d2b-b496-7e0ab99dafff, 100, 14863, No update data, 9g3qx203ge9w
Bird, MEX, 793a68be-7e00-430b-89c4-11730388f68f, 64, 8374, No update data, 9g3qrrd7sp74
Bird, MEX, cf338c3c-13c3-4a4d-9af6-207aba51ef75, 93, 12956, No update data, 9g3qrrwyt34g
Bird, MEX, e6f453ae-e896-4960-94b4-8d704cb7e810, 54, 7181, No update data, 9g3qx33zvm6c
Bird, MEX, 77e96044-a35d-4ba6-8e4f-8d6d15cdbbf2, 96, 13430, No update data, 9g3qx3ehp68f
Bird, MEX, 6c549b73-9cf7-4f92-9b70-33dcb082f195, 74, 9954, No update data, 9g3qx3ehp6bu
Bird, MEX, 26187cd1-9b1d-4048-a8f2-e202479c8752, 93, 12956, No update data, 9g3qx3ehpm2g
Bird, MEX, 0d7bd0bc-b745-49c8-84e9-7c6bb4e5499a, 94, 13114, No update data, 9g3qx3ehpjk5
Bird, MEX, 159caea9-9890-4349-967b-e9a9acedd927, 56, 7515, No update data, 9g3qrrbt6hub
Bird, MEX, 1a1153b3-ccda-4f21-8f5d-78b11190e3ff, 43, 5344, No update data, 9g3qrr9t7spu
Bird, MEX, 85c77e5d-7ca2-4acc-851f-01e834bf76a7, 46, 5530, No update data, 9g3qx0rw583e
Bird, MEX, 7a33a638-3bfb-4c91-86d5-3fde981c6c15, 43, 5056, No update data, 9g3qx89n1gyc
Bird, MEX, d59b50aa-3d7b-460e-b0e0-095540a7e0de, 89, 12324, No update data, 9g3qx3ez1vqe
Bird, MEX, 935adc23-099c-4d83-963c-8d256be636c2, 100, 14062, No update data, 9g3qx90s6h5y
Bird, MEX, e5da55e7-c68c-4983-82b6-f87460212221, 56, 7110, No update data, 9g3qrrwdh2bn
Bird, MEX, 8a073e6f-7697-4321-a14d-884b2d21e9e9, 48, 5846, No update data, 9g3qrxbx9n6m
Bird, MEX, 0e91db11-56b6-466a-a8ec-782b0322b120, 100, 14062, No update data, 9g3qx90sdzem
Bird, MEX, 67df6a49-f472-4a36-ac60-0288732f76d4, 100, 14062, No update data, 9g3qx90ensxz
Bird, MEX, cc247f4d-4cf9-40e3-8069-ca1c1e7af023, 100, 14062, No update data, 9g3qx90spekr
Bird, MEX, e1a08218-63a2-40ab-af37-a1b6bc996651, 98, 13746, No update data, 9g3qx90spzd8
Bird, MEX, 6a4caf95-892c-4778-9a9d-37ac40018f87, 100, 14062, No update data, 9g3qx90gbcu5
Bird, MEX, 8503c02f-45fd-4e79-8484-13c2a81e0f8c, 100, 14062, No update data, 9g3qx90spzx8
Bird, MEX, 146617df-7593-4d59-90e1-ef93f831f844, 100, 14062, No update data, 9g3qx90sx8hr
Bird, MEX, a814b4ad-478a-4e68-8ecd-0305224552f4, 73, 10354, No update data, 9g3qrr9d3zw9
