Bird, MEX, c8b73a33-06a6-4e4f-a205-917bcc5eb2e6, 15, 668, No update data, 9g3qx2y36c7k
Bird, MEX, 571b2623-0401-497f-abf6-9a48840092f0, 100, 14062, No update data, 9g3qx26hvchn
Bird, MEX, efce24d4-e54f-4cec-8aea-6a9d41cb020c, 96, 13430, No update data, 9g3qx2yhkfxs
Bird, MEX, c94ef371-15a1-4e5c-8aca-ff77c3951907, 100, 14863, No update data, 9g3qx26j5hwq
Bird, MEX, 96cb53e5-6153-4dba-a8db-e38dab5edfec, 65, 8532, No update data, 9g3qx2jv663c
Bird, MEX, 270b23d5-cdf9-425e-adfc-9a4cb975fd06, 62, 8058, No update data, 9g3qx2fksxk7
Bird, MEX, 22d645d8-0daf-41c1-bf14-caf0adb0dab1, 81, 11060, No update data, 9g3qx2y2rrr3
Bird, MEX, 91d27b27-39c8-4300-ae4f-56102b634f9c, 66, 8690, No update data, 9g3qx2y2rskr
Bird, MEX, 39a959c4-225f-4f51-9388-3851f92703fd, 100, 14863, No update data, 9g3qx26hfh58
Bird, MEX, 4a5de99c-8d11-47f4-bec2-d3b9fecab8a0, 93, 13694, No update data, 9g3qx2y82x8g
Bird, MEX, 033184b6-891f-4590-a4ab-42ab9a2dfe60, 100, 14062, No update data, 9g3qx26h9unx
Bird, MEX, 0e388a23-4e07-4292-a728-6a7fc8b4cb1e, 85, 12358, No update data, 9g3qx26h3w7d
Bird, MEX, cf99c71b-0836-4611-8b58-097a6931d8d1, 51, 6320, No update data, 9g3qx2624wbh
Bird, MEX, 54f0a39e-be90-477a-b9eb-687f73bf3039, 85, 11692, No update data, 9g3qx2623wgw
Bird, MEX, 6d5c116a-e9b7-4be1-a585-6b6b63ee69a5, 82, 11218, No update data, 9g3qx2622ygy
Bird, MEX, a6b5d096-e9bc-4484-aaf7-f18638ee9d0d, 93, 12956, No update data, 9g3qx3hssuxd
Bird, MEX, fdf46c44-51b8-449d-8d15-3fdbb6eecbd3, 100, 14062, No update data, 9g3qx23uyztz
Bird, MEX, 97a848fb-7658-4f31-8b43-ad0ade2b5059, 93, 12956, No update data, 9g3qx34c3d58
Bird, MEX, fa78f2a4-a61e-4f48-8c80-c145aa5655af, 93, 12956, No update data, 9g3qx34c3q27
Bird, MEX, af202aa8-1c52-4110-9424-604deaaa8996, 90, 12482, No update data, 9g3qx34c2s0w
Bird, MEX, eb586e99-e2b2-43a8-b9e4-95a9fb994cf0, 93, 12956, No update data, 9g3qx34c93mr
Bird, MEX, f461804c-ca00-4c64-b597-4cfd5d478487, 92, 12798, No update data, 9g3qx34c2ntt
Bird, MEX, a9c5870c-d9b1-46e8-b250-f543a109c48d, 100, 14062, No update data, 9g3qx2fr7s1t
Bird, MEX, 7fefdb66-6840-4a63-82c8-d0e2ac5d7ac2, 100, 14863, No update data, 9g3qx2fr6x21
Bird, MEX, e4121c64-ea6c-48b7-ad9a-dcb53a7a798f, 100, 14062, No update data, 9g3qx2fr3uqx
Bird, MEX, 5c2c60fb-0604-4866-90ef-f977d73a7cca, 45, 5372, No update data, 9g3qx2frdevn
Bird, MEX, a4e52bd5-f951-4d0d-8593-149ba6bd4d2c, 72, 10187, No update data, 9g3qx2yqsb1x
Bird, MEX, bee7ac4a-7767-432b-a51f-54d06243a19d, 100, 14062, No update data, 9g3qx2frfk9u
Bird, MEX, 7a7a5026-b63b-47f7-b579-9a9eb71d3eec, 93, 13694, No update data, 9g3qx23bqytu
Bird, MEX, ec93a8ad-2344-40f4-8e47-7a55efbe2166, 80, 10902, No update data, 9g3qx2q8jnk8
Bird, MEX, 9325f3ab-6b03-4dc6-ac29-b0843d05a055, 84, 11534, No update data, 9g3qx341hw07
Bird, MEX, 277c32ea-cf96-4c35-a814-7cbd4dbc0c25, 94, 13114, No update data, 9g3qx21ycyb3
Bird, MEX, 43044bfc-ceb6-4ce0-8b0f-bfa82a1e9f23, 96, 13430, No update data, 9g3qx21y6m3u
Bird, MEX, eb0a9af9-09bb-4a85-9b1f-37d0512f7ceb, 97, 13588, No update data, 9g3qx239dm3z
Bird, MEX, b3c0b887-3039-41af-90d0-4625064ae431, 99, 13904, No update data, 9g3qx239cmb7
Bird, MEX, 8005ba09-2c01-4116-8492-59df98519338, 30, 3173, No update data, 9g3qx2z46wtj
Bird, MEX, 4655d752-04a9-4028-962c-0beb1f5455f6, 100, 14062, No update data, 9g3qx23d0129
Bird, MEX, de4f9bf6-4611-4fa5-9948-ec6a9e042f32, 97, 13588, No update data, 9g3qx2z59c0s
Bird, MEX, 58d33584-a58d-4cc4-ac23-1e5d515df7d6, 33, 3674, No update data, 9g3qx2z4k70p
Bird, MEX, 8531c2a7-ace9-4174-a5fe-d0177c1e0304, 98, 13746, No update data, 9g3qx2yzch43
Bird, MEX, 94235d68-ce38-4f45-b8d8-544f4a1285f3, 92, 13527, No update data, 9g3qx2yyu4g1
Bird, MEX, c893effe-00ee-4387-8b1e-6a70390f84db, 100, 14062, No update data, 9g3qx236m3dv
Bird, MEX, d8a14599-6bfe-4b25-b186-a541cf79debb, 73, 10354, No update data, 9g3qx2z612tm
Bird, MEX, 5e8caee7-0184-406a-8439-a6ac0b774723, 100, 14062, No update data, 9g3qx291d92n
Bird, MEX, 9576e053-4a88-4170-9005-5cc00cd21a4d, 66, 9185, No update data, 9g3qx2r3397e
Bird, MEX, 30a9bd45-450f-4339-934e-e907cd7e21ef, 100, 14062, No update data, 9g3qx2919606
Bird, MEX, 92c1b484-7e6b-458a-838c-070795ec1426, 54, 6794, No update data, 9g3qx2z76fgq
Bird, MEX, 4568dccb-1d47-46a5-b355-738704fd1ab0, 87, 12008, No update data, 9g3qx21rendw
Bird, MEX, 7eb9f5b2-d82b-4eac-8620-fb60dc01546d, 99, 14696, No update data, 9g3qx28fp9uj
Bird, MEX, b059d456-c51b-423e-8d52-e20184ede2a6, 99, 13904, No update data, 9g3qx28cyf2w
Bird, MEX, f9986136-ce6b-4970-bc6c-b25979a8dcf5, 100, 14062, No update data, 9g3qx28fnwfs
Bird, MEX, 8c3bbb45-954b-4824-be25-c5bec69281c7, 100, 14062, No update data, 9g3qx28fq2kq
Bird, MEX, 4c739442-f5c6-42d2-b146-ffef2a38a91f, 96, 13430, No update data, 9g3qx21mmwvy
Bird, MEX, 5726f868-b3c8-409a-b211-64bc3610326e, 100, 14062, No update data, 9g3qx231mqfy
Bird, MEX, 66fb0ca9-d980-4b02-8fa0-66d9ae0031fb, 97, 13588, No update data, 9g3qx21mt1hs
Bird, MEX, afd83cfb-b402-4464-ac5a-a442532379b7, 97, 13588, No update data, 9g3qx21mmhu9
Bird, MEX, 4048c69a-9e8b-4883-8910-f3a23b6da33e, 96, 13430, No update data, 9g3qx3kkn6s6
Bird, MEX, 85b5ec15-83dd-4362-905a-9b4396583619, 96, 13430, No update data, 9g3qx3p0euuu
Bird, MEX, d48617dd-3f87-422b-bf8f-d278a96888aa, 91, 12640, No update data, 9g3qx2315zsb
Bird, MEX, c6aff5da-4189-4c94-9822-1d7187a5ded8, 66, 9185, No update data, 9g3qx3p0mtqj
Bird, MEX, ee2d53b5-f1e6-4b04-b739-0bb8e1969b13, 46, 5530, No update data, 9g3qx3p0syry
Bird, MEX, d758962f-e3fd-46f0-9300-f1dcbcb5fcbd, 81, 11060, No update data, 9g3qx3p1e1b2
Bird, MEX, e635d8cb-028d-48ff-be05-07737b7ecbb2, 30, 3173, No update data, 9g3qx3p1hfce
Bird, MEX, e3375cd3-963a-48af-af18-237859a9535b, 97, 14362, No update data, 9g3qx21m3cqe
Bird, MEX, a0e05e53-6cea-432c-904f-bbba3b8dd971, 48, 5846, No update data, 9g3qx3p20pvd
Bird, MEX, bf956252-d541-4d7d-a779-dcb1d9327ce8, 97, 13588, No update data, 9g3qx3p0xr9j
Bird, MEX, d6bce810-1c38-4ac9-8186-d9bf55267da7, 74, 9954, No update data, 9g3qx2zrcrv2
Bird, MEX, 58442098-3fe4-4c93-8287-d6fc8b3ba4c7, 94, 13861, No update data, 9g3qx219e99x
Bird, MEX, bdf73438-8d47-40fc-bf01-1bff6bb08fe7, 91, 13360, No update data, 9g3qx21k60hg
Bird, MEX, a7e8f439-f12f-4497-81be-216480d0fa4e, 96, 14195, No update data, 9g3qx217fvg5
Bird, MEX, 74d28002-a5be-4ce7-be3d-55c61d91898d, 39, 4424, No update data, 9g3qx21p890s
Bird, MEX, 6d3395d6-2232-43c5-8b20-5acdee080a74, 48, 5846, No update data, 9g3qx3p38uk0
Bird, MEX, 5ae649f8-abe1-45c3-93d7-3922bfd013c4, 93, 13694, No update data, 9g3qx2zssg3d
Bird, MEX, e02162db-4e96-43c8-a9f2-46624143c2b4, 92, 13527, No update data, 9g3qx2zsmpkc
Bird, MEX, 4bdd6ec9-f06c-4393-b7fb-1a12edd7eae6, 81, 11690, No update data, 9g3qx28em36u
Bird, MEX, f63c3a17-2c22-4183-a7a7-ca571f3cb2c8, 79, 10744, No update data, 9g3qx2zsmb5h
Bird, MEX, 4b3bbe0b-bb51-44d1-9ad7-557e2634e218, 92, 13527, No update data, 9g3qx2zsuzzb
Bird, MEX, a027955f-3471-418c-9c66-26191f050f19, 98, 13746, No update data, 9g3qx2zsvk6f
Bird, MEX, 0a798980-a0ca-4c04-8533-da3a1dcbc92e, 92, 13527, No update data, 9g3qx2zsnsxx
Bird, MEX, 270c39fb-f9e7-4950-bdce-db9a6067f1c9, 93, 13694, No update data, 9g3qx2zswn3m
Bird, MEX, 3a75aa6a-4145-4766-81a2-61779dd4784a, 94, 13861, No update data, 9g3qx2zswsdd
Bird, MEX, 90b4f26d-97a2-497b-8244-1fb9f1ea8687, 54, 7181, No update data, 9g3qx2bf2xwg
Bird, MEX, 4f378213-6294-4f7f-afc2-9fb519e73eb4, 87, 12008, No update data, 9g3qx2zwe77d
Bird, MEX, 8d8428e9-90d6-42cd-b265-826edfd1a094, 92, 13527, No update data, 9g3qx2zsryfx
Bird, MEX, 19e2a7fa-ea4c-4521-afcb-290f3edb2688, 99, 13904, No update data, 9g3qx2zu0wr0
Bird, MEX, 8503c02f-45fd-4e79-8484-13c2a81e0f8c, 97, 13588, No update data, 9g3qx2zgfwjn
Bird, MEX, f716940f-a075-48f9-9b12-5ff4307c97fa, 43, 5344, No update data, 9g3qx2pt5xcc
Bird, MEX, 26187cd1-9b1d-4048-a8f2-e202479c8752, 96, 13430, No update data, 9g3qx2zghqyk
Bird, MEX, 2e1ac500-e4b8-470c-9065-1f152038be2c, 96, 13430, No update data, 9g3qx2zggvvh
Bird, MEX, 39298bbd-04c3-47e1-9e44-aba7ba98b4bd, 87, 12008, No update data, 9g3qx2zuzpu0
Bird, MEX, 90b74f5d-e040-4887-9f50-eb0af1987f82, 76, 10855, No update data, 9g3qx2zvz3pr
Bird, MEX, bd41d1ee-053e-48b2-9d7c-f0619f68b7d4, 70, 9322, No update data, 9g3qx2b2uekk
Bird, MEX, f1641e00-b56b-4f3b-9170-003fd99e4ea5, 100, 14062, No update data, 9g3qx2b2u44v
Bird, MEX, e16d5b52-9ca1-47a8-af79-8cf248993a3e, 75, 10112, No update data, 9g3qx8bhcxg8
Bird, MEX, e985c43e-54ba-4b55-865a-775022f12231, 100, 14863, No update data, 9g3qx2b2e6ks
Bird, MEX, 11fac914-7ab6-4d5c-ac39-b6037963dc12, 83, 12024, No update data, 9g3qx8bn05v9
Bird, MEX, 1b6a109a-089d-4174-a9de-54132e5d2728, 65, 8532, No update data, 9g3qx8bj387w
Bird, MEX, 60dbef3f-c295-4006-ad45-21285bc70999, 75, 10112, No update data, 9g3qx2b27h2p
Bird, MEX, f45cb386-1372-43b1-b8a7-cfa21dd6204b, 90, 12482, No update data, 9g3qx2b27nbp
Bird, MEX, 46abce90-bd75-4b92-b165-d46e06a59f39, 69, 9164, No update data, 9g3qx8bhfu76
Bird, MEX, 0af1b4dd-fba8-43d0-aff6-fec808d0972e, 78, 11189, No update data, 9g3qx8bhepn9
Bird, MEX, b7576de8-8d6e-4d24-89d4-43ccc20e86b6, 92, 9558, No update data, 9g3qx8bhgs9u
Bird, MEX, 16ed6993-3b13-45e9-b63c-fcc4b23801a8, 52, 6478, No update data, 9g3qx8bp43d5
Bird, MEX, 22c0a4fc-5038-407e-b358-c264315749ed, 99, 13904, No update data, 9g3qx3pbrstw
Bird, MEX, 5178e968-65a5-4deb-bb0e-021de508cfff, 70, 9322, No update data, 9g3qx8bnjc71
Bird, MEX, dbd9bfe2-324c-4c64-a50a-ac74fd5f7ae8, 92, 13527, No update data, 9g3qx90054b7
Bird, MEX, 52508a64-621c-4214-a836-fafa4cdfc11b, 66, 8690, No update data, 9g3qx8bpkmwr
Bird, MEX, e7a42ae0-34c9-45cd-90eb-7a2959fd031b, 98, 13746, No update data, 9g3qx20s2e0x
Bird, MEX, 2303ab26-f440-49dc-a54b-902756fb142e, 98, 13746, No update data, 9g3qx20ky7kk
Bird, MEX, 9d3c5c60-4dc8-468e-a17c-5c6b66851b34, 92, 13527, No update data, 9g3qx900gp0k
Bird, MEX, c1434cb1-8551-499e-ab1e-99204f6805ac, 92, 13527, No update data, 9g3qx3pfxkch
Bird, MEX, b2d0a4fd-90b4-45d4-954b-2f5214ec72f2, 49, 6346, No update data, 9g3qx302q5zk
Bird, MEX, 9e990e86-a088-47bc-bb5f-db838112d58f, 97, 13588, No update data, 9g3qx900ez01
Bird, MEX, 0bdc43b7-37db-4e7c-bcc3-fabad5644047, 48, 6179, No update data, 9g3qx20kp3r1
Bird, MEX, cd95f935-c48d-4388-a01c-e47fdd6bfdf9, 66, 8690, No update data, 9g3qx82x1g2x
Bird, MEX, 0cdfd437-d38b-4028-8876-59013b326a95, 89, 13026, No update data, 9g3qx20d3wek
Bird, MEX, 043d8399-a8ce-48d1-9fef-18aa9093c138, 92, 13527, No update data, 9g3qrrdndp58
Bird, MEX, a27c268c-c081-48c0-a44a-11f2b35a6e34, 90, 13193, No update data, 9g3qx20d8sbe
Bird, MEX, 21a6e6c3-ed44-44c5-8863-ffdb811c875c, 80, 11523, No update data, 9g3qx8br0zu4
Bird, MEX, e719f9a5-3fda-4964-b6e8-c6b69f09f324, 91, 13360, No update data, 9g3qx9045q79
Bird, MEX, b645c68a-ed5f-489d-ab0a-5771c00aa894, 18, 1169, No update data, 9g3qx3r665gu
Bird, MEX, 9a922753-3882-4fa2-845d-1078fe4028a0, 99, 13904, No update data, 9g3qx2094k3u
Bird, MEX, 73746486-98eb-4052-ba41-d52b9ede2521, 74, 9954, No update data, 9g3qx20m8p27
Bird, MEX, dcfec459-0f95-4f7e-b414-29d9d984eed3, 96, 14195, No update data, 9g3qx206p6pn
Bird, MEX, 12f22942-6388-4385-8307-5f63b4eccc74, 94, 13114, No update data, 9g3qx905chp3
Bird, MEX, 98ec3dc2-7605-4264-bf26-e36dcc3285c7, 96, 14195, No update data, 9g3qx20jxwh5
Bird, MEX, f216f991-9be2-4743-987b-7c1ac14f9352, 96, 13430, No update data, 9g3qx20m2hmr
Bird, MEX, 4648b65d-a399-4a54-b06d-fedd051d440d, 93, 13694, No update data, 9g3qx20jxq2v
Bird, MEX, 8ffa5a2d-e96a-4487-9532-78c71bf15584, 99, 13904, No update data, 9g3qrre9dq3u
Bird, MEX, 27ba807e-71ba-4ede-b0a7-13f6e14e7c06, 83, 11376, No update data, 9g3qx20jwbt8
Bird, MEX, d0248c55-e085-4e35-85f6-22eb853fdd64, 99, 14696, No update data, 9g3qx203rqp0
Bird, MEX, d1ec53df-5ece-4bdf-8e72-204214ce01b8, 48, 5846, No update data, 9g3qx3r6efkv
Bird, MEX, 4bc913cf-67e2-4dae-962f-cea4a4a32c20, 98, 14529, No update data, 9g3qx203wf2e
Bird, MEX, a0d7e56b-e3fb-4e4b-8e9e-1d6077a08da3, 99, 13904, No update data, 9g3qrre93yyt
Bird, MEX, 501742f4-0d86-43f6-8f13-57a355e65549, 97, 13588, No update data, 9g3qx20jvd2y
Bird, MEX, 1f48fb27-d30a-48c6-95ce-f2a7ca904108, 98, 13746, No update data, 9g3qx20nhds2
Bird, MEX, 4a21459e-4651-4cb8-abac-ca0444649bb6, 93, 12956, No update data, 9g3qx20jmdvv
Bird, MEX, 793a68be-7e00-430b-89c4-11730388f68f, 97, 13588, No update data, 9g3qx20jjs8y
Bird, MEX, c2a114eb-d94d-4e2c-99ef-c1d97bca1b41, 93, 13694, No update data, 9g3qx903d7xh
Bird, MEX, 30fb4242-e30e-4529-a38b-c76d62f2c81d, 60, 7742, No update data, 9g3qx33ksqy0
Bird, MEX, 3616d549-9b9b-47b7-8cc9-d15c879e19b3, 55, 7348, No update data, 9g3qx20j7msw
Bird, MEX, c0329968-f78d-477a-a85d-9af7ffcb1c69, 49, 6004, No update data, 9g3qrrc45h2h
Bird, MEX, 9e68ac62-5e5a-44d2-9ba8-e33101e08f8a, 61, 7900, No update data, 9g3qx0zuh1zv
Bird, MEX, 511f5f15-ec98-4c5b-894f-b296d674bd27, 84, 11534, No update data, 9g3qx90ndm4n
Bird, MEX, 57e32f39-36b0-44be-ad84-a7829ed6bd7a, 99, 13904, No update data, 9g3qx20h3cwt
Bird, MEX, bbddcd29-395e-49d0-8458-8a342b3a77dd, 29, 3006, No update data, 9g3qx3tguyx9
Bird, MEX, 828f6ed2-e84c-4aa7-bdaa-1792ff881415, 84, 11534, No update data, 9g3qrrmr9v2w
Bird, MEX, ac4066cd-8448-40f3-8b8e-689d5274c5fe, 98, 13746, No update data, 9g3qx0putdjf
Bird, MEX, c479096a-dfb9-4374-b9c8-e1d4007bf053, 79, 11356, No update data, 9g3qx0zdt76d
Bird, MEX, 0fec7716-d1b5-4c21-8095-7126ca5ddb20, 94, 13861, No update data, 9g3qx90kub39
Bird, MEX, 32fa0b3e-426d-4830-885f-60f809705337, 47, 5688, No update data, 9g3qx0py96j4
Bird, MEX, be65d0c8-1f69-4b56-8773-9dea4108bb02, 66, 8690, No update data, 9g3qx8by9hd6
Bird, MEX, fadc597b-95a7-4041-bd95-e5256b81ec95, 91, 13360, No update data, 9g3qx8bxxyrw
Bird, MEX, 574cbd04-872d-45df-99dd-584c8df2ed83, 58, 7849, No update data, 9g3qx200gny3
Bird, MEX, 6fc7a6b6-6098-4944-8da3-f2efe8bca651, 98, 13746, No update data, 9g3qx90kwutf
Bird, MEX, cf16fd66-9688-4fe8-b72d-2d7c86ace9b9, 46, 5530, No update data, 9g3qrrmqcg8t
Bird, MEX, 067d0ab7-d4e2-44bb-a0ca-1af5b330e21a, 98, 13746, No update data, 9g3qx90s82gg
Bird, MEX, 45f26348-c7e2-49c7-83f0-5e990a4dbeca, 87, 12692, No update data, 9g3qrrd81mbm
