Bird, MEX, 29c8c95c-0b4e-4798-9860-ec0efff74898, 62, 8058, No update data, 9g3qx2zyumq2
Bird, MEX, 3f30d8c9-69b7-478c-a540-a10464cfbe1e, 83, 11376, No update data, 9g3qx2zvxu68
Bird, MEX, c18697e4-4798-4c2e-9bd4-a884ebeb7e16, 45, 5678, No update data, 9g3qx2b351q3
Bird, MEX, afb7b6d0-6106-43eb-ba7e-0e7ea42db691, 53, 6636, No update data, 9g3qx8bn3nfr
Bird, MEX, 6decf21c-bc58-4f07-82b6-2673eaecbcc8, 56, 7515, No update data, 9g3qx8bhgxcb
Bird, MEX, ed962f08-bce0-4e03-9c47-70a44760abce, 76, 10855, No update data, 9g3qrrdr5ezb
Bird, MEX, 359cc237-d2cc-4172-8088-5cafbb3c2fe1, 74, 9954, No update data, 9g3qx3dbhyxe
Bird, MEX, b312c637-36e3-4eb8-b9aa-31ce85e701e5, 72, 10187, No update data, 9g3qrrdtr3bz
Bird, MEX, ff233ac6-b243-4478-81a4-8686f1be7783, 48, 6179, No update data, 9g3qx31pk6wh
Bird, MEX, 7017fcb3-6e54-4ccb-ac76-8c7c750f2216, 73, 10354, No update data, 9g3qx22p354p
Bird, MEX, 129ed5f7-a076-4cbd-b907-980c2ddfca2d, 48, 5846, No update data, 9g3qx3tbsjg4
Bird, MEX, 86873c1a-6f02-49a3-a037-703874bd466b, 49, 6004, No update data, 9g3qrrdndsb5
Bird, MEX, 4b226b8c-e3d4-41d1-aa03-55e681d91cd3, 87, 12692, No update data, 9g3qx0rzxc4k
Bird, MEX, 36050e49-f3ee-4d7b-be00-b3a166f10c05, 35, 3792, No update data, 9g3qx3e6khg4
Bird, MEX, 582d3976-c8ff-4b46-a270-f5d77371a850, 26, 2505, No update data, 9g3qrrbxxmrp
Bird, MEX, 6a306aa7-5d9f-43b5-8b9f-3919d88d8838, 91, 13360, No update data, 9g3qx20m94fp
Bird, MEX, c4fcdaf3-d59f-467f-abb0-b191b2356f8f, 40, 4582, No update data, 9g3qrrz1see7
Bird, MEX, 0598c619-cf04-4160-9000-98912961cb11, 45, 5678, No update data, 9g3qx2bnx62u
Bird, MEX, a3d0e264-8279-4f80-aa56-0a04927f385b, 100, 14062, No update data, 9g3qrred050s
Bird, MEX, 85ffc6e3-5a72-4643-9e2a-c1852749f066, 100, 14062, No update data, 9g3qrred0b7f
Bird, MEX, 41841e98-dd02-4244-9a70-f5c0a2dc348b, 89, 12324, No update data, 9g3qx20m2p22
Bird, MEX, 40f3fe74-6fb4-4d3f-92ab-c086b6ca5a33, 93, 13694, No update data, 9g3qx20m0pt2
Bird, MEX, 07531c9c-ab52-428c-8513-1eb1df633584, 82, 11857, No update data, 9g3qx88wtq55
Bird, MEX, d99eb566-7e3a-4f27-afe2-b8843c4b6835, 31, 3340, No update data, 9g3qrrby1gb2
Bird, MEX, 146d8f27-cbaa-4994-b6a1-ed8b3cf6f0fe, 80, 11523, No update data, 9g3qrrzyenne
Bird, MEX, 39a959c4-225f-4f51-9388-3851f92703fd, 92, 13527, No update data, 9g3qx20k8qex
Bird, MEX, aaede11e-3a41-45d8-aed3-f2f3ab4932fa, 87, 12008, No update data, 9g3qx3022xbt
Bird, MEX, 568e6c03-cbc9-4fa5-9310-ff0afcbe0adf, 84, 11534, No update data, 9g3qx302880x
Bird, MEX, 7c0181d9-d157-4ceb-aea4-1e7064cc426e, 90, 13193, No update data, 9g3qx20hzwu1
Bird, MEX, 81dd056b-72b2-4081-8ba0-4f6d752c0645, 88, 12859, No update data, 9g3qx203pq2b
Bird, MEX, e16e80c6-4108-42cf-9d9f-c64e4fc0dea0, 96, 14195, No update data, 9g3qx203qfbt
Bird, MEX, e10b01c6-35f1-4a26-ae78-004f3c3c7e5f, 49, 6004, No update data, 9g3qrrc4metb
Bird, MEX, 1f40a2ca-af10-433f-8b3e-f41958fc290d, 74, 9954, No update data, 9g3qx20jjgu0
Bird, MEX, 84fa1fe7-5bed-4b58-85e8-897024785305, 81, 11060, No update data, 9g3qx20hr3bz
Bird, MEX, aac7ea9c-f3a6-41f3-8bdc-55a514a56ba6, 92, 13527, No update data, 9g3qx20jm26t
Bird, MEX, dbe3520a-b284-45f9-a9f4-28d29248636b, 66, 8690, No update data, 9g3qx3d2cvwe
Bird, MEX, 491f7cf3-237f-462e-9533-48e29e29f64e, 44, 5214, No update data, 9g3qx88g3pfk
