Bird, MEX, 23f85903-9a21-4254-8724-f58337e6b2cb, 78, 10586, No update data, 9g3qx24pwy0g
Bird, MEX, 75830915-c9de-4e4c-8599-5f0c7b7969a9, 85, 11692, No update data, 9g3qx2frdx25
Bird, MEX, 2834a400-5b1e-4abd-ba53-0b8718b8a2d9, 89, 12324, No update data, 9g3qx2frcgqt
Bird, MEX, 88ecde63-0b08-498e-8e75-242bc9aa80f6, 64, 8851, No update data, 9g3qx2wzh4e1
Bird, MEX, c2e69d59-107f-4faf-b177-da9a0ff6b555, 82, 11857, No update data, 9g3qx342128q
Bird, MEX, 38a3d427-41a4-4d20-bd07-9779bf566a83, 88, 12166, No update data, 9g3qx2fpzqz4
Bird, MEX, 6b706d64-0df8-4829-b7f2-19558573cfcd, 69, 9686, No update data, 9g3qx35hftbh
Bird, MEX, 63b9a7b7-41aa-4379-b35d-d4a49adecd85, 74, 10521, No update data, 9g3qx3hpkq25
Bird, MEX, a3d23b7e-90ea-4377-8b6f-e946a9d30d42, 72, 10187, No update data, 9g3qx2ywcjx4
Bird, MEX, c11ade85-8e1b-467c-80cc-c559b01f7118, 21, 1670, No update data, 9g3qx2xj6dt5
Bird, MEX, 6a032e68-b1df-4b41-82cd-feb43aa81e9d, 64, 8374, No update data, 9g3qx2nz2ukp
Bird, MEX, d2c0650a-83c1-4f71-9d2c-923176153731, 38, 4509, No update data, 9g3qx35n2ugf
Bird, MEX, acb72495-837a-4590-93c2-3be5d54a5dda, 90, 13193, No update data, 9g3qx239hbzx
Bird, MEX, f24df0e6-f155-4c23-a342-7d136a7ffede, 66, 8690, No update data, 9g3qx2ywxq9p
Bird, MEX, 7d204c1d-ab3d-449c-8619-285679ce15e2, 98, 13746, No update data, 9g3qx2yxu7qm
Bird, MEX, a630707b-eb33-4689-a62e-159595cb299d, 54, 7181, No update data, 9g3qx238supx
Bird, MEX, b8a406d0-21a3-47d2-8c38-904871c4fe0b, 85, 11692, No update data, 9g3qrrvqpvfq
Bird, MEX, 37d836aa-f449-4252-a701-725849789c72, 54, 7181, No update data, 9g3qx2yy3nzp
Bird, MEX, e47757a0-3f03-47ca-8cbc-a3970155b954, 40, 4843, No update data, 9g3qx2nzut72
Bird, MEX, ffbe2be1-7255-4f38-8ca2-65a956a245e9, 52, 6478, No update data, 9g3qx23d17mq
Bird, MEX, 68405086-dcb8-467e-93c0-02f5b30cb889, 67, 8848, No update data, 9g3qx2qbqhpt
Bird, MEX, d2e665ee-e1b6-4fb3-bfe2-3facd4e7f588, 46, 5845, No update data, 9g3qx2399p41
