Bird, MEX, 5db67acb-cc94-401b-be0f-4ee316f541f4, 45, 5678, No update data, 9g3qx2r14rf4
Bird, MEX, 1b879865-cbc1-46a5-9045-6cf5022dbc48, 61, 8350, No update data, 9g3qx291xkr0
Bird, MEX, 2bfec883-61fd-46a7-8917-fec4c064b6e2, 51, 6320, No update data, 9g3qx21v2feg
Bird, MEX, 187581f8-33b7-4993-a603-f65775bf1fb6, 26, 2505, No update data, 9g3qx2r4qmkt
Bird, MEX, dc5157af-ece8-4d69-9081-68fee59145b5, 90, 12482, No update data, 9g3qx233ug9q
Bird, MEX, 042d97be-6aa8-4da3-98b7-7f86d8d804f5, 94, 13114, No update data, 9g3qx21rwgm9
Bird, MEX, 42905f66-31eb-4abf-ac97-6d75634acae5, 58, 7849, No update data, 9g3qx3ne5jqe
Bird, MEX, dca93db5-0aa3-424f-8940-61b08f1ccdb3, 51, 6320, No update data, 9g3qx23n9fww
Bird, MEX, 472f52fa-d136-43da-a892-c2433dd06a98, 94, 13861, No update data, 9g3qx21mqs6x
Bird, MEX, afadba1e-c338-4360-9180-1455dc2eadc1, 87, 12692, No update data, 9g3qx230z1eb
Bird, MEX, f8de6e77-5c83-423d-8431-aeb1563116b6, 88, 12859, No update data, 9g3qx23205v2
Bird, MEX, 05e1e739-2621-441b-962b-677608860b68, 87, 12692, No update data, 9g3qx231kg1r
Bird, MEX, a966beb1-069f-49e5-87e2-52a02865e96d, 90, 13193, No update data, 9g3qx230v66y
Bird, MEX, e4d923c0-c96a-499a-ac65-cc9f7ea43fda, 72, 10187, No update data, 9g3qx21pycvd
Bird, MEX, 60cf4877-69ce-4531-a5a1-e1a27cfc904c, 93, 12956, No update data, 9g3qx231h8k7
Bird, MEX, 573b30db-909a-4fda-a3b5-46c3035c47ac, 88, 12859, No update data, 9g3qx231h6np
Bird, MEX, 92768d7a-5f71-4c47-881d-1fc345ae08c5, 69, 9686, No update data, 9g3qx21kv9tb
Bird, MEX, a65127ed-ebdf-4958-be90-97922b96ec9b, 85, 12358, No update data, 9g3qx230szre
Bird, MEX, 27a4013d-1009-4383-8a5c-2b1a7f2e3eaa, 87, 12692, No update data, 9g3qx230uqy1
Bird, MEX, 56074173-a851-4b59-a18f-57e8c5188cbb, 90, 13193, No update data, 9g3qx3kkhq85
Bird, MEX, 0951f93d-1a81-4ee0-b244-4d1f3ce627fd, 91, 13360, No update data, 9g3qx3kkm6zy
Bird, MEX, f25a9cfb-cb0b-4e67-8f02-ae26d3f35579, 85, 12358, No update data, 9g3qx230kds7
Bird, MEX, c00895ab-eda6-447c-9345-6f875a519610, 57, 7268, No update data, 9g3qx2zd5j03
Bird, MEX, 1ddc5dcd-f88a-47f8-9a40-6cbbd7bc6742, 100, 14062, No update data, 9g3qx3m7d9jj
Bird, MEX, 39809edf-8d8c-4cf9-abdb-5c9f19b5c48a, 100, 14062, No update data, 9g3qx3m7e1nt
Bird, MEX, c431f7a5-da19-4f78-a306-5dd0ee2cefb8, 100, 14062, No update data, 9g3qx3m7dh7b
Bird, MEX, 909d4c57-7903-480d-9874-2abae70f7479, 89, 13026, No update data, 9g3qx21k5ykb
Bird, MEX, 93c3ece3-907c-44b1-8d1c-55fc05e173cd, 100, 14062, No update data, 9g3qx3m7dtv4
Bird, MEX, a6ec7624-a835-4b3c-bb4d-5f1743766fd1, 52, 6478, No update data, 9g3qx2xu18et
Bird, MEX, 83020239-040e-4f19-8fdb-bb917356536f, 57, 7682, No update data, 9g3qx34p7t3t
Bird, MEX, e047fd2a-760e-4417-bdc3-65aadfe6c5a1, 97, 13588, No update data, 9g3qx3m7ugpe
