Bird, MEX, 22c0a4fc-5038-407e-b358-c264315749ed, 100, 14062, No update data, 9g3qx8br2jje
Bird, MEX, 3f5d1e14-2abf-4450-b3a3-c1faddeada17, 100, 14062, No update data, 9g3qx8bpxcpt
Bird, MEX, 9e1d484b-82f8-4381-a62c-2a2863a4a212, 99, 14696, No update data, 9g3qx20mde85
Bird, MEX, a0d7e56b-e3fb-4e4b-8e9e-1d6077a08da3, 100, 14062, No update data, 9g3qrred1p6p
Bird, MEX, 9d3c5c60-4dc8-468e-a17c-5c6b66851b34, 100, 14863, No update data, 9g3qx900rr31
Bird, MEX, dbd9bfe2-324c-4c64-a50a-ac74fd5f7ae8, 100, 14863, No update data, 9g3qx8brckj3
Bird, MEX, 07403ecd-9211-4075-b57e-80db125f15fe, 100, 14863, No update data, 9g3qx2098xqf
Bird, MEX, f269b87e-e85b-449f-95c0-681aca0493c6, 75, 10112, No update data, 9g3qx3r66bg2
Bird, MEX, 96e69ef8-3fa3-4a9d-802d-66a2466af0d2, 62, 8058, No update data, 9g3qx3r66pgv
Bird, MEX, 8ffa5a2d-e96a-4487-9532-78c71bf15584, 100, 14062, No update data, 9g3qrre9ckvm
Bird, MEX, f77a1a96-0f11-456b-a1e9-3133c60c3472, 65, 9018, No update data, 9g3qx3r65xcg
Bird, MEX, 9e990e86-a088-47bc-bb5f-db838112d58f, 100, 14062, No update data, 9g3qx8br7d3f
Bird, MEX, 2ad49c35-0948-47ef-ba26-a3670c6f620b, 100, 14863, No update data, 9g3qx20jrfd7
Bird, MEX, 0cdfd437-d38b-4028-8876-59013b326a95, 97, 14362, No update data, 9g3qx2092jj6
Bird, MEX, e650c12c-3f3b-4556-a841-e81522b2111e, 99, 14696, No update data, 9g3qx20jptun
Bird, MEX, 4f35da3d-4e02-4333-b2e5-a724f76790ef, 99, 14696, No update data, 9g3qx20jrjey
Bird, MEX, 0755031e-8b3c-4234-9988-fd2bb995f6c0, 94, 13861, No update data, 9g3qx203rfd7
Bird, MEX, 618a964d-c267-428a-80b2-917627bae44e, 98, 14529, No update data, 9g3qx203rcfr
Bird, MEX, d925bbc3-4cb5-46f5-908a-228eb14db61e, 100, 14863, No update data, 9g3qx20jwqkm
Bird, MEX, cb60115d-829f-477a-9748-ed12db54bf3f, 100, 14863, No update data, 9g3qx20hzkp0
Bird, MEX, a09a2b95-b008-4253-8862-36c47e14d2a3, 99, 14696, No update data, 9g3qx203r5gg
Bird, MEX, afb99264-6219-4b39-83cb-b2c29bb9bad8, 98, 14529, No update data, 9g3qx203r38v
Bird, MEX, b9e2ff33-aa00-4fc0-8744-f33a9e54896b, 74, 9954, No update data, 9g3qx3r6m9wn
Bird, MEX, 601d82b6-d04f-4d82-ac61-b36d93584c9d, 100, 14863, No update data, 9g3qx20jncm9
Bird, MEX, c449dad9-bb55-4dc6-8886-5b9a55ff331d, 97, 14362, No update data, 9g3qx203p6bf
