Bird, MEX, f4cd312d-b1ab-4ccc-840f-b064e4d82842, 58, 7849, No update data, 9g3qx3p8bush
Bird, MEX, 7aadc36b-4d78-44ff-ab7a-003ab654269d, 78, 10586, No update data, 9g3qx2ps60ez
Bird, MEX, ac90b4f8-4ec5-4ed2-bb64-605c07442409, 93, 12956, No update data, 9g3qx3p932jk
Bird, MEX, 90b4f26d-97a2-497b-8244-1fb9f1ea8687, 67, 9352, No update data, 9g3qx2bejphw
Bird, MEX, bf956252-d541-4d7d-a779-dcb1d9327ce8, 96, 13430, No update data, 9g3qx3pdqs4w
Bird, MEX, 39298bbd-04c3-47e1-9e44-aba7ba98b4bd, 92, 12798, No update data, 9g3qx3pbdzem
Bird, MEX, e8aeed4d-683e-4f07-aac9-8aa11327775a, 94, 13114, No update data, 9g3qx3pbeuvh
Bird, MEX, fda6d7e1-606d-461c-abf9-dd9253eea5a9, 72, 10187, No update data, 9g3qx2zzr0kn
Bird, MEX, 27ff993f-b5a1-4be3-8819-a74cca67f1b8, 43, 5056, No update data, 9g3qx3pbgy0n
Bird, MEX, 594557b2-0a49-4271-b3ef-77ec6e7b8935, 69, 9164, No update data, 9g3qx8bhgw9b
Bird, MEX, 0e388a23-4e07-4292-a728-6a7fc8b4cb1e, 66, 9185, No update data, 9g3qx20t7nbn
Bird, MEX, da283533-c49b-4115-84f9-a34649d27d8e, 64, 8851, No update data, 9g3qx8bp3jrm
Bird, MEX, cd01213d-9873-4a73-9113-022b45577801, 93, 13694, No update data, 9g3qx3pcmhkz
Bird, MEX, 30b86e43-c8a7-4bfa-bf10-588a81a365d1, 93, 12956, No update data, 9g3qx8bp42xn
Bird, MEX, 46abce90-bd75-4b92-b165-d46e06a59f39, 76, 10270, No update data, 9g3qx8bjnp1q
Bird, MEX, c893effe-00ee-4387-8b1e-6a70390f84db, 90, 12482, No update data, 9g3qx20t2s0t
Bird, MEX, 11f1ec41-516b-4137-8d03-93300417e57a, 26, 2505, No update data, 9g3qx22nunpy
Bird, MEX, 26ed862c-b040-42aa-8d3b-d942b8998ab5, 90, 13193, No update data, 9g3qx20ef8m0
Bird, MEX, 05657a08-52fb-4b54-9e31-d3cf41b3234c, 90, 12482, No update data, 9g3qx8bpgkes
Bird, MEX, 65cff338-d0cf-40d3-8193-b1358655873e, 27, 2672, No update data, 9g3qx22p77hx
