Bird, MEX, 98b73a9d-abbe-49f9-8f75-2773560c76ce, 98, 13746, No update data, 9g3qx2hk0h2s
Bird, MEX, 845653c5-be67-45ca-a0dd-0be4b813d13c, 97, 13588, No update data, 9g3qx267zyf3
Bird, MEX, 00fa3925-6cf5-43af-94fc-bc0474e49bd9, 66, 9185, No update data, 9g3qx2gn2408
Bird, MEX, 1870b9ff-0d74-47be-bf9c-edd054a07089, 63, 6136, No update data, 9g3qx2y0m6fv
Bird, MEX, 74c53c10-629e-445d-aa9a-fad859f1ea08, 73, 9796, No update data, 9g3qx2h55usy
Bird, MEX, b347d60b-82ed-4762-8e03-c991091c7fff, 79, 11356, No update data, 9g3qx267vvk0
Bird, MEX, d14deddc-33f9-4be2-b545-2c4c970524f7, 46, 5845, No update data, 9g3qx2qhqrs6
Bird, MEX, b09e2420-c45f-4fea-b3a0-310e7d842e05, 69, 9164, No update data, 9g3qx24yuvpx
Bird, MEX, 62c803ed-56c6-4d47-80e8-a7a8a215f461, 94, 13861, No update data, 9g3qx2dq2tqv
Bird, MEX, a07c6ff7-982e-4c28-bf48-499566204142, 99, 13904, No update data, 9g3qx2vgywzd
Bird, MEX, 44e75f27-09d3-4bca-9446-6a540201e856, 46, 5530, No update data, 9g3qx25ekczx
Bird, MEX, f1a2eeb5-2f85-4e42-99a4-119d320d6d61, 94, 13861, No update data, 9g3qx2dnqcty
Bird, MEX, 6b9dedd2-df91-4d53-beca-79a341cdc811, 44, 5214, No update data, 9g3qx257swkm
Bird, MEX, 542ec311-3ff0-4559-b963-403c49668ac7, 94, 13114, No update data, 9g3qx26k8wng
Bird, MEX, 003d3e44-0109-48bc-9dc3-0d929e16dabf, 65, 9018, No update data, 9g3qx267ckm6
Bird, MEX, c4cb69d3-6686-4405-868e-341e6a96d092, 91, 13360, No update data, 9g3qx26hy031
Bird, MEX, 3384db6e-31b3-44ff-8878-c06cb1d55930, 91, 13360, No update data, 9g3qx26hvemu
Bird, MEX, 3b02effe-75b2-4c4a-ab48-0dac824f0fd1, 81, 11690, No update data, 9g3qx265ygmu
Bird, MEX, a02efcf0-fc53-4f4d-8aa5-5c1ee4ec80cc, 91, 13360, No update data, 9g3qx26ht5ut
Bird, MEX, 72e4b636-06ec-449c-b189-197fe291ae27, 97, 13588, No update data, 9g3qx26hsuc7
Bird, MEX, 5a0f3b70-2911-46fb-93a5-1b755815671e, 56, 7110, No update data, 9g3qx2f0hm01
Bird, MEX, d37ccbe6-73a5-4399-a027-0bd5c7c634af, 91, 13360, No update data, 9g3qx26hsrq5
Bird, MEX, b23476fa-2d71-436d-a7ea-6bc82f4568fe, 90, 13193, No update data, 9g3qx26hsr01
Bird, MEX, 821f0619-591a-4de0-95ea-910f7bd6be05, 81, 11690, No update data, 9g3qx26j4t8h
Bird, MEX, 4c5e7e43-834b-4f97-9ee5-d25a9ff15b9e, 91, 13360, No update data, 9g3qx26j4r1y
Bird, MEX, ea3548e2-6864-4b09-b247-4b1d19a1890f, 96, 13430, No update data, 9g3qx26hdq3v
Bird, MEX, 7d6461b5-e421-49f0-9041-58c788bdce0e, 80, 11523, No update data, 9g3qx2jvyms3
Bird, MEX, 19ff8a79-71c2-42f0-b7e1-dbef44dd3e71, 97, 13588, No update data, 9g3qx26hc382
Bird, MEX, 8f7a80cf-58df-44d7-8e43-126c46767b06, 66, 9185, No update data, 9g3qx26h3v07
Bird, MEX, 3808331f-2a0e-4225-8df2-414d7ccbc53b, 76, 10270, No update data, 9g3qx2jvjm4b
Bird, MEX, a001d9c2-c2d5-448b-a86c-8af59bc0877b, 79, 11356, No update data, 9g3qx34c2ugc
Bird, MEX, 4c09d5fb-6d29-49ee-8cea-f11fb3cc55f9, 53, 7014, No update data, 9g3qx29u2qgx
Bird, MEX, 6509c40a-9658-4cc6-9fa5-eb257e05022e, 73, 10354, No update data, 9g3qx2518w2t
Bird, MEX, c849098b-7d93-49db-bcf4-1c330443d907, 100, 14863, No update data, 9g3qx2fr76h8
Bird, MEX, eb280665-4324-4e84-970b-48dde451e2c1, 97, 13588, No update data, 9g3qx2fr62cb
Bird, MEX, 4fce7ccd-bff9-4a2f-9b3f-5c9dddb95b29, 100, 14863, No update data, 9g3qx2fr6sb1
Bird, MEX, 36b4677a-e450-469e-9abe-2b241494f187, 44, 5511, No update data, 9g3qx29twbjw
Bird, MEX, 1c0f74e3-1e8b-40be-a0cc-935d7dc71590, 94, 13114, No update data, 9g3qx2frd8v5
Bird, MEX, e55db94e-5f6d-42bd-a9af-7c008b429224, 100, 14863, No update data, 9g3qx2fr6net
Bird, MEX, 6543a25c-1e7b-44f4-b168-3b22583edc41, 78, 11189, No update data, 9g3qx3jem6du
Bird, MEX, 6b706d64-0df8-4829-b7f2-19558573cfcd, 51, 6680, No update data, 9g3qx35h6578
Bird, MEX, 63b9a7b7-41aa-4379-b35d-d4a49adecd85, 58, 7849, No update data, 9g3qx3hnsv1q
Bird, MEX, 9c6e0dcd-2637-4951-b10a-cb9dc81e2edb, 92, 12798, No update data, 9g3qx2xh1qvk
Bird, MEX, 32b7a500-b0e9-452e-b849-7d3d8debe44e, 79, 11356, No update data, 9g3qrrvr5nye
Bird, MEX, 88ecde63-0b08-498e-8e75-242bc9aa80f6, 43, 5344, No update data, 9g3qx2ygmmpg
Bird, MEX, ba602142-b0b8-4553-8553-559eecb4a368, 61, 7900, No update data, 9g3qrrvq473y
Bird, MEX, ac344e42-22c9-458b-91af-5a16e20f3faf, 96, 13430, No update data, 9g3qx2ygreu7
Bird, MEX, 1176d68c-ad80-41dc-a747-4743158244d9, 94, 13861, No update data, 9g3qx2z5082u
Bird, MEX, c77cf383-a3d5-4b83-aa43-8e52f26d1867, 97, 13588, No update data, 9g3qx2z4cjx4
Bird, MEX, c79f37f9-1f22-4c2d-9b65-6d79d07e8583, 71, 9480, No update data, 9g3qx239623v
Bird, MEX, 33d7a366-1b7b-49e5-802a-3c512a04e1d8, 51, 6320, No update data, 9g3qx238gh24
Bird, MEX, e2970864-d8f9-42a7-b6ad-f0859090cb97, 90, 13193, No update data, 9g3qx2z590f6
Bird, MEX, 05cb93ee-a049-4bc3-9fe5-a49e2a9ac031, 65, 8532, No update data, 9g3qx2398swc
Bird, MEX, 5474a47e-84a1-4b3c-a6d7-5d53e546b3e8, 79, 11356, No update data, 9g3qx2n0see7
Bird, MEX, 042d97be-6aa8-4da3-98b7-7f86d8d804f5, 98, 13746, No update data, 9g3qx21xn1g5
Bird, MEX, a409e3cd-02c3-4ab4-8e63-9d66b378c708, 88, 12859, No update data, 9g3qx21wwcmw
Bird, MEX, 1b879865-cbc1-46a5-9045-6cf5022dbc48, 65, 9018, No update data, 9g3qx2932t0e
Bird, MEX, b496becf-5ed3-41a3-bbab-125fe37c00bc, 52, 6478, No update data, 9g3qx21wvk4b
Bird, MEX, dc5157af-ece8-4d69-9081-68fee59145b5, 93, 12956, No update data, 9g3qx233wwdx
Bird, MEX, 2811d5ea-c155-4f13-bec6-b42b68a7bf57, 55, 7348, No update data, 9g3qx294mejz
Bird, MEX, fb794149-f609-4d71-8cc4-f574278bee2f, 44, 5511, No update data, 9g3qx2z4zmch
Bird, MEX, dca93db5-0aa3-424f-8940-61b08f1ccdb3, 53, 6636, No update data, 9g3qx23ned9w
Bird, MEX, eb6cd0b6-2ffb-4573-93b8-261b3d4934dc, 70, 9853, No update data, 9g3qx2949gyw
Bird, MEX, afadba1e-c338-4360-9180-1455dc2eadc1, 90, 13193, No update data, 9g3qx231rm8y
Bird, MEX, 909d4c57-7903-480d-9874-2abae70f7479, 93, 13694, No update data, 9g3qx21mr9up
Bird, MEX, 8c1318be-98df-46e3-89ab-3a517a1cfc50, 93, 13694, No update data, 9g3qx21sbw2x
Bird, MEX, 472f52fa-d136-43da-a892-c2433dd06a98, 98, 14529, No update data, 9g3qx21mr0ez
Bird, MEX, 92768d7a-5f71-4c47-881d-1fc345ae08c5, 72, 10187, No update data, 9g3qx21mppeb
Bird, MEX, 9f20bf59-d2bd-4e39-82bb-03a1bd4f75d5, 67, 8848, No update data, 9g3qx21mnvj8
Bird, MEX, 27a4013d-1009-4383-8a5c-2b1a7f2e3eaa, 90, 13193, No update data, 9g3qx230wymt
Bird, MEX, f8de6e77-5c83-423d-8431-aeb1563116b6, 92, 13527, No update data, 9g3qx230wfvx
Bird, MEX, 97747c01-16ab-4dbe-b611-79a644f69472, 80, 11523, No update data, 9g3qx230ww4e
Bird, MEX, 60cf4877-69ce-4531-a5a1-e1a27cfc904c, 97, 13588, No update data, 9g3qx231j7rw
Bird, MEX, a65127ed-ebdf-4958-be90-97922b96ec9b, 90, 13193, No update data, 9g3qx2315sxy
Bird, MEX, f25a9cfb-cb0b-4e67-8f02-ae26d3f35579, 90, 13193, No update data, 9g3qx230u0zu
Bird, MEX, 847e92aa-2285-46dd-97a3-47a02f8c7d70, 72, 9638, No update data, 9g3qx2z7zfz3
Bird, MEX, 02d8ddfb-a707-4fe9-86d0-7c6efa848b96, 90, 13193, No update data, 9g3qx2314x80
Bird, MEX, 573b30db-909a-4fda-a3b5-46c3035c47ac, 92, 13527, No update data, 9g3qx2313vww
Bird, MEX, 88a2c33b-82b0-4a65-ab74-7d217ed3148f, 65, 9018, No update data, 9g3qx21b2q7d
Bird, MEX, 46e64a0f-00ef-41a3-8d5a-b2bd0afc5716, 37, 4342, No update data, 9g3qx2312sb9
Bird, MEX, 05e1e739-2621-441b-962b-677608860b68, 91, 13360, No update data, 9g3qx23185t7
Bird, MEX, a966beb1-069f-49e5-87e2-52a02865e96d, 93, 13694, No update data, 9g3qx2312q7d
Bird, MEX, 7716661d-02ec-4ae1-8f3b-669821df9093, 91, 13360, No update data, 9g3qx22fp5gb
Bird, MEX, b65804ec-46ae-47f3-bfd1-a890295b5f9e, 99, 13904, No update data, 9g3qx2zs3s5t
Bird, MEX, 39809edf-8d8c-4cf9-abdb-5c9f19b5c48a, 100, 14062, No update data, 9g3qx3m7gqgd
Bird, MEX, 1a9a7526-2031-4bd6-a871-746ec2cc8703, 94, 13114, No update data, 9g3qx2zek570
Bird, MEX, f712b988-7bc6-4373-b1d0-346b13a9410d, 62, 8517, No update data, 9g3qx34p6sv4
Bird, MEX, 1ddc5dcd-f88a-47f8-9a40-6cbbd7bc6742, 100, 14062, No update data, 9g3qx3mk4dvh
Bird, MEX, 9f7d0162-3d81-4608-b68b-ec7d2fbfeb20, 65, 8532, No update data, 9g3qx2zs5e1v
Bird, MEX, 357e4ade-1115-4dac-b0a4-763aab33019f, 28, 2839, No update data, 9g3qx36gqrum
Bird, MEX, 93b1af19-87ca-4dd8-bfe9-b8f6a5a83c6e, 83, 11376, No update data, 9g3qx22xz3bf
Bird, MEX, a6ec7624-a835-4b3c-bb4d-5f1743766fd1, 54, 6794, No update data, 9g3qx2xgshe4
Bird, MEX, 8f131170-e4a6-4a11-804c-9c5ceefad428, 52, 6478, No update data, 9g3qrrv9hkqk
Bird, MEX, 64c89a2b-22af-4a9a-b521-8c2b5757eace, 66, 9185, No update data, 9g3qx2zsn969
Bird, MEX, 40ed3990-1e9c-4eb1-b282-59ccf1cf435a, 93, 13694, No update data, 9g3qx2zsp5kp
Bird, MEX, 161d182e-4a5d-4ae5-9ccb-995ade31df52, 62, 8517, No update data, 9g3qx215vkp8
Bird, MEX, 3e749de6-7df4-44e9-8864-bdcd03194715, 92, 13527, No update data, 9g3qx2zsrtsr
Bird, MEX, 4839d852-1d85-4016-81c3-aa58f7b13957, 91, 13360, No update data, 9g3qx2zg1w78
Bird, MEX, ba2923c3-70aa-4283-8276-3f959b3cd5fb, 44, 5214, No update data, 9g3qx8801kmk
Bird, MEX, 1902bc0a-56b1-4f9a-b39b-722aae18ea6f, 75, 10112, No update data, 9g3qx82n7s1v
Bird, MEX, b96e0327-1eda-40dc-8df5-616d5a0869b4, 94, 13114, No update data, 9g3qx88hq19q
Bird, MEX, e3eec4f4-06fd-42cc-b66f-b42df111b37a, 88, 12859, No update data, 9g3qx3qbq19q
Bird, MEX, b678884f-1299-40c2-a806-cb69b9112729, 93, 12956, No update data, 9g3qx2p2x4k5
Bird, MEX, 17b00273-1775-4c1c-a0e1-3e160d6d5686, 97, 13588, No update data, 9g3qx20wm1ev
Bird, MEX, 9bc21d40-8159-4494-b0ee-2f223a10a42a, 26, 2505, No update data, 9g3qx2zyxr9j
Bird, MEX, ec6a4bd2-7c09-4879-92fc-85a43baf380f, 44, 5214, No update data, 9g3qrrssjusm
Bird, MEX, c18697e4-4798-4c2e-9bd4-a884ebeb7e16, 29, 3006, No update data, 9g3qx2b29vy9
Bird, MEX, 9873bba6-614b-4fc3-98e5-1f6a2d3e7735, 90, 13193, No update data, 9g3qx3pf2x2c
Bird, MEX, 4b226b8c-e3d4-41d1-aa03-55e681d91cd3, 71, 10020, No update data, 9g3qx22pztk0
Bird, MEX, 51ef5a77-4b25-4a0d-8199-d81dbb635b26, 51, 6680, No update data, 9g3qx8bjf3z5
Bird, MEX, 3b326966-7c91-4e8c-a3c4-178afb60f57f, 88, 12859, No update data, 9g3qrrsgf47t
Bird, MEX, e65bd957-cef3-42fb-a6f8-d30953fd8793, 92, 12798, No update data, 9g3qx88kk2y2
Bird, MEX, 9a5df020-06ef-4432-b4af-ee6eae97dc65, 63, 8684, No update data, 9g3qrrsgzesj
Bird, MEX, 060a1109-f628-480e-a892-7364510575d8, 91, 13360, No update data, 9g3qx20qrq8u
Bird, MEX, 50709b8a-8d1c-4f94-be44-47190d5b10c0, 61, 8350, No update data, 9g3qx8bnv4hv
Bird, MEX, f5796f0a-3309-4226-b3c1-c21235720d90, 91, 13360, No update data, 9g3qx20qjw2b
Bird, MEX, 26bf5620-8663-4ee3-91d0-10e0605e87a3, 89, 13026, No update data, 9g3qx8bnv8yj
Bird, MEX, 282d29c5-4f84-472a-9644-a4543a79c8c7, 15, 668, No update data, 9g3qx225n5z2
Bird, MEX, 9da4017b-2db7-4c51-9f9e-4f8d16c3b10a, 26, 2505, No update data, 9g3qrrzkeyhg
Bird, MEX, 5f2aa98d-4826-4592-8133-c851aae61e6b, 48, 6179, No update data, 9g3qx8bnxm1n
Bird, MEX, b312c637-36e3-4eb8-b9aa-31ce85e701e5, 56, 7515, No update data, 9g3qrrdu81mt
Bird, MEX, 15888cee-feb1-4d23-877c-ba2ad07f9453, 91, 13360, No update data, 9g3qx20q5d1x
Bird, MEX, 048bd9dc-ee05-4385-9371-5148ac746a4f, 85, 12358, No update data, 9g3qx20ms5zv
Bird, MEX, 2cf4cc7f-3299-42fd-9a93-f462c51a37c9, 93, 13694, No update data, 9g3qx8bnzg6t
Bird, MEX, 13673970-2381-46dd-8a2d-5172f7a26d8b, 78, 11189, No update data, 9g3qrre6r1k5
Bird, MEX, 6bc7ded6-a8dd-4804-922f-2e42816a91a9, 43, 5344, No update data, 9g3qrrz6gn2r
Bird, MEX, 32fccdc0-1a92-44b0-b9ea-8ad6f4a0f2cc, 90, 13193, No update data, 9g3qx20m8pj3
Bird, MEX, f66c0b88-9df7-46e2-97be-cdc7976cdf87, 90, 13193, No update data, 9g3qx206qqh2
Bird, MEX, 11fc6572-9393-42a0-92c7-4f99f9c7e1df, 90, 13193, No update data, 9g3qx206p22g
Bird, MEX, 52bc7059-d61c-4869-891c-fc1d1dcc0871, 85, 12358, No update data, 9g3qx20jxqp5
Bird, MEX, ae2ce957-6794-45a2-bbc6-748cebef0186, 65, 9018, No update data, 9g3qx2085sxy
Bird, MEX, 6b6e5802-5c48-4fc5-bd29-4a54741206a9, 90, 13193, No update data, 9g3qx20nn0xm
Bird, MEX, 3ccf89a9-9fc8-4c6e-acb5-a6eab614b5c9, 90, 13193, No update data, 9g3qx203xp5b
Bird, MEX, ef3d1683-1457-4a38-9409-646e2c7d3ca7, 93, 13694, No update data, 9g3qx203yrsr
Bird, MEX, 6d77df3c-6b74-4594-9a28-fcb65c3b72da, 97, 13588, No update data, 9g3qx20jynpm
Bird, MEX, 52582003-13f6-4274-ab1c-cc0c065bea4c, 62, 8058, No update data, 9g3qrre97yuv
Bird, MEX, e7708e59-dcf0-4fca-a82d-e329404ff3d8, 91, 13360, No update data, 9g3qx203wqkm
Bird, MEX, 3f70438c-e357-47b5-88d4-003cb2b87cd5, 54, 7181, No update data, 9g3qx20nj64x
Bird, MEX, f617d67b-42ce-489c-96cd-e6b9e89abd4d, 78, 11189, No update data, 9g3qx88sx9hk
Bird, MEX, a41aa352-87ac-4511-bae9-43a4b438e7a9, 90, 13193, No update data, 9g3qx20ju9hq
Bird, MEX, d83dd7fe-3e00-4fa8-aaf1-7935affe6190, 89, 13026, No update data, 9g3qx20ju1zf
Bird, MEX, 35c53774-0515-4367-a3d9-f70b406ad050, 93, 13694, No update data, 9g3qrrwy3167
Bird, MEX, f277bae7-9251-4364-a33b-af8487898e26, 97, 13588, No update data, 9g3qrrwy15rn
Bird, MEX, c99f496a-254e-4940-8951-e0b58fd65a98, 93, 13694, No update data, 9g3qrrwy12tk
Bird, MEX, abed557f-85b9-4af2-b0d9-f2522f152022, 88, 12166, No update data, 9g3qrrbu5qhx
Bird, MEX, fe6a4a75-799d-405f-b205-19e2cc7d2458, 99, 14696, No update data, 9g3qx3e5ysp9
Bird, MEX, 473d4d6d-36fe-4d58-8beb-6e17adfd86cd, 100, 14863, No update data, 9g3qx3e5vuh1
Bird, MEX, 58eeacfa-d3b4-4100-b55b-5552204c8d6e, 97, 13588, No update data, 9g3qx3ehp2p4
Bird, MEX, ad80598c-a5ac-46c2-8e3b-5e6684fb7b37, 85, 11692, No update data, 9g3qrr9wnmk3
Bird, MEX, 9a9a12b3-0b29-4799-a9ba-d2da30068b6b, 100, 14863, No update data, 9g3qx3e5ypc0
Bird, MEX, fe2d2b3d-2645-48f7-b0c8-1b757475b26e, 99, 13904, No update data, 9g3qx3ehp6zh
Bird, MEX, eba31f36-07a3-4ec8-a5dd-be1cd6ac7cc1, 44, 5214, No update data, 9g3qrre0yhr3
Bird, MEX, e9041c55-aa4a-423f-a642-3a56b81f061c, 36, 4175, No update data, 9g3qrr9ty868
Bird, MEX, ba3c36a0-2733-4cac-bf52-72101d2fd26f, 70, 9853, No update data, 9g3qrr9trngy
Bird, MEX, 5a9928c8-c851-44dc-8758-99fa114a49a1, 62, 8058, No update data, 9g3qrrbrdd01
Bird, MEX, 9a54ef30-998f-40fc-84b7-0998dab3472d, 92, 13527, No update data, 9g3qx90m185d
Bird, MEX, 084cb774-e6b5-4cd4-8869-1053d4ceeaf8, 76, 10855, No update data, 9g3qx3tkyvtg
Bird, MEX, 540fb42a-eaca-4543-84c0-05463230cbd8, 73, 9796, No update data, 9g3qrrw4p8uq
Bird, MEX, 70c09a11-6d2e-41b9-997e-508e24375b41, 49, 6004, No update data, 9g3qx0zdkprc
Bird, MEX, 5e421af7-331e-4685-9b76-ae92936cf173, 91, 13360, No update data, 9g3qx90mksg6
Bird, MEX, 47d3b535-07bb-4d98-a669-c2893e58df78, 90, 13193, No update data, 9g3qx90s0fhp
Bird, MEX, f8905c10-5db7-4510-86a2-877fbb779bce, 94, 13114, No update data, 9g3qrrtbq84e
Bird, MEX, efbb0f9c-f89d-4803-bfad-13a3ae3c087c, 85, 12358, No update data, 9g3qx3ewv0ss
