Bird, MEX, 1acfaf02-8a82-4144-964c-c6c7bb75c29c, 84, 11534, No update data, 9g3qrrzyb5jd
Bird, MEX, f269b87e-e85b-449f-95c0-681aca0493c6, 75, 10112, No update data, 9g3qx3r61ppp
Bird, MEX, a09a2b95-b008-4253-8862-36c47e14d2a3, 99, 14696, No update data, 9g3qx207njr6
Bird, MEX, cb60115d-829f-477a-9748-ed12db54bf3f, 100, 14863, No update data, 9g3qx20m3mj4
Bird, MEX, 8ffa5a2d-e96a-4487-9532-78c71bf15584, 100, 14062, No update data, 9g3qrre9urwq
Bird, MEX, 22c0a4fc-5038-407e-b358-c264315749ed, 100, 14062, No update data, 9g3qx900xek6
Bird, MEX, 9d3c5c60-4dc8-468e-a17c-5c6b66851b34, 99, 14696, No update data, 9g3qx8brch66
Bird, MEX, a27c268c-c081-48c0-a44a-11f2b35a6e34, 98, 14529, No update data, 9g3qx207sqqj
Bird, MEX, d925bbc3-4cb5-46f5-908a-228eb14db61e, 100, 14863, No update data, 9g3qx20mb52k
Bird, MEX, 07403ecd-9211-4075-b57e-80db125f15fe, 99, 14696, No update data, 9g3qx207jm4b
Bird, MEX, dbd9bfe2-324c-4c64-a50a-ac74fd5f7ae8, 100, 14863, No update data, 9g3qx9022s2z
Bird, MEX, 9c0c4e8f-39c4-46bb-ab59-31a62571b6af, 98, 14529, No update data, 9g3qx20np8k5
Bird, MEX, 641bca07-0250-44a0-9960-d3dc9ed1f18f, 98, 14529, No update data, 9g3qx20jzwhj
Bird, MEX, 601d82b6-d04f-4d82-ac61-b36d93584c9d, 100, 14863, No update data, 9g3qx20jzsun
Bird, MEX, afb99264-6219-4b39-83cb-b2c29bb9bad8, 96, 14195, No update data, 9g3qx207hurs
Bird, MEX, cdfe60ad-148d-47a9-8d80-60c74a90f219, 99, 14696, No update data, 9g3qx20jxy6m
Bird, MEX, fd261ac8-0bb0-4a07-b864-034a00ba74f9, 99, 14696, No update data, 9g3qx20jxud3
Bird, MEX, d98c91fb-00aa-404b-82d7-c7ec1c1d5864, 51, 6320, No update data, 9g3qrrz7mge0
