Bird, MEX, 05ce5f02-4e6d-446f-9391-8a5ad81d7628, 57, 7268, No update data, 9g3qrjtr8dbt
Bird, MEX, 8a0efed6-b9b1-4a26-b1c4-00a35fc33057, 98, 13746, No update data, 9g3qrmc0jr6v
Bird, MEX, c89a2bcd-f227-4564-9122-c0841bbbf4a5, 63, 8216, No update data, 9g3qrjtr84bm
Bird, MEX, 43ebdfb8-75e3-4f0b-8b73-1fdcc8dbe5d3, 76, 10270, No update data, 9g3qrjtse7hx
Bird, MEX, 29283549-46d6-402d-91b1-b1443744d5b6, 67, 8848, No update data, 9g3qrjtsc2t0
Bird, MEX, 25bb3299-c2db-4d35-836e-22aa7c63d68a, 67, 8848, No update data, 9g3qrjtpwnxh
Bird, MEX, 37b69fba-9da6-4a14-9707-39492cabff07, 99, 14696, No update data, 9g3qrnw5nmk0
Bird, MEX, 9f4b996b-4fe8-4e05-95b5-8adb2c9ee207, 92, 12798, No update data, 9g3qrm8df1hu
Bird, MEX, feba7922-2c92-4743-ac08-d7c60ce5339e, 98, 14529, No update data, 9g3qrnw5m92f
Bird, MEX, a027955f-3471-418c-9c66-26191f050f19, 99, 13904, No update data, 9g3qrm8df8v4
Bird, MEX, 2e8c03f2-ec50-4515-87fd-46e9d417ea0e, 99, 14696, No update data, 9g3qrnw5kth3
Bird, MEX, 49c52ce0-4f81-4748-8f4e-9cb83c5692ae, 96, 13430, No update data, 9g3qrjqxx6zj
Bird, MEX, 7e3772cd-373c-4896-aad1-e19dc9a1c5eb, 98, 13746, No update data, 9g3qrjqz825e
Bird, MEX, 8b04fc6d-d093-480c-8f6b-269e9d5d12b3, 98, 13746, No update data, 9g3qrjqz2m58
Bird, MEX, 3952ed93-ee1c-4b22-baaa-499bfb9f6f3e, 97, 13588, No update data, 9g3qrjqz25jk
Bird, MEX, c0a20b68-6913-4ff1-9069-f721656a7849, 48, 5846, No update data, 9g3qrjtnsupm
Bird, MEX, de05ba13-f89b-4ac8-b51c-efcf4070371b, 100, 14062, No update data, 9g3qrm8d1222
Bird, MEX, efc1a8a0-471f-414f-8867-e66703e10ea4, 100, 14062, No update data, 9g3qrm89cmb3
Bird, MEX, 314e9bc1-6261-4aeb-9f18-d9bc50c87103, 100, 14062, No update data, 9g3qrm8d48t4
Bird, MEX, 116417a6-7e94-485a-896a-29d8fbc85142, 100, 14062, No update data, 9g3qrm89fjhv
Bird, MEX, 24ad8133-a7fa-4cf0-8e41-66fac3d9959f, 51, 6320, No update data, 9g3qrjubp9t0
Bird, MEX, 42544ac3-2d3a-4c76-9821-591eb3be8cb7, 90, 13193, No update data, 9g3qrnwkg93x
Bird, MEX, 9f77bcd8-4cb9-4974-9068-70e01bdd5de3, 94, 13861, No update data, 9g3qrjubnrkj
Bird, MEX, de4f9bf6-4611-4fa5-9948-ec6a9e042f32, 96, 13430, No update data, 9g3qrm89epbh
Bird, MEX, 49ccbb91-2b63-4126-85f1-f9a68fa0f81f, 82, 11218, No update data, 9g3qrnkg4kcw
Bird, MEX, 980033a0-4bf2-43e3-bbd0-c059f4a0a19a, 94, 13861, No update data, 9g3qrjub751k
Bird, MEX, eb8f21a5-1689-45fe-ae1a-b1950193b732, 94, 13861, No update data, 9g3qrjub4z7j
Bird, MEX, 912fa335-5e46-418f-be92-336872e5fa2b, 45, 5678, No update data, 9g3qrnk8uq15
Bird, MEX, 04b85ce0-bd7f-4946-9f7b-78a238704c8a, 45, 5372, No update data, 9g3qrnww03ge
Bird, MEX, 4ab78a86-0c6a-4d0d-bb0f-1368937d86aa, 96, 13430, No update data, 9g3qrjszcy07
Bird, MEX, de2fbc6c-5f01-4157-a464-d39a3a8eaa89, 46, 5530, No update data, 9g3qrmcve93e
Bird, MEX, e6f9d55a-8266-42da-b6c9-1f24e7b70760, 99, 13904, No update data, 9g3qrm886dt0
Bird, MEX, a72f3f15-9e3e-45bf-a2ad-6b53efd8d76f, 99, 13904, No update data, 9g3qrm886f5n
Bird, MEX, 067d0ab7-d4e2-44bb-a0ca-1af5b330e21a, 100, 14062, No update data, 9g3qrm8868tj
Bird, MEX, 6d3395d6-2232-43c5-8b20-5acdee080a74, 99, 13904, No update data, 9g3qrm8871w6
Bird, MEX, bc662e2f-2a1c-4b3e-ba04-9d7f48168aad, 100, 14062, No update data, 9g3qrm2xcmjj
Bird, MEX, 39bf4c6a-6ab3-4bd1-af62-f11e1978bc56, 88, 12859, No update data, 9g3qrmcvkfpx
Bird, MEX, c726a384-875e-4fe4-8a57-ed765f268ac7, 100, 14062, No update data, 9g3qrm2xc8g6
Bird, MEX, e7ce55e4-e6b6-449f-bbdf-e31009d318d2, 92, 13527, No update data, 9g3qrmcvmjh8
Bird, MEX, 58be8354-2838-4244-8727-1281fa5e56b3, 96, 14195, No update data, 9g3qrmc8y5x7
Bird, MEX, e2e406a5-6b9e-4409-aeef-82ad6e8b7618, 100, 14062, No update data, 9g3qrmc9nu4u
Bird, MEX, 757bbdd7-6c55-43dd-bda9-033858751c94, 100, 14863, No update data, 9g3qrmc9ngjd
Bird, MEX, c19cf4e5-be37-4e17-b587-29a39f13c255, 98, 14529, No update data, 9g3qrmc9pr2v
Bird, MEX, dcd2749b-a78a-48bd-bbe0-3e42cdc41eba, 99, 13904, No update data, 9g3qrmc8yv2z
Bird, MEX, b530e69a-bae7-46b4-b7cb-b682bfa31eb3, 94, 13861, No update data, 9g3qrmc9p3z4
Bird, MEX, 9b075f60-095e-4a52-890d-c0563c27d752, 100, 14062, No update data, 9g3qrm2xen24
Bird, MEX, b213e3cf-3bab-4431-bcb6-a010f7a1c540, 100, 14062, No update data, 9g3qrmc8zxh1
Bird, MEX, 944a3386-189b-4715-9bd9-08a56955a10e, 100, 14062, No update data, 9g3qrm2xd31c
Bird, MEX, 96fd2625-85e9-4af6-849f-4484e7ce95f7, 79, 10744, No update data, 9g3qrm9khng1
Bird, MEX, 53d4060d-a647-4dce-8f30-4c3d62a82998, 82, 11218, No update data, 9g3qrjrs6m1b
Bird, MEX, 5ec52ad9-586a-4e61-9e44-4957f3feb50d, 58, 7426, No update data, 9g3qrnksgx37
Bird, MEX, 4d75f145-784b-4b03-9c33-7d1d564c1970, 100, 14062, No update data, 9g3qrm94ru46
Bird, MEX, e4985d88-b8fe-4da0-9368-e4768b3fc10d, 81, 11690, No update data, 9g3qrnks3we6
Bird, MEX, 1fe30654-ff9c-4b55-be76-8af405318b23, 100, 14062, No update data, 9g3qrm96265w
Bird, MEX, f162f178-2d3e-4a24-9a96-e5325b5ba732, 99, 13904, No update data, 9g3qrm962dwb
Bird, MEX, 421e6ac1-c529-4931-affd-ba8cbf045f95, 99, 13904, No update data, 9g3qrm960s29
Bird, MEX, f1641e00-b56b-4f3b-9170-003fd99e4ea5, 100, 14062, No update data, 9g3qrm93bqex
Bird, MEX, 56991ad2-9b3d-49c2-8565-8a603b3b5272, 100, 14062, No update data, 9g3qrm961qjm
Bird, MEX, 014b8522-2bcd-4615-8125-68b5497dd054, 78, 11189, No update data, 9g3qrm938pt6
Bird, MEX, b92fd738-3b08-41e2-b09b-5e8dc434c35a, 80, 11523, No update data, 9g3qrm938j8w
Bird, MEX, 64bb8ad1-f70a-4a7e-abfa-0c793af734aa, 78, 10586, No update data, 9g3qrm91xgf7
Bird, MEX, ce805d97-d758-4f6e-aeb9-b728634e0348, 74, 10521, No update data, 9g3qrm93c85q
Bird, MEX, 234ce76c-2aa4-4fe8-9000-837a4d5ba082, 84, 11534, No update data, 9g3qrm96k6w0
Bird, MEX, 4e1ac2b9-5b16-4644-99b3-8dba9ed88dd8, 100, 14062, No update data, 9g3qrm932z7z
Bird, MEX, 1f48fb27-d30a-48c6-95ce-f2a7ca904108, 100, 14062, No update data, 9g3qrm932wqb
Bird, MEX, d7874d1b-bf8a-4b40-a320-407920050859, 81, 11690, No update data, 9g3qrm932snf
Bird, MEX, e6c4d263-4245-427e-9d85-6efe15b04482, 74, 10521, No update data, 9g3qrm933j40
Bird, MEX, bedbcaf8-9dc5-40ef-a144-544d962ebfa4, 62, 8058, No update data, 9g3qrm933x7r
Bird, MEX, 8c3bbb45-954b-4824-be25-c5bec69281c7, 100, 14062, No update data, 9g3qrm93de81
Bird, MEX, 616ec196-d88e-4075-a953-02369cce56c2, 91, 12640, No update data, 9g3qrm2tv4h9
Bird, MEX, c46a5db9-e572-4f78-a8c6-034d7a81d5fd, 100, 14062, No update data, 9g3qrm936wt4
Bird, MEX, 5b01e6ac-57cf-4b5a-b862-1791418fb387, 84, 11534, No update data, 9g3qrnh04ye0
Bird, MEX, 10f987de-cd02-40c6-93cd-1cbac04e129c, 98, 13746, No update data, 9g3qrjq7desb
Bird, MEX, a6c1647c-0958-4335-95ef-67e7ac0a603a, 93, 13694, No update data, 9g3qrjq78ym4
Bird, MEX, a2c63a2f-defc-4b44-826d-02ab3f8d8e21, 98, 13746, No update data, 9g3qrjq792j5
Bird, MEX, 8b487363-0f9b-492e-9f99-c271b9ae1662, 66, 8690, No update data, 9g3qrju24esy
Bird, MEX, e959d710-cddc-44cc-8873-8e3f80f56718, 90, 12482, No update data, 9g3qrjrgrb43
Bird, MEX, 44f03615-2456-4b07-9647-05b816bdbf3c, 82, 11218, No update data, 9g3qrjmqfnsy
Bird, MEX, fe9ce2e3-44f0-475f-b023-e17c5a6a0582, 88, 12166, No update data, 9g3qrm2564sb
Bird, MEX, f0b0d1b6-20b9-4843-ac18-2487dfe0d65e, 31, 3340, No update data, 9g3qrmf0ecuz
Bird, MEX, fdf46c44-51b8-449d-8d15-3fdbb6eecbd3, 98, 13746, No update data, 9g3qrm9fcdem
Bird, MEX, ec8f5c4c-2f97-4d1b-8552-14937d13bad4, 79, 10744, No update data, 9g3qrm21uzxs
Bird, MEX, 8af03c2f-c954-4c82-a578-6a6ac1de6e27, 100, 14062, No update data, 9g3qrm9fg7k9
Bird, MEX, e19ad9cd-d8a9-4613-9620-f3816d6edf34, 89, 13026, No update data, 9g3qrm9f64e8
Bird, MEX, 40ebf4ea-2c7e-4c4b-8944-ed613ad69869, 100, 14062, No update data, 9g3qrm9fg8xb
Bird, MEX, b46b6ab6-a23a-401a-88c4-f35e88c976a0, 99, 14696, No update data, 9g3qrm9ft7fg
Bird, MEX, c94ef371-15a1-4e5c-8aca-ff77c3951907, 99, 14696, No update data, 9g3qrm9fyxfw
Bird, MEX, 39a959c4-225f-4f51-9388-3851f92703fd, 100, 14863, No update data, 9g3qrm9fwnp2
Bird, MEX, df510e35-f3df-4ec1-85f2-8b1fb4cef88f, 83, 11376, No update data, 9g3qrjshuux3
Bird, MEX, 2fe64eb9-8a16-4a7b-9081-851367052609, 81, 11060, No update data, 9g3qrm3ty94e
Bird, MEX, 501852ce-f161-48c1-bd71-2a09a4db83d6, 51, 6320, No update data, 9g3qrjku3mth
Bird, MEX, 8dc85a69-9424-40f8-9325-a34d6695493b, 67, 8848, No update data, 9g3qrjkg9mtn
Bird, MEX, b91b1a88-f2b7-49ec-b1d1-5a751951db41, 72, 9638, No update data, 9g3qrjkfvph2
Bird, MEX, de954336-e87e-4488-99cf-1e0beada12ed, 52, 6478, No update data, 9g3qxfhb49me
Bird, MEX, dcf07f54-718b-43d2-ae66-88c28b7534e0, 66, 8690, No update data, 9g3qxfhb4jsn
Bird, MEX, ab00d81f-d9f6-4fb8-b600-2c6085663c57, 53, 7014, No update data, 9g3qxfhb5vtq
Bird, MEX, 8fa546b6-5ef4-453b-897b-3a81e00fa489, 52, 6847, No update data, 9g3qxfhb3ddv
Bird, MEX, 26262299-875d-4fdc-95b4-49a0e0ccf731, 69, 9686, No update data, 9g3qxfhb3fq5
Bird, MEX, 7b01db8f-6785-4c94-9220-e9da067a8772, 82, 11218, No update data, 9g3qxfhb9b94
Bird, MEX, 624185ad-6a61-48a1-8d24-50b836d23e1b, 49, 6004, No update data, 9g3qxczhwp9y
Bird, MEX, ec7163c6-8282-4083-a2fb-a4d97a2cac66, 44, 5214, No update data, 9g3qxcztkkt8
Bird, MEX, f2958f0b-15c4-4ec6-860c-2a316faee907, 81, 11060, No update data, 9g3qxcztvpjm
Bird, MEX, d11ee48a-789b-423e-9712-3f1b80f08f33, 84, 11534, No update data, 9g3qxf6fzxkx
Bird, MEX, f8f6ceb4-d63f-48a7-98c8-495e8559d971, 69, 9164, No update data, 9g3qxfk58yhm
Bird, MEX, 667ccf85-4f52-4832-b851-f232a0e4f0af, 49, 6004, No update data, 9g3qxfkhq11e
