Bird, MEX, 47228861-e8c3-49cc-98b4-75de03f0f164, 100, 14062, No update data, 9g3qx230nqk2
Bird, MEX, b5cd7192-78e7-45dd-a081-58caacc5e8e9, 94, 13861, No update data, 9g3qx21mhz92
Bird, MEX, d27c6162-2656-4c21-b8d2-16f210d8d32e, 99, 13904, No update data, 9g3qx28bv4u8
Bird, MEX, 5f1a3923-fd37-49e2-89ab-06edd06985b9, 98, 14529, No update data, 9g3qx2zppgrr
Bird, MEX, 15b2d61a-a693-4026-9a75-83a6c6e7c57d, 99, 13904, No update data, 9g3qx230m9vz
Bird, MEX, b32768e5-a9c6-4f84-8d1d-a5dbb3358e22, 100, 14062, No update data, 9g3qx28cknxv
Bird, MEX, 86ec64a2-fe4e-4b0a-9242-2cd4cc94ee4a, 100, 14062, No update data, 9g3qx28ch0zz
Bird, MEX, 41f54773-ba15-4d2b-b496-7e0ab99dafff, 98, 14529, No update data, 9g3qx21kgqu9
Bird, MEX, df75c92d-d578-4bed-b538-e4872918c86f, 94, 13861, No update data, 9g3qx21m5480
Bird, MEX, 9f1b065e-3c51-4d61-a3a9-0794da215166, 96, 13430, No update data, 9g3qx2zmtnhu
Bird, MEX, 6bb32e49-e86c-4e57-a7e5-5c020bea363e, 100, 14062, No update data, 9g3qx230h0pc
Bird, MEX, c662786d-854d-47c0-968a-b15b122a522f, 71, 9480, No update data, 9g3qx2xsxbfd
Bird, MEX, 30a9bd45-450f-4339-934e-e907cd7e21ef, 51, 6320, No update data, 9g3qx2zr4u7m
Bird, MEX, ae02b51b-123a-4953-b879-ccdd4f8d7c0c, 98, 14529, No update data, 9g3qx2zr9t5w
Bird, MEX, db1c2d5e-da0d-4cf8-8ef9-6faa76b0e819, 94, 13861, No update data, 9g3qx2zs11r1
Bird, MEX, ac90b4f8-4ec5-4ed2-bb64-605c07442409, 99, 13904, No update data, 9g3qx2zmzhh0
Bird, MEX, 45140a98-0b34-4367-96e9-1a90cd0caa58, 96, 13430, No update data, 9g3qx2zt237u
Bird, MEX, 334d37ea-4ca1-4106-95ba-3dae5b1e6380, 94, 13114, No update data, 9g3qx2zeg10r
