Bird, MEX, a6e5ae3b-cdf8-4300-b70b-0ae889f5e680, 57, 7268, No update data, 9g3qx3h828nu
Bird, MEX, be104209-46e2-4927-9e95-4236b31ed02d, 58, 7849, No update data, 9g3qx2hh8pme
Bird, MEX, 504ad117-96ba-458e-b6cc-c35a286b887c, 67, 8848, No update data, 9g3qx25ufe2h
Bird, MEX, 3666dca9-29c4-462a-a2bd-82d861f09b8d, 42, 4898, No update data, 9g3qx2wn7rgs
Bird, MEX, ce10adb6-ac14-4ffb-ba63-ae5bfe881d25, 69, 9164, No update data, 9g3qx2hhhwk2
Bird, MEX, 19bfde22-cb56-48fe-9b3e-ed5f1e3fce70, 43, 5344, No update data, 9g3qx25m3cqe
Bird, MEX, 33337cc0-eb2f-489c-9de0-cab5d5f7160a, 70, 9322, No update data, 9g3qx26q70b0
Bird, MEX, 2b9fe56c-d1f7-4b52-82ae-0ca8e521e817, 61, 8350, No update data, 9g3qx2h5hvp8
Bird, MEX, 4863b132-5d85-42d9-9c2d-7e66e0d4ff13, 92, 13527, No update data, 9g3qx267rpgu
Bird, MEX, 1870b9ff-0d74-47be-bf9c-edd054a07089, 81, 8260, No update data, 9g3qx2y0v6zc
Bird, MEX, 3d94f1d0-97de-45f1-a81b-9859740c13ad, 46, 5530, No update data, 9g3qx25g39et
Bird, MEX, 10f30ae3-ee9e-421d-bce2-ca702bc4dff7, 100, 14863, No update data, 9g3qx2h4vk53
Bird, MEX, 7f4ca622-92db-4d06-b32b-2732cd88e5db, 83, 11376, No update data, 9g3qx2dr04jx
Bird, MEX, dc7c7e1d-7896-4c80-87ff-84424f4a25f7, 55, 7348, No update data, 9g3qx2vx5p82
Bird, MEX, 3be3e45c-d897-4d73-a4a4-b0ebf6ead681, 99, 14696, No update data, 9g3qx2wr4wbh
Bird, MEX, 7df1d82c-a271-4915-873c-73e0b45282cf, 47, 5688, No update data, 9g3qx268fr3v
Bird, MEX, 8be5fd41-5102-44cf-8112-b2105dd2c2a5, 99, 14696, No update data, 9g3qx25fwfjc
Bird, MEX, 82bb97e6-207d-4444-9a0b-bc0d1d1a56e8, 55, 7348, No update data, 9g3qx2wr5nq8
Bird, MEX, 6b9dedd2-df91-4d53-beca-79a341cdc811, 49, 6004, No update data, 9g3qx257g9zf
Bird, MEX, 211b1584-a5cb-439d-b24c-77633ec22ad0, 100, 14863, No update data, 9g3qx25fqh1j
Bird, MEX, 2c948a14-b884-4313-8d6d-b5738d1decde, 100, 14863, No update data, 9g3qx25fr8h5
