Bird, MEX, 65f13d3f-0b2d-4f4a-8c16-f491737010a8, 100, 14863, No update data, 9g3qx0p4mx2b
Bird, MEX, 4655d752-04a9-4028-962c-0beb1f5455f6, 100, 14062, No update data, 9g3qx0p1rkrn
Bird, MEX, 3d850764-5537-4c8a-a58d-997d7e4d5bed, 94, 13114, No update data, 9g3qx0p28xbw
Bird, MEX, 3ffd623d-8224-4c44-b149-422a6040376c, 100, 14863, No update data, 9g3qx0p4m4s7
Bird, MEX, 7938bcbf-3f99-4876-be5e-cfb6d0058966, 97, 13588, No update data, 9g3qx0p1q7hr
Bird, MEX, bf5b53f3-a0b6-40c9-82c1-262c30904b33, 98, 13746, No update data, 9g3qx0p1syxx
Bird, MEX, 97b2ff0a-ff49-46bc-9963-48bcd701be29, 71, 10020, No update data, 9g3qx0nyjs8y
Bird, MEX, d7b2d89f-ad12-48e4-a089-0e9bf1d9031d, 80, 10902, No update data, 9g3qrrk0pcd6
Bird, MEX, aaff40ed-398a-426e-9f80-9120ff8ab765, 45, 5372, No update data, 9g3qx3fe4fe6
Bird, MEX, adf6fe80-3821-46ff-a65a-886991c1695c, 67, 8848, No update data, 9g3qrr667mux
Bird, MEX, aa023eb9-ca95-4a71-8040-a6e426028bec, 46, 5845, No update data, 9g3qrrhxf9v1
Bird, MEX, cf88cd23-8151-4311-a96b-121cac0c6c08, 62, 8058, No update data, 9g3qrr3snu0c
Bird, MEX, 3583450c-8a32-4bd9-864b-fe415aea1999, 83, 11376, No update data, 9g3qrr3ej4s8
Bird, MEX, 46f58cb6-2ddd-48a0-8590-f6e0fdb5efbe, 30, 3173, No update data, 9g3qrr38sp50
Bird, MEX, 16607339-3388-466d-a89a-6b0f83a27a34, 65, 8532, No update data, 9g3qx1rq7nqk
Bird, MEX, 05ef896c-b89e-4d70-90ff-8c0612a92f93, 80, 10902, No update data, 9g3qrr4terkd
Bird, MEX, 4519a928-c732-4dbc-83a4-d3ff286c3b50, 97, 14362, No update data, 9g3qx939rnfz
Bird, MEX, d5f4bf5a-6224-40a3-a97c-c4ecf8b087ee, 94, 13861, No update data, 9g3qx939pzfe
Bird, MEX, 5f81f73a-286d-4d4d-bf2f-86c0e7eb1d51, 99, 13904, No update data, 9g3qrpygfkzv
Bird, MEX, c3d68542-4dd1-438a-a893-e73ce55a82c1, 100, 14863, No update data, 9g3qx939ysdv
Bird, MEX, e719f9a5-3fda-4964-b6e8-c6b69f09f324, 98, 14529, No update data, 9g3qx93dn9pb
Bird, MEX, bfed61d9-a16d-4a9e-805b-71d1bd07951f, 98, 14529, No update data, 9g3qrpyg5mut
Bird, MEX, 1decca89-9e3f-4d0a-a136-1b30f2584da6, 99, 14696, No update data, 9g3qx939z3x3
Bird, MEX, aba6c0de-f220-4f71-bc2f-fc632c88f659, 93, 13694, No update data, 9g3qx939xz4d
Bird, MEX, fd5a2837-3e18-416e-8a88-19bd4403f0b4, 100, 14062, No update data, 9g3qx939xz4d
Bird, MEX, 5569351b-da86-4979-8a14-a1067c7cb52b, 100, 14863, No update data, 9g3qx939zbde
Bird, MEX, a6856924-59d9-4541-b679-474c40e01766, 98, 14529, No update data, 9g3qx93c1ktx
Bird, MEX, 60be9a24-bf36-4bf5-9e8b-9f7eca2177de, 99, 14696, No update data, 9g3qrpyg4yg5
Bird, MEX, fc7b32e5-5e89-48ae-9ee7-718ab01bcec7, 99, 14696, No update data, 9g3qx93c8mgf
Bird, MEX, 7cfad983-6c6e-446c-8091-ab81782b9b88, 99, 14696, No update data, 9g3qx93c3b0t
Bird, MEX, 2fe02f2e-ae04-4fb7-8aad-653eb0d11c04, 98, 14529, No update data, 9g3qx93cb7ez
Bird, MEX, fa12b65b-0bbf-4711-bb42-75fcdd9b9ed5, 78, 11189, No update data, 9g3qx93c95dk
Bird, MEX, 3562749a-8ece-401a-a5d8-2167872733b7, 100, 14062, No update data, 9g3qx93c3fwu
Bird, MEX, ac32e0d5-ebfb-4721-b1cf-515c9240a074, 70, 9322, No update data, 9g3qrx9qnt6c
Bird, MEX, a0d7e56b-e3fb-4e4b-8e9e-1d6077a08da3, 40, 4582, No update data, 9g3qrr1v9n6h
Bird, MEX, 608a257e-f160-4164-ae0e-c898d63721f6, 64, 8374, No update data, 9g3qrrj66k9z
