Bird, MEX, 70c01e06-41bd-4ca5-998b-59aa9ca0fb83, 97, 14362, No update data, 9g3qx2z5h1gj
Bird, MEX, eddc3d62-1f8f-448b-8559-04768146c6fb, 98, 13746, No update data, 9g3qx2z1wx49
Bird, MEX, 2b8c7c97-68d2-4719-b1df-a3d7844a1e42, 96, 14195, No update data, 9g3qx2yvxr11
Bird, MEX, d49e6960-8798-495e-8201-98112c5ddf62, 67, 8848, No update data, 9g3qx34z5epv
Bird, MEX, ed55e15f-bc1f-4917-8354-d12672ae1ab0, 97, 13588, No update data, 9g3qx233tgk1
Bird, MEX, cddf1b28-4863-4c52-a305-811b2c47c640, 100, 14062, No update data, 9g3qx233uqqp
Bird, MEX, 1be1df4a-da00-4da9-b129-a01fadab33e0, 64, 8851, No update data, 9g3qx2c67p85
Bird, MEX, b6b2e6b0-2bad-431a-99d0-a1ea379fe53e, 98, 13746, No update data, 9g3qx290v66y
Bird, MEX, 320381ba-5bfd-4feb-8df4-0df6e84ff3c8, 64, 8374, No update data, 9g3qx21x1dg6
Bird, MEX, d27c6162-2656-4c21-b8d2-16f210d8d32e, 98, 13746, No update data, 9g3qx291h2n1
Bird, MEX, 4e40bd37-ed1b-4a7b-bc67-78a44871fb65, 96, 14195, No update data, 9g3qx2z68wxp
Bird, MEX, 7b5ad11d-ad48-4430-818e-5de19fa666b8, 99, 13904, No update data, 9g3qx233fej4
Bird, MEX, 143d0a31-d8f4-4ad8-9b34-8446412ad3a4, 100, 14062, No update data, 9g3qx233db5n
Bird, MEX, 6ebb5995-0ae1-4adc-a04f-aa527adaf017, 45, 5372, No update data, 9g3qx21thp5n
Bird, MEX, 728c9a5b-a63b-4184-8b6e-da82a1ea8ef0, 92, 13527, No update data, 9g3qx21thj74
Bird, MEX, b32768e5-a9c6-4f84-8d1d-a5dbb3358e22, 99, 13904, No update data, 9g3qx290gn80
Bird, MEX, 32abc7f8-b895-4a02-9e42-be22720f51a2, 87, 12008, No update data, 9g3qx2339w7m
Bird, MEX, c214602d-d67c-4b09-ba99-34b2d47493b0, 100, 14062, No update data, 9g3qx232dmcc
Bird, MEX, 231cc8f7-fe60-4162-ba58-c2a5334c1c0f, 99, 13904, No update data, 9g3qx23n7485
Bird, MEX, 15b2d61a-a693-4026-9a75-83a6c6e7c57d, 98, 13746, No update data, 9g3qx23388bd
Bird, MEX, 6bb32e49-e86c-4e57-a7e5-5c020bea363e, 99, 13904, No update data, 9g3qx23383g8
Bird, MEX, 86ec64a2-fe4e-4b0a-9242-2cd4cc94ee4a, 99, 13904, No update data, 9g3qx2940mes
Bird, MEX, dc0b8a8f-1204-481d-88fd-f3f8719f4180, 100, 14062, No update data, 9g3qx230x30u
Bird, MEX, 4568dccb-1d47-46a5-b355-738704fd1ab0, 98, 13746, No update data, 9g3qx231sy5e
Bird, MEX, 5f1a3923-fd37-49e2-89ab-06edd06985b9, 96, 14195, No update data, 9g3qx2zpmtwp
Bird, MEX, 41f54773-ba15-4d2b-b496-7e0ab99dafff, 98, 14529, No update data, 9g3qx21mmr6b
Bird, MEX, 09458811-7896-40fa-9ac1-6186f561896c, 97, 13588, No update data, 9g3qx3k7yh11
Bird, MEX, 30a9bd45-450f-4339-934e-e907cd7e21ef, 49, 6004, No update data, 9g3qx2zpnymc
Bird, MEX, a4e2d25a-6ab6-4d00-bef6-65b5f22f3daa, 61, 8350, No update data, 9g3qx3kkhfr8
Bird, MEX, b5cd7192-78e7-45dd-a081-58caacc5e8e9, 92, 13527, No update data, 9g3qx21mff7n
Bird, MEX, 6ee4517f-d25f-4800-a33b-b711101143f4, 97, 14362, No update data, 9g3qx3kkkb1m
Bird, MEX, 334d37ea-4ca1-4106-95ba-3dae5b1e6380, 93, 12956, No update data, 9g3qx2zktwqj
Bird, MEX, de0074f8-dfba-47dd-8a7b-2c4f0a7acf2f, 90, 13193, No update data, 9g3qx21kuhpb
Bird, MEX, c662786d-854d-47c0-968a-b15b122a522f, 70, 9322, No update data, 9g3qx2xsnvvy
Bird, MEX, fd5a2837-3e18-416e-8a88-19bd4403f0b4, 99, 13904, No update data, 9g3qx3p0qdp8
Bird, MEX, 2363cb12-8a83-4bf1-ade2-6ffb6a842db8, 39, 4676, No update data, 9g3qx2zkygjg
Bird, MEX, 5e0012f4-cf1b-496f-8e47-337dd9dbf496, 92, 12798, No update data, 9g3qx21m1vws
Bird, MEX, 42f65879-1bc3-4d84-96c2-5a32cae52259, 99, 13904, No update data, 9g3qx28g45uc
Bird, MEX, df75c92d-d578-4bed-b538-e4872918c86f, 92, 13527, No update data, 9g3qx21kd90h
Bird, MEX, 45140a98-0b34-4367-96e9-1a90cd0caa58, 94, 13114, No update data, 9g3qx2zt8sr0
Bird, MEX, db1c2d5e-da0d-4cf8-8ef9-6faa76b0e819, 92, 13527, No update data, 9g3qx2ztbbuj
Bird, MEX, 667da35d-8345-4402-9ed3-23f1f5f80543, 94, 13861, No update data, 9g3qx21jseum
Bird, MEX, ac90b4f8-4ec5-4ed2-bb64-605c07442409, 98, 13746, No update data, 9g3qx2zt6d02
