Bird, MEX, af202aa8-1c52-4110-9424-604deaaa8996, 54, 6794, No update data, 9g3qx34c2zr9
Bird, MEX, 8e443c18-7f1f-404b-8a51-71e3ac78e5fd, 58, 7426, No update data, 9g3qx29ufn5w
Bird, MEX, 455f13cb-32a0-488b-8402-4c4e10e91ae8, 44, 5214, No update data, 9g3qx35kqfmf
Bird, MEX, 97a848fb-7658-4f31-8b43-ad0ade2b5059, 100, 14062, No update data, 9g3qx349r3xn
Bird, MEX, eb586e99-e2b2-43a8-b9e4-95a9fb994cf0, 100, 14062, No update data, 9g3qx34c865f
Bird, MEX, 21d5fbec-0a8a-40f2-85ee-44608e7d6851, 96, 14195, No update data, 9g3qx2ymkhg1
Bird, MEX, 3d0eb1e0-af04-4000-a55b-51f7b43ea66a, 94, 13861, No update data, 9g3qx2ymedpf
Bird, MEX, 13ae732e-c540-4910-a04c-9297937170ea, 97, 14362, No update data, 9g3qx2y9wezw
Bird, MEX, 26bdfeb8-9f55-4c69-97c6-68501afe5085, 90, 12482, No update data, 9g3qx2fr0vev
Bird, MEX, f6ae4432-87b8-4d73-a516-a6e8fbb97ab3, 91, 12640, No update data, 9g3qx2fr0jbx
Bird, MEX, 32023f53-8c76-46da-b262-1fff9ec4ee30, 100, 14863, No update data, 9g3qx2frc1d1
Bird, MEX, ed8413a3-a1c1-4d1a-9688-2a7412059300, 100, 14863, No update data, 9g3qx2frc1f5
Bird, MEX, ee0e4330-beb4-4c8e-b019-341083b73f2b, 61, 8350, No update data, 9g3qx341h60p
Bird, MEX, c3f1218e-7d1f-4cf9-ac17-38d6e68a0c84, 83, 11376, No update data, 9g3qx341kc3k
Bird, MEX, 728c9a5b-a63b-4184-8b6e-da82a1ea8ef0, 92, 13527, No update data, 9g3qx21xnvby
Bird, MEX, 438c5d35-cf11-4d31-99ef-dc83df7eb073, 93, 13694, No update data, 9g3qx21y2x28
Bird, MEX, 1a1153b3-ccda-4f21-8f5d-78b11190e3ff, 37, 4342, No update data, 9g3qx21xnwfs
Bird, MEX, 2b8c7c97-68d2-4719-b1df-a3d7844a1e42, 97, 14362, No update data, 9g3qx2yy6x85
Bird, MEX, 6ebb5995-0ae1-4adc-a04f-aa527adaf017, 45, 5372, No update data, 9g3qx21wzn5v
Bird, MEX, 3ecbfd4e-07b7-49c4-95b1-18de4a205226, 97, 13588, No update data, 9g3qx239b67w
Bird, MEX, 320381ba-5bfd-4feb-8df4-0df6e84ff3c8, 64, 8374, No update data, 9g3qx21xjm4b
Bird, MEX, 1a7341a8-54b5-422e-882c-6a9a60a32fdc, 61, 7900, No update data, 9g3qx233xwsp
Bird, MEX, d49e6960-8798-495e-8201-98112c5ddf62, 67, 8848, No update data, 9g3qx34ydr3u
Bird, MEX, 231cc8f7-fe60-4162-ba58-c2a5334c1c0f, 100, 14062, No update data, 9g3qx290nzjw
Bird, MEX, ed55e15f-bc1f-4917-8354-d12672ae1ab0, 97, 13588, No update data, 9g3qx233tgk1
Bird, MEX, 1be1df4a-da00-4da9-b129-a01fadab33e0, 65, 9018, No update data, 9g3qx2c6e9c8
Bird, MEX, b6b2e6b0-2bad-431a-99d0-a1ea379fe53e, 98, 13746, No update data, 9g3qx291j6fg
Bird, MEX, b1d00107-9c0b-44bc-b84d-a3b388b688d6, 98, 13746, No update data, 9g3qx2337wrf
Bird, MEX, 42f65879-1bc3-4d84-96c2-5a32cae52259, 99, 13904, No update data, 9g3qx291s05n
Bird, MEX, cddf1b28-4863-4c52-a305-811b2c47c640, 100, 14062, No update data, 9g3qx232grsx
Bird, MEX, 86ec64a2-fe4e-4b0a-9242-2cd4cc94ee4a, 99, 13904, No update data, 9g3qx294ep01
Bird, MEX, 143d0a31-d8f4-4ad8-9b34-8446412ad3a4, 100, 14062, No update data, 9g3qx232kky1
Bird, MEX, b32768e5-a9c6-4f84-8d1d-a5dbb3358e22, 99, 13904, No update data, 9g3qx291dxtj
Bird, MEX, c214602d-d67c-4b09-ba99-34b2d47493b0, 100, 14062, No update data, 9g3qx232due1
Bird, MEX, dc0b8a8f-1204-481d-88fd-f3f8719f4180, 100, 14062, No update data, 9g3qx232c7tq
Bird, MEX, 47228861-e8c3-49cc-98b4-75de03f0f164, 99, 13904, No update data, 9g3qx2326nuy
Bird, MEX, 5e0012f4-cf1b-496f-8e47-337dd9dbf496, 92, 12798, No update data, 9g3qx21t2zef
Bird, MEX, 1a108a8c-4379-452a-b475-670a843ee147, 100, 14062, No update data, 9g3qx2328swc
Bird, MEX, 6bb32e49-e86c-4e57-a7e5-5c020bea363e, 99, 13904, No update data, 9g3qx2321ktq
Bird, MEX, 7b5ad11d-ad48-4430-818e-5de19fa666b8, 99, 13904, No update data, 9g3qx23224vm
Bird, MEX, eddc3d62-1f8f-448b-8559-04768146c6fb, 99, 13904, No update data, 9g3qx2zk5fb5
Bird, MEX, 5f1a3923-fd37-49e2-89ab-06edd06985b9, 96, 14195, No update data, 9g3qx2zps2y7
Bird, MEX, a4e2d25a-6ab6-4d00-bef6-65b5f22f3daa, 61, 8350, No update data, 9g3qx3k7szpd
Bird, MEX, d27c6162-2656-4c21-b8d2-16f210d8d32e, 98, 13746, No update data, 9g3qx28gq4r3
Bird, MEX, 4568dccb-1d47-46a5-b355-738704fd1ab0, 98, 13746, No update data, 9g3qx231sy5e
Bird, MEX, 09458811-7896-40fa-9ac1-6186f561896c, 97, 13588, No update data, 9g3qx3k7ydz9
Bird, MEX, 32abc7f8-b895-4a02-9e42-be22720f51a2, 88, 12166, No update data, 9g3qx230qqsk
Bird, MEX, 15b2d61a-a693-4026-9a75-83a6c6e7c57d, 98, 13746, No update data, 9g3qx230ngv8
Bird, MEX, fd5a2837-3e18-416e-8a88-19bd4403f0b4, 99, 13904, No update data, 9g3qx2zpp5u1
