Bird, MEX, 24ad8133-a7fa-4cf0-8e41-66fac3d9959f, 98, 13746, No update data, 9g3qx21wu2w4
Bird, MEX, c893effe-00ee-4387-8b1e-6a70390f84db, 91, 12640, No update data, 9g3qx236hcr9
Bird, MEX, 4655d752-04a9-4028-962c-0beb1f5455f6, 90, 12482, No update data, 9g3qx233utu7
Bird, MEX, aecb2517-a087-407e-a8f5-4d17b824c384, 99, 14696, No update data, 9g3qx23nt1kw
Bird, MEX, 41404d05-7405-45ce-88fa-ee3543e367c8, 87, 12692, No update data, 9g3qx23379cx
Bird, MEX, 9064a702-4085-4953-abb0-7022f0b9ec19, 78, 11189, No update data, 9g3qx232efuz
Bird, MEX, b77731ba-e697-4eb0-a862-e8b60ba1b526, 56, 7515, No update data, 9g3qx290d63u
Bird, MEX, 031016b4-d140-43d1-b68d-dcdb3a7b11a0, 70, 9322, No update data, 9g3qx3nbqnzx
Bird, MEX, 9e2076dd-7e4a-4c88-b519-5b4d6b32bd96, 97, 13588, No update data, 9g3qx23n7jn7
Bird, MEX, 404136b6-0e5d-4044-8018-c0b787006083, 30, 3173, No update data, 9g3qx2zjnbty
Bird, MEX, 39a959c4-225f-4f51-9388-3851f92703fd, 99, 14696, No update data, 9g3qx21t8g7c
Bird, MEX, ca264705-8a9b-461c-be40-6b979e038e06, 63, 8216, No update data, 9g3qx2zp9s78
Bird, MEX, b059d456-c51b-423e-8d52-e20184ede2a6, 89, 12324, No update data, 9g3qx2913jdp
Bird, MEX, 1cfeb5da-f808-48fd-a090-adf05270c377, 100, 14863, No update data, 9g3qx23260kv
Bird, MEX, f216f991-9be2-4743-987b-7c1ac14f9352, 85, 11692, No update data, 9g3qx21rep25
Bird, MEX, 982395b4-395e-4375-a321-4c510a3a2944, 85, 11692, No update data, 9g3qx2912q7e
Bird, MEX, fab2725e-6ed9-4a78-9747-f58fc250f902, 82, 11857, No update data, 9g3qx23jcvq8
Bird, MEX, f9986136-ce6b-4970-bc6c-b25979a8dcf5, 90, 12482, No update data, 9g3qx28fpeu1
Bird, MEX, 02006705-1f0f-45ac-a77b-0e0d538e4b93, 98, 13746, No update data, 9g3qx28cx7r4
Bird, MEX, 7eb9f5b2-d82b-4eac-8620-fb60dc01546d, 81, 11690, No update data, 9g3qx28cr4gv
Bird, MEX, 2deda658-907a-4f15-ac75-31743fe2f233, 98, 14529, No update data, 9g3qx21mqh3p
Bird, MEX, 4c739442-f5c6-42d2-b146-ffef2a38a91f, 85, 11692, No update data, 9g3qx21mq1r7
Bird, MEX, 4a21459e-4651-4cb8-abac-ca0444649bb6, 79, 10744, No update data, 9g3qx21r0z5y
Bird, MEX, 4048c69a-9e8b-4883-8910-f3a23b6da33e, 87, 12008, No update data, 9g3qx3k7ynz6
Bird, MEX, 83220a33-fefd-4340-b5ab-2b7478bcb44d, 98, 14529, No update data, 9g3qx230tnsx
Bird, MEX, 8c3bbb45-954b-4824-be25-c5bec69281c7, 90, 12482, No update data, 9g3qx28fs9kq
Bird, MEX, 8503c02f-45fd-4e79-8484-13c2a81e0f8c, 85, 11692, No update data, 9g3qx2zmg0yt
Bird, MEX, 66fb0ca9-d980-4b02-8fa0-66d9ae0031fb, 88, 12166, No update data, 9g3qx21kuyc3
Bird, MEX, 5e7dd5f9-a8ac-4ce4-b82c-6c643967fc1e, 70, 9853, No update data, 9g3qx230uh50
Bird, MEX, 27ba807e-71ba-4ede-b0a7-13f6e14e7c06, 74, 9954, No update data, 9g3qx230kfzt
Bird, MEX, dca09cef-cf34-4fb2-b996-d842b8e83b8e, 97, 14362, No update data, 9g3qx230kccr
Bird, MEX, dab09651-3f72-457f-a8eb-c6c7d2914af3, 64, 8851, No update data, 9g3qx28c5ckc
Bird, MEX, 73746486-98eb-4052-ba41-d52b9ede2521, 64, 8374, No update data, 9g3qx21ptrp9
Bird, MEX, afd83cfb-b402-4464-ac5a-a442532379b7, 88, 12166, No update data, 9g3qx21ksnrv
Bird, MEX, 66dbe6e8-6ed7-46d9-a4b8-1a8f853c57ad, 100, 14863, No update data, 9g3qx230hmwh
Bird, MEX, 593ffe56-8d8b-4e06-89da-7ed7015103f6, 100, 14062, No update data, 9g3qx3m75tzz
Bird, MEX, daac3331-788c-444e-ac19-9fecabfcefac, 99, 14696, No update data, 9g3qx3m7hrnr
Bird, MEX, 26187cd1-9b1d-4048-a8f2-e202479c8752, 85, 11692, No update data, 9g3qx2zqe5ws
Bird, MEX, 2e1ac500-e4b8-470c-9065-1f152038be2c, 84, 11534, No update data, 9g3qx2zmmygp
Bird, MEX, 8e795b2b-05cb-41d7-8077-176ae8687cbd, 98, 14529, No update data, 9g3qx22utpke
Bird, MEX, b2e3c829-5ace-41a0-a656-23f18e4fb866, 85, 12358, No update data, 9g3qx2z9gzb0
Bird, MEX, 8aa45d2f-96a2-4917-8df2-b425bdb113dd, 100, 14863, No update data, 9g3qx230bq7x
Bird, MEX, f63c3a17-2c22-4183-a7a7-ca571f3cb2c8, 70, 9322, No update data, 9g3qx2zt1qvk
Bird, MEX, d35a9576-a35c-4a51-8b1b-caa587f5263e, 99, 14696, No update data, 9g3qx22bxwkj
Bird, MEX, 304641d8-118f-4753-a91a-7187243d9247, 99, 14696, No update data, 9g3qx2zsfej5
Bird, MEX, ef939bca-1443-409b-9f00-02c9ae789515, 53, 6636, No update data, 9g3qrrfk4801
Bird, MEX, 9faddf4c-a5cd-47d4-9766-7ed40affa7c3, 100, 14863, No update data, 9g3qx22by2k2
Bird, MEX, 7beff964-6325-4b2b-8a5b-83dccdddfc36, 98, 14529, No update data, 9g3qx2175h8n
Bird, MEX, 5b07c2c0-a805-445d-b168-01ac8898e484, 98, 14529, No update data, 9g3qx22by4rq
Bird, MEX, 6448304e-c68b-4c4d-8df0-17395425b938, 99, 14696, No update data, 9g3qx2178xbw
Bird, MEX, 5178e968-65a5-4deb-bb0e-021de508cfff, 100, 14062, No update data, 9g3qx2zrrdh2
Bird, MEX, f508e66d-1d30-4da5-8a2a-e5977729c4f3, 98, 14529, No update data, 9g3qx215zkp0
Bird, MEX, c94ef371-15a1-4e5c-8aca-ff77c3951907, 98, 14529, No update data, 9g3qx215z7rh
Bird, MEX, 6018a9ad-c989-4a26-b2ad-86e248705377, 100, 14863, No update data, 9g3qx2zsjze0
Bird, MEX, 1ccedbad-8286-4690-8a8a-d7f0c651583e, 99, 14696, No update data, 9g3qx215xbf6
Bird, MEX, 90b4f26d-97a2-497b-8244-1fb9f1ea8687, 39, 4676, No update data, 9g3qx2bf995k
Bird, MEX, 878dacf6-0a6f-493a-b236-d9ef3dbf3636, 36, 4175, No update data, 9g3qx2zsq7ue
Bird, MEX, f79fe92a-822e-48ad-bf8c-4c4953a8f041, 100, 14863, No update data, 9g3qx2zsvg7j
Bird, MEX, f3462101-625e-4c6e-a9f0-cc7c01652f8e, 100, 14863, No update data, 9g3qx2zsy0r9
Bird, MEX, b7576de8-8d6e-4d24-89d4-43ccc20e86b6, 100, 10502, No update data, 9g3qx2zsy0zt
Bird, MEX, 50af0392-0199-42ed-8d07-16e9a66d4d8f, 57, 7268, No update data, 9g3qrrf5wdfx
Bird, MEX, f815c609-1181-499f-9c86-c1ebf4a7906e, 100, 10502, No update data, 9g3qx2zsygty
Bird, MEX, 2cff7cc7-02e4-4d80-b93b-6a67bececbd6, 66, 9185, No update data, 9g3qx31t825x
Bird, MEX, 9beb54f6-e5e4-4cc4-a3ef-381bcc3c9e19, 76, 10270, No update data, 9g3qx3p8x5sh
Bird, MEX, 7e51bee6-b74c-4613-97fc-0c6e6dd16960, 60, 7742, No update data, 9g3qx2zyec2n
Bird, MEX, cd7ca02f-86b1-452a-847a-ca87f9d71354, 17, 1002, No update data, 9g3qx8bj8m5y
Bird, MEX, e985c43e-54ba-4b55-865a-775022f12231, 85, 12358, No update data, 9g3qx2b35121
Bird, MEX, f00a944f-dc26-4234-9937-174fa6b9d8d5, 93, 13694, No update data, 9g3qrrsu0rgc
Bird, MEX, 1d03b435-5234-4603-8eed-5e3f5c7a18d1, 99, 14696, No update data, 9g3qx8bn156r
Bird, MEX, 60dbef3f-c295-4006-ad45-21285bc70999, 69, 9164, No update data, 9g3qx2b2d7cy
Bird, MEX, 3d5bb277-0baa-4567-8d7e-2f1e978d3b4c, 100, 14863, No update data, 9g3qx20wc1x0
Bird, MEX, f7ee63b0-66db-4e34-a9d9-00f1b38b1ef8, 100, 14863, No update data, 9g3qx20wch40
Bird, MEX, baf7e912-841b-40cd-a505-13a330771c51, 99, 14696, No update data, 9g3qx8bj5c21
Bird, MEX, e4e1ce05-dc5f-4347-81a4-e5a546cae780, 98, 14529, No update data, 9g3qx20w9hd1
Bird, MEX, dcfdfce1-933b-420a-9a24-1dd30f58bda8, 94, 13861, No update data, 9g3qx8bj793u
Bird, MEX, f045452a-a846-49ff-944d-c58a8394eac6, 96, 14195, No update data, 9g3qx20w8xyy
Bird, MEX, 8df797e7-7b0e-48f8-a943-fea682f142f5, 98, 14529, No update data, 9g3qx8bjef8n
Bird, MEX, 95e0440a-64aa-496d-9f01-f7f57d8daf4e, 97, 14362, No update data, 9g3qx20qzu42
Bird, MEX, efc271ba-4fd7-4b1e-91b6-5d7ae2f5791e, 100, 14863, No update data, 9g3qx8bncg2t
