Bird, MEX, 8be5fd41-5102-44cf-8112-b2105dd2c2a5, 100, 14863, No update data, 9g3qx2h5qhrr
Bird, MEX, 211b1584-a5cb-439d-b24c-77633ec22ad0, 100, 14863, No update data, 9g3qx2h5kth6
Bird, MEX, 7fd024c6-7511-43e8-b890-0ceae6c363fb, 99, 14696, No update data, 9g3qx2h5mck7
Bird, MEX, 33337cc0-eb2f-489c-9de0-cab5d5f7160a, 70, 9322, No update data, 9g3qx26q4t8h
Bird, MEX, 2b9fe56c-d1f7-4b52-82ae-0ca8e521e817, 61, 8350, No update data, 9g3qx2h55h2k
Bird, MEX, 19bfde22-cb56-48fe-9b3e-ed5f1e3fce70, 44, 5511, No update data, 9g3qx25m0b7g
Bird, MEX, 1e8912d3-a4bd-49f8-98db-72459de02892, 98, 14529, No update data, 9g3qx2h54d80
Bird, MEX, 3d94f1d0-97de-45f1-a81b-9859740c13ad, 46, 5530, No update data, 9g3qx25g39et
Bird, MEX, 10f30ae3-ee9e-421d-bce2-ca702bc4dff7, 100, 14863, No update data, 9g3qx2h4vk53
Bird, MEX, 7f4ca622-92db-4d06-b32b-2732cd88e5db, 83, 11376, No update data, 9g3qx2dr1y22
Bird, MEX, 0880a21c-93e4-4e0e-bdf8-417f7f3f5c23, 71, 10020, No update data, 9g3qx25gnbvz
Bird, MEX, 2c948a14-b884-4313-8d6d-b5738d1decde, 100, 14863, No update data, 9g3qx2h4tty1
Bird, MEX, 3be3e45c-d897-4d73-a4a4-b0ebf6ead681, 100, 14863, No update data, 9g3qx2wqfw80
Bird, MEX, 4863b132-5d85-42d9-9c2d-7e66e0d4ff13, 93, 13694, No update data, 9g3qx267kky1
Bird, MEX, 18b1e6f9-e9dc-4269-b766-1f409d65c4ee, 71, 10020, No update data, 9g3qx25fd2cf
Bird, MEX, b09e2420-c45f-4fea-b3a0-310e7d842e05, 80, 10902, No update data, 9g3qx24y5sru
Bird, MEX, 6b9dedd2-df91-4d53-beca-79a341cdc811, 45, 5372, No update data, 9g3qx257dhge
Bird, MEX, 7df1d82c-a271-4915-873c-73e0b45282cf, 47, 5688, No update data, 9g3qx268b42w
Bird, MEX, e425a1ec-e115-4d71-a133-60ad52af7e74, 38, 4509, No update data, 9g3qx25dq2sr
Bird, MEX, 3666dca9-29c4-462a-a2bd-82d861f09b8d, 42, 4898, No update data, 9g3qx2wrqs6x
Bird, MEX, b6c16e86-fc7a-4da1-bbe8-cebb9b5fd031, 91, 13360, No update data, 9g3qx26h5zuf
Bird, MEX, 82bb97e6-207d-4444-9a0b-bc0d1d1a56e8, 55, 7348, No update data, 9g3qx2wx2uhj
Bird, MEX, a1d171b9-52ca-4dd1-8c57-0d795c3fbae6, 88, 12166, No update data, 9g3qx2jvv2zu
Bird, MEX, c9813102-9ee2-43c1-9d27-c74163baa51a, 90, 13193, No update data, 9g3qx26h6dt5
Bird, MEX, e4a481b4-f2bd-4f91-b04a-03c09aeac3aa, 64, 8851, No update data, 9g3qx2jvqmkk
Bird, MEX, 11bba3ec-65fc-4f15-bdf6-b1ec016b81ec, 49, 6004, No update data, 9g3qx2wxex3g
Bird, MEX, 8ee79905-806c-4735-8060-58cfd08f6b8d, 28, 2839, No update data, 9g3qx2nj8x2g
Bird, MEX, 690e6aea-1bd3-48bf-af61-a1c18606a1d6, 99, 13904, No update data, 9g3qx2y7scc8
Bird, MEX, a87c2eb5-b188-484d-b52c-080a9801ef36, 96, 14195, No update data, 9g3qx2y7scry
Bird, MEX, 10f11c27-65de-4dbd-8a60-191796d0d62b, 57, 7682, No update data, 9g3qx34bbsqf
Bird, MEX, 41be6249-b83c-4b11-9f93-28c1072a63b8, 56, 7515, No update data, 9g3qx3jc29xn
Bird, MEX, afe47853-0451-4d2b-8131-88f44e24c7a3, 65, 9018, No update data, 9g3qx348ydf9
