Bird, MEX, 36c6d646-ef97-4533-b196-fd656a8a3547, 100, 14863, No update data, 9g3qx90t6j5g
Bird, MEX, 814f30e8-b6c3-4c74-bc9e-947a87022227, 71, 9480, No update data, 9g3qrrwf69j1
Bird, MEX, 1be1df4a-da00-4da9-b129-a01fadab33e0, 99, 14696, No update data, 9g3qx90w1x5x
Bird, MEX, af22928a-e587-4c1a-9b15-1ced2e8c4c97, 100, 14863, No update data, 9g3qx90fkt7m
Bird, MEX, e2897b1b-3854-4cb9-8fb8-a223a1ccf0ab, 57, 7268, No update data, 9g3qx3ep89b9
Bird, MEX, 57e32f39-36b0-44be-ad84-a7829ed6bd7a, 100, 14062, No update data, 9g3qx90cyspc
Bird, MEX, 49f55f76-a273-425a-810d-170f67419423, 100, 14863, No update data, 9g3qx90ftqg0
Bird, MEX, 75d46828-5b54-4f9b-ae74-866da30a3307, 82, 11857, No update data, 9g3qx925urwg
Bird, MEX, 277466ac-446d-48ce-af86-599ca02e3e9b, 100, 14863, No update data, 9g3qx90fwhxd
Bird, MEX, 67435938-6fcc-4aad-973d-dbfc4af56a67, 97, 14362, No update data, 9g3qrrmks2y3
Bird, MEX, 20e7295e-8b68-4b15-8fc9-5302d90f52d1, 100, 14863, No update data, 9g3qrrmkt3xz
Bird, MEX, df0bea3b-de96-459e-9be4-2cd6115b4a4f, 61, 8350, No update data, 9g3qx3ucs17p
Bird, MEX, ee09ef0e-723f-431c-830c-fb46ea253a64, 100, 14863, No update data, 9g3qx914ch67
Bird, MEX, 501742f4-0d86-43f6-8f13-57a355e65549, 100, 14062, No update data, 9g3qrrmknhr7
Bird, MEX, 3db9e557-6ee0-4d83-ad2f-f988b8d24e19, 100, 14062, No update data, 9g3qrpzxfu71
Bird, MEX, 8dce9f6e-c2da-435d-acaa-ff78712c65a3, 64, 8374, No update data, 9g3qx3uf7spy
Bird, MEX, 6adce649-8d2c-42ae-a4a3-17b0d252abe0, 100, 14863, No update data, 9g3qrpzxcu23
Bird, MEX, 20866095-aa67-4e40-a253-bc68c2f01f1d, 100, 14863, No update data, 9g3qx0p2xqp5
Bird, MEX, 793a68be-7e00-430b-89c4-11730388f68f, 100, 14062, No update data, 9g3qx0p3u8uk
Bird, MEX, e26c615d-d329-47e8-b1f0-73de7cb92643, 46, 5845, No update data, 9g3qrr91dy54
Bird, MEX, 045605d6-92b1-434f-a6b0-09e19313ca7b, 100, 14863, No update data, 9g3qx0p2m1ux
Bird, MEX, 9a80fd39-c7bc-48f0-ba48-158adfce67ec, 99, 14696, No update data, 9g3qrpzrvwmz
Bird, MEX, 3defaae1-756f-41c0-9db4-82f7df6628cf, 84, 11534, No update data, 9g3qx89ercfx
Bird, MEX, 95ff40c2-1f97-4888-b032-0552d70eca76, 100, 14863, No update data, 9g3qx0p36kpv
Bird, MEX, fa0264ac-3221-4ece-8f5f-7d3a90abdaf0, 100, 14863, No update data, 9g3qx0p2k9sm
Bird, MEX, 04a6f288-0cd2-4b54-9783-1cd5a35802ec, 99, 14696, No update data, 9g3qx0p363rg
Bird, MEX, 9beb54f6-e5e4-4cc4-a3ef-381bcc3c9e19, 99, 13904, No update data, 9g3qx0p39tg3
Bird, MEX, 44879c60-713e-4dec-a2cd-5109c1d27414, 100, 14863, No update data, 9g3qx0p2etc9
Bird, MEX, cebcc058-c198-4b24-a30e-416f0a237f8d, 100, 14863, No update data, 9g3qrpzrtqdw
Bird, MEX, 98ec3dc2-7605-4264-bf26-e36dcc3285c7, 100, 14863, No update data, 9g3qrpzrsz36
Bird, MEX, 8b88c859-18dd-4e4a-906d-54b8eecf17bb, 100, 14863, No update data, 9g3qx0p2dge5
Bird, MEX, ae0bb54a-b82e-453f-9e26-d57fdd783a61, 100, 14863, No update data, 9g3qrpzrspfy
Bird, MEX, f0df3efd-df6b-40fa-8510-e4462fa613bb, 100, 14863, No update data, 9g3qx0p1wzvw
Bird, MEX, 0e388a23-4e07-4292-a728-6a7fc8b4cb1e, 98, 14529, No update data, 9g3qx0p28yj5
Bird, MEX, e80b2491-fe2e-4e38-8f3a-144bee745513, 48, 6179, No update data, 9g3qrrm3rphp
Bird, MEX, 9c23dcac-0023-4755-9d0e-33e22b95b3bc, 65, 9018, No update data, 9g3qx0qtpv64
Bird, MEX, 6d001d79-821d-469c-903a-548e0f8de908, 60, 8183, No update data, 9g3qrrk20twg
Bird, MEX, 2f081237-27fc-4683-bd36-15e86c14e4d8, 85, 12358, No update data, 9g3qrr5zmxy5
Bird, MEX, 53fa1d4d-1f37-404f-8cb0-dab509a69fa7, 63, 8216, No update data, 9g3qx8cfyjzs
Bird, MEX, 52a38e84-36f3-4a3f-819c-7015e9f2e054, 64, 8374, No update data, 9g3qx8dm8hmb
Bird, MEX, cd6455e4-32ef-4c8d-83bc-1c83e97b2edb, 54, 7181, No update data, 9g3qrpxub5j3
Bird, MEX, 124aedcd-59a1-44cd-8ff0-1c0bcdc8b65a, 46, 5845, No update data, 9g3qx658mbkr
Bird, MEX, e9fb1284-340f-47c4-8276-4c8b83c18a73, 67, 8848, No update data, 9g3qrrhh81je
Bird, MEX, c724bb63-1df9-414e-99cb-e16545366c4d, 88, 12166, No update data, 9g3qrpyxrdk1
Bird, MEX, a78d033e-c1d4-4d19-a19b-fb48438cd779, 100, 14863, No update data, 9g3qrr4vrrbg
Bird, MEX, 4ccdff0c-487c-4670-b43f-ca4db003cc34, 99, 14696, No update data, 9g3qrr4vrtup
Bird, MEX, 46ee2cc5-62d5-4acc-86c7-d66d6c47d81e, 100, 14863, No update data, 9g3qrr4vmvup
Bird, MEX, 2fb01b85-c513-4f59-9543-4d4f99d95dc0, 100, 14863, No update data, 9g3qrpygpf4n
