Bird, MEX, b611fe84-2df1-444f-9682-7b4aa0901864, 57, 7268, No update data, 9g3qrmb0wj9n
Bird, MEX, 8614de40-02ff-4eb3-973b-9ddb4018ae61, 80, 10902, No update data, 9g3qrmby1ynw
Bird, MEX, e5f37027-f52c-46db-a502-53d76065d782, 80, 10902, No update data, 9g3qrmby7t18
Bird, MEX, e19abb76-c72a-4a8f-8daa-611adcba3223, 80, 10902, No update data, 9g3qrjx5uqwp
Bird, MEX, abd6ebfc-3fa3-496b-a259-c5def4bf4d56, 63, 8216, No update data, 9g3qrnjqbdqu
Bird, MEX, 73cd5bed-517c-4e2f-b6ab-e1c29de7f38e, 78, 10586, No update data, 9g3qrjxgy2u6
Bird, MEX, 2deda658-907a-4f15-ac75-31743fe2f233, 87, 12692, No update data, 9g3qrmbbygte
Bird, MEX, b0d07e3c-c87c-4787-920f-ae6bf71741a4, 99, 14696, No update data, 9g3qrmbbygm9
Bird, MEX, 1ccedbad-8286-4690-8a8a-d7f0c651583e, 98, 14529, No update data, 9g3qrmc0bjv3
Bird, MEX, 8df797e7-7b0e-48f8-a943-fea682f142f5, 35, 4008, No update data, 9g3qrm8zvrfy
Bird, MEX, d2cd39ff-2626-440c-b87b-28bc06b7114c, 48, 5846, No update data, 9g3qrjvp800k
Bird, MEX, 674cb033-e034-4a31-ad45-c42915b47412, 98, 14529, No update data, 9g3qrmc0bs89
Bird, MEX, 79f98856-febb-4b07-acf7-f526c3a7017e, 99, 14696, No update data, 9g3qrq16jpsx
Bird, MEX, a09f36ce-8514-4123-adc7-08b17822925a, 99, 14696, No update data, 9g3qrq13vkzg
Bird, MEX, bb408fae-c3fe-41ec-ae09-83b17621e49b, 100, 14863, No update data, 9g3qrq13v7zy
Bird, MEX, 2c189e49-e320-45cc-82f5-04bc6ef47708, 44, 5214, No update data, 9g3qrjuzqyvs
Bird, MEX, 737a93a5-9124-4651-b889-5877abab4ba5, 76, 10855, No update data, 9g3qrjv25vs9
Bird, MEX, 1a39eb17-eb93-4766-b443-56a5fdaad5ce, 100, 14062, No update data, 9g3qrm8twruk
Bird, MEX, 04a6f288-0cd2-4b54-9783-1cd5a35802ec, 94, 13861, No update data, 9g3qrm8tygte
Bird, MEX, ae0bb54a-b82e-453f-9e26-d57fdd783a61, 100, 14863, No update data, 9g3qrm8twxfs
Bird, MEX, 3eab09b7-cf27-4220-8a5c-55ea802a0c00, 99, 14696, No update data, 9g3qrq13vzup
Bird, MEX, e55c5dda-1fc7-438f-8418-3b156d39c78a, 100, 14863, No update data, 9g3qrm8tt8mv
Bird, MEX, 4949bb9b-aaf0-40db-834e-375cd0e270bc, 99, 13904, No update data, 9g3qrm8twmh6
Bird, MEX, 1842616a-81b3-463c-a3f4-3fe535202967, 99, 14696, No update data, 9g3qrm8twtdw
Bird, MEX, a5089e7f-e90d-46bd-b176-e13d235123f4, 100, 14863, No update data, 9g3qrq13yp9j
Bird, MEX, c1ff01e1-42c0-4589-8d37-39ab56ab55ef, 47, 5688, No update data, 9g3qrjv259zd
Bird, MEX, 80286e73-9030-477e-aa8c-1e9e25825ab6, 98, 13746, No update data, 9g3qrm8tz60f
Bird, MEX, a8bfc90c-a9e1-4be1-ab3f-1761a8e9625a, 98, 13746, No update data, 9g3qrm8ttbh5
Bird, MEX, e41ea2ee-2848-4b98-ada6-389160e01ce1, 100, 14863, No update data, 9g3qrq16n4rq
Bird, MEX, 99895216-2334-44cd-94ad-37b36bad3d5b, 100, 14863, No update data, 9g3qrq16n0x7
Bird, MEX, e3858f13-6947-446b-b865-81a05998ef62, 98, 14529, No update data, 9g3qrq13ypp3
Bird, MEX, 2f732cc2-7a1b-49ce-97fe-a751bc3de2bb, 98, 13746, No update data, 9g3qrm8tw9dt
Bird, MEX, 975f991a-0ac9-4e8c-b752-cde8fdd3ec54, 81, 11060, No update data, 9g3qrmc03c87
Bird, MEX, 25bb3299-c2db-4d35-836e-22aa7c63d68a, 62, 8058, No update data, 9g3qrjtrbvhv
Bird, MEX, c89a2bcd-f227-4564-9122-c0841bbbf4a5, 57, 7268, No update data, 9g3qrjtrbswc
Bird, MEX, a26d3c47-db2b-4712-9433-76b1eb20c05a, 42, 5177, No update data, 9g3qrjtsmusn
Bird, MEX, 05ce5f02-4e6d-446f-9391-8a5ad81d7628, 51, 6320, No update data, 9g3qrjtr3mbn
Bird, MEX, 8d1d3010-c6c2-48a4-8d28-15293b9306fa, 62, 8058, No update data, 9g3qrjtr8pt6
Bird, MEX, b3e49636-7ea3-4f6d-ad06-443d74e3f187, 69, 9686, No update data, 9g3qrjtsg4n3
