Bird, MEX, ec970269-2f47-4dfd-80ad-a1ba33a97a1a, 79, 11356, No update data, 9g3qx2z8wtpw
Bird, MEX, b7576de8-8d6e-4d24-89d4-43ccc20e86b6, 93, 9676, No update data, 9g3qx2zshgzc
Bird, MEX, 8e795b2b-05cb-41d7-8077-176ae8687cbd, 91, 13360, No update data, 9g3qx22trsu1
Bird, MEX, 7eb9f5b2-d82b-4eac-8620-fb60dc01546d, 74, 10521, No update data, 9g3qx28dvq4y
Bird, MEX, 1ccedbad-8286-4690-8a8a-d7f0c651583e, 92, 13527, No update data, 9g3qx21hnb8v
Bird, MEX, 7beff964-6325-4b2b-8a5b-83dccdddfc36, 91, 13360, No update data, 9g3qx2178088
Bird, MEX, f79fe92a-822e-48ad-bf8c-4c4953a8f041, 96, 14195, No update data, 9g3qx2zexm1n
Bird, MEX, f815c609-1181-499f-9c86-c1ebf4a7906e, 94, 9794, No update data, 9g3qx2zswjpw
Bird, MEX, f508e66d-1d30-4da5-8a2a-e5977729c4f3, 91, 13360, No update data, 9g3qx215vk6f
Bird, MEX, 21ceb6f6-bca8-4845-9546-4205cbb922d9, 96, 14195, No update data, 9g3qx2zsybmc
Bird, MEX, 6018a9ad-c989-4a26-b2ad-86e248705377, 96, 14195, No update data, 9g3qx2zu05mx
Bird, MEX, f3462101-625e-4c6e-a9f0-cc7c01652f8e, 94, 13861, No update data, 9g3qx2zu0ck1
Bird, MEX, 50af0392-0199-42ed-8d07-16e9a66d4d8f, 54, 6794, No update data, 9g3qrrf5ce7e
Bird, MEX, 2cff7cc7-02e4-4d80-b93b-6a67bececbd6, 62, 8517, No update data, 9g3qx31t8v5y
Bird, MEX, 5f1cdb97-4d21-4b60-bf52-7c3796a2daf0, 82, 11218, No update data, 9g3qx282nbj9
Bird, MEX, f00a944f-dc26-4234-9937-174fa6b9d8d5, 88, 12859, No update data, 9g3qrrsttyh6
Bird, MEX, f6cdd7bc-0a64-4ca4-a6b5-04a1120f65a8, 93, 12956, No update data, 9g3qrrstr2rj
Bird, MEX, 2038178e-884b-4374-a472-add4acadc045, 76, 10270, No update data, 9g3qx3p9tdqh
Bird, MEX, 8cba6cde-a83a-4e8a-a76e-ac875b990d63, 91, 13360, No update data, 9g3qx20x7jn7
