Bird, MEX, 50af0392-0199-42ed-8d07-16e9a66d4d8f, 55, 6952, No update data, 9g3qrrfhf6cb
Bird, MEX, 1ccedbad-8286-4690-8a8a-d7f0c651583e, 94, 13861, No update data, 9g3qx21hnkkk
Bird, MEX, b7576de8-8d6e-4d24-89d4-43ccc20e86b6, 96, 10030, No update data, 9g3qx2zsvb71
Bird, MEX, f79fe92a-822e-48ad-bf8c-4c4953a8f041, 98, 14529, No update data, 9g3qx2zsw7kd
Bird, MEX, 1d03b435-5234-4603-8eed-5e3f5c7a18d1, 96, 14195, No update data, 9g3qx2zwe77d
Bird, MEX, 8df797e7-7b0e-48f8-a943-fea682f142f5, 93, 13694, No update data, 9g3qx2zsyexw
Bird, MEX, f3462101-625e-4c6e-a9f0-cc7c01652f8e, 97, 14362, No update data, 9g3qx2zsybtg
Bird, MEX, f815c609-1181-499f-9c86-c1ebf4a7906e, 97, 10148, No update data, 9g3qx2zsxmc4
Bird, MEX, 304641d8-118f-4753-a91a-7187243d9247, 94, 13861, No update data, 9g3qx2zwkk0j
Bird, MEX, c94ef371-15a1-4e5c-8aca-ff77c3951907, 93, 13694, No update data, 9g3qx213cvb7
Bird, MEX, 6018a9ad-c989-4a26-b2ad-86e248705377, 98, 14529, No update data, 9g3qx2zu29rh
Bird, MEX, 2cff7cc7-02e4-4d80-b93b-6a67bececbd6, 64, 8851, No update data, 9g3qx31tccb7
Bird, MEX, c38cacfe-4a39-42ea-9e93-936337144d0e, 85, 11692, No update data, 9g3qx3nzz454
Bird, MEX, 43522403-e4db-4674-ac78-34baba739275, 88, 12859, No update data, 9g3qrrf30eyb
Bird, MEX, 95e0440a-64aa-496d-9f01-f7f57d8daf4e, 93, 13694, No update data, 9g3qx20xkfcm
Bird, MEX, f6cdd7bc-0a64-4ca4-a6b5-04a1120f65a8, 94, 13114, No update data, 9g3qrrsv08zn
Bird, MEX, 2038178e-884b-4374-a472-add4acadc045, 78, 10586, No update data, 9g3qx2zytnky
Bird, MEX, f045452a-a846-49ff-944d-c58a8394eac6, 92, 13527, No update data, 9g3qx20wfemh
Bird, MEX, e4e1ce05-dc5f-4347-81a4-e5a546cae780, 93, 13694, No update data, 9g3qx20wfdb0
Bird, MEX, a41d02d8-d8f4-4c4b-a68c-1e48c281b5f2, 76, 10270, No update data, 9g3qrrsspsh4
Bird, MEX, cd467842-2ef6-4ce7-bc8e-d333b4562dad, 65, 9018, No update data, 9g3qx8bjd2z5
Bird, MEX, 3d5bb277-0baa-4567-8d7e-2f1e978d3b4c, 97, 14362, No update data, 9g3qx20wc1x0
Bird, MEX, f00a944f-dc26-4234-9937-174fa6b9d8d5, 90, 13193, No update data, 9g3qrrsu0dz4
Bird, MEX, 7a555408-d8d3-42aa-a998-2d93c814bfd4, 58, 7426, No update data, 9g3qx8bnc8ee
Bird, MEX, 8cba6cde-a83a-4e8a-a76e-ac875b990d63, 93, 13694, No update data, 9g3qx20tcg8q
Bird, MEX, c692401e-ff10-44ff-a15b-7d1f2d4c041b, 49, 6004, No update data, 9g3qx8bhv2dg
Bird, MEX, f7ee63b0-66db-4e34-a9d9-00f1b38b1ef8, 97, 14362, No update data, 9g3qx20t8g7c
Bird, MEX, 4b3a5b9b-ef93-4100-b9e2-b8109457fb52, 61, 8350, No update data, 9g3qx2p9p73n
