Bird, MEX, 0bdc43b7-37db-4e7c-bcc3-fabad5644047, 30, 3173, No update data, 9g3qx20e2j2s
Bird, MEX, 2303ab26-f440-49dc-a54b-902756fb142e, 88, 12166, No update data, 9g3qx207rkz0
Bird, MEX, 4648b65d-a399-4a54-b06d-fedd051d440d, 98, 14529, No update data, 9g3qx20mddm5
Bird, MEX, c7c9c180-b70a-46d8-92bc-9457e20c2a07, 99, 14696, No update data, 9g3qx20mf0sf
Bird, MEX, 25cb9ef9-1e87-4993-8401-a80c7614b7d5, 100, 14863, No update data, 9g3qx20m9mv1
Bird, MEX, 1dd5cb01-67ba-42f7-8637-0ac5bbbbd4ef, 45, 5372, No update data, 9g3qrrdn3qtk
Bird, MEX, 9e09f84e-8e8b-44fc-8f66-70f2af59dedd, 69, 9164, No update data, 9g3qx0xzrrr1
Bird, MEX, ddb31a33-c674-46be-858b-b983d0988788, 83, 12024, No update data, 9g3qx88wh1gj
Bird, MEX, 146d9dc6-5200-497e-95d0-258bf2ab5396, 96, 14195, No update data, 9g3qx9057426
Bird, MEX, 470f3b8c-a155-4677-9e5f-00fb0ae898a8, 100, 14062, No update data, 9g3qx203xwh5
Bird, MEX, 0de30390-2a08-4d45-8de7-7031e23a88eb, 100, 14863, No update data, 9g3qx203r7z5
Bird, MEX, c26f0539-6bba-417a-99a6-e2ebdbecbf99, 99, 14696, No update data, 9g3qx203r3xj
Bird, MEX, c2a114eb-d94d-4e2c-99ef-c1d97bca1b41, 98, 14529, No update data, 9g3qx203nrhm
Bird, MEX, 511f5f15-ec98-4c5b-894f-b296d674bd27, 75, 10112, No update data, 9g3qx3pvryxm
Bird, MEX, e55c5dda-1fc7-438f-8418-3b156d39c78a, 91, 13360, No update data, 9g3qx203nksq
Bird, MEX, fdf46c44-51b8-449d-8d15-3fdbb6eecbd3, 100, 14062, No update data, 9g3qx203jt0b
Bird, MEX, 11fac914-7ab6-4d5c-ac39-b6037963dc12, 99, 14696, No update data, 9g3qrrwysrbn
Bird, MEX, e42a1443-5975-4735-940a-c73491edc3ad, 96, 14195, No update data, 9g3qx203j8mg
Bird, MEX, 28783902-2f4a-4e22-acb1-a03e54c907e5, 97, 14362, No update data, 9g3qx202wpcn
