Bird, MEX, 3ae2b625-cd6c-48f4-a479-30ccd5404085, 94, 13114, No update data, 9g3qrxb21mj2
Bird, MEX, 87a3c59f-ad2b-437b-866b-02d34b28c68a, 61, 7900, No update data, 9g3qx8c842r5
Bird, MEX, cef73ebf-efda-489e-a618-c23e514f4111, 73, 10354, No update data, 9g3qrrm7nuvz
Bird, MEX, 0ba1cf18-359b-434a-a0a6-90e6d4848d93, 88, 12166, No update data, 9g3qrxb2552q
Bird, MEX, 1564aa3a-d67b-4308-8c6d-0f1ca60dab88, 73, 10354, No update data, 9g3qx914ywzf
Bird, MEX, a59c3067-6ab2-4ceb-a341-0b4308a87c61, 84, 12191, No update data, 9g3qx8388vu1
Bird, MEX, b8683fe1-1af7-4282-a239-95703376627e, 88, 12859, No update data, 9g3qx8cqyqhw
Bird, MEX, bb70570a-f1c0-4690-b470-db4547318a38, 34, 3841, No update data, 9g3qx8crq4rd
Bird, MEX, effa76c8-97d9-4963-9056-192f9b95531f, 64, 8851, No update data, 9g3qrr3wrb6m
Bird, MEX, 005c9142-b44c-4c54-acb3-0e8d9f1678c1, 78, 11189, No update data, 9g3qx912jenj
Bird, MEX, ead8075d-4d61-4033-97fd-63f66016eea3, 76, 10855, No update data, 9g3qrrrpkj54
Bird, MEX, 74f538cc-176f-45bb-baf4-4562a9ee9a66, 92, 13527, No update data, 9g3qx3g4vqxc
Bird, MEX, a99fe4cf-b8c7-46e5-b1d1-31717d2bfc27, 82, 11857, No update data, 9g3qx81x407g
Bird, MEX, 0f4f09c8-05c3-476d-92d2-7953abfe233e, 28, 2839, No update data, 9g3qx0qbng2w
Bird, MEX, 19ff8a79-71c2-42f0-b7e1-dbef44dd3e71, 84, 11534, No update data, 9g3qx8cxb75g
Bird, MEX, 589d8217-bddf-4bcf-a446-9457b4549a7a, 52, 6847, No update data, 9g3qx0qucw5q
Bird, MEX, e3373e0b-31f8-433f-b042-36365542557a, 46, 5530, No update data, 9g3qx0qv1j64
Bird, MEX, 8bfde806-8774-4437-ab68-0b24b1f5c11f, 54, 7181, No update data, 9g3qrrk2mtq5
Bird, MEX, 8a353b43-cbc2-4ddc-b909-80443ed1bced, 74, 9954, No update data, 9g3qx92fur0h
Bird, MEX, a45e2376-bae6-464e-93fc-54f587107b5e, 93, 12956, No update data, 9g3qrrkbmsy0
Bird, MEX, c4d34326-f9c4-43b0-8a22-21c8b1e77520, 63, 8216, No update data, 9g3qrrkbq6uk
Bird, MEX, 7802a6aa-4737-4323-b62a-a2dfceffc097, 36, 4175, No update data, 9g3qx3fe57s8
Bird, MEX, d83c4abb-9b90-43eb-8564-fa6e7b1d7f39, 79, 10744, No update data, 9g3qrrk21b2d
Bird, MEX, 4c9448ed-5dc8-4a40-9f3f-86f0935c54e5, 54, 7181, No update data, 9g3qrrhrgq7q
Bird, MEX, 9ea8352a-9437-42df-a1bd-85883d2379e1, 71, 10020, No update data, 9g3qrrhpznhh
Bird, MEX, 0ad7bfc9-eab6-45db-8702-bfb9c4cbead6, 48, 5846, No update data, 9g3qrpzmhwhr
Bird, MEX, 2b547a31-5f30-4a2f-a1a9-d0af1b7f85be, 69, 9686, No update data, 9g3qrrkbjeqj
Bird, MEX, 0b4d2eaf-0de9-45b8-a36a-043a227d1c6b, 76, 10855, No update data, 9g3qrr8k0p2r
