Bird, MEX, 68d70897-e54f-4af7-860a-c62401f912d7, 88, 12166, No update data, 9g3qrqx6fe02
Bird, MEX, 762701c2-5767-4ae1-8e46-60cb02fef5ff, 62, 8517, No update data, 9g3qrq6z9zwe
Bird, MEX, 8e6d1109-1285-4c63-a0b6-a52fc150bfb9, 48, 5846, No update data, 9g3qrq8sew9t
Bird, MEX, dcd0007a-a699-4801-bc6f-c9ed221dea7f, 94, 13114, No update data, 9g3qrwfpq3h8
Bird, MEX, e19ad9cd-d8a9-4613-9620-f3816d6edf34, 89, 13026, No update data, 9g3qrwc1qwxg
Bird, MEX, e7cf59b0-768c-49b6-8032-098c1a643c82, 88, 12859, No update data, 9g3qrwc1q6sd
Bird, MEX, af29da6c-8239-4831-b6da-7bacf0bd466c, 75, 10688, No update data, 9g3qrwc1nn92
Bird, MEX, be5260d2-e509-402a-a7bd-416f4f14822c, 74, 10521, No update data, 9g3qrwc1r4fg
Bird, MEX, f98451f5-f199-443f-bc51-697564666377, 93, 9676, No update data, 9g3qrwc1nsdv
Bird, MEX, a9da17f1-955f-46ec-96a0-3ffe2ef3ff6d, 63, 8216, No update data, 9g3qrnxygtpy
Bird, MEX, 2297d707-8041-4c05-9411-a8e7c77160ab, 72, 9638, No update data, 9g3qrwfrv4kv
Bird, MEX, 6e08ff6e-9bd6-42f1-945f-edc0047d59a1, 83, 12024, No update data, 9g3qrqmw2wzh
Bird, MEX, aac9b321-e6da-4953-9f2d-80a40594d73f, 82, 11218, No update data, 9g3qrwc21e7t
Bird, MEX, 0ec9dc95-9ff4-4312-808d-ac276d63ad49, 31, 3340, No update data, 9g3qx0g1gnnn
Bird, MEX, 9b0f53ad-03a7-48d2-9a7a-2fd131e9d735, 46, 5530, No update data, 9g3qrpjdb0jr
Bird, MEX, 9a54ef30-998f-40fc-84b7-0998dab3472d, 71, 10020, No update data, 9g3qrnxstzs5
Bird, MEX, f1500252-bcd5-410d-87ff-68cb9ed1f8b9, 65, 8532, No update data, 9g3qrxkm32mt
Bird, MEX, 6febb32b-1283-4eb6-b4af-9c88d8005294, 42, 5177, No update data, 9g3qrxkm1rjt
Bird, MEX, 8fbc0c71-457a-4b65-8924-e09ec3212da8, 92, 13527, No update data, 9g3qrw9q0dbc
Bird, MEX, 597163a8-d30a-4c8e-8fde-3ff4d5e185ea, 98, 13746, No update data, 9g3qrw9mbgh0
