Bird, MEX, 85ffc6e3-5a72-4643-9e2a-c1852749f066, 100, 14062, No update data, 9g3qrre91r0m
Bird, MEX, 13673970-2381-46dd-8a2d-5172f7a26d8b, 92, 13527, No update data, 9g3qrre3pu67
Bird, MEX, a83e31e1-4970-4fa9-b4d2-0720a5ed4d7f, 96, 14195, No update data, 9g3qx3e5ykk7
Bird, MEX, b80aaae5-94e7-4592-b87c-8780eb718089, 79, 11356, No update data, 9g3qrrwykgzf
Bird, MEX, 10d1ce59-d4b5-4257-8c3b-a1030d1e62ff, 51, 6680, No update data, 9g3qx203cr2m
Bird, MEX, 786abcfe-46b9-4225-a741-6d73bc9fc925, 94, 13861, No update data, 9g3qx3ehnjr7
Bird, MEX, 64133e30-0da4-4ec8-ae3c-5972a077901f, 56, 7515, No update data, 9g3qrrsb5usv
Bird, MEX, 491f7cf3-237f-462e-9533-48e29e29f64e, 44, 5214, No update data, 9g3qx88futgk
Bird, MEX, e9041c55-aa4a-423f-a642-3a56b81f061c, 51, 6680, No update data, 9g3qrr9tw5zm
Bird, MEX, 555150d1-96e8-49a7-b12f-9771a82641da, 80, 11523, No update data, 9g3qx903xuxd
Bird, MEX, ba3c36a0-2733-4cac-bf52-72101d2fd26f, 84, 12191, No update data, 9g3qrr9tp3r0
Bird, MEX, 436f7305-3e18-4261-b57f-fd77d6901b7d, 43, 5056, No update data, 9g3qx32gj6zs
Bird, MEX, 20546d3f-f42d-4194-970a-3ffdb5b21e06, 79, 11356, No update data, 9g3qrrd58eqc
Bird, MEX, 7905135f-641f-4d24-8b55-e8533cd16bd4, 80, 11523, No update data, 9g3qx0zdjt8v
Bird, MEX, 98d0806b-e079-4a0a-a9c1-4c9f69b8f6be, 67, 9352, No update data, 9g3qx909jhsz
Bird, MEX, b5e67f67-da21-4183-9ebc-b68e05bb4798, 62, 8517, No update data, 9g3qx33nxgdm
Bird, MEX, 3a253315-22c0-4190-b7ae-4446f7fae3e3, 69, 9164, No update data, 9g3qrr9g32j7
Bird, MEX, ef4f7d1d-dee0-4495-aebe-55222feb35c5, 88, 12166, No update data, 9g3qrrkmuuzt
Bird, MEX, b498efa9-e1b3-4e5d-b25d-6f9fae0ff3f2, 90, 12482, No update data, 9g3qx89hynpw
Bird, MEX, fe1875d4-96f9-40c9-bf94-f709bc436c9c, 49, 6346, No update data, 9g3qx0psjukh
Bird, MEX, 44d07070-b3ad-4878-afb9-e82209367756, 20, 1503, No update data, 9g3qrr7uuu33
Bird, MEX, 5927a50c-aabf-44a1-8433-8eb80c6d0b65, 69, 9164, No update data, 9g3qx8c5svcd
Bird, MEX, 7dcae05c-57ee-4587-95a8-cc788984cb61, 81, 11060, No update data, 9g3qx3u26z52
Bird, MEX, 310ad17e-0864-41bb-bd64-10f8ba2f9529, 57, 7682, No update data, 9g3qx90cug1e
Bird, MEX, c3c14471-824a-455a-a662-b88719af3bd0, 79, 10744, No update data, 9g3qx90cmxq1
Bird, MEX, c97a2b50-b5be-40ab-bb18-0052a349595c, 82, 11857, No update data, 9g3qrrw823gy
Bird, MEX, 1564aa3a-d67b-4308-8c6d-0f1ca60dab88, 78, 11189, No update data, 9g3qx90fj9q4
Bird, MEX, 0e072fb4-261a-4445-af94-4a084fb2473b, 88, 12859, No update data, 9g3qx3epf8vn
Bird, MEX, 301fdafb-9156-4f03-a87b-d3b71699631d, 82, 11218, No update data, 9g3qrr7u2588
Bird, MEX, ca16afad-fb5f-4e4a-82a5-b2cd4fa2a4c2, 73, 10354, No update data, 9g3qx925u9e3
Bird, MEX, d444da05-24ab-400d-9fd9-3c7e35e92ec6, 79, 11356, No update data, 9g3qx925upg0
Bird, MEX, bbd15dba-d59c-4d70-9583-9b62abdce6cd, 89, 12324, No update data, 9g3qx92h6ggk
Bird, MEX, 0cea28f5-7ebb-4016-bf25-a883a08d2158, 63, 8684, No update data, 9g3qrr7u0j29
Bird, MEX, 0897457f-20df-4e3f-a974-55ebe46a1a1a, 44, 5511, No update data, 9g3qx8cjw8pz
Bird, MEX, 8f7a80cf-58df-44d7-8e43-126c46767b06, 87, 12692, No update data, 9g3qx0p9mtmu
Bird, MEX, 7716661d-02ec-4ae1-8f3b-669821df9093, 55, 7348, No update data, 9g3qx0p9u56u
Bird, MEX, cb40c718-e0c4-4168-afc9-7f333dc7e1ed, 51, 6680, No update data, 9g3qrr96k3wj
Bird, MEX, 022770ae-632c-4fb6-9405-12d3167b5b0b, 88, 12859, No update data, 9g3qx0pd6bep
Bird, MEX, bba7f93d-d5c4-4fff-9928-8f098452b102, 72, 9638, No update data, 9g3qx89rty55
