Bird, MEX, e26c615d-d329-47e8-b1f0-73de7cb92643, 36, 4175, No update data, 9g3qrr94hhpf
Bird, MEX, 447aa4f1-8a0a-4eb8-85d0-14cc1ec89f82, 61, 7900, No update data, 9g3qx3xc0dr0
Bird, MEX, 3defaae1-756f-41c0-9db4-82f7df6628cf, 79, 10744, No update data, 9g3qx89sn0re
Bird, MEX, 9c23dcac-0023-4755-9d0e-33e22b95b3bc, 53, 7014, No update data, 9g3qx0qvh6c5
Bird, MEX, f2c30b70-6099-41bf-bc2e-211595aa42c1, 51, 6320, No update data, 9g3qx0qcn8dm
Bird, MEX, 196dcfe2-ce3d-4dd0-b478-5a26f5728a40, 54, 7181, No update data, 9g3qx3f3e9c9
Bird, MEX, f74d898f-f41b-4339-88c9-44ad498d2e51, 46, 5845, No update data, 9g3qrrk8ven1
Bird, MEX, 06cb841d-678e-464f-9a45-b0e1ce4c4b96, 73, 10354, No update data, 9g3qx91kbdz1
Bird, MEX, e644af59-bf44-458d-9810-7daa1e6a73d2, 78, 10586, No update data, 9g3qrr8nqh3n
Bird, MEX, 97fa1ec9-702b-4cc8-a254-b250dd61e735, 65, 9018, No update data, 9g3qrpzcdm3z
Bird, MEX, e0a06fe4-5120-4429-b644-460c93f11840, 96, 13430, No update data, 9g3qrr5zysxe
Bird, MEX, 13268e1b-461a-4845-ab6e-5da054068f14, 48, 5846, No update data, 9g3qrrq696m7
