Bird, MEX, e7a42ae0-34c9-45cd-90eb-7a2959fd031b, 89, 12324, No update data, 9g3qx20t040w
Bird, MEX, 8df797e7-7b0e-48f8-a943-fea682f142f5, 99, 14696, No update data, 9g3qx8bjymsd
Bird, MEX, 9e990e86-a088-47bc-bb5f-db838112d58f, 88, 12166, No update data, 9g3qx90062z0
Bird, MEX, b951f39e-9ab6-4d6f-ade7-51065c4246c1, 90, 12482, No update data, 9g3qx9006wvp
Bird, MEX, 0bdc43b7-37db-4e7c-bcc3-fabad5644047, 34, 3841, No update data, 9g3qx20s0v5b
Bird, MEX, 11676849-fa45-46d7-b9c6-00b7af2a96f8, 98, 14529, No update data, 9g3qx8bnquvc
Bird, MEX, 1d03b435-5234-4603-8eed-5e3f5c7a18d1, 100, 14863, No update data, 9g3qx8bnr634
Bird, MEX, 304641d8-118f-4753-a91a-7187243d9247, 100, 14863, No update data, 9g3qx8bnx1kn
Bird, MEX, baf7e912-841b-40cd-a505-13a330771c51, 100, 14863, No update data, 9g3qx8bmbexp
Bird, MEX, 9e09f84e-8e8b-44fc-8f66-70f2af59dedd, 70, 9322, No update data, 9g3qx28p3v8r
Bird, MEX, 24ad8133-a7fa-4cf0-8e41-66fac3d9959f, 99, 13904, No update data, 9g3qx209gt1x
Bird, MEX, 043d8399-a8ce-48d1-9fef-18aa9093c138, 82, 11857, No update data, 9g3qrrdndst1
Bird, MEX, 794dfea6-0dc7-4694-b9c0-0a12b57f24c2, 100, 14062, No update data, 9g3qx20kgtxc
Bird, MEX, e42a1443-5975-4735-940a-c73491edc3ad, 99, 14696, No update data, 9g3qx209dw05
Bird, MEX, 28783902-2f4a-4e22-acb1-a03e54c907e5, 100, 14863, No update data, 9g3qx2096v54
Bird, MEX, c2a114eb-d94d-4e2c-99ef-c1d97bca1b41, 100, 14863, No update data, 9g3qx20d0u7u
Bird, MEX, e55c5dda-1fc7-438f-8418-3b156d39c78a, 98, 14529, No update data, 9g3qx2099y8r
Bird, MEX, c7c9c180-b70a-46d8-92bc-9457e20c2a07, 100, 14863, No update data, 9g3qx20npzd2
Bird, MEX, fdf46c44-51b8-449d-8d15-3fdbb6eecbd3, 100, 14062, No update data, 9g3qx2099d53
Bird, MEX, f045452a-a846-49ff-944d-c58a8394eac6, 98, 14529, No update data, 9g3qx20kf63y
Bird, MEX, eeef1113-26dc-43c5-bbcd-2a5d00a65422, 100, 14062, No update data, 9g3qx2093vnd
Bird, MEX, 97714eec-6fbe-44fb-af67-920191416158, 79, 10744, No update data, 9g3qx2bnx78u
Bird, MEX, 270ff6ba-d5ac-4624-9567-540c62a4f9f9, 47, 5688, No update data, 9g3qrrzt5u8n
Bird, MEX, 27ba807e-71ba-4ede-b0a7-13f6e14e7c06, 75, 10112, No update data, 9g3qx20m322m
Bird, MEX, aed77777-7add-4d3a-b07e-469bdab321af, 100, 14863, No update data, 9g3qx20npqzh
Bird, MEX, 73746486-98eb-4052-ba41-d52b9ede2521, 66, 8690, No update data, 9g3qx20m2xqb
Bird, MEX, 3dd58251-b40d-45d7-9c4d-c5ace8444f8b, 96, 13430, No update data, 9g3qx2093b8r
Bird, MEX, e4e1ce05-dc5f-4347-81a4-e5a546cae780, 100, 14863, No update data, 9g3qx20m14d0
Bird, MEX, 3616d549-9b9b-47b7-8cc9-d15c879e19b3, 100, 14863, No update data, 9g3qx20jxvf3
Bird, MEX, 8cba6cde-a83a-4e8a-a76e-ac875b990d63, 99, 14696, No update data, 9g3qx20m08qg
Bird, MEX, f216f991-9be2-4743-987b-7c1ac14f9352, 87, 12008, No update data, 9g3qx20m0dbd
Bird, MEX, f4670094-36c9-4a1a-b67e-3c67e838b4f8, 100, 14062, No update data, 9g3qx2092rgs
Bird, MEX, 96e69ef8-3fa3-4a9d-802d-66a2466af0d2, 99, 13904, No update data, 9g3qx203zngc
Bird, MEX, 4a21459e-4651-4cb8-abac-ca0444649bb6, 81, 11060, No update data, 9g3qx20m2127
Bird, MEX, 95e0440a-64aa-496d-9f01-f7f57d8daf4e, 98, 14529, No update data, 9g3qx20m0jvq
Bird, MEX, 8ffa5a2d-e96a-4487-9532-78c71bf15584, 91, 12640, No update data, 9g3qrre9en06
Bird, MEX, ceb26f54-09ec-44b4-b928-476cf5a82926, 100, 14062, No update data, 9g3qx209156n
Bird, MEX, 4fb452cf-95e7-40c1-a3eb-d0d2076ef381, 100, 14863, No update data, 9g3qx20jyg2s
Bird, MEX, 3d5bb277-0baa-4567-8d7e-2f1e978d3b4c, 100, 14863, No update data, 9g3qx20jr9jj
Bird, MEX, 521db62b-54ac-478a-884b-d6c2cc758bd0, 66, 9185, No update data, 9g3qrrbuwfvx
Bird, MEX, 6f8130ff-0110-410a-a838-ad21ad88e88a, 100, 14062, No update data, 9g3qx2092hb8
Bird, MEX, 8f7ab418-2c00-4ad2-b27c-620284e5c12b, 100, 14062, No update data, 9g3qx20924m3
Bird, MEX, 25cb9ef9-1e87-4993-8401-a80c7614b7d5, 100, 14863, No update data, 9g3qx20jwcjs
Bird, MEX, f7ee63b0-66db-4e34-a9d9-00f1b38b1ef8, 100, 14863, No update data, 9g3qx20jp8h1
Bird, MEX, 64c1bade-6259-42fe-9d3c-a626a8ba54a6, 100, 14062, No update data, 9g3qx208bx2t
Bird, MEX, 53239a68-389d-42f8-ad28-fa6af312c06d, 100, 14062, No update data, 9g3qx20hzqpj
Bird, MEX, 4648b65d-a399-4a54-b06d-fedd051d440d, 100, 14863, No update data, 9g3qx20jvr6t
Bird, MEX, 2bb785a3-8166-4618-85a0-7ac09c46588d, 76, 10270, No update data, 9g3qrrdk5ru9
Bird, MEX, 847e0733-5631-469d-a432-1495ff3996af, 98, 13746, No update data, 9g3qx202xrzn
Bird, MEX, b809e99f-9fd2-4e7a-8634-3416733d8ab4, 66, 9185, No update data, 9g3qx32cmfsh
Bird, MEX, 511f5f15-ec98-4c5b-894f-b296d674bd27, 76, 10270, No update data, 9g3qx3pywgvy
Bird, MEX, 9e68ac62-5e5a-44d2-9ba8-e33101e08f8a, 54, 6794, No update data, 9g3qx0zuhjxv
Bird, MEX, efd48a79-c49f-4e7c-9cba-d2ce7b2eae94, 62, 8517, No update data, 9g3qrrc0txmf
Bird, MEX, d4183b8c-4ee6-4bb9-abc0-bc398088269c, 44, 5214, No update data, 9g3qrr9tkwuq
Bird, MEX, 6a5214dc-0bc4-4590-9c23-10ec263b3c8c, 88, 12166, No update data, 9g3qrr9sr9k5
Bird, MEX, c479096a-dfb9-4374-b9c8-e1d4007bf053, 67, 9352, No update data, 9g3qx0zdsdsq
Bird, MEX, 1be1df4a-da00-4da9-b129-a01fadab33e0, 98, 14529, No update data, 9g3qx90kpudx
Bird, MEX, 828f6ed2-e84c-4aa7-bdaa-1792ff881415, 76, 10270, No update data, 9g3qrrmrjsn1
Bird, MEX, cf16fd66-9688-4fe8-b72d-2d7c86ace9b9, 40, 4582, No update data, 9g3qrrmqcf8x
Bird, MEX, 146d9dc6-5200-497e-95d0-258bf2ab5396, 99, 14696, No update data, 9g3qx90kxy6w
Bird, MEX, 2060f23d-dd30-4fad-9df9-51ae4afef0d6, 99, 14696, No update data, 9g3qx90s1fbe
