Bird, MEX, 1de46640-3af7-4775-b2eb-17a5b3710166, 99, 14696, No update data, 9g3qx21nths9
Bird, MEX, 2e1ac500-e4b8-470c-9065-1f152038be2c, 97, 13588, No update data, 9g3qx2zmrrx7
Bird, MEX, bf956252-d541-4d7d-a779-dcb1d9327ce8, 98, 13746, No update data, 9g3qx3p21f89
Bird, MEX, 277c32ea-cf96-4c35-a814-7cbd4dbc0c25, 97, 13588, No update data, 9g3qx21hxgd7
Bird, MEX, bdf73438-8d47-40fc-bf01-1bff6bb08fe7, 93, 13694, No update data, 9g3qx21hwvv9
Bird, MEX, 58442098-3fe4-4c93-8287-d6fc8b3ba4c7, 97, 14362, No update data, 9g3qx21jmhkx
Bird, MEX, f63c3a17-2c22-4183-a7a7-ca571f3cb2c8, 80, 10902, No update data, 9g3qx2ztde8k
Bird, MEX, f716940f-a075-48f9-9b12-5ff4307c97fa, 45, 5678, No update data, 9g3qx2pmxr11
Bird, MEX, a027955f-3471-418c-9c66-26191f050f19, 99, 13904, No update data, 9g3qx2zt7xcv
Bird, MEX, e3375cd3-963a-48af-af18-237859a9535b, 99, 14696, No update data, 9g3qx21huqy1
Bird, MEX, 8503c02f-45fd-4e79-8484-13c2a81e0f8c, 98, 13746, No update data, 9g3qx2zw6664
Bird, MEX, 116417a6-7e94-485a-896a-29d8fbc85142, 100, 14062, No update data, 9g3qx215xn7v
Bird, MEX, 4bdd6ec9-f06c-4393-b7fb-1a12edd7eae6, 83, 12024, No update data, 9g3qx28ehnzu
Bird, MEX, a7e8f439-f12f-4497-81be-216480d0fa4e, 98, 14529, No update data, 9g3qx21hkf33
Bird, MEX, 90b4f26d-97a2-497b-8244-1fb9f1ea8687, 56, 7515, No update data, 9g3qx2bf85vq
Bird, MEX, c2301d5f-fde7-4006-bfe2-13e9b9edc49a, 81, 11690, No update data, 9g3qx215t6zx
Bird, MEX, 8d8428e9-90d6-42cd-b265-826edfd1a094, 94, 13861, No update data, 9g3qx2zty1x9
Bird, MEX, 270c39fb-f9e7-4950-bdce-db9a6067f1c9, 94, 13861, No update data, 9g3qx2zszzf8
Bird, MEX, e02162db-4e96-43c8-a9f2-46624143c2b4, 94, 13861, No update data, 9g3qx2zwzssk
Bird, MEX, 5ae649f8-abe1-45c3-93d7-3922bfd013c4, 98, 14529, No update data, 9g3qx2zy3t5e
Bird, MEX, 4b3bbe0b-bb51-44d1-9ad7-557e2634e218, 94, 13861, No update data, 9g3qx2zzchxk
Bird, MEX, 3c09c7b9-79ed-4cf0-a853-c55068ad3ada, 78, 10586, No update data, 9g3qx2zvrr95
Bird, MEX, b7576de8-8d6e-4d24-89d4-43ccc20e86b6, 94, 9794, No update data, 9g3qx2zzeb0p
Bird, MEX, 52508a64-621c-4214-a836-fafa4cdfc11b, 67, 8848, No update data, 9g3qx2zyrq35
Bird, MEX, a6dbbfa9-aac9-4ca6-a1c4-ae131ca613ff, 100, 14062, No update data, 9g3qx8bjbpjs
Bird, MEX, 0a798980-a0ca-4c04-8533-da3a1dcbc92e, 94, 13861, No update data, 9g3qx3pbe0ye
Bird, MEX, 3a75aa6a-4145-4766-81a2-61779dd4784a, 97, 14362, No update data, 9g3qx2zzyh13
Bird, MEX, 813eee54-a6fe-4498-9ea5-c26820e6a2b6, 81, 11060, No update data, 9g3qx8bj7xcv
Bird, MEX, 19e2a7fa-ea4c-4521-afcb-290f3edb2688, 100, 14062, No update data, 9g3qx8bp4kdp
Bird, MEX, 22c0a4fc-5038-407e-b358-c264315749ed, 99, 13904, No update data, 9g3qx8bng4y9
Bird, MEX, e70e221c-4f6c-4f2d-a475-0daf97791a14, 92, 12798, No update data, 9g3qx8bjw01r
Bird, MEX, 6ea3f822-f297-4b9f-88f6-b29e1ebd742f, 88, 12859, No update data, 9g3qx8bnu78p
Bird, MEX, dbd9bfe2-324c-4c64-a50a-ac74fd5f7ae8, 94, 13861, No update data, 9g3qx9004p5y
Bird, MEX, 594557b2-0a49-4271-b3ef-77ec6e7b8935, 61, 7900, No update data, 9g3qx8bpk570
Bird, MEX, def394a3-a092-443a-b6ba-c5621fa758de, 96, 14195, No update data, 9g3qx3pfukq7
Bird, MEX, 4568dccb-1d47-46a5-b355-738704fd1ab0, 88, 12166, No update data, 9g3qx20qs0w3
Bird, MEX, 98ec3dc2-7605-4264-bf26-e36dcc3285c7, 98, 14529, No update data, 9g3qx20mv7dy
Bird, MEX, 3616d549-9b9b-47b7-8cc9-d15c879e19b3, 57, 7682, No update data, 9g3qx20mv74f
Bird, MEX, b1c71a58-cbee-4c5d-abba-5540c32ada14, 98, 13746, No update data, 9g3qx8bnpekr
Bird, MEX, 9d3c5c60-4dc8-468e-a17c-5c6b66851b34, 94, 13861, No update data, 9g3qx9007qgx
Bird, MEX, 79d291b2-69b0-43ec-9896-0d8abf12e3d6, 94, 13861, No update data, 9g3qx3pgj9q4
Bird, MEX, 46abce90-bd75-4b92-b165-d46e06a59f39, 70, 9322, No update data, 9g3qx8bpn6hx
Bird, MEX, 973bef3c-6f26-47c9-9204-cd9e2eb97cda, 84, 11534, No update data, 9g3qx20muhrf
Bird, MEX, 39298bbd-04c3-47e1-9e44-aba7ba98b4bd, 88, 12166, No update data, 9g3qx8bpw11m
Bird, MEX, 7698dc2a-c1c9-46a3-958e-1329429632c5, 84, 11534, No update data, 9g3qx3pgn7u9
Bird, MEX, cd95f935-c48d-4388-a01c-e47fdd6bfdf9, 67, 8848, No update data, 9g3qx82wcn4q
Bird, MEX, 4a21459e-4651-4cb8-abac-ca0444649bb6, 96, 13430, No update data, 9g3qx20mk4rc
Bird, MEX, 94235d68-ce38-4f45-b8d8-544f4a1285f3, 94, 13861, No update data, 9g3qx3pfzyfd
Bird, MEX, b2d0a4fd-90b4-45d4-954b-2f5214ec72f2, 52, 6847, No update data, 9g3qx302hxs2
Bird, MEX, 501742f4-0d86-43f6-8f13-57a355e65549, 99, 13904, No update data, 9g3qx20m7ece
Bird, MEX, bcd776c2-5216-4152-9cc8-6ad858a8a132, 94, 13861, No update data, 9g3qx3pgx5un
Bird, MEX, f216f991-9be2-4743-987b-7c1ac14f9352, 97, 13588, No update data, 9g3qx20kgw3x
Bird, MEX, 57e32f39-36b0-44be-ad84-a7829ed6bd7a, 100, 14062, No update data, 9g3qx20kgs3d
Bird, MEX, ac4066cd-8448-40f3-8b8e-689d5274c5fe, 99, 13904, No update data, 9g3qx20kgkh8
Bird, MEX, 9c0c4e8f-39c4-46bb-ab59-31a62571b6af, 93, 13694, No update data, 9g3qx20kexcw
Bird, MEX, a6cc2f27-cf05-4abf-b878-9b1fb6b1b336, 81, 11690, No update data, 9g3qx208t8bf
Bird, MEX, e52dc642-5d58-4120-b47a-9861ccd1a3b8, 98, 14529, No update data, 9g3qx20ke7k9
Bird, MEX, 2604aa07-f3ee-49bc-8a38-d69f285f884c, 97, 14362, No update data, 9g3qx20d0bgz
Bird, MEX, d283b21d-208c-4a41-99a9-85fcc286ae5f, 100, 14863, No update data, 9g3qx20kf8m0
Bird, MEX, 9a922753-3882-4fa2-845d-1078fe4028a0, 99, 13904, No update data, 9g3qx20998g6
Bird, MEX, 1f48fb27-d30a-48c6-95ce-f2a7ca904108, 100, 14062, No update data, 9g3qx20m322m
Bird, MEX, 75531145-f835-408e-aafe-68b298e7b1fd, 97, 14362, No update data, 9g3qx20k5d1w
Bird, MEX, 793a68be-7e00-430b-89c4-11730388f68f, 98, 13746, No update data, 9g3qx20kcy0m
Bird, MEX, a27c268c-c081-48c0-a44a-11f2b35a6e34, 92, 13527, No update data, 9g3qx20990f4
Bird, MEX, 056c7b09-5886-4692-9f7b-91c5963ebf1a, 93, 13694, No update data, 9g3qx20kc7j4
