Bird, MEX, ac81f291-d776-4565-8cb7-d063d1926edc, 97, 14362, No update data, 9g3qx2yvg58r
Bird, MEX, 2b8c7c97-68d2-4719-b1df-a3d7844a1e42, 92, 13527, No update data, 9g3qx2yy7j2m
Bird, MEX, ed55e15f-bc1f-4917-8354-d12672ae1ab0, 94, 13114, No update data, 9g3qx236pz4q
Bird, MEX, 13c89489-7216-43ff-90a5-d39d15414a4e, 100, 14863, No update data, 9g3qx2yvyh12
Bird, MEX, 1a7341a8-54b5-422e-882c-6a9a60a32fdc, 58, 7426, No update data, 9g3qx236tbhn
Bird, MEX, 728c9a5b-a63b-4184-8b6e-da82a1ea8ef0, 88, 12859, No update data, 9g3qx21wq1xm
Bird, MEX, d49e6960-8798-495e-8201-98112c5ddf62, 66, 8690, No update data, 9g3qx34zqhpq
Bird, MEX, 3ecbfd4e-07b7-49c4-95b1-18de4a205226, 94, 13114, No update data, 9g3qx236krq0
Bird, MEX, 70c01e06-41bd-4ca5-998b-59aa9ca0fb83, 93, 13694, No update data, 9g3qx2z4yhrd
Bird, MEX, 320381ba-5bfd-4feb-8df4-0df6e84ff3c8, 63, 8216, No update data, 9g3qx21x4puf
Bird, MEX, 1be1df4a-da00-4da9-b129-a01fadab33e0, 62, 8517, No update data, 9g3qx2c6evuf
Bird, MEX, 9df4aa53-6ae5-40ec-b8fb-e05e3ad14881, 56, 7110, No update data, 9g3qx2zhq6h8
Bird, MEX, eddc3d62-1f8f-448b-8559-04768146c6fb, 97, 13588, No update data, 9g3qx2z79566
Bird, MEX, 231cc8f7-fe60-4162-ba58-c2a5334c1c0f, 98, 13746, No update data, 9g3qx294237s
Bird, MEX, dc0b8a8f-1204-481d-88fd-f3f8719f4180, 99, 13904, No update data, 9g3qx231pv42
Bird, MEX, b5cd7192-78e7-45dd-a081-58caacc5e8e9, 89, 13026, No update data, 9g3qx21qm9mg
Bird, MEX, 4e40bd37-ed1b-4a7b-bc67-78a44871fb65, 92, 13527, No update data, 9g3qx2zkcdg9
Bird, MEX, b6b2e6b0-2bad-431a-99d0-a1ea379fe53e, 96, 13430, No update data, 9g3qx28bzr2v
Bird, MEX, 42f65879-1bc3-4d84-96c2-5a32cae52259, 97, 13588, No update data, 9g3qx28cngb9
Bird, MEX, 4568dccb-1d47-46a5-b355-738704fd1ab0, 97, 13588, No update data, 9g3qx231sy5e
Bird, MEX, de0074f8-dfba-47dd-8a7b-2c4f0a7acf2f, 87, 12692, No update data, 9g3qx21mmrrb
Bird, MEX, a4e2d25a-6ab6-4d00-bef6-65b5f22f3daa, 53, 7014, No update data, 9g3qx3k7v9w1
Bird, MEX, 86ec64a2-fe4e-4b0a-9242-2cd4cc94ee4a, 97, 13588, No update data, 9g3qx28fqj9p
Bird, MEX, 5e0012f4-cf1b-496f-8e47-337dd9dbf496, 90, 12482, No update data, 9g3qx21msgxe
Bird, MEX, 1a108a8c-4379-452a-b475-670a843ee147, 100, 14062, No update data, 9g3qx230w531
Bird, MEX, d27c6162-2656-4c21-b8d2-16f210d8d32e, 96, 13430, No update data, 9g3qx28fjrff
Bird, MEX, 6bb32e49-e86c-4e57-a7e5-5c020bea363e, 97, 13588, No update data, 9g3qx231euhz
Bird, MEX, c662786d-854d-47c0-968a-b15b122a522f, 69, 9164, No update data, 9g3qx2xetmpv
Bird, MEX, 09458811-7896-40fa-9ac1-6186f561896c, 94, 13114, No update data, 9g3qx3kkn4ch
Bird, MEX, c214602d-d67c-4b09-ba99-34b2d47493b0, 99, 13904, No update data, 9g3qx231hpxb
Bird, MEX, 32abc7f8-b895-4a02-9e42-be22720f51a2, 85, 11692, No update data, 9g3qx230jusn
Bird, MEX, 6ee4517f-d25f-4800-a33b-b711101143f4, 93, 13694, No update data, 9g3qx3kkjnk9
Bird, MEX, 7b5ad11d-ad48-4430-818e-5de19fa666b8, 97, 13588, No update data, 9g3qx2315trf
Bird, MEX, 47228861-e8c3-49cc-98b4-75de03f0f164, 97, 13588, No update data, 9g3qx2315w38
Bird, MEX, 143d0a31-d8f4-4ad8-9b34-8446412ad3a4, 100, 14062, No update data, 9g3qx230s6yp
Bird, MEX, ae02b51b-123a-4953-b879-ccdd4f8d7c0c, 93, 13694, No update data, 9g3qx3p0mwyp
Bird, MEX, 15b2d61a-a693-4026-9a75-83a6c6e7c57d, 96, 13430, No update data, 9g3qx2307ykf
Bird, MEX, cddf1b28-4863-4c52-a305-811b2c47c640, 100, 14062, No update data, 9g3qx2314m1b
Bird, MEX, aad7b5fb-642d-4670-91be-c2cd80aa5eff, 88, 12859, No update data, 9g3qx21pe7ut
Bird, MEX, 75ce0f6b-0607-4413-b8f9-4814481bec33, 92, 13527, No update data, 9g3qx21p5cuv
Bird, MEX, 804daf5f-43fd-4f8d-8ccb-6b780ffc9636, 52, 6847, No update data, 9g3qx2zqtqdz
Bird, MEX, 667da35d-8345-4402-9ed3-23f1f5f80543, 91, 13360, No update data, 9g3qx21p4g5h
Bird, MEX, 45140a98-0b34-4367-96e9-1a90cd0caa58, 92, 12798, No update data, 9g3qx2zsdu72
Bird, MEX, 09b4b3b1-fb6a-4e2b-a65c-cb1e43f092da, 92, 13527, No update data, 9g3qx21js3y0
Bird, MEX, 2363cb12-8a83-4bf1-ade2-6ffb6a842db8, 36, 4175, No update data, 9g3qx2ztd7fn
Bird, MEX, 5f1a3923-fd37-49e2-89ab-06edd06985b9, 92, 13527, No update data, 9g3qx2zrpds3
Bird, MEX, 30a9bd45-450f-4339-934e-e907cd7e21ef, 49, 6004, No update data, 9g3qx2zw54nx
