Bird, MEX, 069dfbee-9396-493c-b413-9776708a76dd, 66, 8690, No update data, 9g3qrrk83326
Bird, MEX, 7e339a55-818d-4f56-a60e-e4f2d2462546, 83, 11376, No update data, 9g3qrrm2yx6s
Bird, MEX, 8c9cf1fc-4275-4ac8-a7a0-a6cd5151f02a, 49, 6004, No update data, 9g3qrrkbnzmz
Bird, MEX, 166896d5-58f8-438f-9b3d-a3317194e9b3, 54, 7181, No update data, 9g3qrrhrgfsz
Bird, MEX, 6d4243b9-6b6d-4aa1-ab42-38682ace26e6, 91, 13360, No update data, 9g3qrrm8e9xz
Bird, MEX, d4f57ef5-24a5-403f-a9a5-a4c70404b2b2, 94, 13114, No update data, 9g3qrrjpu47j
Bird, MEX, f46dddef-ab24-4d6b-b30c-eff963d99651, 24, 2171, No update data, 9g3qrrm8e9pg
Bird, MEX, 60d5cfdc-fd61-4012-b1ea-11b5e13eb9d7, 88, 12859, No update data, 9g3qx91qed9y
Bird, MEX, 6e166efb-a5bb-429b-aed2-3d2d074730ef, 81, 11690, No update data, 9g3qrrm86mcz
Bird, MEX, a6067a35-8554-46d4-a68a-6a0213f5b761, 87, 12692, No update data, 9g3qrrm87nwe
Bird, MEX, e8bac127-ff64-45cc-85f7-f9fd24d8709f, 82, 11857, No update data, 9g3qrrm87nwe
Bird, MEX, 348342cf-f7b7-4a9b-8ca4-522deec82a60, 93, 13694, No update data, 9g3qrr5zkfr8
Bird, MEX, 734089fc-2115-4040-814d-139b74b49f89, 88, 12859, No update data, 9g3qrr5zkdk2
Bird, MEX, 6055f1f7-f7aa-4bb9-92bc-1f11e02b66a2, 83, 12024, No update data, 9g3qrrm874bk
Bird, MEX, 7e0e47c7-e373-4f58-930f-945f8d16514a, 70, 9853, No update data, 9g3qrr5zq1p2
Bird, MEX, 3f462cb8-8dc7-48f3-a618-bfe059a88277, 87, 12692, No update data, 9g3qrrhp0xyc
Bird, MEX, 8266cde8-cb9c-405e-baa4-3c2534c8adb3, 87, 12692, No update data, 9g3qrr5zppu1
Bird, MEX, a48ffbde-6e8c-4b27-9ea0-4b19a6124729, 89, 13026, No update data, 9g3qrr5zjqzg
Bird, MEX, 8254de51-955e-4148-b514-e58008c20e77, 83, 12024, No update data, 9g3qrrm879rf
Bird, MEX, b46cf836-19c1-41b2-9f93-c46efda32947, 85, 12358, No update data, 9g3qrrhp1ktm
Bird, MEX, a6c952c3-298d-42d1-813d-7b1d47f78922, 81, 11690, No update data, 9g3qrr5zpk0c
Bird, MEX, 08f2c05c-f341-45ef-8e99-14ac1860207d, 81, 11690, No update data, 9g3qrr5zn3uk
Bird, MEX, d5733235-0231-4596-8eba-fa4cca951fe4, 87, 12692, No update data, 9g3qx91qvnuf
Bird, MEX, a5c4df62-008c-4449-83af-d2077194dafc, 73, 9796, No update data, 9g3qrrhnb8wc
Bird, MEX, dafcaa29-caa8-41d0-813d-1e39084f436f, 80, 10902, No update data, 9g3qx3gjxhs5
Bird, MEX, 895ff1e5-7b82-4b4f-987d-120dfc502d55, 90, 13193, No update data, 9g3qx91rjdy5
Bird, MEX, c249d50c-47e3-451a-9a88-4c30bdcc4095, 75, 10112, No update data, 9g3qrrhn93j7
Bird, MEX, cd6455e4-32ef-4c8d-83bc-1c83e97b2edb, 78, 11189, No update data, 9g3qrpxvfyg1
Bird, MEX, 2a8baceb-f7ce-4e65-a6de-e4e8d8ad28dd, 82, 11218, No update data, 9g3qrr5qsknq
Bird, MEX, 8d0b24af-ab94-4369-9390-7fa8d8dda44d, 66, 8690, No update data, 9g3qx91vch67
Bird, MEX, 8b10c403-d055-4946-8221-84b148b4596a, 87, 12692, No update data, 9g3qrr4vwnp6
Bird, MEX, b6102c5d-4955-42af-8d1e-7d9e41426305, 92, 13527, No update data, 9g3qrr4vtqru
Bird, MEX, 31e56a5d-4175-454e-af22-7bbc0f8340f7, 91, 13360, No update data, 9g3qrr4vw5ch
Bird, MEX, 4627a5c5-ce59-4aab-b532-cd588bb02177, 87, 12692, No update data, 9g3qrr4vqxx9
Bird, MEX, 0eb42102-6f05-4c02-ad44-b0954bc1e669, 93, 12956, No update data, 9g3qrr4vc04p
Bird, MEX, 66e0ddd0-eff8-4df5-8d3a-41419a748d32, 80, 10902, No update data, 9g3qrr4v9qj6
Bird, MEX, fa12b65b-0bbf-4711-bb42-75fcdd9b9ed5, 35, 4008, No update data, 9g3qx91vge3v
Bird, MEX, 9540a50d-13e6-4b8c-af9c-764a8eb5339f, 94, 13114, No update data, 9g3qrr4v9t7w
Bird, MEX, 1e489103-cf37-4fce-8614-1250ab48ac2e, 93, 13694, No update data, 9g3qrr4vkq21
Bird, MEX, 02cbcc9a-3023-42f0-b040-e3694dae9e05, 92, 13527, No update data, 9g3qrr4vkj75
Bird, MEX, 314a2ce1-b16a-4dab-91f9-fb6e98f5f27d, 81, 11690, No update data, 9g3qx91vujgk
Bird, MEX, dc677130-4984-4ab0-953f-3b2b0d84a167, 93, 12956, No update data, 9g3qrr4v3tgx
Bird, MEX, 11b17e8e-8fdd-44f0-9c94-4f114109327b, 96, 13430, No update data, 9g3qrr4v2wqc
Bird, MEX, d6c3969d-fd00-4ed5-a276-b423f443d07d, 94, 13114, No update data, 9g3qrr4trz4r
Bird, MEX, 9fbc2a0e-c6ea-4c7e-a4c0-284691760334, 89, 13026, No update data, 9g3qrr4v2ewb
Bird, MEX, c4d516b3-6148-433a-9c91-61c9fe5e9024, 61, 7900, No update data, 9g3qrpxs6k1u
Bird, MEX, c7663d6e-92b4-4c15-a9ae-5d92fe95af34, 93, 12956, No update data, 9g3qrr4v1vbm
Bird, MEX, 8a976037-84cc-4af3-99b0-cedf97276ccb, 74, 10521, No update data, 9g3qrr5hc2t3
Bird, MEX, ab7e8bf1-0ebe-4bc8-b7bb-9e703b1fab0e, 93, 12956, No update data, 9g3qrr4v1fnt
Bird, MEX, ad03bce2-24bc-40be-aa2c-760200738d20, 90, 12482, No update data, 9g3qrx9qfrxp
Bird, MEX, 5f81210a-673d-4815-8f32-a9a3ac6bd17f, 92, 12798, No update data, 9g3qrr4ufe01
Bird, MEX, 6635719b-4942-4108-9f10-33ecc627b5f7, 73, 9796, No update data, 9g3qx38r1g0q
Bird, MEX, e7f735cc-9d20-43dc-a863-5ba86879414a, 51, 6320, No update data, 9g3qrx2wce7e
Bird, MEX, 6aee3618-ebb4-4975-9e95-4e206bab67b0, 62, 8058, No update data, 9g3qrr1v9ub6
Bird, MEX, ccf89ca3-a118-4478-86bd-9a5d88ca5628, 80, 10902, No update data, 9g3qrr4ffq3y
Bird, MEX, 8d7471aa-4e32-447a-8e93-976f79b5b1fc, 52, 6847, No update data, 9g3qrrns89p5
Bird, MEX, 3c3d77b7-6300-4109-a8dc-a0535b985c6b, 83, 12024, No update data, 9g3qrr45v7dv
Bird, MEX, 17b51e57-f687-48e9-8786-dfc90837b8ad, 79, 11356, No update data, 9g3qrr45dsb4
Bird, MEX, 0febe00b-868b-495d-9d4b-a79cab0d8887, 88, 12166, No update data, 9g3qrrj0s8kx
Bird, MEX, 9379d512-181b-4a19-a27b-b3cfe0044d87, 82, 11857, No update data, 9g3qrr260258
Bird, MEX, 05cb93ee-a049-4bc3-9fe5-a49e2a9ac031, 49, 6004, No update data, 9g3qx6n6zuxm
Bird, MEX, a87c2eb5-b188-484d-b52c-080a9801ef36, 82, 11857, No update data, 9g3qrr21rzd3
Bird, MEX, 90324201-47d4-4541-9e93-7573205382f6, 90, 13193, No update data, 9g3qrqup3uwx
Bird, MEX, 7e7fca5d-534d-44f6-926b-60294a52499b, 92, 13527, No update data, 9g3qrqup7exb
Bird, MEX, 0d7531dc-8929-4d07-b3d4-bb47445a8002, 83, 12024, No update data, 9g3qrqup71n8
Bird, MEX, b5b46818-d37a-49d4-97cb-d19f58937f49, 100, 14062, No update data, 9g3qrqup327g
Bird, MEX, d400e6bd-9145-47ad-8d29-8c187e4580c4, 85, 12358, No update data, 9g3qrquphvxe
Bird, MEX, fd5a2837-3e18-416e-8a88-19bd4403f0b4, 69, 9164, No update data, 9g3qx65m2wnf
Bird, MEX, c8710d9e-9267-49d8-b2e6-e06aea3c8382, 52, 6478, No update data, 9g3qrpvyz55f
Bird, MEX, a9308dfa-1e4d-4b19-a6b9-e708f49e0654, 66, 8690, No update data, 9g3qrr1czj5y
Bird, MEX, 08caf5e1-70a2-4654-876d-8c532fc9af81, 62, 8058, No update data, 9g3qx94xc6jt
Bird, MEX, 94211a9f-a920-4856-aa48-abdd2934e899, 51, 6680, No update data, 9g3qx6p33se8
Bird, MEX, c41f827e-43e4-4fcb-a1c4-f18af673e911, 40, 4843, No update data, 9g3qrr0wj3df
Bird, MEX, 7cd22206-256e-471a-a89b-18d6ea34a8e1, 63, 8216, No update data, 9g3qx9691uwz
Bird, MEX, 0f4409a1-e190-41aa-b3b1-d6bb107735da, 46, 5530, No update data, 9g3qrxdjp3r2
Bird, MEX, 6bd0ce41-e21e-4cd7-a603-342c5917b70a, 81, 11060, No update data, 9g3qrqyrq592
Bird, MEX, 2640f7a6-9612-4480-a030-fa6b9bc9ca0c, 30, 3173, No update data, 9g3qrqyn3t7e
Bird, MEX, 13deb00b-a6b6-4e5d-93ed-e5b9cdf54c67, 74, 9954, No update data, 9g3qrr0fzbd3
Bird, MEX, a96ca4f5-e478-4aed-8205-7445d70462bf, 42, 4898, No update data, 9g3qx96b6nev
Bird, MEX, c9855653-5004-4c69-b134-474b0b303ec4, 88, 12166, No update data, 9g3qrr11tnks
Bird, MEX, cadae79b-2cc0-4e59-ae68-6b363d142f3b, 64, 8374, No update data, 9g3qrqyzzrp6
Bird, MEX, 41a7d8ac-99ba-4f07-83cb-598cf908d078, 85, 11692, No update data, 9g3qrpqy9j6n
Bird, MEX, 74e1095c-674c-42fd-aad3-eabb28c84168, 83, 12024, No update data, 9g3qrr0f51y7
Bird, MEX, ebe6469c-4683-4e73-a830-ae7ae56de2f3, 87, 12692, No update data, 9g3qrr0ccy0k
Bird, MEX, b7a40648-bc19-4de0-a1f3-b36538e42a09, 91, 13360, No update data, 9g3qrr0ccgyx
Bird, MEX, 550b925d-24fc-4d43-94a8-038e36f97eec, 75, 10112, No update data, 9g3qx8gmyvyh
Bird, MEX, 8ec2068c-bc98-482c-b5fb-105085b934f1, 84, 12191, No update data, 9g3qrr0cf1kz
Bird, MEX, c0dd7a7a-edb0-4e50-b66e-7c3f1cda9949, 98, 14529, No update data, 9g3qrr0cce77
Bird, MEX, 685a37d1-9cf9-4a2f-94a0-e7972178f2fb, 85, 12358, No update data, 9g3qrr0cce77
Bird, MEX, 57e32f39-36b0-44be-ad84-a7829ed6bd7a, 65, 8532, No update data, 9g3qrqfj7qut
Bird, MEX, d9c95ab1-cc64-4319-8f6c-d1a2cc142872, 48, 5846, No update data, 9g3qrqg59nfp
Bird, MEX, 6d33eb51-c89c-43a6-baa4-af6a1c90cee4, 93, 13694, No update data, 9g3qrr0c8g7b
Bird, MEX, 4e0b63be-67d3-4471-b58a-6725d505e08b, 71, 10020, No update data, 9g3qrqfu052t
Bird, MEX, bf8f10f6-e998-40b6-b6f7-b3c8817f1129, 83, 12024, No update data, 9g3qrr0c83ew
Bird, MEX, d7278e6a-4cfc-4af9-a833-919ec6b111b9, 82, 11857, No update data, 9g3qrr0c4sbp
Bird, MEX, f64f0044-4aa0-480c-91a2-7ec889493c22, 82, 11857, No update data, 9g3qrr0c1z0k
Bird, MEX, 6c837fbe-f7e5-49fe-8beb-6a262e5acd29, 76, 10855, No update data, 9g3qrqfs5818
Bird, MEX, 8521ae1b-3c4a-40b9-b899-8d2470abe54d, 42, 4898, No update data, 9g3qrpqtmcun
Bird, MEX, f4c8cb4a-978b-47ac-b0e0-dacd79f91afc, 76, 10855, No update data, 9g3qrpqtj3dd
Bird, MEX, d62689ee-2e9e-4f8f-a6d7-ecd6fd9cd4cc, 93, 12956, No update data, 9g3qrpptjpkx
Bird, MEX, 20bf3262-c125-4422-9371-de78ac855393, 48, 5846, No update data, 9g3qrqzzyhzs
Bird, MEX, d242bd42-9977-4fdb-bc9b-fa4fa0d72978, 85, 11692, No update data, 9g3qrqcs669f
Bird, MEX, 73c5b2d5-2c65-43a9-bba4-572c7e83018a, 54, 6794, No update data, 9g3qrr02c7j1
Bird, MEX, 8bdbd0e2-0f7c-4f0f-b230-1c1a0d92e30a, 66, 9185, No update data, 9g3qrqceerut
Bird, MEX, 14d70115-8081-496b-9cbe-9faed7ab18d4, 75, 10112, No update data, 9g3qrqbvwv2w
Bird, MEX, e77b8a53-2c31-4916-ae03-53c361027af7, 75, 10112, No update data, 9g3qrqepyqhk
Bird, MEX, b4790cdb-6489-4d10-bb1b-ae5e4358542f, 74, 10521, No update data, 9g3qrx0ftrgj
Bird, MEX, 92ae2748-5067-44e3-acd4-6cf98c87f026, 75, 10112, No update data, 9g3qx95bnt4c
