Bird, MEX, 721e59a9-d26b-429a-b3ca-fecad8167953, 100, 14062, No update data, 9g3qx2yyxhs4
Bird, MEX, 30a9bd45-450f-4339-934e-e907cd7e21ef, 51, 6320, No update data, 9g3qx2zn593c
Bird, MEX, 5f1a3923-fd37-49e2-89ab-06edd06985b9, 98, 14529, No update data, 9g3qx2zhx7r6
Bird, MEX, 32abc7f8-b895-4a02-9e42-be22720f51a2, 89, 12324, No update data, 9g3qx232d5sg
Bird, MEX, 42f65879-1bc3-4d84-96c2-5a32cae52259, 100, 14062, No update data, 9g3qx291bwwb
Bird, MEX, 7b5ad11d-ad48-4430-818e-5de19fa666b8, 100, 14062, No update data, 9g3qx23239gr
Bird, MEX, b32768e5-a9c6-4f84-8d1d-a5dbb3358e22, 100, 14062, No update data, 9g3qx28cxthj
Bird, MEX, a8d06d92-6299-45aa-8e05-215712678baa, 99, 13904, No update data, 9g3qx3ncqbju
Bird, MEX, 6bb32e49-e86c-4e57-a7e5-5c020bea363e, 100, 14062, No update data, 9g3qx2320b7g
Bird, MEX, d27c6162-2656-4c21-b8d2-16f210d8d32e, 100, 14062, No update data, 9g3qx28cyuj8
Bird, MEX, 47228861-e8c3-49cc-98b4-75de03f0f164, 100, 14062, No update data, 9g3qx231mzuh
Bird, MEX, 85c08534-d42f-4372-921e-8f780aca6702, 26, 2370, No update data, 9g3qx2znx6xq
Bird, MEX, 4568dccb-1d47-46a5-b355-738704fd1ab0, 100, 14062, No update data, 9g3qx231sy5e
Bird, MEX, df75c92d-d578-4bed-b538-e4872918c86f, 96, 14195, No update data, 9g3qx21kx30u
Bird, MEX, b5cd7192-78e7-45dd-a081-58caacc5e8e9, 94, 13861, No update data, 9g3qx21kwvbc
Bird, MEX, 09458811-7896-40fa-9ac1-6186f561896c, 97, 13588, No update data, 9g3qx3k7zxhh
Bird, MEX, 15b2d61a-a693-4026-9a75-83a6c6e7c57d, 100, 14062, No update data, 9g3qx231hczt
Bird, MEX, 6ee4517f-d25f-4800-a33b-b711101143f4, 99, 14696, No update data, 9g3qx3kkj2dy
Bird, MEX, a4e2d25a-6ab6-4d00-bef6-65b5f22f3daa, 65, 9018, No update data, 9g3qx3kkn0xq
Bird, MEX, 41f54773-ba15-4d2b-b496-7e0ab99dafff, 99, 14696, No update data, 9g3qx21mhyr8
Bird, MEX, 136250ad-1ef5-48cc-b050-c340a32cf99b, 97, 13588, No update data, 9g3qx3p13nzp
Bird, MEX, 86ec64a2-fe4e-4b0a-9242-2cd4cc94ee4a, 100, 14062, No update data, 9g3qx28fhbxt
Bird, MEX, 9f1b065e-3c51-4d61-a3a9-0794da215166, 96, 13430, No update data, 9g3qx3p0m8nh
Bird, MEX, 5e0012f4-cf1b-496f-8e47-337dd9dbf496, 93, 12956, No update data, 9g3qx21mdwj5
Bird, MEX, de0074f8-dfba-47dd-8a7b-2c4f0a7acf2f, 92, 13527, No update data, 9g3qx217ynpm
Bird, MEX, ae02b51b-123a-4953-b879-ccdd4f8d7c0c, 99, 14696, No update data, 9g3qx2zq7fhb
Bird, MEX, 3b9aa98a-f776-425d-977a-2cb9db63cb91, 82, 11857, No update data, 9g3qx2zdf887
Bird, MEX, 231cc8f7-fe60-4162-ba58-c2a5334c1c0f, 100, 14062, No update data, 9g3qx28f1yys
Bird, MEX, 793e6f61-4322-460a-a485-d14350dc6eca, 93, 13694, No update data, 9g3qx2zrf983
Bird, MEX, ac90b4f8-4ec5-4ed2-bb64-605c07442409, 99, 13904, No update data, 9g3qx2zrhfzg
Bird, MEX, b6b2e6b0-2bad-431a-99d0-a1ea379fe53e, 99, 13904, No update data, 9g3qx28epfd3
Bird, MEX, b72d47b9-59c5-454f-ac00-20664003473f, 42, 5177, No update data, 9g3qx2rv0zhn
Bird, MEX, c662786d-854d-47c0-968a-b15b122a522f, 72, 9638, No update data, 9g3qx2xvdkr0
Bird, MEX, fc7e8f5a-73f8-4b6c-b6c5-d8d746b0d1e3, 91, 12640, No update data, 9g3qx2pw39et
Bird, MEX, c0f05e2c-0c1e-42bc-8fae-6abf1fb6e8d7, 100, 14062, No update data, 9g3qx21hkbrt
Bird, MEX, 0e92d871-7d97-421b-b335-bebc3ed80d86, 100, 14062, No update data, 9g3qx21hj76y
Bird, MEX, 60e2f2df-cb62-4dcb-8f26-40e62e79a603, 89, 12324, No update data, 9g3qx3ms877g
Bird, MEX, 75ce0f6b-0607-4413-b8f9-4814481bec33, 98, 14529, No update data, 9g3qx215vmx9
