Bird, MEX, 2834a400-5b1e-4abd-ba53-0b8718b8a2d9, 98, 13746, No update data, 9g3qx2fr3ub3
Bird, MEX, 64d7f118-619e-4b8e-9e3d-39d081cfba8a, 93, 12956, No update data, 9g3qx342hy33
Bird, MEX, ea8b069d-ab8e-4f38-ba5e-f7dc328545be, 33, 3674, No update data, 9g3qx23fm0kt
Bird, MEX, 75830915-c9de-4e4c-8599-5f0c7b7969a9, 96, 13430, No update data, 9g3qx342kfp8
Bird, MEX, 4b416bcb-f3be-448a-bba8-87ad0b3bf320, 93, 12956, No update data, 9g3qx2fr9cqw
Bird, MEX, f002e574-1c16-4221-966c-46c3ebbcd75d, 30, 3173, No update data, 9g3qrrunb2gu
Bird, MEX, c2e69d59-107f-4faf-b177-da9a0ff6b555, 100, 14863, No update data, 9g3qx2fr8f5f
Bird, MEX, 38a3d427-41a4-4d20-bd07-9779bf566a83, 97, 13588, No update data, 9g3qx2fr8y7y
Bird, MEX, c7ba67c8-b6b4-4cb8-a47a-a5f36c3fb5af, 35, 4008, No update data, 9g3qrrun3r86
Bird, MEX, ef7c3963-44d9-4f30-bb99-7613e4ea5b1c, 64, 8851, No update data, 9g3qx2fpv8tg
Bird, MEX, c11ade85-8e1b-467c-80cc-c559b01f7118, 38, 4509, No update data, 9g3qx2xj4tth
Bird, MEX, e47757a0-3f03-47ca-8cbc-a3970155b954, 60, 8183, No update data, 9g3qx2nzbwpj
Bird, MEX, 68405086-dcb8-467e-93c0-02f5b30cb889, 76, 10270, No update data, 9g3qx2nxpy62
Bird, MEX, ab8326d6-55ad-4a50-a779-b51097e17bef, 75, 10112, No update data, 9g3qx21vpj5b
Bird, MEX, c77cf383-a3d5-4b83-aa43-8e52f26d1867, 52, 6478, No update data, 9g3qx2xphzpy
Bird, MEX, d8fc7b06-a79e-41c7-9d7b-b9197f8e5a32, 31, 3340, No update data, 9g3qx21z0uey
Bird, MEX, 52eae0a5-4b44-46ce-abc0-a630dbb9ecce, 30, 3173, No update data, 9g3qx2qcn5rw
Bird, MEX, a3904142-4bb0-4c82-b0b2-36cc8201c976, 63, 8684, No update data, 9g3qx2rhsbpy
Bird, MEX, b6d48655-113a-4fe3-836d-8f1b0f48cc23, 93, 12956, No update data, 9g3qx2yyhm8j
Bird, MEX, 36e136c3-c739-484d-b965-6efc76e3896a, 90, 12482, No update data, 9g3qx2z55gb1
Bird, MEX, 891b319b-fa3e-4265-8988-26782b49033e, 81, 11060, No update data, 9g3qx2rhr0kn
Bird, MEX, 6e6eea1f-a407-4301-b10b-459ac872f4fa, 93, 12956, No update data, 9g3qx2yvy9ze
Bird, MEX, 26ed862c-b040-42aa-8d3b-d942b8998ab5, 90, 13193, No update data, 9g3qx2z4y3hx
Bird, MEX, a99b7599-eb75-4156-979d-edbfc3518a58, 78, 11189, No update data, 9g3qx2380n28
Bird, MEX, 19d6b43c-bb9c-49a9-8556-f0b5c636e282, 76, 10855, No update data, 9g3qx2r1vbgh
Bird, MEX, d08a39fb-3943-405a-b8e7-592b95df7006, 53, 7014, No update data, 9g3qx2z5n8dt
Bird, MEX, 86533074-1fcc-4148-81ba-561c869239b1, 90, 12482, No update data, 9g3qx294j24c
Bird, MEX, dc222d23-7f4b-4202-b2b6-8f5de55a4490, 19, 1336, No update data, 9g3qx2n267f5
Bird, MEX, 62c8bbf3-a8c8-4cf1-89d8-c9ac9bceefd7, 62, 8517, No update data, 9g3qx3nehm25
Bird, MEX, 799b81c5-1bcf-474c-8856-a4c08b28d6a4, 37, 4342, No update data, 9g3qx2c71jdj
Bird, MEX, de559a16-112f-4af7-bb22-659ba6c581ba, 72, 10187, No update data, 9g3qx2r66v7m
Bird, MEX, c2688b21-d1dc-48f3-87e0-9fb5f6b1503d, 57, 7682, No update data, 9g3qx23pbenf
Bird, MEX, 8687f5b9-f008-49ea-96d9-2c85cfc3b123, 67, 9352, No update data, 9g3qx2xd74we
Bird, MEX, ad296b06-3371-48ac-a6ce-f772c7fbf666, 55, 7348, No update data, 9g3qx2322e0x
Bird, MEX, a9308dfa-1e4d-4b19-a6b9-e708f49e0654, 88, 12166, No update data, 9g3qx21sb1vd
Bird, MEX, 35f9cf14-cdb8-4a9f-a3dd-4d064cc4a4f9, 92, 12798, No update data, 9g3qx21sb08d
Bird, MEX, 4404df5a-fc9e-4aa8-9174-8359e49155db, 46, 5845, No update data, 9g3qx2r6x5s5
Bird, MEX, ca1f835a-93b4-4075-a803-5b1c3d935b15, 93, 12956, No update data, 9g3qx21kxbf6
Bird, MEX, 020ae21a-5192-412c-a151-8ed7d2c74b66, 73, 10354, No update data, 9g3qx3k7ugxx
Bird, MEX, dc8dba17-4285-46c5-8c88-cd9cbe3bbe33, 91, 13360, No update data, 9g3qx21pzdu0
Bird, MEX, 4d7d8717-6adf-46d2-b21a-dc2221b77ec2, 67, 9352, No update data, 9g3qx2z7vfg1
Bird, MEX, 88ecde63-0b08-498e-8e75-242bc9aa80f6, 82, 11857, No update data, 9g3qx2z9bwpn
Bird, MEX, 4a6b8c91-3f88-4711-b0b8-9090f4415701, 92, 12798, No update data, 9g3qx21kr3zp
Bird, MEX, cad27dc1-f7c6-4ecd-9509-e741272581fd, 92, 12798, No update data, 9g3qx21kqvtw
Bird, MEX, f32c8d18-17c7-4441-beba-a50a10891c4e, 89, 13026, No update data, 9g3qx231hkwn
Bird, MEX, dab09651-3f72-457f-a8eb-c6c7d2914af3, 31, 3340, No update data, 9g3qx28fkuc3
Bird, MEX, 1211cb12-5bdd-43ff-a6ce-6d4b4125b5f6, 88, 12859, No update data, 9g3qx231h3yj
Bird, MEX, 61018724-9135-4d5a-950d-983225954bf5, 72, 10187, No update data, 9g3qx2zdb6gc
Bird, MEX, 82dcd49c-65e1-4665-9b35-302cd6e6627b, 60, 8183, No update data, 9g3qx21pqzvs
Bird, MEX, 57e32f39-36b0-44be-ad84-a7829ed6bd7a, 92, 12798, No update data, 9g3qx2zq9ubs
Bird, MEX, 90124454-41c3-4255-ac81-57eaf83e9575, 76, 10855, No update data, 9g3qx21nzq2z
Bird, MEX, 32cb2fcb-39f3-4ec1-b35c-7f55c9b32cb3, 90, 12482, No update data, 9g3qx2zq5w3c
Bird, MEX, 6ac284f6-46a4-436c-ac42-68ee645278bd, 46, 5530, No update data, 9g3qx2zd6xbm
Bird, MEX, 57793154-e04c-4102-8567-bcef79f67448, 25, 2338, No update data, 9g3qx31vtgsh
Bird, MEX, 729d35bf-6723-4162-b83b-f33d3de30b12, 81, 11690, No update data, 9g3qx2xxyvtf
